Pay	Frequency
0	780292654
2	10643805
4	18726189
5	9210605
6	3035214
7	715777
8	15015754
9	942736
10	15428646
11	167861
12	5183201
13	979194
14	2720961
15	2299165
16	7893233
17	394943
18	2772625
19	334837
20	15022115
21	580211
22	1580339
23	419393
24	4514700
25	1064982
26	1636169
27	199158
28	2597536
29	373906
30	4812478
31	265032
32	3460233
33	235567
34	1367518
35	415442
36	2195317
37	251838
38	1076025
39	214602
40	9394406
41	177992
42	1177916
43	139709
44	1585576
45	1007378
46	872030
47	157825
48	2369330
49	168630
50	1896836
51	117328
52	1207598
53	213508
54	704957
55	311173
56	1254680
57	127476
58	662410
59	98367
60	4359635
61	118485
62	605076
63	120573
64	1359613
65	374312
66	541178
67	83827
68	977756
69	126629
70	1024265
71	79187
72	1069654
73	96905
74	457634
75	171170
76	750284
77	96647
78	447307
79	77862
80	4076230
81	76822
82	450799
83	66075
84	816275
85	419703
86	336224
87	73962
88	689084
89	75539
90	1260308
91	53017
92	568878
93	77196
94	334625
95	189520
96	841233
97	60538
98	318999
99	55999
100	1257978
101	73837
102	286082
103	51289
104	491495
105	153293
106	289862
107	43582
108	450597
109	52501
110	523794
111	50835
112	422210
113	46399
114	243210
115	88929
116	361507
117	46482
118	204046
119	37234
120	2329466
121	40654
122	237361
123	34855
124	411342
125	224023
126	212259
127	38281
128	446257
129	45076
130	507512
131	32034
132	326574
133	42425
134	180560
135	118265
136	339600
137	33815
138	186425
139	31709
140	607292
141	36675
142	155993
143	32693
144	402963
145	79998
146	151596
147	27908
148	250011
149	38008
150	311908
151	27770
152	258562
153	29483
154	147340
155	53826
156	228056
157	27821
158	125228
159	29537
160	1256221
161	24928
162	150153
163	22182
164	247778
165	136511
166	115220
167	24992
168	257171
169	27386
170	316937
171	21368
172	181638
173	25549
174	113342
175	69113
176	192832
177	22348
178	101940
179	20328
180	672071
181	21634
182	97415
183	20190
184	193899
185	70808
186	97631
187	17788
188	167335
189	22911
190	212112
191	18047
192	219861
193	18853
194	88851
195	43787
196	148517
197	20831
198	84791
199	17439
200	594599
201	17626
202	89654
203	15959
204	149624
205	60784
206	72922
207	17570
208	140004
209	16686
210	171712
211	14221
212	122383
213	16571
214	68316
215	34143
216	137044
217	14733
218	65841
219	13770
220	242083
221	14943
222	65347
223	13115
224	113889
225	31567
226	60276
227	12157
228	104095
229	13169
230	103924
231	12641
232	99031
233	12235
234	56578
235	21729
236	87845
237	12646
238	50530
239	10980
240	868187
241	11006
242	68000
243	10696
244	126278
245	82941
246	56106
247	12350
248	122402
249	14389
250	175782
251	10399
252	96854
253	12734
254	52314
255	39876
256	105294
257	10995
258	52498
259	10621
260	208173
261	11766
262	46113
263	10723
264	93676
265	28653
266	44332
267	9664
268	76081
269	10391
270	127793
271	9085
272	80895
273	9636
274	43003
275	20301
276	71502
277	9281
278	40069
279	9085
280	169741
281	8293
282	40899
283	7870
284	64945
285	25640
286	37157
287	7871
288	97737
289	8091
290	72882
291	7623
292	59290
293	9820
294	35353
295	16200
296	61547
297	7865
298	35754
299	6854
300	163258
301	7335
302	32288
303	7698
304	59648
305	16830
306	31678
307	6185
308	53729
309	7334
310	56364
311	6304
312	53580
313	6705
314	28227
315	11824
316	45157
317	6335
318	29090
319	5895
320	266824
321	6121
322	30978
323	5769
324	56409
325	25690
326	25763
327	6312
328	54291
329	6406
330	71636
331	5147
332	41082
333	6598
334	25418
335	15487
336	47370
337	5518
338	24500
339	5462
340	90322
341	5580
342	23645
343	5232
344	40585
345	12742
346	22085
347	4598
348	36487
349	5274
350	45890
351	4753
352	35757
353	4558
354	21221
355	9225
356	30938
357	4875
358	19034
359	4389
360	232390
361	4318
362	22520
363	4151
364	39864
365	23517
366	21068
367	4470
368	42999
369	5121
370	52761
371	3906
372	34481
373	4930
374	19077
375	12701
376	36204
377	4109
378	20036
379	4165
380	71346
381	4662
382	18327
383	4409
384	42725
385	9538
386	17737
387	3854
388	29358
389	4347
390	36576
391	4039
392	31221
393	3977
394	17393
395	6853
396	28160
397	3880
398	16465
399	3987
400	296530
401	3424
402	21749
403	3348
404	35274
405	26701
406	16255
407	3724
408	34734
409	4059
410	55080
411	3342
412	25394
413	3874
414	16392
415	10786
416	27419
417	3568
418	14135
419	3201
420	72249
421	3366
422	13865
423	3263
424	25650
425	8642
426	13933
427	2826
428	21968
429	3444
430	31137
431	2880
432	29121
433	2848
434	12353
435	5969
436	19962
437	3268
438	12667
439	2733
440	62216
441	2830
442	12136
443	2466
444	20696
445	8282
446	11022
447	2760
448	20782
449	2651
450	27803
451	2338
452	18134
453	2709
454	10376
455	5410
456	19235
457	2488
458	10158
459	2316
460	37060
461	2438
462	10380
463	2309
464	17525
465	5155
466	9340
467	2043
468	16071
469	2300
470	17235
471	2181
472	15900
473	2101
474	9055
475	3633
476	13964
477	2281
478	8347
479	2008
480	222987
481	1967
482	13061
483	1915
484	25492
485	20558
486	10247
487	2463
488	24929
489	2943
490	43722
491	1956
492	17364
493	2443
494	10077
495	10555
496	19608
497	2282
498	10066
499	2100
500	49305
501	2417
502	8533
503	2168
504	18469
505	7157
506	8570
507	2036
508	14765
509	2235
510	27257
511	1957
512	16277
513	1964
514	8466
515	4932
516	13852
517	2040
518	8024
519	2046
520	42903
521	1789
522	8204
523	1587
524	13394
525	6768
526	7656
527	1711
528	14981
529	1858
530	17909
531	1593
532	11582
533	1827
534	7316
535	4196
536	12849
537	1711
538	6704
539	1471
540	46312
541	1546
542	6786
543	1581
544	13118
545	4991
546	6801
547	1468
548	11447
549	1744
550	14830
551	1418
552	12089
553	1583
554	6289
555	3307
556	10509
557	1495
558	6445
559	1386
560	28296
561	1555
562	6001
563	1268
564	10739
565	3728
566	5768
567	1390
568	10681
569	1451
570	14212
571	1228
572	9516
573	1369
574	5558
575	2652
576	14676
577	1273
