Pay	Frequency
0	996978624
2	814
4	3607
5	212
6	2054
7	28
8	4067
9	59
10	1459
11	25
12	5173
13	64
14	1723
15	135
16	3181
17	64
18	1718
19	77
20	3502
21	538
22	1917
23	148
24	5658
25	89
26	1659
27	124
28	2830
29	225
30	1925
31	184
32	4244
33	105
34	1935
35	108
36	3769
37	199
38	1763
39	168
40	3935
41	281
42	2138
43	111
44	3757
45	278
46	2157
47	267
48	4209
49	196
50	2153
51	198
52	3562
53	286
54	2102
55	241
56	3799
57	206
58	2195
59	294
60	3438
61	333
62	2025
63	305
64	4128
65	269
66	2026
67	191
68	3560
69	250
70	2176
71	256
72	4356
73	250
74	2140
75	252
76	3429
77	283
78	2032
79	254
80	3872
81	320
82	2469
83	286
84	3383
85	313
86	2094
87	271
88	3921
89	346
90	2424
91	231
92	3617
93	294
94	2328
95	314
96	3782
97	301
98	2296
99	300
100	3434
101	341
102	2208
103	307
104	3852
105	338
106	2423
107	309
108	3451
109	317
110	2347
111	286
112	3672
113	292
114	2206
115	302
116	3620
117	345
118	2296
119	311
120	3550
121	321
122	2294
123	299
124	3520
125	364
126	2392
127	333
128	3736
129	339
130	2332
131	306
132	3431
133	290
134	2264
135	334
136	3541
137	329
138	2345
139	319
140	3278
141	348
142	2312
143	367
144	3880
145	357
146	2359
147	322
148	3391
149	365
150	2228
151	340
152	3593
153	341
154	2343
155	334
156	3368
157	352
158	2293
159	377
160	3571
161	351
162	2457
163	365
164	3335
165	361
166	2361
167	326
168	3529
169	353
170	2342
171	358
172	3337
173	380
174	2430
175	342
176	3496
177	395
178	2389
179	352
180	3363
181	415
182	2290
183	375
184	3436
185	374
186	2374
187	339
188	3391
189	410
190	2342
191	366
192	3469
193	391
194	2329
195	341
196	3422
197	399
198	2272
199	395
200	3381
201	426
202	2430
203	396
204	3244
205	382
206	2307
207	356
208	3343
209	432
210	2426
211	366
212	3189
213	385
214	2300
215	377
216	3439
217	391
218	2395
219	376
220	3265
221	388
222	2333
223	369
224	3436
225	341
226	2309
227	402
228	3232
229	432
230	2308
231	387
232	3254
233	413
234	2358
235	391
236	3192
237	385
238	2397
239	407
240	3313
241	389
242	2409
243	402
244	3167
245	415
246	2302
247	392
248	3276
249	438
250	2276
251	377
252	3236
253	363
254	2220
255	420
256	3096
257	414
258	2321
259	374
260	3151
261	396
262	2388
263	407
264	3312
265	425
266	2222
267	401
268	3031
269	396
270	2365
271	401
272	3170
273	419
274	2334
275	423
276	3035
277	414
278	2246
279	376
280	3118
281	432
282	2296
283	366
284	3022
285	412
286	2237
287	442
288	3306
289	460
290	2353
291	384
292	3126
293	432
294	2356
295	432
296	3190
297	427
298	2276
299	369
300	3029
301	389
302	2289
303	399
304	3142
305	414
306	2327
307	409
308	3009
309	414
310	2325
311	412
312	3050
313	369
314	2325
315	429
316	2932
317	468
318	2192
319	392
320	3028
321	417
322	2311
323	416
324	2966
325	439
326	2306
327	438
328	3115
329	415
330	2212
331	410
332	3017
333	400
334	2264
335	444
336	3019
337	408
338	2348
339	422
340	2859
341	422
342	2316
343	413
344	3060
345	412
346	2338
347	422
348	2897
349	419
350	2230
351	414
352	3003
353	384
354	2197
355	407
356	2916
357	413
358	2211
359	449
360	3056
361	437
362	2248
363	434
364	2865
365	398
366	2166
367	415
368	2863
369	445
370	2270
371	386
372	2814
373	378
374	2246
375	433
376	2923
377	410
378	2236
379	407
380	2917
381	436
382	2217
383	412
384	2924
385	433
386	2239
387	382
388	2789
389	422
390	2182
391	402
392	2860
393	472
394	2228
395	404
396	2760
397	438
398	2205
399	442
400	2975
401	421
402	2162
403	437
404	2866
405	437
406	2198
407	412
408	2850
409	422
410	2243
411	384
412	2721
413	442
414	2171
415	421
416	2826
417	432
418	2213
419	418
420	2749
421	418
422	2210
423	421
424	2713
425	432
426	2145
427	421
428	2640
429	429
430	2088
431	434
432	2812
433	464
434	2221
435	413
436	2678
437	434
438	2176
439	415
440	2790
441	442
442	2122
443	400
444	2656
445	451
446	2168
447	445
448	2846
449	447
450	2205
451	390
452	2622
453	441
454	2108
455	445
456	2785
457	436
458	2161
459	409
460	2627
461	419
462	2125
463	433
464	2705
465	411
466	2060
467	448
468	2611
469	440
470	2117
471	410
472	2733
473	385
474	2146
475	423
476	2652
477	398
478	2102
479	449
480	2708
481	417
482	2157
483	433
484	2689
485	448
486	2206
487	405
488	2568
489	458
490	2169
491	417
492	2614
493	407
494	2156
495	412
496	2582
497	397
498	2015
499	400
500	2576
501	428
502	1999
503	368
504	2563
505	377
506	2178
507	421
508	2535
509	400
510	2044
511	404
512	2504
513	427
514	2095
515	470
516	2587
517	431
518	2020
519	390
520	2611
521	419
522	2072
523	434
524	2563
525	434
526	2051
527	408
528	2588
529	434
530	2060
531	456
532	2496
533	419
534	2026
535	404
536	2494
537	414
538	2035
539	421
540	2469
541	422
542	2126
543	366
544	2500
545	452
546	2104
547	420
548	2492
549	450
550	2098
551	400
552	2394
553	451
554	1997
555	442
556	2355
557	410
558	2011
559	432
560	2496
561	442
562	1991
563	416
564	2407
565	399
566	2027
567	430
568	2490
569	417
570	2034
571	422
572	2466
573	376
574	1986
575	412
576	2530
577	434
578	1979
579	426
580	2419
581	458
582	1906
583	372
584	2489
585	377
586	1930
587	419
588	2493
589	383
590	1978
591	426
592	2506
593	408
594	1972
595	405
596	2326
597	401
598	1976
599	411
600	2397
601	414
602	1849
603	389
604	2397
605	433
606	2017
607	466
608	2381
609	403
610	1907
611	412
612	2401
613	385
614	1955
615	399
616	2395
617	399
618	1916
619	424
620	2284
621	394
622	1913
623	422
624	2391
625	422
626	1980
627	404
628	2326
629	426
630	1884
631	461
632	2354
633	411
634	1846
635	371
636	2283
637	413
638	1885
639	412
640	2360
641	418
642	1894
643	408
644	2350
645	419
646	1916
647	421
648	2374
649	420
650	1930
651	395
652	2257
653	409
654	1803
655	397
656	2316
657	411
658	1901
659	410
660	2235
661	413
662	1910
663	442
664	2274
665	422
666	1831
667	412
668	2257
669	420
670	1863
671	395
672	2305
673	412
674	1799
675	414
676	2193
677	411
678	1867
679	421
680	2229
681	401
682	1866
683	397
684	2160
685	402
686	1842
687	426
688	2261
689	423
690	1834
691	363
692	2251
693	399
694	1854
695	423
696	2237
697	411
698	1789
699	427
700	2162
701	398
702	1786
703	410
704	2203
705	421
706	1866
707	391
708	2160
709	410
710	1847
711	384
712	2215
713	399
714	1757
715	375
716	2167
717	398
718	1859
719	374
720	2211
721	401
722	1833
723	393
724	2047
725	416
726	1818
727	382
728	2109
729	385
730	1797
731	446
732	2116
733	416
734	1756
735	391
736	2092
737	438
738	1784
739	435
740	2101
741	416
742	1838
743	358
744	2125
745	399
746	1744
747	388
748	2103
749	372
750	1800
751	396
752	2030
753	414
754	1751
755	388
756	2068
757	369
758	1733
759	377
760	2071
761	434
762	1678
763	361
764	2056
765	410
766	1778
767	374
768	2104
769	409
770	1737
771	392
772	2071
773	414
774	1760
775	378
776	2016
777	417
778	1725
779	367
780	2055
781	371
782	1734
783	406
784	2089
785	367
786	1720
787	410
788	1973
789	414
790	1733
791	393
792	2083
793	382
794	1742
795	431
796	2008
797	392
798	1763
799	417
800	2030
801	383
802	1680
803	388
804	1864
805	410
806	1752
807	371
808	2011
809	406
810	1668
811	384
812	1979
813	385
814	1682
815	363
816	2046
817	374
818	1697
819	391
820	1982
821	372
822	1747
823	373
824	2000
825	375
826	1627
827	389
828	1891
829	381
830	1702
831	401
832	1984
833	372
834	1648
835	368
836	2003
837	370
838	1705
839	387
840	1967
841	384
842	1727
843	402
844	2069
845	392
846	1697
847	358
848	2040
849	376
850	1649
851	377
852	1942
853	341
854	1650
855	362
856	1927
857	379
858	1631
859	388
860	1921
861	407
862	1647
863	369
864	1839
865	378
866	1599
867	373
868	1863
869	416
870	1609
871	358
872	1933
873	378
874	1671
875	384
876	1846
877	365
878	1685
879	337
880	1842
881	359
882	1578
883	373
884	1884
885	382
