Pay	Frequency
0	780300724
2	18673245
4	34428432
5	12176475
6	5738668
7	1267519
8	27545472
9	628160
10	20167084
11	177933
12	7652754
13	470610
14	2598115
15	2767081
16	12866007
17	159899
18	1482648
19	147221
20	16331775
21	344150
22	772731
23	121948
24	5436677
25	286085
26	483366
27	40099
28	1578453
29	87538
30	4469628
31	44478
32	3884991
33	31467
34	348616
35	86355
36	1233834
37	47760
38	200563
39	29374
40	8428140
41	10697
42	386116
43	3951
44	871215
45	439059
46	119490
47	14517
48	2405658
49	13115
50	333881
51	11473
52	227287
53	39382
54	110320
55	82813
56	449247
57	14015
58	58757
59	800
60	3685213
61	4324
62	74592
63	18129
64	799646
65	53226
66	205976
67	2311
68	178570
69	17687
70	97565
71	713
72	664705
73	758
74	32814
75	11860
76	98924
77	56753
78	42879
79	1189
80	3166643
81	3981
82	38233
83	199
84	191409
85	52809
86	6585
87	5783
88	527986
89	700
90	568124
91	141
92	43730
93	5556
94	19402
95	12278
96	743881
97	393
98	16904
99	14871
100	278618
101	7316
102	23374
103	267
104	44187
105	5028
106	16337
107	72
108	68262
109	118
110	202799
111	3184
112	60705
113	597
114	15869
115	391
116	13315
117	2140
118	1115
119	34
120	1986961
121	9504
122	21503
123	751
124	50379
125	29029
126	19134
127	831
128	121723
129	1235
130	42971
131	72
132	201092
133	425
134	2733
135	26341
136	34379
137	173
138	8540
139	429
140	45747
141	1483
142	730
143	12087
144	291949
145	601
146	2978
147	1456
148	12156
149	2835
150	31755
151	119
152	20684
153	414
154	77770
155	482
156	16445
157	22
158	952
159	1342
160	912428
161	7
162	10840
163	1
164	18049
165	52710
166	640
167	171
168	55297
169	329
170	21936
171	468
172	2871
173	80
174	2683
175	1740
176	190261
177	179
178	402
179	12
180	397498
181	21
182	3709
183	495
184	11248
185	4530
186	4181
187	5641
188	7466
189	643
190	9031
191	9
192	164429
193	19
194	727
195	1413
196	6182
197	829
198	49639
199	8
200	258819
201	482
202	3200
203	2
204	10321
205	3839
206	314
207	316
208	5793
209	5922
210	10206
211	1
212	2648
213	163
214	110
215	586
216	47758
217	6
218	234
219	87
220	139626
221	638
222	1928
223	3
224	4998
225	469
226	378
228	6784
229	6
230	1209
231	9208
232	1181
233	3
234	2457
235	21
236	336
237	238
238	26
240	756285
241	1
242	23575
243	79
244	13649
245	10230
246	1657
247	416
248	13644
249	149
250	14854
251	3
252	10604
253	5522
254	738
255	1636
256	13182
257	18
258	688
259	16
260	15419
261	134
262	86
263	7
264	88201
265	103
266	129
267	55
268	661
269	2
270	33659
271	5
272	3403
273	381
274	454
275	3877
276	3567
277	6
278	288
279	59
280	9173
281	1
282	866
283	2
284	181
285	312
286	16380
287	2
288	78348
290	921
291	95
292	1439
293	487
294	1788
295	27
296	1790
297	1355
298	679
299	296
300	48048
301	1
302	315
303	99
304	1603
305	283
306	398
307	4
308	32657
309	49
310	1032
312	7358
313	2
314	23
315	411
316	140
317	1
318	462
319	2528
320	196039
321	23
322	1387
324	5615
325	2200
326	61
327	34
328	2600
329	46
330	56001
332	330
333	31
334	100
335	228
336	13937
337	2
338	700
339	13
340	4007
341	2185
342	144
344	365
345	32
346	29
348	1129
349	1
350	641
351	122
352	38973
354	59
355	4
356	63
357	83
358	5
360	182360
362	976
363	596
364	3190
365	2168
366	1183
367	23
368	2211
369	19
370	2743
371	2
372	2865
373	8
374	11053
375	488
376	1213
377	100
378	1202
379	2
380	3051
381	144
382	13
383	1
384	23499
385	1378
386	37
387	29
388	253
389	33
390	1236
391	1
392	693
393	14
394	166
395	5
396	20117
397	2
398	9
399	116
400	200823
402	1620
403	181
404	1771
405	4614
406	126
407	1497
408	5168
409	16
410	5251
411	26
412	132
413	5
414	125
415	510
416	1032
417	28
418	6258
420	6730
421	3
422	12
423	21
424	234
425	48
426	36
428	43
429	798
430	837
432	17732
434	49
435	19
436	89
437	100
438	196
440	57441
441	121
442	541
444	873
445	62
447	28
448	312
450	2793
451	334
452	84
453	23
454	16
455	70
456	2844
458	6
459	2
460	829
462	7748
464	53
465	11
466	2
468	996
470	102
471	6
472	33
473	251
474	37
475	1
476	21
477	9
480	201702
481	84
482	1249
483	122
484	9101
485	2170
486	280
487	16
488	2595
489	15
490	3767
492	651
493	7
494	443
495	5905
496	1368
497	1
498	62
499	3
500	3063
501	20
502	10
504	3854
505	20
506	2928
507	66
508	95
509	3
510	644
512	846
514	11
515	1
516	247
517	695
518	16
519	1
520	2308
522	34
524	29
525	94
526	4
527	2
528	25865
529	3
530	69
531	3
532	24
533	27
534	7
535	2
536	55
537	1
538	3
539	517
540	20048
542	80
543	1
544	275
545	166
546	713
547	1
548	120
549	5
550	5049
552	1519
553	1
554	3
555	38
556	62
558	39
559	42
560	1013
561	170
562	1
564	460
565	7
566	1
567	45
568	11
570	136
572	3778
576	13102
578	18
579	2
580	316
581	28
582	35
583	906
584	106
585	37
586	76
588	815
589	2
590	8
591	9
592	75
594	1270
596	58
598	219
600	48242
602	279
603	2
604	294
605	1080
606	74
607	7
608	179
609	37
610	889
611	37
612	182
614	5
615	76
616	4775
618	5
620	988
621	6
622	2
624	1619
625	6
627	147
628	2
630	451
632	15
635	1
636	252
637	27
638	1055
640	28142
642	156
644	568
645	185
646	2
647	2
648	1967
649	51
650	510
651	52
652	45
653	10
654	27
655	12
656	134
658	12
660	37596
662	1
663	24
664	31
665	1
666	4
668	15
669	1
670	61
671	200
672	1890
675	4
676	198
678	6
680	432
682	2228
684	102
685	5
686	1
688	23
689	21
690	24
692	2
693	198
696	316
698	1
699	1
700	129
702	86
704	6898
708	34
710	2
712	3
713	1
714	188
715	806
716	1
720	59590
722	283
724	566
725	643
726	1022
727	3
728	605
729	2
730	855
732	439
733	1
734	14
735	122
736	232
737	151
738	38
740	653
741	39
742	1
744	961
745	8
746	4
747	9
748	2740
750	203
752	82
753	2
754	46
755	1
756	479
758	1
759	151
760	417
762	26
764	3
765	34
767	6
768	2768
770	1511
772	9
773	1
774	10
775	3
776	15
777	27
778	9
780	338
781	55
782	4
783	1
784	33
786	6
788	6
789	2
790	1
792	8009
793	10
794	1
795	1
798	126
800	103101
802	758
803	36
804	1063
805	1707
806	113
807	8
808	503
809	2
810	3486
812	62
813	2
814	922
815	259
816	1159
817	1
818	7
819	32
820	2024
821	2
822	7
823	1
824	34
825	235
826	4
828	72
830	368
832	180
834	7
835	3
836	1716
840	1732
842	6
844	6
845	36
847	127
848	12
850	38
851	1
852	24
854	1
855	4
856	2
858	431
860	330
861	3
864	3960
865	4
866	1
868	22
869	82
870	24
871	12
872	9
874	21
875	2
876	36
879	1
880	20509
882	107
884	140
885	4
888	344
890	27
891	32
894	5
896	6
897	3
900	4272
902	1026
903	4
904	22
905	18
906	10
908	6
910	99
912	722
913	13
915	4
916	2
920	284
922	2
923	4
924	2099
925	3
928	3
930	15
932	1
935	544
936	281
940	50
944	3
945	34
946	215
948	38
949	4
950	3
952	10
954	1
957	62
960	35751
962	245
964	497
965	234
966	98
967	1
968	1121
969	1
970	574
972	109
973	1
974	10
975	58
976	154
978	6
979	24
980	477
981	1
984	276
985	4
986	1
987	8
988	116
990	6717
992	60
994	2
996	20
998	1
1000	317
1001	12
1002	2
1004	4
1005	6
1006	1
1008	823
1010	4
1012	594
1014	33
1016	5
1020	155
1022	1
1023	18
1024	28
1026	3
1027	9
1029	5
1032	91
1034	483
1035	1
1036	1
1040	176
1044	36
1045	223
1048	1
1050	60
1053	2
1054	2
1056	5247
1058	2
1060	16
1064	4
1066	28
1067	24
1068	15
1070	1
1071	8
1072	1
1078	475
1079	1
1080	7781
1082	36
1084	55
1085	65
1086	35
1088	43
1089	9
1090	74
1092	162
1093	1
1094	2
1095	16
1096	15
1098	4
1100	2736
1101	3
1102	1
1104	221
1105	3
1106	1
1110	21
1111	116
1112	3
1113	12
1116	22
1118	22
1120	63
1122	185
1124	1
1125	4
1128	172
1130	1
1131	4
1133	13
1134	21
1136	1
1140	69
1144	303
1147	1
1148	1
1150	2
1152	1287
1155	58
1156	4
1158	1
1160	29
1162	4
1164	20
1166	234
1167	1
1168	5
1170	27
1172	4
1176	219
1177	3
1180	2
1182	1
1183	3
1184	2
1188	505
1192	4
1196	33
1197	3
1199	2
1200	30491
1202	177
1204	210
1205	410
1206	69
1207	4
1208	116
1209	2
1210	882
1212	82
1214	6
1215	86
1216	29
1217	1
1218	22
1219	1
1220	485
1221	22
1222	20
1224	93
1225	3
1227	1
1228	2
1230	81
1232	379
1235	4
1236	12
1240	273
1242	5
1243	9
1244	2
1245	6
1248	134
1250	8
1251	1
1254	63
1260	278
1261	7
1264	2
1265	3
1266	1
1272	66
1274	19
1276	103
1280	2297
1281	2
1282	2
1284	36
1285	6
1287	9
1288	40
1290	45
1292	1
1296	411
1298	33
1300	54
1301	1
1302	40
1304	3
1306	1
1308	1
1309	3
1310	4
1311	2
1312	4
1316	4
1320	17979
1323	1
1324	1
1326	20
1328	3
1330	2
1331	3
1332	4
1334	1
1335	1
1336	3
1339	1
1340	3
1342	744
1344	160
1350	149
1352	17
1353	2
1356	2
1357	1
1360	34
1364	985
1365	8
1368	32
1370	2
1372	2
1375	439
1378	13
1380	13
1386	214
1390	3
1391	2
1392	27
1397	56
1400	17
1404	14
1407	4
1408	1086
1416	6
1419	11
1420	1
1426	1
1428	56
1430	592
1440	13523
1441	4
1442	59
1443	2
1444	156
1445	83
1446	51
1447	1
1448	77
1449	2
1450	163
1452	234
1454	3
1455	19
1456	29
1458	6
1460	117
1461	2
1463	10
1464	241
1466	1
1468	1
1470	55
1472	7
1474	53
1476	11
1480	60
1482	4
1485	329
1488	343
1490	1
1491	2
1496	256
1500	86
1503	2
1504	3
1507	4
1508	5
1512	170
1518	36
1520	32
1524	34
1529	16
1530	8
1534	2
1536	359
1540	517
1546	1
1548	8
1551	7
1554	14
1560	116
1562	14
1572	3
1573	7
1575	3
1584	2322
1586	24
1595	17
1596	40
1600	32661
1602	212
1604	371
1605	440
1606	143
1607	3
1608	236
1609	8
1610	669
1612	52
1614	7
1615	40
1616	62
1617	3
1618	6
1619	1
1620	1073
1622	1
1624	17
1625	21
1626	2
1628	157
1630	101
1632	119
1636	1
1638	19
1639	45
1640	300
1642	1
1644	5
1645	6
1647	1
1648	4
1650	385
1651	6
1652	2
1656	23
1659	2
1660	92
1661	12
1664	35
1668	5
1672	130
1677	1
1680	287
1684	1
1685	1
1690	24
1692	2
1694	54
1695	1
1700	19
1704	9
1705	6
1712	2
1716	46
1720	62
1722	13
1728	548
1729	1
1730	3
1732	2
1736	2
1738	11
1740	4
1742	5
1748	3
1749	8
1750	1
1752	39
1755	7
1758	1
1760	5704
1764	28
1768	19
1776	53
1780	3
1781	2
1782	236
1788	7
1792	1
1794	4
1800	3322
1802	12
1804	209
1805	16
1806	12
1807	2
1808	5
1809	1
1810	39
1812	10
1814	1
1815	139
1816	2
1818	1
1820	51
1824	47
1825	1
1826	25
1827	1
1830	5
1832	2
1833	3
1837	6
1840	52
1844	1
1846	1
1848	239
1850	1
1859	2
1860	10
1869	1
1870	206
1872	21
1880	12
1884	1
1890	33
1892	22
1896	5
1898	5
1900	6
1903	4
1904	1
1908	1
1914	10
1920	3750
1922	11
1924	63
1925	48
1926	5
1928	36
1930	47
1932	18
1934	3
1935	5
1936	38
1937	1
1940	41
1944	64
1947	1
1950	9
1952	6
1958	4
1960	27
1968	53
1969	3
1970	1
1974	5
1976	10
1980	4043
1991	1
1992	10
1995	3
2000	44
2002	84
2004	4
2013	4
2016	69
2020	3
2024	159
2025	1
2028	1
2030	1
2035	81
2040	24
2046	15
2054	1
2057	10
2058	5
2064	6
2068	114
2070	1
2072	2
2079	6
2080	6
2088	5
2090	118
2100	17
2101	1
2106	3
2112	877
2120	1
2121	2
2123	1
2124	1
2132	6
2134	20
2136	3
2142	3
2145	13
2156	48
2158	1
2160	2151
2162	10
2164	24
2165	14
2166	13
2167	13
2168	10
2170	32
2172	7
2175	9
2176	3
2178	8
2180	15
2184	54
2190	8
2200	2329
2205	2
2208	32
2211	1
2220	10
2222	59
2226	1
2231	1
2232	10
2236	2
2240	5
2244	66
2250	1
2255	56
2256	34
2262	1
2266	4
2268	7
2277	2
2280	9
2288	31
2292	1
2304	128
2310	90
2312	1
2320	1
2328	4
2331	2
2332	14
2340	2
2352	26
2354	5
2364	4
2365	6
2376	304
2387	2
2392	4
2398	8
2400	12206
2402	73
2404	83
2405	158
2406	29
2407	5
2408	54
2409	3
2410	221
2412	21
2414	4
2415	26
2416	7
2418	3
2420	323
2421	1
2424	20
2425	1
2428	3
2430	57
2431	7
2432	3
2434	1
2436	5
2440	79
2442	3
2444	3
2445	3
2448	20
2460	20
2464	23
2465	1
2470	2
2475	4
2478	1
2480	31
2483	1
2486	3
2490	3
2496	13
2500	5
2508	2
2520	98
2522	1
2528	1
2530	21
2544	2
2548	4
2552	2
2560	115
2562	9
2564	2
2568	6
2576	1
2580	3
2592	64
2596	3
2600	7
2604	22
2616	3
2626	2
2628	1
2632	1
2639	1
2640	5901
2646	7
2652	3
2662	178
2666	1
2667	2
2670	1
2684	227
2688	15
2695	139
2700	186
2705	1
2706	24
2710	3
2712	2
2717	12
2720	5
2728	137
2730	2
2740	4
2750	157
2760	6
2772	51
2784	1
2794	9
2800	1
2805	25
2814	5
2816	84
2820	4
2828	1
2834	2
2835	3
2838	3
2856	8
2860	115
2871	2
2880	1794
2882	6
2884	21
2885	2
2886	6
2888	9
2890	16
2892	1
2895	2
2896	3
2898	2
2900	22
2904	64
2907	1
2910	3
2912	2
2915	3
2916	1
2919	1
2920	10
2926	1
2928	55
2940	25
2944	1
2948	3
2952	4
2960	3
2964	2
2970	380
2976	33
2982	1
2992	9
3000	28
3014	2
3024	35
3025	3
3036	2
3048	8
3058	8
3060	3
3066	1
3072	22
3080	55
3084	2
3096	2
3108	1
3120	22
3124	1
3128	1
3135	2
3144	1
3146	6
3150	3
3168	487
3172	7
3185	1
3190	17
3192	1
3198	1
3200	6308
3202	27
3204	85
3205	52
3206	1
3208	49
3210	104
3211	1
3212	14
3214	2
3215	6
3216	10
3220	89
3223	13
3224	8
3230	20
3232	1
3234	1
3240	223
3242	1
3245	1
3246	1
3250	3
3252	1
3256	4
3258	1
3260	16
3264	3
3272	1
3276	2
3278	5
3280	19
3288	2
3289	1
3290	2
3300	489
3302	1
3312	1
3315	1
3318	1
3320	3
3322	5
3328	3
3330	1
3336	2
3344	6
3350	1
3355	5
3360	18
3366	2
3388	4
3400	1
3402	2
3410	15
3419	1
3420	1
3432	1
3440	4
3444	3
3454	1
3456	58
3480	4
3504	2
3516	2
3520	1122
3528	3
3536	1
3542	42
3552	5
3562	1
3564	39
3570	1
3575	27
3576	1
3586	1
3600	1501
3602	3
3604	4
3605	19
3606	5
3608	21
3610	23
3612	4
3615	1
3618	1
3619	1
3620	9
3624	3
3630	42
3640	9
3648	6
3652	1
3660	4
3663	1
3672	1
3675	2
3680	6
3682	1
3685	3
3690	1
3696	18
3700	1
3720	7
3740	21
3760	1
3780	15
3784	5
3818	1
3822	1
3840	255
3848	1
3850	6
3852	1
3856	2
3860	2
3864	7
3872	2
3880	1
3888	18
3900	2
3912	1
3936	3
3948	2
3960	1613
3982	38
4000	14
4004	27
4015	21
4032	4
4048	18
4050	7
4059	1
4070	27
4080	3
4092	3
4114	1
4116	2
4125	4
4128	1
4136	6
4158	2
4180	34
4200	6
4212	1
4224	100
4242	1
4246	1
4264	1
4290	2
4312	2
4320	346
4322	3
4324	1
4326	3
4328	1
4330	5
4332	3
4334	2
4335	1
4340	3
4344	12
4360	2
4368	7
4380	2
4400	1776
4404	1
4416	4
4422	48
4440	3
4444	34
4452	1
4455	54
4464	3
4466	2
4488	4
4500	2
4510	54
4512	2
4532	2
4536	2
4560	4
4565	5
4576	2
4608	11
4620	61
4653	1
4656	2
4680	3
4706	1
4708	1
4730	12
4732	1
4752	119
4761	1
4774	1
4784	1
4796	2
4800	2945
4802	13
4804	36
4805	39
4806	6
4807	4
4808	18
4810	41
4812	6
4814	2
4815	4
4816	2
4818	1
4820	30
4824	12
4830	10
4832	1
4840	42
4844	1
4848	6
4850	1
4860	11
4862	2
4880	6
4884	2
4888	1
4890	2
4895	1
4896	6
4900	1
4920	8
4944	2
4950	31
4960	3
4980	2
4994	1
5000	1
5040	22
5060	10
5082	1
5093	1
5120	3
5124	3
5145	2
5160	1
5166	2
5184	10
5208	4
5226	1
5250	2
5256	1
5280	1447
5302	52
5324	34
5335	32
5346	3
5368	9
5390	45
5400	116
5404	1
5405	1
5410	1
5434	1
5445	4
5456	6
5460	2
5500	21
5544	4
5564	1
5588	2
5610	7
5632	3
5670	1
5676	1
5720	12
5760	148
5768	2
5770	2
5784	10
5796	1
5800	1
5808	3
5820	3
5830	2
5832	2
5856	1
5868	1
5880	4
5907	1
5928	1
5940	198
5962	2
5984	4
5995	5
6000	5
6050	1
6120	1
6144	1
6160	3
6215	1
6216	1
6240	1
6266	1
6270	1
6292	1
6300	3
6336	44
6358	1
6380	2
6400	708
6402	2
6404	13
6408	4
6410	5
6412	2
6416	3
6418	1
6420	8
6425	1
6426	1
6430	1
6440	10
6450	1
6460	2
6480	33
6500	1
6504	1
6520	2
6576	1
6600	537
6622	13
6624	1
6644	6
6655	2
6677	1
6688	4
6710	15
6720	3
6762	1
6820	11
6912	6
6930	4
6960	1
7040	153
7056	1
7062	4
7072	1
7084	3
7095	3
7106	2
7128	16
7150	10
7172	1
7200	479
7202	5
7204	2
7205	5
7206	2
7208	2
7210	9
7212	6
7220	6
7224	3
7230	3
7236	1
7240	3
7260	3
7280	1
7293	1
7320	2
7360	1
7392	2
7480	6
7560	4
7600	1
7602	1
7680	11
7700	1
7728	1
7920	486
7942	14
7964	7
7975	10
7986	1
8000	4
8008	6
8030	12
8040	1
8052	2
8064	1
8074	1
8085	1
8100	4
8106	1
8140	5
8360	2
8400	5
8448	6
8640	67
8664	3
8688	3
8700	4
8760	1
8800	893
8820	1
8822	18
8844	22
8855	27
8862	1
8866	2
8877	1
8888	6
8910	46
8932	3
8965	3
9020	22
9130	5
9240	6
9350	1
9412	1
9460	1
9504	13
9526	1
9570	1
9600	421
9604	5
9605	1
9606	1
9608	1
9610	4
9612	1
9615	2
9620	3
9624	5
9630	1
9640	5
9648	3
9660	1
9672	1
9680	3
9684	1
9696	3
9720	5
9790	1
9840	3
9888	1
9900	44
9922	1
9955	1
10056	1
10080	10
10120	3
10122	1
10164	1
10185	1
10248	1
10340	2
10368	2
10416	1
10426	2
10560	207
10582	8
10604	4
10615	9
10648	1
10670	6
10692	1
10736	1
10780	3
10800	35
10804	1
10805	2
10806	1
10810	1
10824	1
10890	1
11000	2
11040	1
11340	2
11520	18
11528	1
11544	1
11568	1
11580	2
11640	1
11804	1
11880	54
11924	1
11935	1
12000	2
12045	1
12096	1
12600	2
12672	3
12800	43
12805	1
12816	1
12820	1
12960	7
12984	1
13200	327
13222	5
13244	3
13255	3
13310	10
13365	1
13376	1
13420	6
13530	1
13640	4
13824	1
13920	1
14080	14
14102	1
14256	2
14300	1
14400	90
14404	1
14410	1
14412	1
14415	1
14420	1
14424	3
14440	1
14448	1
14472	1
14496	1
14520	1
14544	1
14850	4
15120	1
15225	1
15360	1
15384	1
15840	70
15862	3
15884	3
15895	2
15928	1
16000	1
16210	1
16390	1
16500	1
16800	2
16842	1
16884	1
17280	7
17304	1
17600	257
17622	6
17640	1
17644	4
17655	12
17677	1
17710	14
17754	1
17820	4
17930	1
18040	1
18260	1
18700	1
19200	36
19208	1
19224	2
19248	1
19260	2
19440	2
19800	45
20160	1
21120	22
21142	1
21600	8
22000	1
22680	1
23040	1
23160	1
23760	22
23815	1
25200	1
25920	2
26400	131
26422	1
26444	3
26455	3
26488	1
26510	5
26565	1
26620	2
26642	1
28600	1
28800	9
28824	1
28848	1
29700	2
30720	1
31680	15
31702	2
32400	1
33600	1
35200	33
35222	1
38400	5
39600	22
42240	2
43260	1
47520	2
52800	14
52822	1
52855	1
57600	4
57624	1
70400	4
76800	1
79200	3
79255	1
79640	1
93626	1
105600	1
115200	1
118800	1
