Pay	Frequency
0	777812123
2	12075694
4	20809162
5	9235724
6	3736381
7	831520
8	16503873
9	1041675
10	15354538
11	195870
12	5848748
13	1016680
14	3269605
15	2301222
16	8575916
17	382470
18	3007290
19	397718
20	13232021
21	604562
22	1893479
23	455965
24	5048473
25	833968
26	1757076
27	205356
28	2809571
29	399414
30	4332893
31	274813
32	3658425
33	244930
34	1480875
35	346065
36	2274377
37	260768
38	1159521
39	220982
40	7292286
41	178866
42	1164861
43	148669
44	1930433
45	744510
46	884889
47	157330
48	2642517
49	171575
50	1466882
51	116013
52	1219793
53	238040
54	712230
55	265325
56	1233404
57	121750
58	700073
59	96622
60	3544703
61	111689
62	588656
63	125726
64	1400067
65	271509
66	596874
67	78306
68	1001027
69	121971
70	802413
71	71036
72	1126266
73	97721
74	456786
75	124658
76	729954
77	124607
78	439471
79	73113
80	2991601
81	69193
82	419324
83	64094
84	756901
85	281471
86	313965
87	66178
88	894002
89	65651
90	981125
91	45596
92	559841
93	70780
94	327591
95	134641
96	942882
97	54158
98	316571
99	61472
100	937045
101	74433
102	275385
103	47749
104	469005
105	104412
106	290098
107	39179
108	431436
109	43724
110	512826
111	48480
112	404183
113	40043
114	233886
115	62513
116	350387
117	38837
118	200258
119	31108
120	1755357
121	41878
122	213848
123	29350
124	377216
125	152259
126	201325
127	30675
128	427809
129	37478
130	371189
131	27264
132	400654
133	37851
134	168758
135	83428
136	331210
137	28732
138	176860
139	26791
140	459149
141	31646
142	143966
143	41414
144	437105
145	53846
146	143306
147	24245
148	235902
149	35990
150	234047
151	24525
152	240102
153	23825
154	197815
155	37715
156	215712
157	22060
158	124400
159	26573
160	919777
161	19875
162	138701
163	18213
164	225291
165	116711
166	106963
167	20369
168	240996
169	24736
170	232015
171	17376
172	163398
173	23170
174	104658
175	47576
176	287422
177	17811
178	100507
179	16937
180	525769
181	18963
182	93974
183	17731
184	193430
185	49286
186	94376
187	21218
188	160876
189	20271
190	159877
191	15814
192	249571
193	15953
194	84969
195	30771
196	142334
197	19519
198	128013
199	15169
200	417939
201	14398
202	90932
203	13519
204	139133
205	40406
206	75430
207	15172
208	131137
209	20147
210	130465
211	12086
212	116794
213	14117
214	66193
215	23389
216	142453
217	13058
218	62314
219	11450
220	275901
221	13054
222	66055
223	10727
224	115196
225	22793
226	60303
227	10311
228	107129
229	10998
230	84441
231	19059
232	99695
233	10297
234	56130
235	16393
236	89110
237	10378
238	49225
239	10115
240	627191
241	9072
242	87444
243	9001
244	114803
245	54882
246	56640
247	10280
248	114961
249	11857
250	130161
251	8575
252	92772
253	17441
254	51377
255	26787
256	99723
257	9785
258	52961
259	8931
260	153539
261	10573
262	44413
263	9015
264	149569
265	19593
266	46111
267	7916
268	77861
269	10046
270	98787
271	8155
272	83237
273	8212
274	44759
275	20922
276	72076
277	7893
278	40766
279	8506
280	129990
281	7050
282	39788
283	7354
284	62080
285	17505
286	58820
287	6870
288	117262
289	6852
290	60636
291	7013
292	59341
293	9546
294	39716
295	11862
296	62505
297	9626
298	39248
299	5937
300	121307
301	6775
302	35330
303	7286
304	59253
305	12137
306	33098
307	5752
308	84551
309	6427
310	48225
311	5415
312	61275
313	6529
314	30942
315	9062
316	50210
317	5936
318	32162
319	9868
320	207543
321	5410
322	31709
323	5667
324	58552
325	18399
326	27360
327	6014
328	56163
329	5847
330	97119
331	4686
332	43905
333	6191
334	28920
335	11814
336	55452
337	4977
338	29553
339	4963
340	73201
341	9093
342	26402
343	5074
344	43270
345	9763
346	25979
347	4382
348	39562
349	5295
350	39003
351	4704
352	71160
353	4529
354	25961
355	6924
356	37941
357	5074
358	23141
359	4237
360	180224
361	4350
362	25120
363	6497
364	43028
365	16776
366	22844
367	4441
368	47097
369	4894
370	42488
371	4020
372	37351
373	5017
374	36593
375	9203
376	40227
377	4126
378	24741
379	4426
380	58517
381	4379
382	21557
383	4226
384	52622
385	10346
386	20682
387	3922
388	32421
389	4823
390	32285
391	3816
392	34604
393	4221
394	20731
395	5347
396	51582
397	3921
398	20426
399	3950
400	199565
401	3788
402	23089
403	3455
404	37456
405	17594
406	18702
407	6275
408	38524
409	3961
410	41438
411	3447
412	29325
413	3876
414	18472
415	7951
416	30942
417	3476
418	27742
419	3166
420	56693
421	3275
422	17380
423	3489
424	29371
425	6406
426	17655
427	3001
428	25564
429	5596
430	26245
431	3069
432	38340
433	3152
434	16069
435	4804
436	23599
437	3816
438	15568
439	2988
440	92434
441	3143
442	16851
443	2654
444	26720
445	6791
446	14863
447	3150
448	27525
449	2969
450	26146
451	4169
452	23082
453	3089
454	13761
455	4728
456	26508
457	2705
458	13548
459	2720
460	33483
461	2799
462	24550
463	2573
464	22879
465	4315
466	13787
467	2600
468	21034
469	2552
470	18435
471	2378
472	21367
473	3751
474	12791
475	3347
476	18087
477	2558
478	12279
479	2356
480	162599
481	2372
482	15010
483	2514
484	38878
485	14014
486	13731
487	2668
488	28331
489	3236
490	33908
491	2311
492	22452
493	2904
494	13360
495	13246
496	23196
497	2726
498	12864
499	2714
500	40378
501	2680
502	11635
503	2751
504	24701
505	5616
506	18487
507	2391
508	19068
509	2614
510	23520
511	2460
512	20484
513	2383
514	12273
515	4341
516	18259
517	3800
518	11058
519	2375
520	35352
521	2255
522	11663
523	2150
524	16624
525	5401
526	10417
527	2161
528	39678
529	2257
530	17302
531	1967
532	16996
533	2595
534	10922
535	3566
536	17870
537	2050
538	10775
539	3300
540	38626
541	2148
542	10081
543	2238
544	17971
545	4097
546	10316
547	1961
548	15764
549	2248
550	23515
551	1931
552	17623
553	2041
554	9948
555	3055
556	14676
557	2001
558	10136
559	1935
560	25840
561	3012
562	9525
563	1810
564	14778
565	3236
566	9185
567	1888
568	14593
569	1935
570	13908
571	1806
572	20242
573	1818
574	9029
575	2599
576	24155
577	1816
578	8934
579	1733
580	19442
581	2104
582	9025
583	3539
584	14206
585	2597
586	8997
587	1756
588	13836
589	1700
590	10913
591	1865
592	13559
593	1761
594	12553
595	2035
596	12783
597	1637
598	8270
599	1701
600	54762
601	1615
602	8764
603	1557
604	13307
605	5658
606	8349
607	1633
608	13489
609	1727
610	13419
611	1511
612	12144
613	1691
614	7658
615	2677
616	18978
617	1529
618	7807
619	1499
620	18746
621	1683
622	7257
623	1493
624	13866
625	2222
626	7472
627	2281
628	10951
629	1516
630	9966
631	1572
632	11315
633	1452
634	7143
635	1844
636	10968
637	1454
638	10415
639	1451
640	36399
641	1384
642	7524
643	1402
644	11786
645	3111
646	7061
647	1407
648	13916
649	2129
650	10642
651	1408
652	9893
653	1732
654	6751
655	2290
656	11214
657	1519
658	6700
659	1330
660	42911
661	1446
662	6841
663	1437
664	11816
665	2459
666	6795
667	1344
668	10676
669	1502
670	9263
671	2083
672	11995
673	1376
674	6306
675	1897
676	9847
677	1405
678	6487
679	1344
680	15779
681	1345
682	10000
683	1247
684	9696
685	1944
686	6361
687	1368
688	9602
689	1354
690	8385
691	1179
692	8725
693	2172
694	5813
695	1569
696	9504
697	1303
698	5780
699	1179
700	11739
701	1297
702	5632
703	1238
704	16586
705	1603
706	5629
707	1125
708	9169
709	1298
710	6579
711	1134
712	8926
713	1252
714	5697
715	2973
716	7755
717	1192
718	5331
719	1171
720	49870
721	1111
722	6028
723	1149
724	10153
725	4505
726	8103
727	1191
728	10698
729	1355
730	11611
731	1136
732	8734
733	1331
734	5852
735	2588
736	9600
737	1735
738	5885
739	1257
740	13414
741	1423
742	5479
743	1178
744	9853
745	1979
746	5352
747	1167
748	12790
749	1192
750	8644
751	1197
752	9048
753	1292
754	5312
755	1643
756	8751
757	1104
758	5453
759	1980
760	13705
761	1107
762	5177
763	1064
764	7933
765	1953
766	5222
767	1095
768	10678
769	1169
770	11018
771	1068
772	7569
773	1196
774	5347
775	1609
776	7795
777	1187
778	5166
779	972
780	10922
781	1488
782	4994
783	1106
784	7857
785	1440
786	5045
787	1044
788	7174
789	1149
790	6078
791	1014
792	14993
793	1016
794	4896
795	1288
796	7281
797	1124
798	5014
799	1084
800	83569
801	1084
802	6419
803	1478
804	10092
805	7456
806	4815
807	1258
808	9483
809	1170
810	15488
811	981
812	7204
813	1185
814	7003
815	3095
816	8706
817	1061
818	4813
819	1084
820	16572
821	1013
822	4863
823	992
824	7320
825	3070
826	4585
827	976
828	6419
829	1057
830	9110
831	967
832	6758
833	1020
834	4375
835	1717
836	9178
837	978
838	4402
839	985
840	15626
841	947
842	4363
843	931
844	6625
845	2273
846	4304
847	1462
848	6705
849	953
850	6906
851	888
852	6290
853	944
854	4070
855	1502
856	6093
857	922
858	5848
859	864
860	10201
861	931
862	4168
863	905
864	8793
865	1499
866	3913
867	844
868	5552
869	1366
870	5730
871	840
872	5767
873	970
874	4339
875	1245
876	5471
877	909
878	3871
879	841
880	26567
881	800
882	4117
883	825
884	6114
885	1795
886	3800
887	807
888	6672
889	881
890	6325
891	1139
892	5422
893	888
894	3931
895	1246
896	5918
897	847
898	3611
899	827
900	11302
901	893
902	5842
903	795
904	5632
905	1188
906	3755
907	878
908	5062
909	786
910	4975
911	793
912	6121
913	1146
914	3512
915	1008
916	4858
917	849
918	3559
919	797
920	8657
921	798
922	3469
923	733
924	8671
925	1211
926	3493
927	719
928	5352
929	913
930	4716
931	755
932	4828
933	811
934	3425
935	2490
936	5281
937	810
938	3237
939	818
940	6442
941	737
942	3265
943	725
944	4889
945	1022
946	4336
947	681
948	4675
949	768
950	3927
951	755
952	4644
953	754
954	3328
955	909
956	4428
957	1136
958	2958
959	737
960	29565
961	712
962	3796
963	757
964	6096
965	2362
966	3383
967	731
968	8359
969	860
970	6776
971	693
972	5117
973	914
974	3413
975	1610
976	5465
977	742
978	3460
979	1093
980	8307
981	844
982	3255
983	865
984	5486
985	1357
986	3155
987	751
988	4494
989	759
990	11499
991	708
992	5007
993	707
994	3431
995	1250
996	4455
997	745
998	3333
999	784
1000	8182
1001	874
1002	3272
1003	730
1004	4407
1005	1197
1006	3162
1007	698
1008	5548
1009	738
1010	4317
1011	726
1012	5932
1013	802
1014	3105
1015	989
1016	4584
1017	755
1018	3000
1019	674
1020	6513
1021	669
1022	2975
1023	923
1024	4435
1025	952
1026	2926
1027	689
1028	4140
1029	732
1030	3835
1031	719
1032	4414
1033	704
1034	4090
1035	786
1036	4012
1037	717
1038	2936
1039	688
1040	6407
1041	669
1042	2920
1043	649
1044	4156
1045	1573
1046	2853
1047	673
1048	4149
1049	681
1050	3917
1051	671
1052	3795
1053	674
1054	2860
1055	843
1056	8820
1057	615
1058	2763
1059	666
1060	5043
1061	691
1062	2775
1063	665
