Pay	Frequency
0	911929920
2	2462393
4	5620302
5	2864592
6	1023384
7	190387
8	5570116
9	177051
10	4457671
11	54879
12	2650658
13	166621
14	1044473
15	781825
16	3943099
17	77710
18	1002319
19	118350
20	4334915
21	205685
22	661384
23	125412
24	2845717
25	224341
26	551448
27	75940
28	1459113
29	112256
30	1637908
31	75629
32	2128005
33	95892
34	517345
35	119894
36	1338846
37	70633
38	428167
39	73307
40	2777403
41	45054
42	554175
43	43330
44	1012397
45	258129
46	347997
47	45576
48	1745094
49	50195
50	517369
51	47071
52	732140
53	72130
54	354579
55	110023
56	876744
57	51255
58	280605
59	29378
60	1587732
61	37199
62	250719
63	57352
64	889025
65	86168
66	318891
67	23349
68	553545
69	55810
70	303998
71	23196
72	853944
73	30542
74	194244
75	53873
76	452451
77	42593
78	236042
79	25744
80	1245806
81	31860
82	163797
83	20809
84	495819
85	82135
86	138628
87	33139
88	618740
89	21612
90	431222
91	17796
92	350360
93	36777
94	141554
95	49755
96	702462
97	17641
98	139192
99	26594
100	454083
101	24153
102	157001
103	17334
104	363911
105	43724
106	127277
107	13209
108	317443
109	16627
110	235986
111	22729
112	321197
113	14091
114	135305
115	23327
116	221051
117	22728
118	95502
119	12268
120	834422
121	15367
122	102613
123	14315
124	222843
125	45698
126	118490
127	12301
128	300479
129	16716
130	149462
131	10511
132	293644
133	13641
134	81277
135	37141
136	245297
137	9990
138	102984
139	10282
140	233584
141	17212
142	67792
143	16265
144	347607
145	20696
146	68965
147	13032
148	150458
149	12821
150	112360
151	10038
152	192142
153	11941
154	100837
155	14743
156	168619
157	9029
158	61120
159	13884
160	421199
161	7866
162	75809
163	7573
164	121864
165	47337
166	52419
167	8823
168	210099
169	8926
170	94006
171	9073
172	104833
173	9578
174	60763
175	17396
176	226344
177	8517
178	49853
179	7364
180	278542
181	8030
182	50928
183	9490
184	140596
185	17111
186	57139
187	9517
188	100876
189	9871
190	66822
191	6961
192	218421
193	6108
194	41749
195	15947
196	96546
197	7096
198	71636
199	6572
200	200296
201	7751
202	40843
203	6086
204	102480
205	12691
206	36740
207	7672
208	116354
209	8907
210	61348
211	5231
212	77808
213	7577
214	33818
215	8611
216	127351
217	4890
218	30758
219	5787
220	160164
221	6264
222	39378
223	4915
224	92281
225	9592
226	29751
227	4435
228	84415
229	4515
230	36354
231	10939
232	76187
233	4279
234	36698
235	6354
236	61054
237	5786
238	24681
239	4328
240	316484
241	3751
242	44332
243	4975
244	68175
245	16006
246	31288
247	5628
248	81311
249	5168
250	52667
251	3707
252	74798
253	7514
254	24770
255	11004
256	79560
257	3883
258	29286
259	3888
260	85418
261	5556
262	21455
263	3703
264	125402
265	7116
266	22454
267	4121
268	51034
269	4014
270	47999
271	3410
272	67908
273	4863
274	20745
275	8784
276	55251
277	3314
278	20658
279	4054
280	78623
281	3048
282	23883
283	3392
284	40079
285	7013
286	35384
287	2934
288	99114
289	2783
290	25237
291	3574
292	38953
293	3494
294	24258
295	4202
296	48844
297	4672
298	18650
299	3655
300	65347
301	2854
302	18271
303	3751
304	48328
305	4556
306	19866
307	2611
308	55945
309	3358
310	21317
311	2500
312	63307
313	2584
314	14973
315	4060
316	33254
317	2514
318	19191
319	4703
320	103355
321	2739
322	14824
323	2401
324	39079
325	7175
326	13570
327	2829
328	37654
329	2542
330	52078
331	2180
332	28743
333	3072
334	14038
335	4543
336	57917
337	2109
338	16634
339	2449
340	39394
341	4271
342	15325
343	2245
344	31624
345	3844
346	13120
347	1968
348	30083
349	2197
350	16490
351	2613
352	54602
353	2060
354	14149
355	2644
356	25049
357	2563
358	11544
359	1853
360	105450
361	1743
362	11428
363	3224
364	30141
365	5011
366	13580
367	1912
368	34179
369	2291
370	16875
371	1754
372	29957
373	1935
374	19644
375	3833
376	32125
377	2221
378	14130
379	1869
380	30575
381	2392
382	10597
383	1720
384	51981
385	4499
386	9731
387	1923
388	21826
389	1831
390	19035
391	1583
392	29162
393	1904
394	9340
395	2076
396	38370
397	1544
398	9895
399	1776
400	77252
401	1533
402	11669
403	2118
404	20350
405	5043
406	9293
407	2743
408	35335
409	1549
410	14842
411	1764
412	18286
413	1621
414	9923
415	2716
416	27979
417	1693
418	14513
419	1385
420	32108
421	1373
422	8276
423	1659
424	21781
425	2375
426	9343
427	1254
428	16150
429	3136
430	10378
431	1243
432	35399
433	1317
434	7518
435	2016
436	15356
437	1421
438	8711
439	1249
440	55048
441	1519
442	9375
443	1111
444	18867
445	2253
446	6746
447	1485
448	20952
449	1131
450	11274
451	1819
452	14475
453	1472
454	6167
455	1840
456	25250
457	1075
458	6027
459	1267
460	16973
461	1215
462	13788
463	1054
464	17128
465	1749
466	6157
467	1080
468	17951
469	1022
470	7356
471	1178
472	15488
473	1694
474	6943
475	1367
476	11446
477	1294
478	5613
479	910
480	87851
481	1280
482	6514
483	1169
484	21865
485	4597
486	7285
487	1010
488	19307
489	1344
490	14297
491	907
492	15083
493	1154
494	7448
495	6019
496	17852
497	1010
498	6695
499	1030
500	20201
501	1322
502	5340
503	1009
504	23244
505	1880
506	9199
507	1317
508	11310
509	948
510	10461
511	958
512	16186
513	1027
514	5484
515	1344
516	12498
517	1652
518	4989
519	1017
520	23004
521	852
522	6098
523	844
524	9818
525	2006
526	4599
527	807
528	32582
529	838
530	6587
531	816
532	10311
533	1100
534	5317
535	1095
536	12942
537	906
538	4582
539	1433
540	21683
541	820
542	4332
543	919
544	12961
545	1348
546	6764
547	719
548	9308
549	981
550	10609
551	675
552	16447
553	730
554	4413
555	1182
556	9259
557	764
558	5132
559	852
560	15697
561	1284
562	4108
563	694
564	10927
565	988
566	4007
567	757
568	10415
569	698
570	6282
571	698
572	14799
573	789
574	3861
575	851
576	20446
577	660
578	3783
579	709
580	10133
581	718
582	4391
583	1487
584	9933
585	1248
586	3875
587	610
588	10698
589	630
590	4141
591	741
592	9812
593	646
594	6659
595	705
596	7638
597	691
598	4674
599	583
600	25908
601	615
602	3698
603	647
604	7534
605	1961
606	4061
607	566
608	9025
609	740
610	4837
611	779
612	8449
613	582
614	3121
615	863
616	13780
617	530
618	3828
619	554
620	9163
621	708
622	2898
623	525
624	15022
625	710
626	2961
627	1011
628	6237
629	554
630	4719
631	485
632	7840
633	604
634	2859
635	693
636	7704
637	622
638	4975
639	557
640	18025
641	490
642	3597
643	470
644	6314
645	1213
646	2728
647	424
648	10346
649	916
650	4900
651	581
652	5445
653	539
654	3162
655	759
656	7495
657	506
658	2761
659	474
660	24228
661	470
662	2761
663	672
664	7429
665	706
666	3101
667	557
668	5857
669	542
670	3306
671	775
672	11959
673	426
674	2551
675	686
676	6662
677	444
678	2972
679	432
680	8708
681	508
682	4656
683	417
684	6037
685	588
686	2475
687	449
688	6135
689	598
690	3337
691	415
692	4569
693	897
694	2256
695	457
696	7626
697	406
698	2160
699	430
700	5661
701	418
702	3017
703	380
704	10442
705	565
706	2227
707	339
708	5584
709	407
710	2326
711	397
712	5497
713	345
714	2668
715	1447
716	4220
717	424
718	1901
719	373
720	29824
721	362
722	2170
723	459
724	4869
725	1322
726	3976
727	370
728	8068
729	483
730	4415
731	382
732	5773
733	390
734	2316
735	1053
736	6900
737	632
738	2570
739	407
740	6484
741	656
742	2214
743	381
744	8695
745	602
746	2012
747	420
748	7900
749	385
750	3753
751	395
752	6571
753	440
754	2499
755	486
756	6222
757	373
758	1966
759	768
760	7321
761	369
762	2417
763	388
764	4414
765	640
766	1881
767	451
768	10082
769	324
770	4547
771	400
772	4233
773	364
774	2253
775	426
776	5019
777	421
778	1877
779	344
780	7839
781	502
782	1769
783	415
784	5503
785	436
786	2149
787	302
788	3715
789	425
790	2065
791	276
792	10620
793	402
794	1754
795	418
796	3953
797	373
798	2135
799	280
800	30061
801	373
802	1881
803	616
804	4726
805	1896
806	2061
807	377
808	4996
809	302
810	5681
811	358
812	3572
813	376
814	2763
815	939
816	7241
817	255
818	1577
819	454
820	6681
821	286
822	2032
823	288
824	4163
825	1138
826	1567
827	272
828	4007
829	284
830	3084
831	305
832	4921
833	250
834	1840
835	555
836	5157
837	321
838	1468
839	223
840	9244
841	287
842	1477
843	266
844	2960
845	718
846	1687
847	518
848	3720
849	291
850	2128
851	236
852	3534
853	243
854	1362
855	446
856	3369
857	240
858	2900
859	262
860	4091
861	302
862	1264
863	249
864	6915
865	427
866	1352
867	277
868	2821
869	474
870	1922
871	312
872	3223
873	258
874	1432
875	322
876	3232
877	224
878	1197
879	270
880	14011
881	225
882	1677
883	216
884	3333
885	445
886	1275
887	221
888	4786
889	211
890	1908
891	361
892	2432
893	224
894	1332
895	342
896	3763
897	329
898	1198
899	210
900	4774
901	241
902	2000
903	257
904	2911
905	329
906	1421
907	206
908	2206
909	228
910	1848
911	208
912	5071
913	339
914	1051
915	284
916	2214
917	238
918	1241
919	173
920	4001
921	251
922	1077
923	238
924	4859
925	285
926	1010
927	202
928	2883
929	229
930	1517
931	184
932	2142
933	176
934	994
935	1018
936	4330
937	167
938	912
939	201
940	2629
941	169
942	1155
943	173
944	2619
945	338
946	1501
947	155
948	2527
949	191
950	1121
951	187
952	2505
953	158
954	1148
955	215
956	1959
957	356
958	800
959	169
960	16881
961	162
962	1356
963	211
964	2367
965	820
966	1268
967	167
968	4910
969	235
970	2618
971	167
972	2876
973	215
974	1025
975	614
976	3255
977	195
978	1226
979	362
980	3872
981	243
982	926
983	203
984	3627
985	315
986	902
987	248
988	2608
989	172
990	5232
991	161
992	2879
993	207
994	1051
995	236
996	2447
997	162
998	972
999	198
1000	3674
1001	321
1002	1056
1003	166
1004	1972
1005	357
1006	920
1007	141
1008	4528
1009	150
1010	1167
1011	163
1012	2978
1013	180
1014	1305
1015	203
1016	2324
1017	181
1018	844
1019	159
1020	3232
1021	154
1022	842
1023	309
1024	2503
1025	208
1026	996
1027	193
1028	1835
1029	224
1030	972
1031	136
1032	2992
1033	150
1034	1425
1035	219
1036	1682
1037	138
1038	970
1039	138
1040	3768
1041	192
1042	792
1043	130
1044	2106
1045	575
1046	731
1047	145
1048	2112
1049	148
1050	1331
1051	150
1052	1412
1053	171
1054	673
1055	137
1056	5374
1057	149
1058	772
1059	149
1060	1915
1061	139
1062	816
1063	145
1064	2061
1065	186
1066	876
1067	223
1068	1876
1069	130
1070	798
1071	156
1072	1972
1073	123
1074	791
1075	162
1076	1395
1077	134
1078	1225
1079	149
1080	5964
1081	143
1082	671
1083	153
1084	1424
1085	273
1086	868
1087	124
1088	1886
1089	241
1090	1071
1091	137
1092	2365
1093	147
1094	693
1095	250
1096	1943
1097	131
1098	810
1099	132
1100	4194
1101	167
1102	682
1103	125
1104	3105
1105	216
1106	655
1107	145
1108	1554
1109	112
1110	1059
1111	273
1112	1866
1113	159
1114	631
1115	139
1116	1753
1117	127
1118	807
1119	143
1120	2506
1121	115
1122	1277
1123	126
1124	1354
1125	224
1126	664
1127	98
1128	2692
1129	103
1130	732
1131	189
1132	1272
1133	204
1134	845
1135	128
1136	1885
1137	135
1138	681
1139	118
1140	2016
1141	100
1142	567
1143	138
1144	2877
1145	128
1146	691
1147	111
1148	1246
1149	131
1150	695
1151	94
1152	3119
1153	113
1154	560
1155	425
1156	1232
1157	143
1158	656
1159	106
1160	1943
1161	120
1162	550
1163	126
1164	1458
1165	118
1166	1008
1167	121
1168	1586
1169	89
1170	1035
1171	115
1172	1211
1173	133
1174	506
1175	106
1176	2440
1177	186
1178	554
1179	116
1180	1295
1181	104
1182	664
1183	125
1184	1483
1185	120
1186	539
1187	91
1188	2105
1189	94
1190	602
1191	116
1192	1348
1193	103
1194	568
1195	114
