Pay	Frequency
0	782103478
2	9947263
4	17365067
5	9018686
6	2639647
7	647424
8	13769083
9	876331
10	15185940
11	151498
12	4648074
13	952550
14	2344188
15	2278506
16	7147526
17	399972
18	2571970
19	296788
20	15425050
21	549002
22	1618672
23	391268
24	3984167
25	1145559
26	1515429
27	191797
28	2330095
29	346657
30	4931641
31	251567
32	3125725
33	218517
34	1245212
35	440106
36	1971913
37	236930
38	978927
39	199009
40	10035163
41	168454
42	1106667
43	128032
44	1697336
45	1082731
46	824563
47	149374
48	2082125
49	163555
50	2014065
51	110547
52	1118433
53	188505
54	657381
55	389595
56	1159331
57	122497
58	599650
59	99150
60	4572357
61	115448
62	573844
63	113342
64	1229975
65	406206
66	567350
67	83171
68	889746
69	118577
70	1082938
71	79488
72	954477
73	90487
74	428588
75	184583
76	693428
77	109838
78	412565
79	76507
80	4391930
81	76292
82	435586
83	62639
84	777435
85	455948
86	321311
87	71206
88	844547
89	75455
90	1331966
91	51820
92	549724
93	79481
94	321324
95	204313
96	763749
97	61208
98	310223
99	68084
100	1344934
101	69865
102	275196
103	52780
104	470622
105	163080
106	270956
107	44387
108	423545
109	53216
110	669138
111	48612
112	403938
113	46620
114	242249
115	91979
116	340083
117	47422
118	205528
119	38409
120	2511636
121	44667
122	239361
123	35312
124	400008
125	242291
126	208298
127	39464
128	422118
129	45767
130	541923
131	32360
132	412865
133	43202
134	181894
135	124063
136	335574
137	36166
138	182197
139	32555
140	646092
141	37260
142	158026
143	49254
144	380892
145	83413
146	149706
147	29725
148	245904
149	37438
150	329556
151	29382
152	252651
153	30060
154	188379
155	54365
156	224934
157	29525
158	129656
159	29392
160	1342310
161	25979
162	157033
163	23068
164	245454
165	169690
166	115487
167	26386
168	257775
169	30231
170	334048
171	22414
172	181371
173	28909
174	112162
175	72180
176	302800
177	24122
178	109413
179	21096
180	727947
181	24971
182	101601
183	22450
184	199634
185	75975
186	102537
187	27223
188	172256
189	24738
190	226756
191	20843
192	222215
193	20192
194	92186
195	45352
196	151982
197	21659
198	136086
199	19183
200	661809
201	19404
202	95333
203	17615
204	153859
205	65852
206	80400
207	18030
208	144652
209	24073
210	185765
211	15897
212	123720
213	18764
214	71507
215	35310
216	144912
217	16874
218	68706
219	15054
220	366234
221	16481
222	69978
223	14162
224	123225
225	34217
226	63551
227	13402
228	114943
229	15169
230	112920
231	24146
232	105996
233	13870
234	60804
235	23411
236	96184
237	13750
