Pay	Frequency
0	993853471
2	2515
4	21832
5	1960
6	12281
7	67
8	24120
9	432
10	9140
11	130
12	26538
13	333
14	4963
15	2224
16	22378
17	337
18	7505
19	513
20	14276
21	2527
22	7381
23	1118
24	30733
25	512
26	5129
27	901
28	10159
29	587
30	9933
31	1734
32	16260
33	485
34	5886
35	723
36	16820
37	779
38	5558
39	1176
40	14650
41	845
42	7266
43	574
44	13906
45	1936
46	6806
47	1263
48	24525
49	959
50	6075
51	817
52	11506
53	1119
54	5691
55	1396
56	13778
57	777
58	6064
59	994
60	12038
61	1424
62	5784
63	1359
64	13337
65	1331
66	5215
67	726
68	12188
69	856
70	5724
71	1102
72	17428
73	1046
74	6212
75	1095
76	10224
77	1198
78	5052
79	959
80	13228
81	1142
82	5733
83	925
84	10792
85	1141
86	5736
87	1133
88	12006
89	1046
90	7827
91	739
92	11166
93	1032
94	5252
95	1213
96	14790
97	991
98	6025
99	1131
100	10182
101	1221
102	5227
103	1070
104	11781
105	1398
106	5474
107	1014
108	8932
109	972
110	6079
111	1146
112	10877
113	1094
114	5166
115	1088
116	9440
117	1060
118	5214
119	1027
120	11708
121	986
122	5772
123	1178
124	8954
125	1191
126	5686
127	1066
128	10600
129	1178
130	5990
131	1139
132	9138
133	970
134	5091
135	1397
136	10055
137	1000
138	5394
139	1030
140	9021
141	1136
142	5145
143	1178
144	11910
145	1015
146	5389
147	1133
148	8617
149	1102
150	5221
151	1125
152	9619
153	1114
154	5231
155	1124
156	8146
157	1070
158	4779
159	1055
160	9392
161	1102
162	5113
163	1025
164	8329
165	1182
166	4949
167	1049
168	9473
169	1054
170	5211
171	1074
172	8090
173	1060
174	5340
175	1041
176	8972
177	1107
178	5011
179	1028
180	9699
181	1111
182	4949
183	1145
184	8497
185	1110
186	4967
187	1013
188	7653
189	1130
190	5038
191	978
192	10146
193	1034
194	4957
195	1125
196	7687
197	1139
198	5120
199	1116
200	8627
201	1066
202	4936
203	1071
204	7271
205	1116
206	4711
207	1069
208	8126
209	1076
210	4872
211	1139
212	7524
213	1063
214	4612
215	1097
216	8353
217	1059
218	4955
219	1054
220	7548
221	1071
222	4902
223	1150
224	8105
225	1073
226	4686
227	1001
228	6969
229	1035
230	4850
231	1077
232	7594
233	1093
234	4781
235	1051
236	7391
237	1056
238	4331
239	1051
240	8334
241	1081
242	4633
243	991
244	6851
245	1153
246	4711
247	1051
248	8091
249	1129
250	4639
251	1053
252	7566
253	1035
254	4635
255	1093
256	7524
257	1103
258	4498
259	965
260	6996
261	1041
262	4495
263	1072
264	7192
265	1051
266	4499
267	1046
268	6615
269	1050
270	4594
271	1096
272	7403
273	1154
274	4496
275	1012
276	6463
277	1033
278	4417
279	1018
280	7166
281	1030
282	4317
283	1047
284	6429
285	1117
286	4428
287	1079
288	7921
289	1006
290	4264
291	1068
292	6477
293	1080
294	4368
295	1003
296	7167
297	1025
298	4427
299	1027
300	6272
301	1070
302	4283
303	1053
304	6742
305	1043
306	4287
307	1028
308	6310
309	1000
310	4232
311	1047
312	6879
313	1063
314	4467
315	972
316	6112
317	1018
318	4169
319	998
320	6859
321	1061
322	4315
323	1031
324	6292
325	993
326	4221
327	1052
328	6559
329	1033
330	4247
331	988
332	6113
333	1020
334	3970
335	953
336	6857
337	976
338	4039
339	1009
340	6075
341	1032
342	4178
343	963
344	6398
345	1039
346	4158
347	1037
348	6042
349	996
350	4058
351	1041
352	6260
353	978
354	4177
355	967
356	5746
357	1007
358	3933
359	995
360	7252
361	1003
362	4091
363	994
364	5884
365	1010
366	4063
367	996
368	6188
369	1005
370	4047
371	983
372	5857
373	1008
374	4041
375	964
376	6049
377	1034
378	4147
379	1012
380	5650
381	1012
382	3915
383	964
384	6463
385	954
386	3877
387	911
388	5721
389	923
390	3937
391	1007
392	6146
393	969
394	3946
395	986
396	5453
397	1000
398	4001
399	931
400	6008
401	939
402	3865
403	943
404	5380
405	948
406	3888
407	1019
408	5805
409	974
410	3861
411	1010
412	5378
413	1003
414	3934
415	931
416	5790
417	962
418	3827
419	953
420	5329
421	952
422	3820
423	929
424	5767
425	999
426	3794
427	942
428	5353
429	1007
430	3793
431	958
432	5955
433	870
434	3856
435	956
436	5268
437	981
438	3811
439	951
440	5746
441	914
442	3735
443	950
444	5046
445	1011
446	3556
447	977
448	5576
449	1009
450	3666
451	978
452	5004
453	892
454	3690
455	941
456	5414
457	944
458	3624
459	931
460	5202
461	931
462	3740
463	990
464	5470
465	965
466	3711
467	971
468	4967
469	987
470	3623
471	893
472	5359
473	921
474	3552
475	935
476	4925
477	923
478	3628
479	907
480	5529
481	959
482	3607
483	955
484	5036
485	946
486	3665
487	947
488	5337
489	917
490	3709
491	999
492	4858
493	927
494	3650
495	937
496	5283
497	975
498	3591
499	931
500	4801
501	936
502	3544
503	933
504	5387
505	928
506	3611
507	975
508	4713
509	929
510	3631
511	934
512	5189
513	918
514	3507
515	978
516	4724
517	865
518	3560
519	862
520	4921
521	942
522	3457
523	920
524	4761
525	905
526	3458
527	913
528	5084
529	940
530	3489
531	938
532	4735
533	940
534	3447
535	914
536	5080
537	959
538	3289
539	894
540	4742
541	902
542	3403
543	981
544	4863
545	917
546	3380
547	861
548	4545
549	942
550	3487
551	913
552	4779
553	905
554	3430
555	958
556	4386
557	878
558	3327
559	929
560	4881
561	833
562	3302
563	948
564	4548
565	925
566	3293
567	863
568	4744
569	930
570	3417
571	876
572	4419
573	902
574	3261
575	902
576	4967
577	884
578	3208
579	935
580	4320
581	901
582	3229
583	951
584	4648
585	917
586	3196
587	871
588	4389
589	919
590	3137
591	840
592	4580
593	858
594	3275
595	876
596	4292
597	874
598	3214
599	900
600	4539
601	907
602	3175
603	862
604	4355
605	931
606	3145
607	904
608	4411
609	907
610	3169
611	805
612	4412
613	843
614	3282
615	900
616	4554
617	889
618	3160
619	859
620	4180
621	959
622	3139
623	891
624	4424
625	872
626	3240
627	853
628	4245
629	962
630	3222
631	870
632	4392
633	909
634	3175
635	867
636	4076
637	846
638	3141
639	845
640	4317
641	843
642	3178
643	874
644	4205
645	834
646	3114
647	857
648	4501
649	771
650	3150
651	878
652	3958
653	892
654	3153
655	864
656	4193
657	887
658	3121
659	849
660	4060
661	895
662	3077
663	834
664	4145
665	852
666	3017
667	825
668	3906
669	894
670	3049
671	859
672	4203
673	845
674	3085
675	834
676	4073
677	848
678	3062
679	880
680	4132
681	837
682	3061
683	878
684	3949
685	819
686	2904
687	817
688	3993
689	863
690	2982
691	804
692	3841
693	834
694	2952
695	862
696	4030
697	817
698	2938
699	893
700	3818
701	845
702	2992
703	854
704	4054
705	829
706	2844
707	797
708	3876
709	873
710	2894
711	857
712	3919
713	805
714	2993
715	853
716	3673
717	795
718	2929
719	814
720	4259
721	820
722	2847
723	808
724	3771
725	849
726	2947
727	800
728	4035
729	849
730	2900
731	834
732	3721
733	830
734	2913
735	819
736	3949
737	855
738	2883
739	814
740	3727
741	810
742	2926
743	857
744	3882
745	833
746	2953
747	797
748	3630
749	818
750	2869
751	862
752	3908
753	841
754	3011
755	790
756	3700
757	803
758	2707
759	797
760	3835
761	819
762	2811
763	811
764	3603
765	862
766	2877
767	831
768	3893
769	798
770	2765
771	807
772	3637
773	871
774	2856
775	771
776	3825
777	773
778	2737
779	849
780	3486
781	812
782	2745
783	763
784	3753
785	861
786	2747
787	784
788	3614
789	818
790	2730
791	758
792	3718
793	843
794	2743
795	810
796	3667
797	834
798	2800
799	755
800	3745
801	787
802	2725
803	813
804	3493
805	834
806	2754
807	759
808	3504
809	793
810	2688
811	815
812	3334
813	767
814	2689
815	846
816	3520
817	754
818	2684
819	849
820	3292
821	810
822	2681
823	827
824	3566
825	806
826	2659
827	748
828	3428
829	790
830	2656
831	748
832	3495
833	783
834	2638
835	779
836	3339
837	750
838	2666
839	715
840	3484
841	828
842	2639
843	878
844	3361
845	787
846	2682
847	791
848	3456
849	791
850	2596
851	726
852	3320
853	755
854	2593
855	751
856	3474
857	798
858	2572
859	769
860	3253
861	800
862	2651
863	770
864	3542
865	761
866	2598
867	782
868	3275
869	811
870	2648
871	757
872	3334
873	744
874	2593
875	798
876	3378
877	699
878	2545
879	756
880	3302
881	774
882	2577
883	819
884	3345
885	778
886	2498
887	746
888	3338
889	809
890	2612
891	779
892	3213
893	803
894	2607
895	730
896	3360
897	761
898	2566
899	774
900	3168
901	764
902	2528
903	763
904	3330
905	765
906	2557
907	750
908	3145
909	816
910	2508
911	751
912	3287
913	746
914	2456
915	726
916	3166
917	764
918	2496
919	733
920	3222
921	775
922	2431
923	753
924	3215
925	767
926	2475
927	790
928	3173
929	775
930	2518
931	735
932	3086
933	800
934	2449
935	765
936	3185
937	717
938	2490
939	758
940	3053
941	769
942	2410
943	712
944	3255
945	703
946	2424
947	759
948	3067
949	765
950	2442
951	746
952	3079
953	698
954	2311
955	752
956	3112
957	802
958	2467
959	727
960	3200
961	749
962	2412
963	744
964	2968
965	789
966	2326
967	742
968	3261
969	715
970	2352
971	723
972	3029
973	798
974	2328
975	738
976	3061
977	762
978	2433
979	731
980	3000
981	700
982	2321
983	708
984	3038
985	703
986	2362
987	776
988	3037
989	704
990	2387
991	702
992	3011
993	734
994	2258
995	720
996	2874
997	718
998	2243
999	710
1000	3003
1001	722
1002	2221
1003	709
1004	2877
1005	689
1006	2369
1007	710
1008	3155
1009	713
1010	2315
1011	732
1012	2977
1013	726
1014	2278
1015	702
1016	2953
1017	694
1018	2376
1019	719
1020	2906
1021	695
1022	2245
1023	703
1024	3063
1025	707
1026	2271
1027	694
1028	2831
1029	743
1030	2225
1031	687
1032	2978
1033	718
1034	2308
1035	701
1036	2874
1037	698
1038	2269
1039	710
1040	2946
1041	713
1042	2196
1043	677
1044	2752
1045	724
1046	2297
1047	667
1048	2883
1049	765
1050	2192
1051	670
1052	2755
1053	698
1054	2175
1055	655
1056	2972
1057	718
1058	2212
1059	701
1060	2769
1061	677
1062	2267
1063	670
1064	2890
1065	733
1066	2228
1067	702
1068	2753
1069	689
1070	2306
1071	664
1072	2819
1073	718
1074	2269
1075	677
1076	2727
1077	662
1078	2149
1079	714
1080	2981
1081	661
1082	2158
1083	654
1084	2735
1085	692
1086	2188
1087	669
1088	2830
1089	639
1090	2206
1091	689
1092	2761
1093	690
1094	2133
1095	704
1096	2797
1097	684
1098	2264
1099	686
1100	2789
1101	695
1102	2166
1103	691
1104	2706
1105	646
1106	2164
1107	704
1108	2748
1109	691
1110	2163
1111	699
1112	2714
1113	626
1114	2164
1115	657
1116	2650
1117	697
1118	2047
1119	652
1120	2662
1121	681
1122	2095
1123	640
1124	2581
1125	691
1126	2127
1127	671
1128	2820
1129	687
1130	2126
1131	631
1132	2618
1133	718
1134	2203
1135	669
1136	2827
1137	692
1138	2081
1139	670
1140	2632
1141	643
1142	2076
1143	663
1144	2678
1145	663
1146	2135
1147	657
1148	2576
1149	667
1150	2123
1151	684
1152	2751
1153	663
1154	2128
1155	640
1156	2607
1157	681
1158	2072
1159	652
1160	2606
1161	661
1162	2001
1163	682
1164	2482
1165	701
1166	1995
1167	714
1168	2584
1169	691
1170	2044
1171	646
1172	2550
1173	635
1174	1984
1175	681
1176	2623
1177	687
1178	2040
