Pay	Frequency
0	782103478
2	14755577
4	28215683
5	12267392
6	3895767
7	1079477
8	23984060
9	628636
10	21265931
11	144770
12	6744807
13	569610
14	2346430
15	2854296
16	11643080
17	186532
18	1644684
19	159550
20	20227994
21	381583
22	798909
23	153935
24	4816554
25	367386
26	628466
27	44241
28	1684867
29	81425
30	5111257
31	60272
32	3668007
33	32466
34	399613
35	98054
36	1230787
37	47909
38	236371
39	35904
40	12266439
41	9344
42	477914
43	4621
44	839043
45	526168
46	161856
47	17386
48	1975660
49	12751
50	508896
51	15112
52	298420
53	26353
54	129311
55	109694
56	570420
57	16078
58	63535
59	948
60	4849145
61	6188
62	104219
63	24436
64	733161
65	71238
66	165727
67	3717
68	229043
69	20839
70	147470
71	1224
72	507061
73	867
74	33526
75	17172
76	121922
77	41513
78	56005
79	841
80	4879401
81	6065
82	52514
83	219
84	245813
85	80310
86	8600
87	8170
88	504808
89	1033
90	715491
91	186
92	62364
93	8770
94	22847
95	16107
96	501566
97	548
98	17450
99	17145
100	480810
101	3161
102	30834
103	188
104	53395
105	7834
106	15195
107	122
108	65515
109	123
110	233205
111	4270
112	82130
113	252
114	20747
115	683
116	15195
117	3423
118	1185
119	51
120	2904962
121	6653
122	34873
123	1225
124	69077
125	43855
126	26261
127	1554
128	119122
129	1395
130	67163
131	106
132	206859
133	294
134	4100
135	33573
136	51643
137	216
138	12902
139	304
140	76132
141	2174
142	1361
143	17370
144	178214
145	977
146	1798
147	1688
148	9223
149	1070
150	56057
151	73
152	24511
153	574
154	70807
155	783
156	18700
157	21
158	799
159	1727
160	1370679
161	5
162	16444
163	5
164	23410
165	64518
166	863
167	268
168	64881
169	398
170	34168
171	658
172	3562
173	89
174	3630
175	2695
176	213164
177	259
178	630
179	26
180	549479
181	25
182	4656
183	904
184	13583
185	6127
186	6099
187	7854
188	9686
189	859
190	13916
191	17
192	108160
193	19
194	705
195	2172
196	7143
197	323
198	60688
199	10
200	472682
201	634
202	3667
203	6
204	15684
205	6907
206	358
207	467
208	6490
209	7247
210	17381
211	9
212	3193
213	266
214	153
215	1087
216	36564
217	13
218	168
219	151
220	180958
221	383
222	1696
223	3
224	6859
225	935
226	222
228	8439
229	9
230	2193
231	13549
232	1342
233	2
234	2605
235	26
236	326
237	193
238	51
240	1169576
241	2
242	31269
243	137
244	21118
245	16119
246	2698
247	558
248	21553
249	172
250	24481
251	8
252	14638
253	7973
254	1306
255	2554
256	15943
257	30
258	957
259	10
260	25058
261	233
262	131
263	6
264	100725
265	196
266	133
267	110
268	1195
269	1
270	45884
271	2
272	5689
273	526
274	333
275	4864
276	5199
277	6
278	260
279	48
280	15956
282	1350
284	323
285	573
286	22765
287	1
288	49297
290	1323
291	111
292	693
293	173
294	1923
295	33
296	1235
297	2012
298	316
299	414
300	88854
301	1
302	394
303	89
304	1999
305	526
306	599
307	3
308	40458
309	56
310	2010
312	9992
313	1
314	25
315	534
316	145
317	1
318	678
319	3363
320	271062
321	30
322	2059
324	6722
325	2831
326	90
327	64
328	3103
329	18
330	68983
332	316
333	39
334	154
335	304
336	17819
337	2
338	943
339	23
340	6364
341	3455
342	245
344	385
345	48
346	34
348	1668
349	1
350	1013
351	207
352	44642
354	84
355	5
356	67
357	132
358	11
360	273201
362	1476
363	1105
364	4043
365	3312
366	2045
367	47
368	2652
369	13
370	4330
371	1
372	4744
373	4
374	14427
375	797
376	1817
377	156
378	1655
379	1
380	5027
381	249
382	27
383	1
384	19350
385	1727
386	34
387	54
388	200
389	14
390	1981
392	996
393	16
394	69
395	1
396	21648
398	9
399	144
400	374405
402	2940
403	251
404	2918
405	7971
406	181
407	2139
408	7561
409	32
410	9227
411	44
412	225
413	8
414	212
415	948
416	1394
417	36
418	8415
419	1
420	11711
421	4
422	18
423	31
424	295
425	75
426	88
428	67
429	1138
430	1439
432	12479
433	1
434	43
435	35
436	65
437	36
438	112
440	80675
441	203
442	626
444	1046
445	121
446	2
447	11
448	420
449	1
450	5471
451	457
452	64
453	21
454	26
455	96
456	3758
458	8
459	2
460	1587
462	10567
464	48
465	22
468	1372
470	184
471	8
472	35
473	302
474	29
475	2
476	30
477	6
478	1
480	315588
481	94
482	2192
483	185
484	13131
485	3394
486	486
487	38
488	3984
489	11
490	5928
491	1
492	983
493	5
494	636
495	7090
496	2305
498	105
499	3
500	5233
501	26
502	10
504	5393
505	39
506	4417
507	110
508	185
510	982
512	1030
513	2
514	16
515	4
516	327
517	945
518	17
519	5
520	3896
522	45
524	47
525	144
526	2
527	1
528	24397
529	4
530	102
531	4
532	34
533	37
534	17
535	6
536	83
537	2
538	1
539	664
540	28880
542	93
543	4
544	333
545	255
546	1035
547	1
548	124
549	6
550	6953
552	2365
554	6
555	75
556	66
558	61
559	39
560	1701
561	228
562	2
564	724
565	12
567	66
568	14
570	247
572	4660
573	4
574	5
576	8653
578	15
579	1
580	442
581	17
582	35
583	953
584	57
585	62
586	23
588	1106
589	1
590	16
591	1
592	37
594	1535
595	1
596	27
597	4
598	350
600	90352
601	1
602	454
603	5
604	507
605	1750
606	129
607	9
608	262
609	65
610	1617
611	55
612	261
614	17
615	160
616	6626
617	2
618	16
620	1942
621	6
622	4
624	2083
625	5
626	1
627	230
628	9
630	717
632	12
635	6
636	317
637	32
638	1255
639	1
640	32695
642	194
644	683
645	201
646	2
647	5
648	1619
649	66
650	669
651	85
652	27
653	5
654	25
655	12
656	149
658	12
660	52071
661	1
662	1
663	28
664	34
665	4
666	7
668	20
670	71
671	367
672	2470
675	5
676	227
678	8
680	786
682	3108
684	160
685	5
686	7
688	17
689	35
690	34
692	2
693	320
696	525
699	1
700	166
702	155
704	7739
705	1
708	52
710	2
711	1
713	3
714	250
715	1157
720	94467
722	517
724	820
725	973
726	1488
727	9
728	749
729	3
730	1440
731	1
732	716
734	26
735	221
736	288
737	257
738	72
740	1070
741	63
742	8
743	1
744	1525
745	12
746	5
747	9
748	4103
750	381
752	118
753	5
754	83
755	4
756	654
758	1
759	167
760	702
762	40
764	2
765	51
767	7
768	2878
770	2486
771	1
772	4
774	13
776	9
777	48
778	5
780	571
781	63
782	5
783	2
784	43
785	2
786	8
788	7
789	3
790	5
792	5649
793	27
795	5
796	5
798	150
800	194369
802	1453
803	52
804	1895
805	3089
806	227
807	24
808	898
809	6
810	6009
811	3
812	124
813	4
814	746
815	443
816	1912
817	2
818	11
819	37
820	3681
821	2
822	22
823	1
824	74
825	374
826	4
828	108
830	658
832	276
833	1
834	11
835	4
836	2096
837	1
838	1
840	3019
842	4
844	9
845	67
846	8
847	142
848	28
849	1
850	106
852	51
854	1
855	6
856	6
858	462
860	537
861	10
862	3
864	2466
865	4
866	4
868	24
869	60
870	28
871	21
872	8
874	8
875	2
876	34
878	1
879	1
880	30067
882	175
884	212
885	4
888	314
890	63
891	35
892	1
894	1
896	30
897	13
900	8356
902	1524
903	13
904	30
905	40
906	15
908	14
910	192
912	911
913	15
914	1
915	6
918	2
920	487
923	3
924	3103
925	1
928	2
930	21
932	1
935	882
936	380
938	2
940	100
942	1
943	1
944	2
945	34
946	268
948	39
949	1
950	15
952	9
954	1
957	75
960	54695
962	358
964	844
965	399
966	174
967	5
968	1486
969	2
970	850
971	1
972	116
974	13
975	94
976	215
977	2
978	12
979	48
980	807
981	4
982	2
984	480
985	3
986	2
987	19
988	149
990	8558
992	97
994	1
996	14
999	1
1000	643
1001	25
1002	2
1004	4
1005	6
1008	1138
1010	11
1011	1
1012	747
1014	40
1016	11
1020	189
1022	1
1023	19
1024	39
1026	2
1027	9
1028	2
1029	10
1030	2
1032	137
1034	597
1035	1
1036	6
1040	293
1044	48
1045	275
1050	87
1053	1
1054	3
1056	3486
1058	2
1060	25
1064	15
1066	45
1067	45
1068	20
1070	2
1071	6
1072	3
1078	525
1079	3
1080	11926
1081	1
1082	52
1084	68
1085	108
1086	69
1087	2
1088	55
1089	23
1090	142
1092	277
1094	1
1095	26
1096	21
1098	6
1100	4515
1101	3
1102	1
1104	332
1105	7
1107	1
1110	49
1111	70
1112	5
1113	22
1116	32
1118	20
1120	115
1122	231
1124	2
1125	8
1128	262
1130	6
1131	5
1133	12
1134	33
1136	1
1140	84
1143	1
1144	386
1146	1
1148	4
