Pay	Frequency
0	777871889
2	9863897
4	17235122
5	8937268
6	2624403
7	645365
8	13676076
9	872914
10	15046429
11	151377
12	4634370
13	948710
14	2339455
15	2245237
16	7107117
17	398974
18	2568213
19	296166
20	15287851
21	547850
22	1618036
23	390569
24	3977138
25	1134389
26	1514355
27	191926
28	2329984
29	345606
30	4870880
31	251833
32	3116884
33	218350
34	1245601
35	435209
36	1976820
37	236280
38	981046
39	199354
40	9946048
41	168624
42	1107950
43	128223
44	1700794
45	1068473
46	828025
47	149697
48	2083876
49	163789
50	1996298
51	111057
52	1124809
53	188359
54	660905
55	385090
56	1167273
57	122857
58	602847
59	99794
60	4520983
61	116467
62	577167
63	114164
64	1233692
65	402430
66	570856
67	83761
68	896316
69	119058
70	1074373
71	80392
72	962820
73	91254
74	433070
75	183091
76	700826
77	110554
78	416380
79	77314
80	4355062
81	77355
82	439393
83	63409
84	783879
85	451357
86	325948
87	72006
88	851369
89	76305
90	1315525
91	52638
92	557689
93	80356
94	325471
95	201876
96	769688
97	62077
98	314916
99	69035
100	1336105
101	70777
102	279487
103	53756
104	479465
105	162055
106	275232
107	45363
108	430455
109	54254
110	666138
111	49612
112	412253
113	47712
114	246803
115	91747
116	347757
117	48535
118	210287
119	39514
120	2487519
121	45727
122	243983
123	36457
124	406639
125	240074
126	213209
127	40540
128	429238
129	46959
130	540123
131	33521
132	419925
133	44230
134	186519
135	122669
136	343326
137	37230
138	186920
139	33620
140	644934
141	38439
142	162762
143	50373
144	387878
145	83275
146	154682
147	30906
148	253268
149	38384
150	329938
151	30604
152	260728
153	31274
154	192898
155	54687
156	231902
157	30734
158	134237
159	30474
160	1334081
161	27265
162	161631
163	24182
164	252015
165	168665
166	120164
167	27510
168	265131
169	31345
170	333656
171	23587
172	188330
173	30071
174	117076
175	71803
176	309872
177	25330
178	114166
179	22193
180	722150
181	26183
182	106154
183	23723
184	206470
185	76072
186	107364
187	28383
188	178827
189	25994
190	227666
191	22002
192	229403
193	21339
194	96859
195	45772
196	158744
197	22866
198	140811
199	20423
200	661418
201	20562
202	99882
203	18859
204	160099
205	65970
206	84896
207	19215
208	151663
209	25276
210	187953
211	17116
212	130405
213	19981
214	76049
215	35889
216	151759
217	18071
218	73461
219	16219
220	368696
221	17698
222	74636
223	15452
224	130235
225	34872
226	68106
227	14547
228	121383
229	16383
230	116229
231	25320
232	112730
233	15148
