Pay	Frequency
0	912615585
2	1898409
4	4116997
5	2891111
6	702092
7	179313
8	4286727
9	131633
10	4611300
11	49494
12	1984688
13	123606
14	820581
15	767814
16	3274072
17	91398
18	764504
19	101614
20	4877642
21	209799
22	545766
23	107505
24	2328814
25	243941
26	493577
27	75008
28	1222271
29	95607
30	1764791
31	78701
32	1962882
33	73973
34	472321
35	127999
36	1127310
37	68087
38	388850
39	65242
40	3426790
41	43961
42	548410
43	39541
44	893318
45	309065
46	340161
47	49228
48	1597317
49	43024
50	621951
51	58240
52	695451
53	59741
54	325653
55	144150
56	841067
57	51301
58	273871
59	30252
60	1870151
61	40650
62	265561
63	64777
64	869644
65	107488
66	294888
67	26869
68	542255
69	54867
70	357096
71	28171
72	807857
73	28799
74	190990
75	66259
76	459816
77	44424
78	240524
79	29556
80	1645669
81	36671
82	171819
83	21828
84	526206
85	114613
86	144075
87	41116
88	602472
89	24340
90	531976
91	20317
92	378934
93	44955
94	149265
95	66582
96	689258
97	20314
98	141247
99	31128
100	579039
101	26518
102	169906
103	21061
104	373259
105	57970
106	131237
107	15365
108	332412
109	20482
110	281011
111	28259
112	338011
113	17435
114	141963
115	30184
116	235647
117	28625
118	99396
119	15604
120	1094633
121	17305
122	115441
123	19079
124	248103
125	61224
126	135264
127	16738
128	328427
129	20546
130	190582
131	12849
132	308015
133	16103
134	89984
135	49211
136	272167
137	13212
138	117477
139	12888
140	294870
141	22756
142	77803
143	19012
144	354312
145	27110
146	75092
147	17147
148	161581
149	15088
150	138866
151	13866
152	215192
153	16820
154	100180
155	19450
156	186390
157	12342
158	66348
159	18526
160	572904
161	10804
162	86845
163	10105
164	137562
165	61839
166	57013
167	12042
168	235909
169	11393
170	125009
171	12786
172	118778
173	12395
174	70425
175	25144
176	248174
177	11839
178	55040
179	9370
180	363838
181	10975
182	55031
183	13392
184	157209
185	22516
186	68644
187	13622
188	112430
189	13499
190	83880
191	9991
192	237323
193	8291
194	46472
195	21366
196	108752
197	9550
198	74756
199	9199
200	281977
201	11026
202	45428
203	8239
204	120095
205	18730
206	41073
207	10992
208	129744
209	12017
210	77979
211	7517
212	91233
213	10705
214	37717
215	12214
216	136999
217	6906
218	35440
219	8262
220	200928
221	8933
222	44434
223	7093
224	103508
225	13648
226	33650
227	6283
228	99196
229	6499
230	44645
231	15405
232	86583
233	6190
234	41197
235	8755
236	70288
237	8088
238	28034
239	6567
240	457564
241	5697
242	49854
243	7570
244	82429
245	23583
246	36234
247	8116
248	97524
249	7256
250	72389
251	5441
252	91740
253	9593
254	29360
255	16767
256	96764
257	5831
258	33480
259	5375
260	116614
261	8121
262	25060
263	5623
264	144340
265	10527
266	25547
267	5939
268	60789
269	5839
270	62800
271	5093
272	82537
273	6687
274	24288
275	11415
276	67018
277	4844
278	24159
279	5794
280	104730
281	4716
282	29004
283	4684
284	49997
285	10267
286	41162
287	4499
288	111103
289	4362
290	31590
291	5328
292	46741
293	4875
294	28007
295	6252
296	56835
297	6859
298	21144
299	4917
300	91991
301	4325
302	21747
303	5118
304	56258
305	6769
306	23735
307	3944
308	65070
309	5044
310	26360
311	3785
312	73589
313	3985
314	17795
315	5912
316	39207
317	3824
318	23680
319	6563
320	138625
321	4049
322	18343
323	3503
324	46373
325	9931
326	16506
327	4273
328	44594
329	3640
330	66150
331	3319
332	34265
333	4304
334	16958
335	6671
336	68069
337	3203
338	19494
339	3694
340	51532
341	6164
342	18336
343	3417
344	37348
345	5517
346	15613
347	2909
348	35992
349	3139
350	22558
351	4040
352	63927
353	3113
354	16691
355	3775
356	28904
357	3821
358	13438
359	2811
360	148791
361	2706
362	13833
363	4724
364	36020
365	7430
366	17542
367	3054
368	40601
369	3326
370	23189
371	2767
372	38775
373	2732
374	24314
375	6154
376	38802
377	3424
378	17322
379	2746
380	41448
381	3382
382	13197
383	2589
384	62887
385	6059
386	11769
387	3024
388	26583
389	2651
390	24729
391	2581
392	36132
393	2850
394	11624
395	3111
396	46521
397	2387
398	12161
399	2805
400	126611
401	2480
402	14390
403	3338
404	25541
405	8185
406	11544
407	3914
408	45499
409	2321
410	21604
411	2606
412	23242
413	2516
414	12994
415	4291
416	35017
417	2622
418	17458
419	2040
420	45073
421	2127
422	10283
423	2590
424	26966
425	3788
426	11964
427	1906
428	20049
429	4319
430	14197
431	1952
432	41896
433	1985
434	9289
435	2911
436	18896
437	2178
438	10858
439	2024
440	77366
441	2325
442	11502
443	1688
444	23076
445	3700
446	8401
447	2266
448	25825
449	1995
450	15424
451	2707
452	18176
453	2269
454	7529
455	2747
456	30361
457	1636
458	7518
459	1900
460	22935
461	1888
462	17179
463	1643
464	20743
465	2661
466	7462
467	1534
468	21764
469	1626
470	9571
471	1791
472	18707
473	2516
474	8618
475	1995
476	14108
477	2020
478	6940
479	1396
480	134487
481	1925
482	8556
483	1734
484	27731
485	7255
486	9247
487	1595
488	24901
489	1912
490	21679
491	1358
492	19363
493	1569
494	9580
495	8473
496	23583
497	1753
498	8519
499	1483
500	29583
501	2026
502	6914
503	1495
504	30869
505	2805
506	11995
507	2152
508	14402
509	1527
510	15043
511	1430
512	21006
513	1531
514	6979
515	1990
516	16511
517	2341
518	6364
519	1574
520	32922
521	1350
522	7985
523	1321
524	12903
525	2983
526	5810
527	1258
528	40219
529	1231
530	9006
531	1389
532	12971
533	1777
534	6814
535	1653
536	16697
537	1383
538	5909
539	1935
540	31049
541	1317
542	5422
543	1415
544	16781
545	1983
546	8866
547	1176
548	11796
549	1483
550	14150
551	1094
552	22109
553	1040
554	5512
555	1814
556	12393
557	1175
558	6596
559	1322
560	22132
561	1919
562	5048
563	1064
564	14202
565	1666
566	5143
567	1266
568	14195
569	1060
570	8600
571	1055
572	19296
573	1304
574	4912
575	1279
576	25031
577	957
578	4770
579	1139
580	13595
581	1082
582	5760
583	1997
584	12223
585	2030
586	4671
587	924
588	13885
589	947
590	5452
591	1162
592	12543
593	1113
594	8190
595	1057
596	9632
597	1178
598	6035
599	896
600	40397
601	932
602	4666
603	1034
604	9775
605	3057
606	5079
607	857
608	11489
609	1131
610	6944
611	1194
612	11232
613	862
614	3976
615	1516
616	17813
617	933
618	4953
619	852
620	12646
621	1136
622	3562
623	822
624	19344
625	1252
626	3807
627	1398
628	8068
629	841
630	6483
631	829
632	9703
633	940
634	3682
635	1064
636	9987
637	995
638	6264
639	838
640	23759
641	788
642	4558
643	818
644	8166
645	1684
646	3490
647	685
648	13099
649	1174
650	6313
651	870
652	7097
653	835
654	4288
655	1215
656	9550
657	929
658	3615
659	668
660	33539
661	718
662	3458
663	986
664	9182
665	1027
666	3934
667	753
668	7564
669	892
670	4440
671	1107
672	15547
673	658
674	3162
675	1034
676	8446
