Pay	Frequency
0	805015212
2	10040095
4	18078866
5	7348435
6	3397203
7	668190
8	14953783
9	633577
10	13013597
11	140153
12	5696582
13	559605
14	2716910
15	1954376
16	7792381
17	191748
18	2327186
19	265043
20	12533960
21	424425
22	1302011
23	288351
24	4807591
25	724689
26	1299860
27	143010
28	2607116
29	255269
30	4094103
31	173040
32	3274964
33	180940
34	1134638
35	304902
36	2195600
37	169617
38	932321
39	154099
40	7524251
41	117430
42	1030554
43	102040
44	1531429
45	680104
46	704691
47	107252
48	2503760
49	121935
50	1367945
51	85519
52	1128708
53	178010
54	650827
55	176196
56	1219648
57	93522
58	595732
59	64814
60	3751906
61	81290
62	500781
63	94884
64	1325058
65	253960
66	469346
67	54290
68	957698
69	94914
70	775139
71	48272
72	1143621
73	73794
74	397591
75	113457
76	711063
77	71687
78	404050
79	51652
80	3241110
81	50620
82	361064
83	48212
84	767028
85	249883
86	284432
87	51516
88	687495
89	47229
90	1024226
91	34697
92	520396
93	52117
94	287999
95	117727
96	893192
97	38607
98	278468
99	37633
100	990894
101	54906
102	260026
103	34360
104	471131
105	93947
106	266561
107	29319
108	440196
109	29984
110	384176
111	39257
112	409049
113	28730
114	211403
115	54974
116	351112
117	28627
118	172848
119	22471
120	2010706
121	25431
122	188818
123	22941
124	365875
125	150405
126	194488
127	21541
128	427396
129	28036
130	388643
131	20316
132	291714
133	27874
134	143535
135	88548
136	317188
137	19318
138	161494
139	19953
140	498838
141	25237
142	121034
143	22266
144	418395
145	51686
146	129171
147	17922
148	227775
149	26347
150	244257
151	17764
152	239474
153	17177
154	125613
155	37289
156	210148
157	14635
158	104749
159	20662
160	1027141
161	13624
162	118450
163	12687
164	212043
165	88582
166	95717
167	14022
168	234093
169	15866
170	238029
171	12775
172	153373
173	14438
174	96586
175	44206
176	174149
177	12084
178	82740
179	12236
180	633319
181	11497
182	78042
183	12532
184	176998
185	52298
186	83283
187	9636
188	149209
189	14758
190	168052
191	9451
192	223828
193	11629
194	72109
195	32108
196	129326
197	13712
198	72605
199	9987
200	446559
201	10347
202	74464
203	9026
204	130291
205	39523
206	60192
207	11441
208	122187
209	9198
210	136650
211	7581
212	108093
213	8813
214	55216
215	23345
216	134216
217	8296
218	52931
219	8111
220	198170
221	8509
222	58393
223	6639
224	99943
225	22900
226	49547
227	6747
228	92036
229	6480
230	82931
231	7396
232	88398
233	6270
234	48117
235	15530
236	73849
237	6958
238	40810
239	5601
240	775818
241	5409
242	49445
243	5750
244	101152
245	58540
246	46734
247	5849
248	105102
249	7814
250	141098
251	4917
252	80846
253	7326
254	39498
255	29124
256	89074
257	5591
258	41974
259	5372
260	176679
261	6802
262	34581
263	5529
264	77133
265	20121
266	34711
267	5260
268	57358
269	5392
270	116634
271	4676
272	64842
273	4735
274	34213
275	16060
276	57952
277	4548
278	31478
279	5198
280	147990
281	4082
282	33012
283	3997
284	48229
285	18861
286	29195
287	4014
288	97671
289	3875
290	60401
291	4033
292	46043
293	6000
294	29487
295	12162
296	49668
297	3896
298	29758
299	3249
300	129734
301	3250
302	24704
303	4755
304	48531
305	12555
306	25591
307	3002
308	43990
309	3738
310	47244
311	2906
312	45774
313	3702
314	21580
315	9707
316	35666
