Pay	Frequency
0	995046286
4	1678
6	12954
8	12885
10	2260
12	16813
14	2219
15	1872
16	23818
18	6505
19	28
20	7373
21	501
22	4197
23	306
24	16941
25	257
26	7514
27	446
28	9676
29	79
30	4813
31	430
32	25362
33	363
34	3857
35	596
36	12987
37	176
38	4821
39	413
40	12982
41	748
42	6512
43	216
44	10179
45	713
46	6930
47	613
48	19343
49	322
50	4444
51	474
52	12197
53	415
54	5416
55	726
56	16709
57	634
58	6108
59	405
60	10990
61	448
62	4651
63	598
64	19462
65	500
66	6520
67	430
68	10373
69	500
70	5752
71	552
72	16769
73	492
74	5804
75	755
76	10178
77	472
78	5317
79	507
80	14840
81	575
82	5822
83	530
84	10999
85	575
86	6238
87	571
88	13479
89	574
90	5836
91	574
92	10914
93	467
94	5632
95	726
96	19064
97	561
98	5424
99	573
100	9698
101	574
102	5806
103	584
104	13452
105	643
106	6375
107	611
108	10326
109	530
110	5431
111	686
112	14671
113	503
114	5501
115	655
116	10611
117	648
118	5188
119	574
120	14779
121	677
122	5235
123	621
124	9203
125	584
126	6629
127	593
128	14274
129	610
130	5656
131	647
132	10833
133	529
134	5220
135	821
136	12177
137	560
138	5969
139	620
140	9509
141	669
142	5329
143	612
144	14957
145	618
146	5497
147	668
148	9028
149	545
150	5674
151	618
152	12075
153	647
154	5538
155	704
156	9459
157	596
158	5430
159	652
160	12855
161	623
162	5459
163	621
164	9199
165	660
166	5763
167	640
168	12839
169	627
170	5246
171	654
172	9263
173	608
174	5401
175	670
176	12105
177	588
178	5390
179	659
180	9631
181	636
182	5159
183	641
184	10971
185	645
186	5581
187	641
188	8530
189	639
190	5388
191	606
192	14373
193	663
194	5227
195	677
196	8675
197	601
198	5217
199	595
200	10732
201	653
202	5288
203	605
204	8975
205	622
206	5139
207	645
208	11221
209	603
210	5131
211	630
212	8921
213	652
214	5108
215	703
216	11332
217	646
218	4927
219	612
220	8081
221	614
222	5190
223	626
224	10983
225	636
226	4966
227	654
228	8384
229	610
230	5084
231	677
232	10117
233	633
234	5029
235	622
236	8093
237	699
238	4946
239	647
240	11986
241	599
242	4855
243	638
244	7803
245	600
246	5297
247	646
248	9618
249	667
250	5037
251	631
252	8620
253	628
254	4805
255	718
256	10314
257	598
258	4923
259	672
260	8107
261	641
262	4796
263	608
264	10017
265	615
266	4667
267	604
268	7895
269	650
270	5036
271	607
272	9724
273	618
274	4767
275	682
276	8158
277	586
278	4694
279	673
280	8985
281	638
282	4767
283	619
284	7218
285	622
286	4735
287	571
288	10585
289	579
290	4558
291	651
292	7196
293	628
294	4560
295	589
296	8726
297	639
298	4777
299	615
300	7722
301	573
302	4512
303	632
304	9154
305	562
306	4730
307	661
308	7384
309	601
310	4683
311	623
312	8866
313	641
314	4410
315	638
316	7275
317	600
318	4624
319	619
320	9226
321	629
322	4313
323	648
324	7208
325	600
326	4566
327	632
328	8111
329	609
330	4500
331	612
332	7053
333	593
334	4399
335	638
336	9257
337	596
338	4260
339	679
340	6724
341	598
342	4163
343	583
344	7925
345	609
346	4185
347	582
348	6829
349	635
350	4260
351	654
352	8226
353	584
354	4278
355	580
356	6545
357	606
358	4196
359	626
360	8550
361	645
362	4100
363	608
364	6373
365	617
366	4450
367	589
368	7947
369	600
370	4218
371	673
372	6710
373	646
374	4179
375	663
376	7473
377	602
378	4223
379	561
380	6258
381	582
382	4087
383	636
384	8772
385	576
386	4184
387	572
388	6228
389	553
390	4128
391	576
392	7305
393	581
394	4273
395	626
396	6534
397	570
398	4093
399	588
400	7470
401	524
402	4032
403	590
404	6208
405	596
406	3954
407	584
408	7661
409	587
410	3979
411	612
412	6075
413	602
414	3958
415	542
416	7347
417	564
418	3939
419	598
420	6057
421	567
422	4077
423	570
424	6807
425	561
426	3937
427	598
428	5962
429	593
430	3829
431	617
432	7698
433	567
434	3831
435	581
436	5684
437	537
438	3780
439	587
440	6754
441	584
442	3801
443	579
444	5848
445	557
446	3878
447	578
448	7100
449	561
450	3881
451	597
452	5713
453	558
454	3601
455	582
456	6791
457	556
458	3683
459	600
460	5500
461	537
462	3936
463	592
464	6752
465	564
466	3626
467	586
468	5676
469	564
470	3596
471	608
472	6369
473	580
474	3730
475	522
476	5396
477	550
478	3628
479	592
480	7458
481	517
482	3623
483	531
484	5341
485	557
486	3874
487	585
488	6113
489	550
490	3723
491	564
492	5569
493	548
494	3587
495	563
496	6445
497	546
498	3677
499	546
500	5331
501	568
502	3438
503	534
504	6532
505	506
506	3490
507	550
508	5118
509	539
510	3681
511	546
512	6333
513	494
514	3524
515	551
516	5268
517	507
518	3406
519	527
520	5982
521	566
522	3498
523	550
524	5128
525	542
526	3520
527	536
528	6263
529	605
530	3436
531	557
532	5138
533	537
534	3371
535	514
536	5727
537	524
538	3366
539	530
540	5464
541	532
542	3352
543	526
544	5884
545	525
546	3462
547	516
548	5001
549	582
550	3384
551	553
552	5662
553	531
554	3268
555	538
556	5090
557	467
558	3441
559	553
560	5703
561	551
562	3335
563	524
564	4908
565	519
566	3347
567	528
568	5304
569	492
570	3276
571	549
572	4713
573	519
574	3335
575	498
576	6156
577	517
578	3148
579	514
580	4727
581	500
582	3239
583	526
584	5448
585	529
586	3319
587	524
588	4807
589	526
590	3228
591	546
592	5430
593	527
594	3162
595	523
596	4747
597	502
598	3149
599	517
600	5626
601	507
602	3137
603	522
604	4557
605	504
606	3221
607	539
608	5345
609	485
610	3088
611	538
612	4697
613	508
614	3296
615	508
616	5202
617	493
618	3207
619	520
620	4512
621	451
622	3005
623	494
624	5396
625	504
626	3064
627	543
628	4414
629	500
630	3137
631	543
632	4931
633	463
634	3048
635	510
636	4545
637	486
638	3049
639	503
640	5095
641	496
642	3093
643	549
644	4282
645	496
646	3030
647	478
648	5040
649	511
650	3010
651	508
652	4397
653	507
654	2991
655	482
656	4909
657	484
658	2815
659	465
660	4348
661	465
662	2836
663	487
664	4794
665	470
666	3095
667	509
668	4186
669	493
670	2890
671	475
672	5084
673	474
674	2822
675	487
676	4080
677	474
678	2879
679	453
680	4634
681	506
682	2802
683	456
684	4107
685	488
686	2900
687	493
688	4664
689	479
690	2713
691	452
692	3983
693	479
694	2709
695	481
696	4588
697	470
698	2798
699	484
700	4021
701	470
702	2871
703	463
704	4493
705	535
706	2796
707	488
708	3955
709	451
710	2743
711	497
712	4322
713	463
714	2786
715	478
716	3996
717	496
718	2761
719	441
720	5077
721	435
722	2637
723	506
724	3822
725	475
726	2711
727	450
728	4194
729	441
730	2701
731	481
732	4082
733	417
734	2645
735	500
736	4522
737	444
738	2784
739	447
740	3937
741	472
742	2726
743	486
744	4457
745	492
746	2633
747	467
748	3807
749	464
750	2734
751	472
752	4291
753	465
754	2730
755	459
756	3844
757	432
758	2680
759	477
760	4214
761	446
762	2659
763	456
764	3656
765	469
766	2619
767	443
768	4545
769	461
770	2474
771	479
772	3683
773	430
774	2619
775	452
776	4045
777	437
778	2502
779	469
780	3718
781	436
782	2568
783	420
784	4071
785	458
786	2583
787	463
788	3571
789	422
790	2497
791	454
792	4095
793	468
794	2475
795	405
796	3582
797	436
798	2548
799	403
800	4005
801	438
802	2392
803	398
804	3596
805	480
806	2475
807	447
808	3874
809	437
810	2562
811	484
812	3423
813	473
814	2440
815	446
816	4116
817	457
818	2457
819	444
820	3382
821	449
822	2447
823	412
824	3816
825	432
826	2441
827	433
828	3492
829	451
830	2338
831	463
832	3814
833	420
834	2428
835	456
836	3404
837	422
838	2393
839	445
840	3801
841	428
842	2341
843	401
844	3215
845	417
846	2450
847	430
848	3828
849	399
850	2361
851	371
852	3373
853	417
854	2324
855	424
856	3627
857	445
858	2334
859	397
860	3235
861	392
862	2370
863	454
864	3950
865	413
866	2342
867	439
868	3190
869	409
870	2403
871	401
872	3638
873	400
874	2313
875	416
876	3186
877	397
878	2319
879	475
880	3725
881	439
882	2375
883	411
884	3187
885	412
886	2236
887	440
888	3625
889	400
890	2283
891	422
892	3033
893	407
894	2287
895	401
896	3680
897	398
898	2280
899	409
900	3179
901	384
902	2301
903	410
904	3402
905	459
906	2232
907	439
908	2980
909	380
910	2202
911	401
912	3574
913	373
914	2197
915	392
916	3069
917	383
918	2199
919	366
920	3394
921	385
922	2250
923	383
924	3073
925	370
926	2194
927	416
928	3458
929	415
930	2210
931	383
932	2994
933	394
934	2125
935	356
936	3419
937	406
938	2306
939	399
940	3005
941	415
942	2184
943	424
944	3307
945	370
946	2123
947	404
948	2916
949	393
950	2093
951	425
952	3230
953	385
954	2143
955	381
956	2871
957	367
958	2111
959	392
960	3652
961	382
962	2065
963	416
964	2938
965	342
966	2084
967	341
968	3125
969	386
970	2160
971	376
972	3077
973	391
974	2122
975	422
976	3148
977	378
978	2119
979	409
980	2885
981	388
982	2023
983	415
984	3324
985	377
986	2086
987	402
988	2791
989	363
990	2044
991	367
992	3287
993	353
994	1972
995	422
996	2944
997	396
998	1985
999	374
1000	3081
1001	354
1002	2016
1003	375
1004	2686
1005	385
1006	2041
1007	393
1008	3127
1009	342
1010	2035
1011	367
1012	2781
1013	372
1014	1984
1015	391
1016	2990
1017	366
1018	2001
1019	395
1020	2782
1021	392
1022	2011
1023	374
1024	2921
1025	368
1026	1927
1027	368
1028	2602
1029	399
1030	1956
1031	361
1032	3005
1033	357
1034	2040
1035	360
1036	2565
1037	414
1038	2002
1039	370
1040	2885
1041	394
