Pay	Frequency
0	805015212
2	15963023
4	29845523
5	9427895
6	5127856
7	963171
8	24965940
9	330256
10	16347526
11	115913
12	7746019
13	192499
14	2076384
15	2212085
16	11927429
17	70915
18	1326835
19	72299
20	15061116
21	282759
22	328898
23	48827
24	5563601
25	254763
26	225676
27	51535
28	1402969
29	47794
30	4270892
31	16421
32	3417768
33	58347
34	185079
35	77694
36	1403077
37	25969
38	119731
39	27616
40	8525954
41	6209
42	432881
43	1737
44	271687
45	447225
46	62123
47	7254
48	2321681
49	8514
50	319977
51	14083
52	151842
53	27717
54	173914
55	23437
56	394358
57	22245
58	36930
59	341
60	3821678
61	1755
62	37980
63	18872
64	716494
65	54502
66	76683
67	774
68	122513
69	19048
70	101077
71	161
72	680702
73	401
74	22195
75	14375
76	70030
77	6287
78	48471
79	924
80	3439767
81	3876
82	23992
83	102
84	194994
85	47912
86	4299
87	4875
88	82617
89	290
90	656168
91	40
92	27638
93	4734
94	14418
95	13034
96	687151
97	162
98	12907
99	1141
100	288203
101	5651
102	32316
103	172
104	41543
105	5623
106	13980
107	47
108	82611
109	64
110	28973
111	2997
112	59602
113	459
114	20508
115	548
116	12055
117	1521
118	783
119	12
120	2237400
121	34
122	11264
123	485
124	37232
125	31282
126	23437
127	215
128	115401
129	1440
130	50765
131	28
132	26907
133	321
134	1291
135	34880
136	24282
137	137
138	7989
139	534
140	58993
141	1672
142	259
143	301
144	278318
145	765
146	2111
147	1645
148	14610
149	2223
150	35341
151	169
152	20553
153	524
154	3524
155	602
156	16742
157	14
158	992
159	1545
160	1041690
161	4
162	9115
163	4
164	19040
165	13695
166	404
167	92
168	39336
169	67
170	26722
171	382
172	2850
173	40
174	3114
175	1619
176	10864
177	209
178	206
179	9
180	523365
181	16
182	2016
183	237
184	10574
185	6448
186	6251
187	23
188	6870
189	594
190	12444
191	5
192	139399
193	39
194	529
195	1567
196	6035
197	677
198	2530
199	9
200	267823
201	526
202	3236
203	2
204	8504
205	3674
206	267
207	316
208	5490
209	14
210	10060
211	1
212	2555
213	103
214	82
215	581
216	41562
217	7
218	129
219	43
220	17670
221	350
222	4737
223	3
224	5776
225	463
226	362
228	7258
229	2
230	1332
231	222
232	1430
233	1
234	1675
235	50
236	392
237	442
238	13
240	946002
241	3
242	3774
243	76
244	11849
245	11810
246	3320
247	74
248	10907
249	76
250	20874
251	4
252	8321
253	31
254	285
255	1968
256	12070
257	9
258	1025
259	8
260	20660
261	145
262	43
264	3879
265	147
266	160
267	45
268	407
269	2
270	51400
271	2
272	2366
273	39
274	568
275	432
276	1737
277	1
278	450
279	44
280	15334
282	1284
283	3
284	104
285	470
286	195
287	1
288	69896
289	1
290	1115
291	125
292	2156
293	356
294	1494
295	36
296	3026
297	27
298	959
300	48264
301	2
302	321
303	157
304	2463
305	369
306	553
307	4
308	808
309	84
310	1200
311	1
312	1705
313	1
314	8
315	105
316	225
318	415
320	237134
321	11
322	950
324	6123
325	1999
326	40
327	20
328	3469
329	25
330	6167
332	377
333	40
334	118
335	259
336	4476
338	46
339	18
340	6115
341	4
342	187
344	456
345	58
346	28
348	433
350	863
351	7
352	774
354	87
355	11
356	52
357	5
358	8
360	287142
362	975
364	2747
365	3364
366	1934
367	17
368	2780
369	18
370	5369
371	1
372	2286
373	8
374	56
375	876
376	1153
377	2
378	787
379	1
380	5539
381	94
382	11
384	18182
385	36
386	18
387	25
388	285
389	32
390	1407
392	726
393	4
394	264
395	16
396	363
397	1
398	7
399	20
400	218348
402	1104
404	1847
405	5087
406	94
407	19
408	1670
409	23
410	5684
411	36
412	175
413	12
414	117
415	500
416	635
417	44
418	27
419	1
420	7433
421	3
422	5
423	9
424	236
425	63
426	31
428	38
429	24
430	849
432	14077
434	22
435	35
436	126
437	80
438	739
439	1
440	5605
441	5
442	172
444	992
445	59
446	2
447	61
448	376
450	2778
452	104
453	47
454	7
455	12
456	558
458	6
459	5
460	1170
462	142
463	1
464	68
465	23
466	3
467	1
468	149
470	99
471	3
472	62
474	57
475	1
476	2
477	13
480	282918
482	1021
484	3645
485	2533
486	767
487	10
488	2754
489	13
490	5906
492	897
493	3
494	73
495	500
496	1201
498	93
500	5539
501	26
502	3
503	1
504	1200
505	16
506	9
507	10
508	69
510	1017
512	800
513	1
514	8
515	4
516	106
518	4
519	9
520	4052
522	39
524	12
525	87
526	2
528	216
530	113
531	3
532	6
534	14
535	3
536	37
537	2
538	2
540	37737
542	117
543	4
544	379
545	394
546	396
547	1
548	271
549	4
550	459
552	455
553	3
554	3
555	160
556	97
558	67
560	2085
561	18
562	1
564	206
565	5
566	4
567	30
568	11
570	297
572	27
573	3
574	1
575	1
576	10931
578	3
580	533
581	24
582	86
584	270
585	25
586	138
588	155
590	28
591	21
592	236
594	19
595	1
596	98
597	4
600	58185
602	255
603	2
604	411
605	853
606	245
607	2
608	327
609	3
610	1242
612	220
613	1
614	9
615	156
616	118
618	23
619	3
620	1563
621	6
622	1
624	141
625	8
626	1
627	3
628	4
630	289
632	19
634	3
635	5
636	46
639	2
640	38223
642	135
644	771
645	209
646	2
647	1
648	1792
650	763
652	32
653	8
654	49
655	19
656	235
658	11
660	1211
663	8
664	54
665	3
666	22
668	9
669	3
670	101
672	309
674	1
675	17
676	8
678	7
680	823
682	2
684	19
685	6
688	48
690	51
692	3
696	20
700	177
702	1
704	15
705	2
708	8
710	7
711	1
712	3
717	1
720	109324
722	352
724	1148
725	1085
726	680
727	5
728	802
729	6
730	2053
731	1
732	578
734	11
735	329
736	359
738	82
739	1
740	1735
741	17
742	1
744	262
745	12
746	3
747	5
748	17
750	491
752	89
753	1
754	3
755	3
756	165
759	3
760	1126
762	13
764	7
765	58
766	1
768	1588
770	36
771	3
772	16
773	2
774	7
776	31
778	16
780	452
783	3
784	33
786	6
788	14
789	2
790	5
792	20
794	1
795	4
798	2
800	119834
802	549
804	1178
805	1601
806	37
807	8
808	755
809	6
810	5204
812	83
814	32
815	228
816	275
817	2
818	36
820	2940
821	1
822	42
824	55
825	29
826	8
828	22
830	438
832	64
834	8
835	4
836	2
837	1
840	2203
842	7
844	9
845	38
846	5
848	27
850	90
852	3
855	13
856	5
858	2
860	455
862	2
864	2999
865	1
866	3
868	19
869	7
870	88
872	13
874	31
876	61
879	12
880	915
882	12
884	18
885	2
888	39
890	44
894	11
895	2
896	15
898	1
900	4557
902	23
904	21
905	29
906	35
908	7
909	1
910	75
912	39
914	1
915	4
916	5
918	8
920	439
924	14
925	3
928	4
930	34
933	1
935	2
936	4
940	58
942	3
944	1
945	3
948	3
950	3
952	1
954	4
960	57035
962	147
964	882
965	316
966	140
967	1
968	631
969	2
970	1090
972	197
974	13
975	68
976	247
978	15
980	1135
981	6
984	63
985	3
986	5
987	4
988	7
990	186
992	61
994	2
996	9
1000	751
1002	2
1004	6
1005	11
1006	1
1008	78
1010	19
1011	1
1012	3
1014	3
1016	2
1018	1
1020	188
1024	32
1026	2
1028	2
1030	2
1032	6
1040	334
1042	1
1044	3
1048	3
1050	34
1056	7
1060	27
1062	1
1068	1
1072	1
1080	18581
1082	57
1084	121
1085	172
1086	202
1087	3
1088	118
1090	306
1092	144
1094	1
1095	72
1096	37
1098	20
1100	205
1101	8
1104	50
1105	2
1107	2
1108	1
1110	122
1112	5
1114	1
1115	1
1116	14
1120	221
1122	1
1125	12
1128	13
1130	5
1131	1
1132	1
1134	7
1137	1
1140	94
1144	1
1150	1
1152	1025
1154	1
1155	1
1156	8
1158	2
1160	93
1162	12
1164	6
1168	6
1170	16
1172	5
1176	10
1180	6
1182	2
1184	6
1188	1
1190	1
1192	2
1197	1
1200	45587
1202	188
1204	388
1205	662
1206	172
1207	1
1208	212
1209	1
1210	1028
1212	180
1214	7
1215	187
1216	59
1218	25
1220	988
1221	5
1222	3
1224	54
1225	4
1227	1
1228	3
1230	205
1232	10
1233	1
1234	1
1235	2
1236	17
1239	1
1240	658
1242	5
1244	3
1245	19
1248	16
1250	23
1252	1
1256	1
1260	224
1263	1
1264	1
1265	1
1266	2
1272	7
1275	3
1280	4110
1282	4
1284	95
1285	8
1288	68
1290	78
1292	2
1294	1
1295	1
1296	439
1298	1
1300	79
1302	2
1304	3
1306	1
1308	3
1310	9
1311	2
1312	7
1316	1
1320	146
1326	3
1328	6
1330	2
1332	1
1335	2
1340	2
1344	10
1350	149
1352	1
1356	3
1360	79
1362	5
1368	2
1370	9
1380	30
1390	2
1392	2
1400	30
1410	2
1420	1
1440	27365
1442	67
1444	325
1445	163
1446	191
1447	2
1448	235
1449	1
1450	501
1452	138
1454	4
1455	67
1456	68
1458	10
1460	405
1461	4
1462	1
1464	51
1465	4
1467	3
1468	1
1470	121
1472	14
1474	1
1476	6
1480	240
1482	2
1484	1
1485	9
1488	18
1490	8
1500	127
1504	2
1512	13
1520	84
1530	13
1536	76
1540	6
1542	1
1544	4
1545	1
1546	1
1548	1
1550	1
1556	1
1560	61
1566	1
1572	1
1575	2
1584	1
1590	2
1600	42420
1602	164
1604	474
1605	402
1606	4
1607	3
1608	343
1610	911
1612	31
1614	8
1615	61
1616	87
1618	3
1620	2502
1622	4
1624	26
1625	17
1626	23
1628	13
1630	116
1632	34
1634	2
1635	12
1636	1
1638	1
1640	600
1641	1
1642	1
1644	12
1645	2
1647	1
1648	8
1650	20
1656	6
1660	118
1664	1
1668	4
1670	1
1672	2
1680	272
1684	2
1685	1
1688	2
1690	15
1692	1
1695	1
1696	2
1700	23
1710	4
1712	1
1720	110
1728	321
1730	1
1734	3
1735	1
1736	2
1738	2
1740	10
1743	1
1746	1
1748	1
1758	2
1760	86
1780	7
1796	1
1800	5367
1802	17
1804	26
1805	68
1806	43
1808	13
1810	79
1812	46
1814	1
1815	27
1816	4
1818	4
1820	94
1821	2
1824	18
1825	1
1827	1
1830	26
1832	1
1833	1
1835	1
1836	5
1840	90
1842	3
1844	1
1845	3
1848	3
1850	4
1854	1
1860	36
1870	2
1872	3
1880	23
1890	7
1900	6
1920	7244
1922	11
1924	139
1925	18
1926	22
1928	110
1930	129
1932	26
1934	3
1935	6
1936	23
1938	1
1940	122
1941	2
1944	44
1946	1
1947	1
1950	29
1952	13
1954	1
1956	4
1960	76
1968	3
1970	1
1980	15
1984	1
1992	1
2000	124
2005	1
2010	3
2016	2
2020	2
2025	1
2040	22
2048	3
2064	1
2080	14
2085	1
2100	5
2120	6
2160	5706
2162	14
2164	56
2165	42
2166	68
2168	42
2170	77
2172	39
2174	1
2175	23
2176	14
2178	3
2180	67
2181	1
2184	17
2187	1
2188	2
2190	30
2192	3
2196	5
2200	40
2202	4
2205	3
2208	4
2210	2
2220	24
2232	1
2235	1
2240	13
2244	2
2250	3
2256	2
2268	2
2280	11
2304	42
2320	4
2340	4
2360	1
2400	21108
2402	75
2404	185
2405	238
2406	109
2408	125
2410	433
2412	92
2414	4
2415	51
2416	41
2418	4
2420	407
2424	28
2425	2
2427	2
2428	2
2430	132
2432	7
2436	5
2438	2
2440	250
2442	6
2444	2
2445	6
2448	12
2450	6
2454	1
2460	96
2464	2
2472	5
2475	1
2476	1
2478	1
2480	103
2484	4
2485	1
2488	1
2490	7
2500	2
2510	1
2520	49
2535	1
2550	4
2560	277
2564	4
2568	4
2570	6
2576	3
2580	14
2590	1
2592	79
2596	1
2598	1
2600	7
2604	1
2608	2
2622	1
2640	20
2644	1
2664	1
2670	2
2672	1
2700	226
2702	1
2704	1
2706	1
