Pay	Frequency
0	922276889
2	1855855
4	4666938
5	2283240
6	1073845
7	121573
8	4804693
9	119538
10	3631781
11	29671
12	2706965
13	111222
14	748041
15	643002
16	3556300
17	35393
18	919500
19	70390
20	3929417
21	173988
22	404697
23	76354
24	2948257
25	198034
26	394788
27	56676
28	1303899
29	76365
30	1543265
31	40291
32	1980279
33	90765
34	380091
35	111862
36	1389395
37	47539
38	334720
39	52553
40	2802424
41	30365
42	534576
43	30506
44	775386
45	256876
46	263179
47	27222
48	1711006
49	38826
50	501808
51	28778
52	642688
53	59209
54	358282
55	71468
56	872750
57	45404
58	232014
59	21025
60	1661992
61	26722
62	198027
63	44738
64	908394
65	85695
66	272451
67	17189
68	500861
69	50499
70	309265
71	16581
72	878472
73	24440
74	171615
75	60282
76	420079
77	25044
78	215440
79	19130
80	1347299
81	25658
82	148462
83	18338
84	477158
85	76284
86	126461
87	25019
88	464131
89	16531
90	462133
91	13480
92	301439
93	28070
94	121471
95	50077
96	644725
97	13489
98	125730
99	19446
100	477435
101	17889
102	148325
103	12633
104	347400
105	45794
106	116691
107	12159
108	316288
109	12314
110	162797
111	17690
112	326526
113	10620
114	130475
115	25300
116	206067
117	17007
118	84840
119	9395
120	905890
121	9259
122	89854
123	11626
124	200538
125	47650
126	106844
127	8684
128	294402
129	13525
130	157630
131	9181
132	204543
133	10589
134	70537
135	42458
136	222616
137	7747
138	93088
139	8624
140	245996
141	12616
142	60162
143	8791
144	313515
145	24014
146	63625
147	9825
148	134336
149	9758
150	127329
151	7058
152	177642
153	8882
154	59726
155	17281
156	146830
157	6337
158	53695
159	10233
160	454948
161	5485
162	65558
163	6181
164	109995
165	32420
166	48445
167	6207
168	176487
169	6150
170	99848
171	6882
172	95894
173	6248
174	55402
175	18070
176	134378
177	6185
178	42861
179	5971
180	307697
181	5424
182	39926
183	6228
184	120333
185	21476
186	51015
187	4620
188	87112
189	7284
190	75756
191	4552
192	166026
193	4660
194	36578
195	15727
196	81306
197	5036
198	43941
199	4341
200	215655
201	5483
202	35410
203	4255
204	90187
205	14644
206	30105
207	5031
208	94165
209	3735
210	67382
211	3493
212	66126
213	4950
214	28793
215	10046
216	112456
217	3307
218	27788
219	4117
220	97569
221	3505
222	35216
223	3108
224	78748
225	11219
226	25673
227	3367
228	68786
229	2882
230	39968
231	3707
232	66212
233	2872
234	29947
235	7484
236	47985
237	4043
238	22011
239	2667
240	334179
241	2507
242	23428
243	2957
244	52969
245	17868
246	26805
247	2502
248	66730
249	3706
250	58729
251	2405
252	56347
253	3047
254	20522
255	12537
256	65074
257	2367
258	24819
259	2517
260	84476
261	3545
262	17789
263	2379
264	62433
265	9081
266	18298
267	2664
268	37408
269	2386
270	57162
271	2026
272	49916
273	2679
274	17378
275	7164
276	41924
277	2105
278	16815
279	2469
280	80226
281	1824
282	20926
283	1748
284	30947
285	8592
286	15853
287	1767
288	69010
289	1829
290	27396
291	2155
292	29124
293	2257
294	18943
295	5005
296	37976
297	2067
298	15015
299	1624
300	68954
301	1665
302	13681
303	2147
304	39033
305	5296
306	16210
307	1524
308	26699
309	2184
310	21787
311	1465
312	39453
313	1542
314	11523
315	4661
316	24141
317	1415
318	15039
319	1230
320	107783
321	1761
322	11207
323	1408
324	29758
325	6633
326	10714
327	1436
328	29625
329	1460
330	29491
331	1103
332	20976
333	1868
334	10216
335	4684
336	34409
337	1151
338	10031
339	1470
340	38846
341	1254
342	11476
343	1095
344	24072
345	4459
346	9141
347	1169
348	22300
349	1056
350	17402
351	1217
352	23659
353	1132
354	10047
355	3048
356	16737
357	1267
358	7921
359	885
360	119899
361	907
362	8221
363	1192
364	18613
365	6414
366	10145
367	910
368	25264
369	1366
370	21352
371	995
372	21119
373	1184
374	7669
375	4952
376	21979
377	911
378	10185
379	957
380	32862
381	1390
382	6911
383	990
384	29043
385	3225
386	6789
387	1051
388	14292
389	967
390	17205
391	780
392	18925
393	1027
394	6703
395	2553
396	16383
397	825
398	6246
399	1034
400	82562
401	738
402	7923
403	711
404	13487
405	5566
406	5790
407	742
408	20970
409	798
410	15396
411	830
412	11529
413	854
414	6835
415	2830
416	15903
417	909
418	5368
419	739
420	29629
421	711
422	4948
423	798
424	14143
425	2755
426	6053
427	603
428	9813
429	953
430	10550
431	556
432	20724
433	682
434	4569
435	2352
436	9634
437	698
438	6110
439	518
440	26246
441	745
442	4636
443	534
444	11940
445	2325
446	4216
447	766
448	12561
449	489
450	11724
451	481
452	8653
453	839
454	4098
455	1702
456	14217
457	519
458	3847
459	651
460	15300
461	515
462	4830
463	421
464	10556
465	2035
466	3791
467	484
468	9371
469	473
470	6898
471	537
472	9554
473	457
474	4412
475	1266
476	6747
477	658
478	3348
479	406
480	92396
481	393
482	3626
483	518
484	8650
485	4731
486	4421
487	428
488	11503
489	769
490	15377
491	373
492	9357
493	606
494	3455
495	3520
496	10672
497	429
498	4571
499	503
500	20994
501	763
502	3056
503	477
504	11470
505	2158
506	3333
507	504
508	6386
509	465
510	10635
511	384
512	9106
513	567
514	3064
515	1514
516	7145
517	419
518	2802
519	457
520	20309
521	349
522	3886
523	345
524	5280
525	2141
526	2751
527	346
528	9614
529	310
530	6645
531	415
532	5214
533	410
534	3085
535	1180
536	6509
537	423
538	2452
539	330
540	25039
541	326
542	2453
543	330
544	7033
545	1653
546	3159
547	288
548	5197
549	486
550	5868
551	279
552	7689
553	325
554	2313
555	1541
556	5011
557	321
558	2728
559	262
560	14560
561	397
562	2168
563	317
564	6084
565	1184
566	1973
567	397
568	5380
569	268
570	6517
571	230
572	4425
573	369
574	1931
575	851
576	9437
577	262
578	1955
579	306
580	8607
581	287
582	2382
583	221
584	5083
585	1101
586	2137
587	234
588	5197
589	219
590	3829
591	350
592	5305
593	252
594	2349
595	689
596	4074
597	306
598	1625
599	210
600	27282
601	223
602	1855
603	273
604	4109
605	1211
606	2349
607	183
608	5279
609	327
610	4731
611	214
612	4764
613	227
614	1547
615	1092
616	4591
617	204
618	2074
619	181
620	7945
621	324
622	1508
623	196
624	5734
625	742
626	1529
627	236
628	3168
629	183
630	4172
631	182
632	3970
633	262
634	1383
635	623
636	3995
637	185
638	1302
639	213
640	18538
641	187
642	1842
643	159
644	3084
645	1178
646	1306
647	175
648	5245
649	193
650	4119
651	194
652	2779
653	213
654	1572
655	674
656	3743
657	219
658	1383
659	198
660	8505
661	157
662	1145
663	226
664	3413
665	628
666	1541
667	145
668	2721
669	219
670	3025
671	148
672	4261
673	180
674	1078
675	680
676	2401
677	127
678	1458
679	144
680	7121
681	180
682	1076
683	152
684	2880
685	550
686	998
687	182
688	3026
689	139
690	2938
691	148
692	2054
693	180
694	1014
695	428
696	3110
697	135
698	917
699	166
700	4318
701	116
702	1140
703	146
704	2516
705	520
706	937
707	152
708	2250
709	120
710	1822
711	153
712	2256
713	118
714	1054
715	368
716	1606
717	154
718	821
719	114
720	35865
721	115
722	954
723	169
724	2387
725	1617
726	1295
727	104
728	3328
729	200
730	5512
731	158
732	2767
733	183
734	927
735	1440
736	3323
737	134
738	1367
739	162
740	7482
741	202
742	840
743	173
744	3401
745	740
746	912
747	184
748	2036
749	138
750	4139
751	112
752	2726
753	195
754	867
755	539
756	2501
757	100
758	845
759	150
760	7419
761	110
762	1183
763	116
764	1779
765	779
766	842
767	127
768	3522
769	103
770	2253
771	146
772	1628
773	147
774	962
775	428
776	2139
777	166
778	777
779	122
780	5821
781	101
782	711
783	188
784	2317
785	442
786	872
787	104
788	1568
789	139
790	1802
791	124
792	2684
793	100
794	642
795	451
796	1462
797	92
798	890
799	102
800	32850
801	106
802	797
803	95
804	2305
805	1574
806	680
807	143
808	2268
809	87
