Pay	Frequency
0	802177159
2	8118651
4	15377093
5	5964119
6	2983285
7	504881
8	13672240
9	282098
10	11788851
11	90266
12	5777742
13	208964
14	2130092
15	1533935
16	7108140
17	84684
18	1962474
19	113646
20	14445723
21	323107
22	1001772
23	124323
24	4690735
25	858663
26	930332
27	112292
28	2395919
29	121247
30	4337557
31	79006
32	2972358
33	123563
34	832130
35	288896
36	2194541
37	85626
38	710184
39	83791
40	10567062
41	59767
42	1004669
43	48529
44	1453724
45	906811
46	591314
47	55562
48	2396563
49	73031
50	1843727
51	52794
52	1102663
53	90499
54	652968
55	239679
56	1311972
57	67763
58	501637
59	40145
60	4549695
61	53640
62	457802
63	62369
64	1260943
65	311559
66	491568
67	34916
68	903029
69	62237
70	976890
71	34782
72	1221366
73	40936
74	370629
75	138280
76	731450
77	41874
78	391953
79	33160
80	5064818
81	37130
82	359823
83	31402
84	877986
85	388182
86	297732
87	38917
88	792816
89	34175
90	1303998
91	27734
92	569275
93	39251
94	287230
95	157870
96	884566
97	27383
98	282990
99	29094
100	1465270
101	32468
102	279738
103	24854
104	559616
105	128279
106	247600
107	22227
108	515187
109	23384
110	538295
111	26338
112	503104
113	20800
114	238072
115	69972
116	394619
117	23795
118	190890
119	18140
120	2729519
121	17153
122	202201
123	20395
124	405486
125	198890
126	227423
127	17548
128	472360
129	22332
130	529871
131	16181
132	361013
133	19828
134	161212
135	103188
136	369968
137	15261
138	177756
139	16406
140	720985
141	20686
142	139520
143	17081
144	459908
145	64711
146	145871
147	16966
148	274192
149	16796
150	337150
151	14370
152	296332
153	15109
154	131076
155	43115
156	259784
157	12523
158	122387
159	15799
160	1691464
161	11627
162	140742
163	11489
164	261874
165	127979
166	116450
167	12563
168	309573
169	13374
170	363468
171	12396
172	201394
173	12883
174	115242
175	59854
176	230411
177	12146
178	102279
179	11013
180	817675
181	11124
182	92967
183	11414
184	214639
185	59581
186	105698
187	9592
188	179746
189	12335
190	231515
191	8956
192	242842
193	9482
194	85512
195	37892
196	159792
197	9640
198	89866
199	8803
200	735107
201	9623
202	82890
203	8135
204	164690
205	54089
206	73753
207	9720
208	165086
209	8110
210	199452
211	7443
212	132355
213	8812
214	67440
215	27666
216	173186
217	7278
218	66842
219	7799
220	304680
221	7150
222	73164
223	6712
224	136968
225	26634
226	61187
227	6524
228	123695
229	6149
230	116759
231	6985
232	119523
233	5862
234	61441
235	16559
236	99176
237	6828
238	52866
239	5726
240	1134201
241	5480
242	59577
243	6049
244	124500
245	77837
246	67597
247	5882
248	134732
249	7494
