Pay	Frequency
0	997528859
4	473
6	2019
8	1924
10	238
12	2709
14	438
15	360
16	3482
18	761
19	6
20	1116
21	103
22	761
23	94
24	2594
25	42
26	1297
27	81
28	1795
29	13
30	767
31	139
32	4254
33	75
34	650
35	118
36	1819
37	46
38	858
39	60
40	2516
41	221
42	1099
43	57
44	1920
45	111
46	1207
47	221
48	2650
49	91
50	986
51	73
52	2237
53	104
54	923
55	186
56	3133
57	173
58	995
59	140
60	1937
61	94
62	948
63	94
64	3728
65	170
66	1112
67	107
68	1896
69	134
70	1163
71	157
72	2820
73	122
74	1284
75	182
76	2068
77	112
78	986
79	140
80	2965
81	189
82	1240
83	150
84	2127
85	182
86	1368
87	176
88	2597
89	195
90	1286
91	169
92	2312
93	125
94	1232
95	228
96	3009
97	169
98	1116
99	201
100	2126
101	169
102	1224
103	175
104	2714
105	189
106	1332
107	195
108	2160
109	169
110	1314
111	209
112	3075
113	166
114	1243
115	242
116	2297
117	176
118	1314
119	209
120	2926
121	200
122	1294
123	204
124	2098
125	167
126	1420
127	195
128	2848
129	191
130	1388
131	211
132	2226
133	179
134	1299
135	247
136	2684
137	199
138	1438
139	209
140	2289
141	228
142	1285
143	245
144	3002
145	211
146	1390
147	241
148	2207
149	192
150	1355
151	218
152	2745
153	249
154	1380
155	254
156	2299
157	225
158	1449
159	215
160	2882
161	209
162	1488
163	240
164	2236
165	268
166	1500
167	237
168	2774
169	240
170	1513
171	239
172	2329
173	223
174	1502
175	243
176	2806
177	238
178	1384
179	238
180	2342
181	227
182	1360
183	206
184	2754
185	240
186	1451
187	238
188	2364
189	208
190	1416
191	231
192	2915
193	246
194	1450
195	244
196	2246
197	284
198	1539
199	235
200	2601
201	235
202	1465
203	287
204	2285
205	265
206	1554
207	238
208	2664
209	245
210	1530
211	228
212	2272
213	290
214	1549
215	293
216	2655
217	280
218	1455
219	237
220	2289
221	252
222	1509
223	287
224	2740
225	275
226	1485
227	302
228	2282
229	256
230	1461
231	256
232	2623
233	282
234	1525
235	282
236	2285
237	262
238	1425
239	260
240	2738
241	272
242	1550
243	287
244	2165
245	284
246	1504
