Pay	Frequency
0	802177159
2	13500171
4	25980580
5	7468512
6	4390282
7	770386
8	23952916
9	141787
10	14619574
11	68549
12	8927294
13	62989
14	1877522
15	1704504
16	11653914
17	30927
18	1903750
19	31596
20	17568217
21	371746
22	252040
23	19680
24	6512039
25	291447
26	130774
27	82855
28	1501687
29	13083
30	4453605
31	5562
32	3153258
33	102987
34	99747
35	68676
36	1897648
37	6920
38	79029
39	34075
40	12257689
41	1699
42	682612
43	824
44	265917
45	473097
46	43419
47	3215
48	2434033
49	2868
50	470887
51	22471
52	140997
53	6750
54	299809
55	30380
56	512164
57	36474
58	17152
59	114
60	4398432
61	539
62	24884
63	31172
64	629658
65	52726
66	125975
67	533
68	99515
69	25120
70	131274
71	78
72	761768
73	127
74	13400
75	22657
76	65348
77	1508
78	75441
79	333
80	5525825
81	5859
82	19971
83	38
84	313567
85	67399
86	3500
87	6075
88	116434
89	197
90	700971
91	22
92	26761
93	7024
94	7962
95	13346
96	563726
97	74
98	6855
99	1550
100	501496
101	1247
102	53374
103	64
104	54071
105	8728
106	5583
107	19
108	117564
109	11
110	47319
111	3578
112	96328
113	120
114	33117
115	1718
116	9728
117	2179
118	420
119	5
120	2862387
121	9
122	8544
123	654
124	33702
125	33296
126	48847
127	180
128	100985
129	1992
130	64545
131	18
132	45427
133	50
134	1181
135	34464
136	30885
137	64
138	11252
139	72
140	91490
141	3011
142	226
143	51
144	252281
145	1078
146	1202
147	2686
148	14923
149	497
150	65743
151	37
152	26259
153	613
154	1243
155	1047
156	26133
157	4
158	801
159	1714
160	1727552
161	4
162	11346
163	3
164	26949
165	19080
166	329
167	67
168	67629
169	41
170	47451
171	458
172	3800
173	16
174	4573
175	2357
176	18672
177	263
178	302
179	7
180	564132
181	6
182	1053
183	414
184	9460
185	4719
186	12335
187	17
188	4994
189	1086
190	15317
191	1
192	95385
193	5
194	301
195	2873
196	5063
197	142
198	4280
199	4
200	483857
201	926
202	2061
203	3
204	12651
205	5973
206	245
207	279
208	10724
209	13
210	18459
211	1
212	1630
213	144
214	67
215	1057
216	49086
217	10
218	60
219	69
220	30076
221	73
222	8178
223	1
224	10597
225	799
226	122
227	1
228	11661
229	2
230	2583
231	161
232	2078
234	2836
235	111
236	302
237	671
238	19
240	1306477
241	1
242	3212
243	77
244	13436
245	12920
246	9609
247	53
248	12909
249	106
250	28485
251	3
252	17378
253	6
254	348
255	3598
256	11501
257	7
258	1736
259	7
260	31615
261	328
262	45
263	1
264	6929
265	230
266	72
267	150
268	616
269	1
270	51548
272	3903
273	52
274	175
275	320
276	2670
277	1
278	123
279	59
280	27783
282	2036
284	170
285	1048
286	57
287	5
288	49066
289	1
290	1439
291	169
292	2179
293	67
294	2481
295	63
296	4463
297	51
298	356
300	88157
301	1
302	214
303	129
304	4809
305	452
306	1047
307	4
308	502
309	91
310	1965
312	3272
313	2
314	5
315	316
316	397
318	443
320	377107
321	31
322	793
324	8802
325	2228
326	38
327	28
328	5576
329	7
330	11343
331	1
332	441
333	26
334	120
335	279
336	8163
337	2
338	53
339	19
340	11997
341	1
342	358
343	2
344	897
345	87
346	23
348	677
350	1504
351	15
352	1685
353	1
354	118
355	24
356	68
357	7
358	1
360	318162
362	583
363	2
364	1890
365	2677
366	4933
367	12
368	2321
369	10
370	4862
371	1
372	4809
374	45
375	1677
376	1086
377	2
378	1545
380	7324
381	194
382	2
383	1
384	10994
385	40
386	13
387	59
388	281
389	5
390	2978
392	1015
393	16
394	106
395	54
396	565
398	4
399	19
400	398938
402	1347
404	2655
405	7285
406	96
407	22
408	2725
409	21
410	9713
411	34
412	278
413	5
414	108
415	821
416	1236
417	47
418	25
419	1
420	13701
421	5
422	13
423	14
424	290
425	87
426	53
427	1
428	65
429	17
430	1589
432	11925
434	12
435	69
436	92
437	14
438	1277
440	10850
441	2
442	61
444	1747
445	115
447	33
448	729
450	5531
452	59
453	55
454	12
455	24
456	957
458	2
459	7
460	1984
462	159
464	188
465	52
468	226
470	207
471	1
472	54
474	77
475	13
476	4
477	9
480	407756
482	880
483	2
484	4920
485	2888
486	2558
487	16
488	3993
489	11
490	8869
492	1951
493	2
494	101
495	887
496	1868
497	3
498	211
500	8816
501	72
502	5
504	2428
505	34
506	7
507	30
508	115
510	2150
512	926
513	6
514	14
515	14
516	186
518	11
519	11
520	7005
522	66
524	29
525	166
528	354
530	189
531	2
532	4
534	18
535	5
536	78
537	4
538	1
540	37532
542	41
543	5
544	300
545	210
546	735
548	112
549	4
550	362
552	750
554	2
555	297
556	45
558	91
560	3582
561	28
562	1
564	265
565	9
567	40
568	26
570	843
572	19
573	3
574	3
575	3
576	6470
578	2
579	2
580	738
581	4
582	131
584	459
585	53
586	45
588	184
590	30
591	17
592	637
594	28
595	3
596	40
597	3
600	92937
602	201
603	2
604	418
605	884
606	672
607	5
608	591
610	1505
612	660
614	2
615	287
616	148
617	1
618	67
619	1
620	2187
621	23
622	2
624	345
625	8
627	8
628	10
630	620
632	50
633	2
635	8
636	77
639	2
640	53554
642	105
644	1074
645	205
647	1
648	1938
650	1166
651	2
652	43
653	2
654	80
655	16
656	410
657	1
658	14
660	2305
662	3
663	15
664	75
665	3
666	36
668	40
669	1
670	147
672	633
675	31
676	10
678	11
680	1657
682	2
684	44
685	12
687	3
688	44
690	130
692	1
695	2
696	46
700	305
702	2
704	54
705	1
708	12
710	5
712	5
715	3
716	3
717	1
720	124948
722	218
724	978
725	758
726	2021
727	4
728	747
729	3
730	2092
732	1444
734	19
735	644
736	318
738	178
740	1907
741	51
742	2
744	502
747	26
748	22
750	1049
752	99
753	3
755	6
756	379
759	3
760	1662
762	42
764	5
765	121
768	815
770	53
771	8
772	4
774	11
775	2
776	42
777	2
778	4
780	951
782	1
783	3
784	63
786	11
788	3
789	2
790	11
792	49
795	10
796	3
798	2
800	226826
802	659
804	2125
805	2603
806	33
807	11
808	1498
809	5
810	7626
812	154
813	4
814	46
815	368
816	581
817	1
818	16
820	5573
822	44
824	102
825	57
826	5
828	36
830	852
832	130
834	18
835	4
838	3
840	4310
842	3
844	17
845	45
846	9
848	44
850	147
852	4
855	17
856	22
858	2
860	879
864	2107
865	2
868	18
869	1
870	147
872	29
874	7
875	2
876	93
879	4
880	1910
882	27
884	15
885	12
888	51
890	92
891	1
894	10
895	2
896	36
900	8797
902	10
904	25
905	17
906	114
908	14
910	79
912	102
915	20
916	5
918	8
920	833
921	2
924	46
925	2
928	8
930	98
935	4
936	16
940	125
942	4
944	3
945	3
948	4
950	10
954	4
957	1
960	82419
962	120
964	1209
965	295
966	519
967	3
968	989
970	1675
972	350
973	2
974	23
975	138
976	408
978	29
980	1708
981	9
984	129
985	3
986	4
987	3
988	21
990	339
992	123
994	1
995	1
996	13
998	1
999	1
1000	1260
1002	13
1004	5
1005	21
1008	182
1010	29
1011	1
1012	1
1014	5
1016	14
1020	440
1024	21
1025	1
1026	4
1028	1
1030	7
1032	14
1035	2
1040	621
1044	3
1048	2
1050	45
1052	1
1054	1
1056	6
1060	50
1062	2
1064	2
1065	1
1068	2
1070	5
1072	3
1074	1
1076	1
1080	18137
1082	13
1084	73
1085	78
1086	392
1088	61
1090	185
1092	269
1095	169
1096	20
1098	33
1100	171
1101	10
1102	1
1104	93
1107	2
1108	1
1110	221
1112	4
1116	21
1119	2
1120	292
1122	4
1124	2
1125	27
1128	18
1130	3
1134	27
1137	1
1140	221
1144	1
1146	4
1150	1
1152	637
1155	4
1156	4
1158	2
1160	140
1162	6
1164	6
1167	3
1168	40
1170	33
1172	3
1176	12
1180	6
1182	2
1184	11
1185	1
1188	1
1192	2
1196	1
1200	67643
1202	142
1204	400
1205	612
1206	642
1207	1
1208	299
1210	1095
1212	558
1214	9
1215	337
1216	105
1218	70
1220	1242
1221	22
1222	1
1224	167
1225	2
1226	1
1227	4
1228	5
1230	417
1232	20
1235	4
1236	47
1239	1
1240	906
1242	19
1244	5
1245	60
1248	37
1250	15
1251	1
1254	2
1256	2
1260	472
1263	1
1264	1
1266	8
1270	3
1272	16
1275	7
1280	4256
1284	111
1285	3
1288	102
1290	164
1294	1
1296	366
1298	1
1300	110
1302	5
1304	3
1305	2
1306	4
1308	8
1310	4
1311	4
1312	19
1316	4
1320	351
1324	1
1325	1
1326	4
1328	8
1330	2
1335	4
1336	2
1340	14
1344	18
1350	348
1352	1
1354	2
1356	9
1360	150
1362	4
1364	1
1365	3
1368	2
1370	6
1374	3
1376	1
1380	93
1386	2
1390	1
1392	1
1395	2
1398	1
1400	41
1410	9
1416	3
1420	1
1440	31940
1442	44
1444	329
1445	121
1446	544
1447	2
1448	252
1450	548
1452	338
1454	8
1455	137
1456	80
1458	46
1460	466
1461	7
1464	94
1465	1
1467	7
1468	6
1470	232
1472	24
1476	10
1478	1
1479	1
1480	300
1482	4
1484	2
1485	23
1488	21
1490	5
1496	4
1500	206
1506	4
1508	1
1510	2
1512	25
1515	1
1516	1
1520	115
1524	1
1527	1
1530	36
1535	1
1536	39
1540	9
1544	1
1560	138
1566	1
1575	2
1576	1
1584	1
1590	4
1600	82266
1602	180
1604	961
1605	651
1606	6
1607	4
1608	713
1610	1815
1612	59
1613	1
1614	16
1615	94
1616	253
1618	4
1620	3334
1622	1
1624	55
1625	17
1626	47
1628	21
1630	280
1632	79
1634	1
1635	19
1636	5
1638	2
1640	1321
1642	1
1644	7
1645	8
1648	17
1650	45
1656	4
1660	312
1664	10
1665	6
1668	3
1670	6
1672	1
1680	573
1684	3
1688	4
1690	24
1696	4
1700	58
1701	1
1708	1
1710	5
1720	196
1725	1
1728	275
1730	3
1732	2
1734	3
1736	4
1738	2
1740	24
1743	2
1744	5
1748	2
1750	2
1752	3
1755	1
1760	146
1770	4
1780	27
1792	2
1800	7802
1802	14
1804	32
1805	30
1806	140
1808	18
1810	71
1812	118
1815	61
1816	8
1818	15
1820	89
1821	1
1824	26
1825	1
1826	1
1830	61
1832	1
1836	7
1840	179
1842	10
1845	5
1848	7
1850	4
1860	81
1866	1
1870	1
1872	2
1875	2
1876	1
1880	40
1890	13
1896	2
1900	6
1920	9663
1922	4
1924	184
1925	18
1926	44
1928	200
1930	171
1932	20
1934	2
1935	11
1936	64
1938	2
1940	186
1941	2
1944	47
1945	1
1947	1
1948	4
1950	37
1952	13
1956	4
1960	113
1965	2
1968	6
1970	1
1972	2
1976	5
1980	42
1984	2
1988	1
2000	124
2002	1
2004	1
2010	10
2016	8
2020	8
2025	1
2040	41
2048	1
2055	1
2060	3
2064	1
2080	24
2100	10
2120	6
2124	1
2160	5739
2162	2
2164	41
2165	17
2166	153
2168	30
2170	61
2172	74
2175	65
2176	5
2178	12
2180	45
2181	2
2184	18
2187	3
2188	2
2190	69
2192	3
2196	2
2200	27
2202	2
2205	10
2208	7
2220	46
2240	19
2250	13
2260	1
2268	4
2280	19
2304	34
2308	1
2310	1
2320	9
2340	6
2400	31394
2402	59
2404	248
2405	238
2406	370
2407	1
2408	162
2410	549
2412	286
2414	5
2415	142
2416	58
2418	19
2420	544
2421	7
2424	105
2425	2
2427	2
2428	3
2430	284
2432	11
2434	1
2435	1
2436	26
2439	2
2440	391
2442	7
2444	1
2445	26
2448	20
2450	8
2451	1
2454	1
2460	183
2463	1
2464	1
2466	3
2470	1
2472	7
2480	158
2484	2
2485	1
2488	1
2490	42
2496	5
2500	17
2505	1
2520	95
2526	1
2528	2
2535	4
2544	1
2550	5
2560	144
2568	7
2570	1
2576	4
2580	32
2592	68
2598	2
2600	12
2604	1
2608	1
2622	1
2640	37
2645	1
2670	2
2680	1
2700	530
2702	2
2706	9
2708	1
2710	4
2712	9
2716	1
2718	1
2720	6
2724	1
2730	5
2736	1
2740	7
2748	1
2752	1
2760	21
2766	1
2780	2
2790	1
2800	5
2820	3
2826	1
2880	4749
2882	5
2884	50
2885	9
2886	71
2888	57
2890	59
2892	41
2894	1
2895	17
2896	21
2898	5
2900	58
2901	1
2904	12
2905	1
2910	27
2912	3
2916	6
2920	29
2922	2
2925	2
2928	3
2930	1
2936	2
2937	1
2940	18
2948	1
2952	1
2955	1
2960	5
2970	2
3000	26
3006	1
3010	3
3024	1
3030	2
3040	1
3060	5
3072	2
3120	5
3124	1
3180	1
3200	18507
3202	30
3204	282
3205	86
3206	1
3208	223
3210	401
3212	9
3214	6
3215	6
3216	79
3218	4
3220	434
3222	1
3224	9
3225	1
3226	1
3228	3
3230	54
3232	11
3240	786
3244	2
3245	2
3246	14
3248	8
3250	5
3252	11
3255	14
3256	8
3258	1
3260	59
3264	9
3268	1
3270	6
3280	109
3284	1
3285	2
3290	6
3300	18
3306	1
3312	1
3320	51
3330	3
3340	1
3348	1
3360	30
3370	4
3380	5
3390	1
3400	11
3424	1
3440	9
3456	18
3462	1
3470	1
3560	1
3600	4592
3602	7
3604	22
3605	21
3606	101
3608	13
3610	46
3612	79
3614	1
3615	44
3616	5
3618	7
3620	45
3621	5
3624	22
3627	1
3628	1
3630	53
3636	7
3640	40
3645	10
3648	3
3660	53
3672	1
3680	26
3690	4
3696	1
3700	1
3720	26
3750	1
3760	4
3780	4
3800	3
3840	521
3844	6
3846	1
3848	15
3850	8
3854	1
3856	11
3860	11
3864	1
3872	1
3880	6
3888	14
3900	2
3920	2
3924	1
4000	29
4010	3
4016	1
4020	5
4040	4
4050	19
4062	1
4080	2
4140	1
4160	1
4200	2
4320	1025
4324	8
4326	32
4328	9
4330	11
4332	19
4335	8
4336	5
4338	1
4340	1
4341	1
4344	3
4350	8
4356	2
4360	2
4365	1
4380	1
4400	1
4410	2
4440	1
4500	8
4530	1
4608	1
4800	8913
4802	12
4804	89
4805	32
4806	122
4808	69
4810	140
4812	81
4814	2
4815	32
4816	23
4818	11
4820	137
4821	3
4824	20
4827	1
4830	44
4832	7
4836	3
4840	93
4842	1
4845	8
4848	5
4850	2
4860	74
4863	1
4864	1
4872	3
4875	3
4880	34
4890	8
4896	1
4900	2
4920	12
4924	1
4944	1
4960	10
4980	5
5000	3
5040	7
5052	1
5070	2
5100	1
5120	2
5160	2
5184	4
5200	1
5400	369
5404	3
5405	2
5406	9
5412	4
5415	1
5416	2
5418	2
5420	1
5424	1
5430	4
5436	1
5440	1
5460	7
5475	1
5480	1
5490	1
5520	4
5550	1
5580	1
5640	1
5760	315
5764	5
5766	9
5768	5
5770	6
5772	2
5776	4
5780	3
5784	1
5792	2
5800	2
5824	1
5828	1
5832	1
5838	1
5840	2
6000	11
6400	2446
6402	2
6404	47
6405	3
6408	40
6410	51
6412	2
6414	1
6416	24
6420	45
6424	1
6428	2
6430	9
6432	4
6440	29
6444	1
6450	1
6460	5
6464	1
6480	126
6484	2
6486	5
6490	4
6492	1
6495	2
6500	2
6520	2
6560	1
6600	1
7200	1622
7202	1
7204	8
7205	7
7206	40
7208	7
7210	23
7212	26
7215	15
7216	2
7218	2
7220	17
7221	2
7224	2
7230	20
7236	1
7240	14
7242	1
7250	1
7260	11
7272	1
7290	6
7320	4
7360	1
7380	3
7400	1
7440	3
7470	1
7500	1
7680	8
7688	5
7690	1
7720	1
7776	2
8000	7
8020	2
8080	2
8100	14
8260	1
8640	98
8646	4
8650	2
8652	1
8655	1
8704	1
9000	2
9600	1382
9604	21
9606	24
9608	13
9610	22
9612	8
9614	1
9615	2
9616	15
9620	16
9621	1
9624	7
9630	5
9640	8
9642	1
9645	2
9650	1
9654	1
9660	6
9675	1
9680	3
9690	1
9700	1
9720	9
9750	1
9760	2
10800	173
10804	2
10805	2
10806	10
10812	3
10815	2
10820	1
10824	1
10860	2
10920	1
11520	8
11528	2
12000	7
12010	1
12012	1
12080	1
12800	160
12804	4
12808	6
12810	5
12816	2
12820	4
12830	1
12840	1
12852	1
12920	2
12960	20
12968	1
12970	1
14400	378
14404	3
14405	2
14406	8
14410	2
14412	7
14414	2
14415	2
14416	1
14420	2
14421	1
14428	1
14430	2
14432	1
14440	2
14460	2
14490	1
14520	1
14580	1
16000	1
16200	2
17280	1
17288	1
17296	1
19200	130
19204	1
19206	1
19208	1
19212	1
19214	1
19220	3
19224	1
19240	1
19260	1
19440	3
21600	41
21616	1
21630	1
25600	4
28800	30
28804	1
28806	1
28810	1
28816	1
28830	1
28840	1
32400	2
38400	1
43200	6
57600	1
