Pay	Frequency
0	800059981
2	8113637
4	15365757
5	5954703
6	2983326
7	504705
8	13661373
9	281781
10	11763293
11	90249
12	5775588
13	208694
14	2129443
15	1526927
16	7103472
17	84512
18	1961976
19	113481
20	14416792
21	323003
22	1001787
23	124268
24	4687564
25	857216
26	930763
27	112265
28	2396210
29	121090
30	4321486
31	79064
32	2972537
33	123602
34	831970
35	288241
36	2194581
37	85581
38	710556
39	83748
40	10547800
41	59896
42	1005004
43	48569
44	1454417
45	903454
46	591997
47	55687
48	2395210
49	73046
50	1841326
51	52837
52	1104019
53	90480
54	653490
55	239012
56	1314011
57	67869
58	502220
59	40238
60	4534256
61	53706
62	458423
63	62391
64	1262673
65	310799
66	492429
67	35011
68	903967
69	62293
70	975720
71	34911
72	1222586
73	41021
74	371622
75	138090
76	732994
77	41936
78	392726
79	33294
80	5055589
81	37289
82	360764
83	31530
84	879319
85	387149
86	298920
87	39025
88	794553
89	34302
90	1298638
91	27887
92	571005
93	39333
94	288233
95	157268
96	885621
97	27523
98	283894
99	29249
100	1463121
101	32608
102	280754
103	24999
104	561715
105	127873
106	248678
107	22400
108	516879
109	23534
110	537574
111	26506
112	505681
113	20945
114	239117
115	69987
116	396514
117	23955
118	192019
119	18330
120	2721693
121	17359
122	203303
123	20588
124	407084
125	198249
126	228627
127	17729
128	474381
129	22507
130	529666
131	16390
132	362840
133	19985
134	162384
135	102726
136	372171
137	15452
138	179070
139	16598
140	720810
141	20906
142	140747
143	17315
144	461749
145	64651
146	147147
147	17191
148	276114
149	16979
150	337414
151	14585
152	298653
153	15341
154	132297
155	43199
156	261814
157	12746
158	123685
159	15995
160	1688726
161	11841
162	142071
163	11734
164	263710
165	127699
166	117864
167	12803
168	311878
169	13597
170	363368
171	12636
172	203508
173	13075
174	116638
175	59654
176	232891
177	12380
178	103581
179	11260
180	814542
181	11358
182	94226
183	11630
184	216975
185	59519
186	107040
187	9823
188	181833
189	12543
190	231813
191	9179
192	245012
193	9746
194	86872
195	37985
196	161829
197	9895
198	91304
199	9047
200	735215
201	9870
202	84219
203	8408
204	166729
205	54028
206	75217
207	9963
208	167483
209	8362
210	200314
211	7662
212	134428
213	9111
214	68927
215	27857
216	175414
217	7555
218	68191
219	8037
220	305613
221	7396
222	74582
223	7004
224	139465
225	26790
226	62622
227	6825
228	125780
229	6419
230	117869
231	7232
232	121892
233	6154
234	62901
235	16767
236	101337
237	7097
238	54235
239	5987
240	1131704
241	5766
242	61055
243	6341
244	126420
245	77738
246	69044
247	6188
248	137021
249	7751
250	204651
251	5758
252	116275
253	6594
254	52157
255	36677
256	114830
257	5788
258	57551
259	5629
260	265348
261	7379
262	45993
263	5708
264	107505
265	24402
266	45711
267	6201
268	80622
269	5533
270	153003
271	4995
272	89620
273	5580
274	43689
275	16851
276	80948
277	4884
278	41638
279	5391
280	231150
281	4444
282	44656
283	4280
284	68805
285	23686
286	38602
287	4306
288	110107
289	4419
290	85900
291	4547
292	65206
293	5042
294	40255
295	13463
296	72548
297	4692
298	36260
299	3889
300	206200
301	4007
302	33920
303	4675
304	70413
305	13915
306	36966
307	3555
308	59027
309	4396
310	65577
311	3593
312	67459
313	3872
314	30177
315	10528
316	52298
317	3569
318	32599
319	3468
320	384116
321	3915
322	30805
323	3302
324	66595
325	24102
326	30548
327	3790
328	66181
329	3737
330	95114
331	3079
332	50025
333	3936
334	27491
335	13861
336	61945
337	3134
338	27866
339	3556
340	125351
341	3397
342	27340
343	3075
344	50635
345	11768
346	24869
347	2830
348	45773
349	2946
350	57225
351	3146
352	45235
353	2947
354	24635
355	7700
356	38866
357	3065
358	22022
359	2668
360	324203
361	2602
362	23147
363	2688
364	43827
365	22138
366	27509
367	2631
368	50859
369	3217
370	64388
371	2494
372	43816
373	3003
374	20562
375	13147
376	42394
377	2566
378	23698
379	2395
380	97085
381	3215
382	18956
383	2792
384	48845
385	8220
386	19144
387	2806
388	33362
389	2469
390	46981
391	2331
392	36423
393	2620
394	18337
395	5682
396	33470
397	2239
398	17431
399	2569
400	372794
401	2071
402	21610
403	1985
404	37014
405	26817
406	17230
407	2227
408	41585
409	2543
410	64949
411	2261
412	28791
413	2468
414	17685
415	9877
416	32774
417	2364
418	15938
419	2021
420	98299
421	2169
422	14688
423	2130
424	29542
425	7775
426	16097
427	1797
428	25069
429	2124
430	36913
431	1738
432	36049
433	1838
434	13823
435	5799
436	23554
437	1943
438	14972
439	1814
440	88722
441	1917
442	13359
443	1753
444	25092
445	7574
446	12782
447	1986
448	26401
449	1800
450	35629
451	1653
452	21209
453	1993
454	12275
455	4848
456	24855
457	1645
458	12148
459	1747
460	49524
461	1739
462	12832
463	1534
464	22351
465	4811
466	11171
467	1464
468	20362
469	1538
470	21613
471	1551
472	20472
473	1515
474	11468
475	3199
476	17571
477	1643
478	10242
479	1432
480	329440
481	1364
482	12503
483	1483
484	28261
485	20491
486	15492
487	1589
488	31051
489	2068
490	57113
491	1435
492	24462
493	1781
494	11074
495	11378
496	24031
497	1582
498	12442
499	1495
500	69733
501	2030
502	9859
503	1537
504	23941
505	7047
506	10172
507	1801
508	17247
509	1415
510	36360
511	1342
512	19022
513	1507
514	9516
515	4955
516	17438
517	1407
518	9206
519	1538
520	64141
521	1286
522	10208
523	1184
524	15120
525	7380
526	8731
527	1274
528	18990
529	1340
530	23928
531	1360
532	13885
533	1367
534	9012
535	3858
536	15002
537	1489
538	8255
539	1110
540	67320
541	1139
542	7969
543	1314
544	15602
545	5072
546	9148
547	1071
548	13784
549	1285
550	18710
551	1086
552	15799
553	1183
554	7401
555	3894
556	12689
557	1115
558	7902
559	1075
560	43378
561	1196
562	7223
563	1082
564	13456
565	3621
566	7019
567	1205
568	13154
569	1062
570	20299
571	1011
572	11222
573	1159
574	6658
575	2554
576	17496
577	995
578	6812
579	1127
580	27422
581	1064
582	7130
583	955
584	12323
585	2766
586	6820
587	932
588	11439
589	941
590	12322
591	1085
592	11649
593	969
594	6619
595	1765
596	10111
597	1042
598	5890
599	929
600	98124
601	942
602	6341
603	989
604	11495
605	5513
606	7418
607	875
608	13203
609	1026
610	17662
611	910
612	11648
613	953
614	5753
615	3242
616	11234
617	878
618	6406
619	876
620	26457
621	1020
622	5340
623	895
624	11539
625	2215
626	5473
627	1076
628	9232
629	889
630	12492
631	889
632	9871
633	883
634	5242
635	1667
636	9139
637	835
638	5147
639	876
640	62840
641	839
642	5797
643	834
644	10246
645	3700
646	5643
647	846
648	12484
649	825
650	14732
651	840
652	9015
653	950
654	5409
655	2512
656	9710
657	876
658	5230
659	852
660	25304
661	878
662	4581
663	880
664	9156
665	2137
666	5258
667	743
668	7813
669	877
670	10507
671	764
672	9255
673	801
674	4585
675	1948
676	7404
677	729
678	4820
679	732
680	23888
681	847
682	4537
683	741
684	7841
685	1919
686	4376
687	791
688	8057
689	690
690	9764
691	718
692	6736
693	797
694	4076
695	1483
696	7797
697	721
698	4267
699	708
700	15045
701	706
702	4230
703	700
704	6994
705	1491
706	3889
707	693
708	6614
709	679
710	6703
711	757
712	6592
713	675
714	3851
715	1105
716	5737
717	764
718	3728
719	614
720	101011
721	646
722	4294
723	641
724	8857
725	6224
726	6244
727	742
728	10452
729	818
730	17049
731	701
732	8993
733	786
734	4040
735	4014
736	8473
737	714
738	4612
739	746
740	20884
741	815
742	3678
743	783
744	8405
745	2237
746	3804
747	923
748	6148
749	683
750	12267
751	677
752	6829
753	686
754	3719
755	1646
756	6500
757	680
758	3736
759	783
760	20882
761	640
762	4057
763	611
764	5673
765	2475
766	3581
767	659
768	7741
769	664
770	7896
771	707
772	5506
773	680
774	3687
775	1407
776	6064
777	710
778	3481
779	629
780	15558
781	670
782	3272
783	708
784	5849
785	1356
786	3530
787	616
788	5502
789	710
790	6161
791	638
792	6009
793	584
794	3255
795	1308
796	4924
797	619
798	3300
799	558
800	176560
801	676
802	4742
803	612
804	10132
805	11875
806	3877
807	849
808	9967
809	761
810	27194
811	612
812	5964
813	736
814	3650
815	4455
816	7548
817	620
818	3645
819	728
820	29133
821	730
822	3295
823	642
824	6044
825	3082
826	3237
827	655
828	5270
829	603
830	12823
831	615
832	5471
833	627
834	3181
835	1857
836	4469
837	667
838	2930
839	604
840	28214
841	540
842	2938
843	616
844	4708
845	3071
846	3053
847	586
848	5429
849	634
850	9270
851	584
852	4452
853	583
854	2812
855	1923
856	4630
857	517
858	2965
859	537
860	15426
861	599
862	2616
863	560
864	6229
865	1684
866	2506
867	612
868	3937
869	557
870	7042
871	542
872	4225
873	612
874	2544
875	1201
876	3925
877	520
878	2580
879	612
880	17299
881	515
882	2673
883	516
884	3993
885	1808
886	2352
887	508
888	4498
889	489
890	7095
891	521
892	3546
893	534
894	2663
895	1240
896	4233
897	520
898	2443
899	514
900	16909
901	520
902	2442
903	559
904	4191
905	1148
906	2730
907	463
908	3785
909	527
910	5108
911	470
912	4262
913	489
914	2340
915	996
916	3473
917	468
918	2419
919	487
920	12989
921	495
922	2311
923	453
924	3791
925	1193
926	2225
927	533
928	3872
929	480
930	5343
931	484
932	3305
933	510
934	2271
935	971
936	3755
937	506
938	2251
939	486
940	7435
941	480
942	2396
943	530
944	3531
945	951
946	2166
947	462
948	3242
949	467
950	3726
951	469
952	3314
953	449
954	2225
955	665
956	3065
957	503
958	2100
959	473
960	63911
961	495
962	2375
963	445
964	5450
965	3298
966	3350
967	475
968	6025
969	536
970	11211
971	465
972	4900
973	522
974	2410
975	2458
976	4682
977	465
978	2657
979	553
980	14484
981	603
982	2176
983	509
984	4515
985	1695
986	2251
987	577
988	3421
989	510
990	7921
991	459
992	3724
993	456
994	2238
995	1298
996	3488
997	429
998	2166
999	564
1000	13269
1001	475
1002	2227
1003	510
1004	3076
1005	1570
1006	2117
1007	456
1008	3910
1009	457
1010	5138
1011	481
1012	3013
1013	507
1014	2194
1015	990
1016	3254
1017	480
1018	2081
1019	450
1020	9576
1021	463
1022	1856
1023	425
1024	3143
1025	902
1026	2069
1027	414
1028	2889
1029	451
1030	3993
1031	423
1032	3074
1033	469
1034	1861
1035	838
1036	2638
1037	432
1038	1906
1039	392
1040	9886
1041	471
1042	1913
1043	415
1044	2767
1045	985
1046	1804
1047	498
1048	3017
1049	444
1050	4708
1051	431
1052	2526
1053	453
1054	1823
1055	705
1056	2977
1057	406
1058	1844
1059	436
1060	6044
1061	426
1062	1925
1063	395
1064	2700
1065	699
1066	1695
1067	376
1068	2600
1069	432
1070	3130
1071	384
1072	2461
1073	394
1074	1832
1075	569
1076	2426
1077	437
1078	1715
1079	405
1080	19310
1081	354
1082	1778
1083	418
1084	2795
1085	1336
1086	2233
1087	357
1088	3250
1089	435
1090	4180
1091	410
1092	3036
1093	423
1094	1688
1095	1255
1096	2785
1097	421
1098	1907
1099	387
1100	5828
1101	484
1102	1601
1103	412
1104	2870
1105	706
1106	1700
1107	478
1108	2352
1109	426
1110	3635
1111	446
1112	2559
1113	418
1114	1613
1115	591
1116	2424
1117	434
1118	1690
1119	417
1120	6441
1121	412
1122	1686
1123	390
1124	2269
1125	887
1126	1611
1127	388
1128	2702
1129	396
1130	2950
1131	423
1132	2204
1133	407
1134	1713
1135	608
1136	2424
1137	391
1138	1626
1139	394
1140	5388
1141	382
1142	1573
1143	388
1144	2265
1145	555
1146	1597
1147	421
1148	2123
1149	401
1150	2530
1151	379
1152	2793
1153	383
1154	1593
1155	625
1156	2137
1157	385
1158	1594
1159	390
1160	5209
1161	381
1162	1563
1163	354
1164	2262
1165	602
1166	1518
1167	419
1168	2274
1169	353
1170	2731
1171	407
1172	2099
1173	371
1174	1486
1175	487
1176	2253
1177	352
1178	1475
1179	380
1180	3433
1181	401
1182	1595
1183	368
1184	2117
1185	542
1186	1529
1187	360
1188	2106
1189	382
1190	1933
1191	379
1192	2083
1193	385
1194	1506
1195	437
1196	1904
1197	402
1198	1433
1199	396
1200	52525
1201	330
1202	1815
1203	407
