Pay	Frequency
0	920710784
2	1175722
4	3315963
5	1794790
6	1267008
7	78494
8	3717942
9	41594
10	3076446
11	14569
12	2785571
13	34577
14	484514
15	481909
16	3108291
17	12092
18	835693
19	25429
20	4037811
21	177204
22	299735
23	27498
24	3040737
25	163158
26	284260
27	43173
28	1142926
29	27205
30	1517312
31	16217
32	2031763
33	64071
34	273965
35	86985
36	1398303
37	26265
38	272586
39	22960
40	3562046
41	15673
42	556880
43	10342
44	754508
45	271497
46	226925
47	11633
48	1814525
49	17771
50	603789
51	18823
52	638523
53	30511
54	361764
55	88686
56	981314
57	32582
58	201365
59	11906
60	1904263
61	18463
62	187985
63	34005
64	1049444
65	80100
66	278177
67	11256
68	497864
69	37520
70	374160
71	10827
72	997837
73	12248
74	166429
75	71789
76	457476
77	15280
78	217148
79	13179
80	1994515
81	19076
82	156179
83	13353
84	549793
85	97766
86	137972
87	19759
88	553640
89	10326
90	561637
91	10756
92	349374
93	21538
94	126033
95	56436
96	752777
97	8397
98	133125
99	17513
100	646445
101	11938
102	165964
103	9231
104	429416
105	52728
106	120319
107	10151
108	378310
109	8857
110	213731
111	13418
112	423446
113	7179
114	145899
115	30526
116	241635
117	14994
118	97096
119	7894
120	1209700
121	7023
122	101280
123	10786
124	233589
125	49697
126	125099
127	7704
128	369749
129	11213
130	193358
131	8866
132	256294
133	7916
134	81347
135	44922
136	277935
137	6710
138	107758
139	7476
140	335368
141	11362
142	71086
143	7387
144	386159
145	24177
146	74322
147	9657
148	164858
149	7156
150	167595
151	6383
152	230782
153	8475
154	68107
155	17711
156	184629
157	5777
158	64050
159	8427
160	731302
161	5274
162	79826
163	6351
164	138688
165	39760
166	60665
167	5717
168	235450
169	5650
170	144488
171	6887
172	126535
173	5445
174	66813
175	20850
176	180162
177	6062
178	53139
179	6191
180	396708
181	5395
182	51040
183	5640
184	156205
185	18724
186	64273
187	4736
188	109004
189	6202
190	96048
191	4578
192	212284
193	4451
194	43947
195	15847
196	104310
197	4251
198	55459
199	4242
200	326121
201	5473
202	43398
203	4602
204	117618
205	14454
206	39644
207	4552
208	127800
209	3674
210	89763
211	3817
212	85218
213	4824
214	36469
215	9436
216	151596
217	3455
218	36111
219	4181
220	138590
221	3513
222	44124
223	3226
224	111823
225	11010
226	32729
227	3760
228	92020
229	2840
230	51200
231	3724
232	90046
233	3010
234	38637
235	6409
236	64487
237	4029
238	29915
239	2897
240	493399
241	2902
242	30747
243	3459
244	68329
245	19194
246	36935
247	2673
248	88264
249	3597
250	78266
251	2603
252	78446
253	2852
254	26755
255	14440
256	88985
257	2794
258	32346
259	2801
260	115840
261	3816
262	23615
263	2523
264	87733
265	8680
266	24676
267	3063
268	50556
269	2356
270	71266
271	2251
272	70028
273	3084
274	22337
275	6242
276	57093
277	2230
278	21770
279	2513
280	118087
281	2187
282	27875
283	2011
284	42314
285	8497
286	20890
287	1902
288	91813
289	2190
290	34718
291	2504
292	40148
293	2212
294	24734
295	4276
296	53227
297	2502
298	19165
299	1944
300	104102
301	1979
302	18007
303	2131
304	55823
305	4700
306	21872
307	1800
308	36761
309	2247
310	27554
311	1630
312	56819
313	1778
314	15706
315	4653
316	34189
317	1591
318	19903
319	1347
320	181486
321	2134
322	15774
323	1660
324	42233
325	7536
326	15316
327	1671
328	41947
329	1573
330	44745
331	1453
332	31127
333	1924
334	14206
335	5123
336	51767
337	1449
338	14138
339	1725
340	59390
341	1503
342	16019
343	1264
344	35145
345	4445
346	12832
347	1390
348	32276
349	1288
350	23842
351	1482
352	34921
353	1410
354	14301
355	2600
356	24668
357	1534
358	11545
359	1190
360	158463
361	1248
362	11468
363	1387
364	25777
365	5290
366	14890
367	1146
368	34425
369	1497
370	25249
371	1328
372	29938
373	1139
374	10005
375	5418
376	30673
377	1130
378	13318
379	1097
380	44524
381	1522
382	9893
383	1085
384	40720
385	2780
386	9391
387	1322
388	20376
389	1049
390	22307
391	952
392	27501
393	1253
394	9036
395	2119
396	24035
397	871
398	9043
399	1188
400	134758
401	959
402	11443
