Pay	Frequency
0	780269234
2	8530685
4	15386373
5	9161270
6	1964949
7	544230
8	12339988
9	798517
10	15387769
11	125237
12	3989139
13	916849
14	1825562
15	2288724
16	6465446
17	408415
18	2335739
19	240199
20	17314466
21	524607
22	1321182
23	357400
24	3461640
25	1395178
26	1392357
27	185944
28	2109027
29	324569
30	5394971
31	244237
32	2926302
33	212540
34	1136508
35	509803
36	1878331
37	230156
38	891446
39	195050
40	12210785
41	171109
42	1113965
43	121729
44	1395993
45	1371847
46	809962
47	154359
48	1821418
49	162851
50	2476217
51	113387
52	1100695
53	167640
54	648126
55	433523
56	1174840
57	130728
58	564062
59	101332
60	5402122
61	123970
62	588422
63	109157
64	1186635
65	518942
66	534627
67	90232
68	861105
69	125914
70	1317507
71	89215
72	899194
73	92443
74	430669
75	236419
76	710749
77	92946
78	419876
79	83707
80	5538862
81	85810
82	468448
83	66949
84	833038
85	615079
86	341949
87	81232
88	669479
89	86119
90	1637099
91	59478
92	568528
93	86219
94	336037
95	269119
96	678459
97	68122
98	316468
99	64073
100	1692113
101	70263
102	290304
103	56571
104	497678
105	221091
106	272551
107	49313
108	446273
109	63450
110	701689
111	52009
112	429551
113	54117
114	256770
115	126081
116	352998
117	56017
118	212724
119	45077
120	3118842
121	46826
122	264298
123	41188
124	439061
125	327285
126	222858
127	48066
128	442961
129	54447
130	697374
131	38187
132	351135
133	48750
134	198583
135	165724
136	353345
137	41354
138	198867
139	37842
140	819958
141	43252
142	173381
143	38248
144	353366
145	115754
146	161016
147	34512
148	263965
149	40554
150	420248
151	32935
152	272133
153	36677
154	151102
155	77660
156	242131
157	35699
158	135583
159	33332
160	1712782
161	30685
162	173557
163	27448
164	274269
165	200143
166	127141
167	31887
168	282959
169	33964
170	437404
171	26991
172	204383
173	31416
174	124019
175	100466
176	211271
177	29124
178	113937
179	25408
180	893498
181	27450
182	110798
183	25527
184	207859
185	102078
186	109480
187	23333
188	184927
189	27654
190	291720
191	23209
192	198600
193	23169
194	98552
195	63081
196	163830
197	23288
198	94168
199	21702
200	850265
201	22650
202	98535
203	20388
204	170077
205	91007
206	82061
207	21372
208	158325
209	21791
210	238142
211	18551
212	133837
213	21785
214	77041
215	50637
216	143077
217	19027
218	74905
219	17887
220	334283
221	18618
222	73025
223	17236
224	129850
225	46691
226	67740
227	15680
228	118325
229	17579
230	140714
231	16076
232	111420
233	15945
234	65095
235	31569
236	99076
237	16532
238	58666
239	14317
240	1216263
241	14443
242	84425
243	13999
244	151691
245	123627
246	66202
247	16822
248	144164
249	18836
250	251536
251	13939
252	114860
253	16001
254	62701
255	59064
256	120336
257	14898
258	62604
259	14054
260	294954
261	15060
262	54370
263	14305
264	111374
265	42338
266	52288
267	13238
268	92696
269	13944
270	177718
271	12341
272	96815
273	12652
274	51545
275	30157
276	85493
277	12268
278	48107
279	12013
280	238873
281	11037
282	48746
283	10580
284	78496
285	38355
286	43981
287	10553
288	90504
289	11173
290	101168
291	10123
292	69066
293	11346
294	42186
295	23995
296	72632
297	10410
298	38992
299	9281
300	233198
301	10035
302	38683
303	9605
304	70759
305	24852
306	38425
307	8629
308	61824
309	10054
310	78341
311	8625
312	63253
313	8726
314	34198
315	17402
316	54037
317	8848
318	33903
319	8040
320	356961
321	8443
322	38462
323	7501
324	68600
325	37347
326	31694
327	8745
328	63530
329	8634
330	99768
331	6936
332	49247
333	8463
334	30702
335	22546
336	56044
337	7539
338	29032
339	7331
340	126648
341	7662
342	28936
343	6746
344	48736
345	18573
346	26383
347	6433
348	44056
349	7071
350	64028
351	6463
352	43147
353	6497
354	26108
355	13387
356	37764
357	6691
358	23492
359	5756
360	325813
361	5972
362	28091
363	5589
364	48442
365	35315
366	26403
367	6084
368	50608
369	6890
370	75749
371	5681
372	42014
373	6074
374	23956
375	18539
376	44239
377	5685
378	24621
379	5794
380	102178
381	6126
382	22438
383	6007
384	45159
385	14267
386	21721
387	5370
388	36149
389	5687
390	52203
391	5484
392	38108
393	5326
394	20805
395	10204
396	35211
397	5294
398	20705
399	5303
400	447700
401	4681
402	28784
403	4582
404	45322
405	41391
406	20730
407	5147
408	44355
409	5499
410	81905
411	4609
412	31887
413	5300
414	20372
415	16309
416	34466
417	4801
418	18335
419	4340
420	106787
421	4547
422	17757
423	4437
424	32623
425	13118
426	17490
427	3992
428	27598
429	4713
430	45081
431	3980
432	31024
433	3932
434	15805
435	8884
436	24991
437	4004
438	15611
439	3850
440	90862
441	3908
442	14861
443	3411
444	25824
445	12422
446	13715
447	3700
448	26115
449	3748
450	40987
451	3269
452	21966
453	3799
454	13119
455	8059
456	24179
457	3371
458	12615
459	3193
460	53675
461	3412
462	12990
463	3149
464	21837
465	7845
466	11652
467	2859
468	20027
469	3220
470	24148
471	3018
472	19720
473	2975
474	11518
475	5485
476	17548
477	3151
478	10412
479	2708
480	317193
481	2725
482	17721
483	2666
484	33140
485	30330
486	13057
487	3566
488	31054
489	3984
490	64522
491	2636
492	22614
493	3267
494	12865
495	15675
496	24652
497	3172
498	12931
499	3000
500	73465
501	3205
502	11341
503	2998
504	24018
505	10875
506	10835
507	2772
508	19421
509	3033
510	40521
511	2700
512	20709
513	2790
514	10884
515	7616
516	17987
517	2741
518	10299
519	2815
520	63478
521	2481
522	10499
523	2283
524	17485
525	10221
526	9738
527	2386
528	19154
529	2618
530	26698
531	2320
532	15316
533	2460
534	9687
535	6245
536	16738
537	2299
538	8628
539	2003
540	65063
541	2302
542	8987
543	2230
544	17124
545	7481
546	9168
547	1924
548	14492
549	2375
550	21776
551	1990
552	15682
553	2041
554	8107
555	4852
556	13765
557	2025
558	8140
559	1992
560	41213
561	1954
562	7848
563	1827
564	14175
565	5423
566	7557
567	1940
568	14451
569	1975
570	20619
571	1810
572	12193
573	1978
574	7334
575	4152
576	14851
577	1727
578	7157
579	1735
580	27782
581	1832
582	7171
583	1734
584	12564
585	3987
586	6855
587	1613
588	11654
589	1694
590	13251
591	1642
592	11482
593	1644
594	6667
595	2796
596	10349
597	1647
598	5947
599	1473
600	113700
601	1548
602	7461
603	1477
604	13055
605	8446
606	6349
607	1555
608	12616
609	1767
610	20829
611	1395
612	10606
613	1620
614	6099
615	4303
616	10522
617	1431
618	5885
619	1354
620	27939
621	1537
622	5383
623	1371
624	10573
625	3309
626	5333
627	1347
628	8902
629	1359
630	12766
631	1287
632	9057
633	1340
634	4978
635	2394
636	8518
637	1255
638	4606
639	1243
640	52067
641	1236
642	5738
643	1127
644	9996
645	4746
646	4660
647	1225
648	10215
649	1239
650	14167
651	1100
652	7708
653	1283
654	4899
655	3293
656	8484
657	1226
658	4491
659	1097
660	22453
661	1109
662	4170
663	1017
664	7918
665	3046
666	4417
667	987
668	7155
669	1238
670	10205
671	954
672	7811
673	1051
674	4046
675	2334
676	6417
677	1043
678	4051
679	1000
680	21772
681	960
682	3795
683	889
684	6854
685	2669
686	3647
687	931
688	6734
689	944
690	8858
691	891
692	5804
693	1009
694	3377
695	1860
696	6454
697	894
698	3331
699	875
700	14159
701	876
702	3344
703	805
704	5999
705	1794
706	3204
707	768
708	5562
709	839
710	6119
711	768
712	5500
713	767
714	3139
715	1379
716	4890
717	796
718	2913
719	723
720	90038
721	749
722	4692
723	701
724	9133
725	8764
726	4077
727	963
728	8963
729	1126
730	17883
731	753
732	6944
733	919
734	3822
735	4422
736	7396
737	843
738	3890
739	892
740	20215
741	964
742	3375
743	974
744	7428
745	2977
746	3386
747	910
748	6142
749	989
750	11918
751	958
