Pay	Frequency
0	996978029
4	237
6	1848
8	2471
10	272
12	2717
14	307
15	701
16	3353
18	610
19	8
20	1174
21	83
22	682
23	128
24	3343
25	71
26	956
27	119
28	1551
29	10
30	878
31	196
32	4498
33	85
34	541
35	173
36	1645
37	75
38	765
39	121
40	2724
41	181
42	954
43	58
44	2065
45	137
46	1031
47	269
48	3199
49	118
50	848
51	85
52	2132
53	102
54	689
55	299
56	3097
57	254
58	920
59	149
60	2025
61	133
62	926
63	142
64	4267
65	261
66	949
67	116
68	1873
69	144
70	1073
71	182
72	2926
73	212
74	1165
75	244
76	1894
77	158
78	903
79	195
80	3321
81	204
82	1075
83	197
84	2117
85	276
86	1230
87	247
88	2789
89	262
90	1244
91	187
92	2390
93	167
94	1122
95	285
96	3188
97	211
98	1047
99	249
100	2114
101	191
102	1103
103	243
104	2991
105	260
106	1251
107	242
108	2229
109	175
110	1137
111	269
112	3241
113	225
114	1134
115	305
116	2155
117	207
118	1140
119	255
120	3137
121	236
122	1221
123	249
124	2078
125	235
126	1349
127	269
128	3272
129	274
130	1293
131	260
132	2224
133	251
134	1192
135	315
136	2668
137	260
138	1320
139	297
140	2276
141	233
142	1234
143	273
144	3163
145	268
146	1241
147	297
148	2076
149	216
150	1258
151	282
152	2851
153	297
154	1269
155	339
156	2183
157	254
158	1280
159	296
160	3169
161	264
162	1347
163	300
164	2165
165	316
166	1375
167	283
168	2885
169	328
170	1331
171	299
172	2222
173	305
174	1386
175	293
176	2933
177	307
178	1296
179	317
180	2358
181	295
182	1345
183	304
184	2765
185	320
186	1396
187	310
188	2294
189	278
190	1405
191	294
192	3105
193	329
194	1372
195	289
196	2136
197	340
198	1360
199	333
200	2773
201	299
202	1446
203	289
204	2261
205	318
206	1365
207	331
208	2826
209	334
210	1351
211	338
212	2279
213	302
214	1325
215	340
216	2808
217	349
218	1444
219	303
220	2220
221	331
222	1388
223	337
224	2803
225	297
226	1405
227	339
228	2184
229	338
230	1353
231	336
232	2755
233	323
234	1367
235	338
236	2183
237	320
238	1389
239	352
240	2904
241	349
242	1424
243	368
244	2225
245	344
246	1402
247	383
248	2737
249	351
250	1471
251	368
252	2295
253	357
254	1435
255	337
256	2666
257	349
258	1401
259	357
260	2281
261	344
262	1402
263	341
264	2693
265	351
266	1408
267	377
268	2158
269	383
270	1449
271	365
272	2704
273	357
274	1471
275	367
276	2257
277	344
278	1437
279	331
280	2681
281	347
282	1464
283	348
284	2176
285	389
286	1445
287	394
288	2780
289	385
290	1469
291	384
292	2237
293	371
294	1400
295	377
296	2546
297	372
298	1467
299	417
300	2257
301	359
302	1480
303	386
304	2672
305	376
306	1423
307	397
308	2144
309	356
310	1480
311	387
312	2467
313	392
314	1439
315	381
316	2250
317	365
318	1503
319	370
320	2802
321	380
322	1443
323	390
324	2289
325	394
326	1493
327	364
328	2525
329	369
330	1451
331	365
332	2217
333	372
334	1542
335	382
336	2594
337	385
338	1400
339	424
340	2151
341	367
342	1464
343	374
344	2565
345	372
346	1456
347	389
348	2149
349	331
350	1489
351	380
352	2570
353	388
354	1456
355	382
356	2196
357	349
358	1475
359	430
360	2627
361	387
362	1429
363	405
364	2077
365	335
366	1531
367	438
368	2540
369	391
370	1532
371	400
372	2256
373	401
374	1415
375	406
376	2582
377	393
378	1500
379	376
380	2204
381	397
382	1414
383	418
384	2622
385	392
386	1491
387	398
388	2185
389	391
390	1506
391	399
392	2523
393	390
394	1472
395	394
396	2133
397	387
398	1499
399	386
400	2516
401	388
402	1519
403	442
404	2155
405	414
406	1505
407	398
408	2362
409	420
410	1531
411	410
412	2132
413	380
414	1484
415	444
416	2410
417	386
418	1487
419	405
420	2207
421	348
422	1487
423	386
424	2408
425	437
426	1456
427	396
428	2144
429	421
430	1519
431	396
432	2357
433	386
434	1395
435	426
436	2122
437	397
438	1491
439	431
440	2366
441	417
442	1473
443	422
444	2158
445	412
446	1506
447	408
448	2389
449	401
450	1471
451	443
452	2122
453	415
454	1462
455	381
456	2344
457	372
458	1434
459	435
460	2037
461	424
462	1524
463	398
464	2404
465	404
466	1440
467	444
468	2090
469	430
470	1481
471	417
472	2329
473	395
474	1487
475	427
476	2091
477	416
478	1454
479	418
480	2467
481	429
482	1484
483	389
484	2157
485	418
486	1501
487	448
488	2230
489	408
490	1378
491	412
492	2149
493	400
494	1509
495	408
496	2375
497	427
498	1469
499	424
500	2113
501	443
502	1474
503	426
504	2392
505	442
506	1469
507	441
508	2118
509	376
510	1533
511	477
512	2299
513	396
514	1417
515	413
516	1983
517	436
518	1458
519	411
520	2240
521	413
522	1400
523	420
524	2055
525	411
526	1562
527	441
528	2294
529	423
530	1478
531	411
532	2049
533	433
534	1402
535	421
536	2239
537	379
538	1486
539	430
540	2047
541	409
542	1457
543	420
544	2244
545	391
546	1468
547	433
548	2004
549	435
550	1428
551	440
552	2191
553	395
554	1431
555	399
556	2007
557	434
558	1481
559	437
560	2180
561	458
562	1367
563	419
564	1998
565	399
566	1404
567	431
568	2236
569	461
570	1453
571	402
572	2028
573	397
574	1378
575	435
576	2190
577	407
578	1440
579	452
580	1961
581	435
582	1456
583	435
584	2177
585	442
586	1458
587	413
588	1929
589	408
590	1459
591	379
592	2172
593	442
594	1475
595	465
596	2090
597	443
598	1442
599	396
600	2138
601	415
602	1463
603	430
604	2025
605	413
606	1472
607	446
608	2108
609	428
610	1502
611	434
612	1997
613	401
614	1491
615	396
616	2163
617	453
618	1432
619	472
620	1955
621	448
622	1506
623	460
624	2147
625	452
626	1364
627	424
628	2011
629	407
630	1440
631	430
632	2121
633	426
634	1444
635	437
636	1890
637	404
638	1524
639	434
640	2203
641	434
642	1436
643	436
644	1961
645	449
646	1478
647	463
648	2007
649	455
650	1405
651	412
652	1902
653	439
654	1432
655	414
656	2100
657	428
658	1452
659	432
660	1926
661	470
662	1500
663	436
664	2125
665	424
666	1445
667	451
668	1895
669	432
670	1450
671	475
672	2119
673	442
674	1421
675	448
676	1903
677	453
678	1416
679	429
680	2032
681	456
682	1469
683	430
684	1916
685	403
686	1381
687	448
688	1973
689	447
690	1425
691	450
692	1825
693	443
694	1413
695	487
696	1957
697	412
698	1498
699	449
700	1863
701	436
702	1399
703	430
704	2066
705	438
706	1385
707	411
708	1907
709	422
710	1452
711	435
712	1961
713	428
714	1456
715	430
716	1893
717	427
718	1447
719	474
720	2031
721	456
722	1341
723	452
724	1871
725	455
726	1416
727	417
728	1974
729	442
730	1404
731	416
732	1903
733	446
734	1378
735	414
736	2036
737	444
738	1400
739	428
740	1853
741	434
742	1458
743	430
744	1926
745	470
746	1394
747	459
748	1810
749	432
750	1467
751	457
752	1929
753	434
754	1398
755	476
756	1705
757	398
758	1424
759	434
760	2032
761	423
762	1301
763	443
764	1838
765	443
766	1354
767	475
768	1911
769	402
770	1363
771	410
772	1793
773	408
774	1339
775	420
776	1930
777	434
778	1394
779	424
780	1854
781	449
782	1313
783	448
784	1897
785	443
786	1378
787	451
788	1855
789	401
790	1325
791	420
792	1869
793	426
794	1398
795	397
796	1789
797	423
798	1368
799	445
800	1900
801	388
802	1406
803	441
804	1841
805	418
806	1377
807	430
808	1922
809	418
810	1327
811	416
812	1738
813	385
814	1324
815	403
816	1885
817	498
818	1371
819	427
820	1773
821	435
822	1387
823	446
824	1815
825	409
826	1335
827	432
828	1755
829	412
830	1377
831	423
