Pay	Frequency
0	780269234
2	12182013
4	24521324
5	12765384
6	2747625
7	954616
8	22074651
9	635345
10	22491284
11	121785
12	6224561
13	624861
14	2203091
15	2957827
16	11191118
17	201070
18	1741047
19	165058
20	23566822
21	406326
22	622220
23	170700
24	4612840
25	462456
26	725742
27	48512
28	1794367
29	79751
30	5675666
31	68578
32	3725570
33	34229
34	436201
35	115506
36	1307906
37	48367
38	261956
39	44011
40	15445428
41	8831
42	563168
43	5010
44	480456
45	621756
46	195329
47	19181
48	1813705
49	12205
50	671435
51	20155
52	359981
53	19086
54	158902
55	50368
56	682448
57	19863
58	69190
59	1038
60	5804798
61	7465
62	125852
63	32204
64	737249
65	89769
66	86250
67	4519
68	270149
69	26154
70	195083
71	1539
72	444693
73	1011
74	35980
75	22336
76	143255
77	1670
78	72502
79	701
80	6322664
81	8316
82	64927
83	287
84	299351
85	110764
86	9894
87	11302
88	132706
89	1237
90	849966
91	233
92	78107
93	12479
94	25658
95	20828
96	355127
97	676
98	18602
99	4001
100	636539
101	938
102	40413
103	192
104	63087
105	10490
106	15571
107	115
108	69299
109	135
110	58065
111	5665
112	103932
113	79
114	27830
115	900
116	17341
117	4676
118	1169
119	68
120	3626397
121	71
122	43871
123	1827
124	84864
125	58826
126	34031
127	1982
128	125529
129	1841
130	90827
131	114
132	42703
133	204
134	5245
135	39860
136	65477
137	243
138	18449
139	273
140	108163
141	3179
142	1747
143	174
144	86971
145	1400
146	1138
147	1740
148	7972
149	120
150	73623
151	48
152	28665
153	802
154	1656
155	1050
156	16077
157	33
158	794
159	2342
160	1781312
161	8
162	21261
163	8
164	29713
165	28842
166	1108
167	401
168	60851
169	144
170	48482
171	1001
172	4231
173	99
174	4884
175	3808
176	14395
177	336
178	835
179	12
180	668257
181	22
182	4606
183	1346
184	16409
185	8038
186	8491
187	257
188	11431
189	993
190	19173
191	23
192	44070
193	29
194	736
195	2684
196	8308
197	32
198	3828
199	7
200	629309
201	894
202	4008
203	7
204	18184
205	9545
206	440
207	623
208	6394
209	39
210	22588
211	5
212	4026
213	355
214	207
215	1574
216	13624
217	8
218	158
219	215
220	34007
221	10
222	1927
223	3
224	9006
225	1325
226	94
227	5
228	7434
229	4
230	3112
231	322
232	1681
233	8
234	1470
235	61
236	330
237	196
238	51
240	1498266
242	12317
243	206
244	27909
245	22238
246	3672
247	389
248	28040
249	225
250	34560
251	18
252	12682
253	40
254	1693
255	3800
256	19456
257	24
258	1306
259	15
260	34661
261	311
262	186
263	10
264	8098
265	276
266	155
267	135
268	1636
269	4
270	55860
271	1
272	7600
273	61
274	314
275	392
276	2940
277	4
278	242
279	77
280	23646
282	1914
284	465
285	869
286	154
287	2
288	11641
289	1
290	1705
291	145
292	321
293	12
294	1560
295	48
296	904
297	95
298	69
300	116124
301	1
302	508
303	107
304	2479
305	680
306	919
307	11
308	499
309	38
310	2701
312	1316
314	42
315	281
316	200
317	1
318	1027
320	345192
321	33
322	2575
324	6857
325	3713
326	79
327	68
328	3925
329	16
330	8407
332	435
333	42
334	233
335	420
336	5676
337	1
338	62
339	22
340	9436
341	6
342	326
344	518
345	77
346	57
348	496
350	1341
351	28
352	573
353	1
354	108
355	8
356	99
357	14
358	16
360	341587
362	1892
363	9
364	3556
365	4583
366	3125
367	50
368	3480
369	33
370	5908
371	4
372	4602
373	4
374	204
375	1213
376	2420
377	4
378	1006
379	2
380	7212
381	394
382	22
384	5927
385	68
386	41
387	84
388	210
389	2
390	2302
392	1286
393	29
394	23
395	8
396	1503
398	14
399	35
400	506042
402	3918
404	4045
405	11161
406	277
407	89
408	3829
409	38
410	13611
411	55
412	329
413	11
414	293
415	1430
416	728
417	67
418	23
419	8
420	14989
421	4
422	36
423	54
424	409
425	126
426	111
427	1
428	93
429	37
430	2147
432	2209
433	1
434	8
435	38
436	38
437	2
438	84
440	9526
441	21
442	23
444	251
445	184
446	1
447	14
448	566
449	1
450	7196
452	51
453	16
454	23
455	20
456	429
458	7
459	10
460	2321
462	94
464	83
465	28
466	5
468	82
470	255
471	7
472	40
474	40
475	7
476	1
477	7
480	407930
482	2874
483	3
484	6372
485	4870
486	750
487	49
488	5585
489	20
490	8645
491	2
492	1151
493	3
494	266
495	717
496	3232
497	1
498	160
499	3
500	7682
501	47
502	21
504	1874
505	55
506	23
507	7
508	269
