Pay	Frequency
0	777794604
2	8509088
4	15205490
5	9142208
6	1948675
7	544437
8	12086595
9	796736
10	15277669
11	124994
12	3911938
13	911948
14	1802067
15	2271627
16	6246259
17	406852
18	2295691
19	239380
20	17111537
21	514752
22	1447358
23	351753
24	3341337
25	1386916
26	1356481
27	184000
28	2036937
29	317600
30	5318876
31	237248
32	2783429
33	207140
34	1098428
35	505578
36	1770149
37	223909
38	861597
39	186344
40	12027549
41	163704
42	1075619
43	117054
44	1558490
45	1353653
46	776577
47	148386
48	1739739
49	161858
50	2424459
51	109329
52	1046100
53	160855
54	617031
55	480425
56	1105343
57	124959
58	536341
59	100461
60	5282999
61	118623
62	563009
63	106885
64	1120594
65	513693
66	543793
67	88095
68	814041
69	118904
70	1291302
71	85878
72	843306
73	87933
74	409668
75	230948
76	665535
77	102770
78	393806
79	80540
80	5420568
81	81411
82	449008
83	62800
84	785177
85	611035
86	322003
87	77306
88	814832
89	83291
90	1598826
91	56190
92	540008
93	85598
94	318708
95	266024
96	652184
97	66585
98	306071
99	72653
100	1645743
101	68138
102	275532
103	56661
104	471509
105	217274
106	257998
107	48113
108	417489
109	60698
110	798940
111	50072
112	405239
113	51335
114	247621
115	124464
116	331122
117	52833
118	208909
119	43078
120	3044136
121	47797
122	255349
123	39064
124	414934
125	322339
126	212881
127	45336
128	419219
129	52196
130	679794
131	36141
132	417367
133	46375
134	190478
135	161678
136	338766
137	42006
138	186091
139	36907
140	798837
141	41333
142	167820
143	54287
144	348293
145	113719
146	153268
147	33981
148	250679
149	38896
150	409945
151	33245
152	258686
153	35305
154	183018
155	76424
156	230676
157	34335
158	132822
159	31989
160	1661607
161	29740
162	170645
163	26419
164	262359
165	223710
166	121628
167	31326
168	271828
169	34395
170	428458
171	26379
172	193022
173	33013
174	118282
175	99585
176	313772
177	28499
178	116319
179	24513
180	877518
181	29048
182	107724
183	26040
184	205310
185	103480
186	108755
187	30776
188	179862
189	27886
190	287697
191	24211
192	207517
193	23264
194	98831
195	63516
196	159530
197	23530
198	141893
199	22605
200	837664
201	22434
202	99832
203	20615
204	164164
205	90781
206	85098
207	21023
208	155914
209	27268
210	236662
211	18792
212	130174
213	22458
214	77557
215	49875
216	147001
217	19509
218	74872
219	17698
220	440371
221	18824
222	73745
223	16876
224	131521
225	48498
226	67982
227	16162
228	122544
229	18296
230	143611
231	27237
232	112721
233	16595
234	66659
235	33248
236	103200
237	16518
238	59212
239	16619
240	1196250
241	14853
242	110858
243	14698
244	150056
245	123808
246	69258
247	17998
248	141759
249	19061
250	250325
251	14227
252	117749
253	25088
254	65020
255	59056
256	119849
257	15692
258	63931
259	14471
260	289627
261	16046
262	55537
263	14579
264	173141
265	42360
266	55099
267	12922
268	99291
269	16107
270	175269
271	13048
272	101409
273	13844
274	54842
275	39073
276	89114
277	13438
278	50388
279	13482
280	236962
281	11594
282	50127
283	11701
284	81891
285	38695
286	72567
287	11387
288	103760
289	11583
290	104891
291	11500
292	73269
293	11948
294	47040
295	24972
296	76819
297	15121
298	42393
299	10121
300	233276
301	11438
302	43055
303	10358
304	73209
305	26161
306	40278
307	9525
308	98913
309	11016
310	81034
311	9388
312	74943
313	10083
314	37351
315	18219
316	61321
317	9880
318	37626
319	14399
320	350841
321	9517
322	41058
323	8923
324	73343
325	37418
326	34594
327	10242
328	66765
329	9671
330	150939
331	7874
332	53854
333	9421
334	36664
335	23850
336	66816
337	8382
338	35639
339	8178
340	129988
341	13977
342	32779
343	8143
344	53376
345	20585
346	31730
347	7244
348	48925
349	8740
350	68078
351	7827
352	81742
353	7586
354	31852
355	14591
356	47013
357	8709
358	27157
359	7159
360	326324
361	7344
362	32927
363	10367
364	54023
365	36561
366	30034
367	7699
368	55444
369	7915
370	78898
371	6650
372	48266
373	7610
374	44101
375	19665
376	50440
377	6577
378	29960
379	7529
380	104350
381	7339
382	28028
383	7100
384	56178
385	19833
386	26096
387	6569
388	41450
389	7422
390	56214
391	6543
392	43202
393	6825
394	25003
395	11399
396	61367
397	6437
398	25593
399	6411
400	448523
401	6522
402	32411
403	5748
404	51711
405	42598
406	24859
407	9753
408	51684
409	6766
410	84913
411	6108
412	38403
413	6468
414	23753
415	17936
416	41524
417	5866
418	34327
419	5589
420	112001
421	5608
422	22906
423	5783
424	38401
425	14298
426	22339
427	5069
428	33432
429	8560
430	48122
431	5357
432	40509
433	5295
434	20562
435	9866
436	30275
437	5662
438	20105
439	5180
440	162620
441	5305
442	20478
443	4379
444	34865
445	14632
446	18980
447	5034
448	34968
449	5136
450	47806
451	6408
452	29148
453	5279
454	17798
455	9822
456	33463
457	4522
458	17087
459	4659
460	60863
461	4821
462	31436
463	4330
464	28833
465	8884
466	17362
467	4160
468	26728
469	4382
470	29936
471	4209
472	26205
473	5738
474	15720
475	6736
476	22867
477	4549
478	15263
479	3844
480	318010
481	4032
482	22088
483	4021
484	52147
485	31556
486	17951
487	4733
488	37732
489	5477
490	67172
491	3892
492	29946
493	4618
494	17636
495	24739
496	30571
497	4490
498	16840
499	4487
500	78135
501	4414
502	15348
503	4345
504	33766
505	11942
506	23924
507	3945
508	25639
509	4371
510	44454
511	4223
512	26509
513	4077
514	15954
515	8816
516	23684
517	5834
518	14634
519	4052
520	67484
521	3753
522	15041
523	3507
524	22475
525	11551
526	13560
527	3563
528	43595
529	3759
530	31122
531	3245
532	22157
533	4095
534	14027
535	7606
536	24089
537	3504
538	13481
539	5063
540	70083
541	3679
542	13023
543	3504
544	23500
545	8521
546	13223
547	3196
548	20721
549	3776
550	40405
551	3232
552	23216
553	3050
554	12878
555	6164
556	19578
557	3265
558	12962
559	3211
560	46476
561	4457
562	11755
563	2995
564	19731
565	6842
566	12034
567	3059
568	19558
569	3201
570	24428
571	3123
572	26190
573	3129
574	11873
575	5251
576	23745
577	2966
578	11105
579	2968
580	33232
581	3036
582	11520
583	4456
584	19035
585	5024
586	10528
587	2810
588	17845
589	2935
590	17208
591	2882
592	17550
593	2886
594	15677
595	3925
596	16255
597	2953
598	10114
599	2746
600	118734
601	2637
602	11748
603	2499
604	18355
605	12102
606	10273
607	2676
608	17911
609	2996
610	24531
611	2412
612	15987
613	2942
614	9961
615	5525
616	24553
617	2508
618	10085
619	2502
620	33693
621	2835
622	9132
623	2417
624	18377
625	4644
626	9291
627	3479
628	14053
629	2739
630	16473
631	2554
632	14625
633	2477
634	8940
635	3476
636	14095
637	2549
638	12601
639	2276
640	55676
641	2280
642	9443
643	2263
644	14712
645	6031
646	8532
647	2331
648	16096
649	3265
650	17568
651	2261
652	12498
653	2476
654	8565
655	4380
656	13711
657	2323
658	8258
659	2134
660	70538
661	2203
662	8321
663	2161
664	14689
665	4713
666	8143
667	2099
668	13378
669	2379
670	14820
671	2985
672	15229
673	2216
674	7723
675	3608
676	12172
677	2203
678	7836
679	2132
680	28004
681	2189
682	12537
683	1878
684	12391
685	3780
686	7448
687	2105
688	11847
689	2134
690	12911
691	1868
692	10841
693	3010
694	6855
695	2890
696	12019
697	2004
698	7026
699	1878
700	19600
701	2127
702	6964
703	1902
704	19329
705	2894
706	6851
707	1819
708	11436
709	2148
710	9608
711	1840
712	11098
713	1902
714	7102
715	5559
716	9681
717	1917
718	6213
719	1891
720	95629
721	1825
722	8005
723	1870
724	14033
725	10032
726	10426
727	1950
728	13963
729	2102
730	21492
731	1775
732	11313
733	2007
734	7351
735	5422
736	12271
737	2601
738	7232
739	1908
740	24342
741	2107
742	6751
743	1952
744	13402
745	4040
746	6585
747	1844
748	16401
749	2011
750	14875
751	1863
752	12194
753	1853
754	6815
755	3124
756	11703
757	1954
758	6861
759	2672
760	24065
761	1734
762	6765
763	1907
764	10819
765	3912
766	6582
767	1852
768	13131
769	1832
770	18564
771	1776
772	9879
773	1904
774	6830
775	2934
776	10647
777	1795
778	6311
779	1656
780	18862
781	2282
782	6229
783	1717
784	10379
785	2805
786	6270
787	1607
788	9351
789	1825
790	9230
791	1643
792	15525
793	1679
794	5866
795	2208
796	9406
797	1722
798	6006
799	1613
800	202147
801	1650
802	10456
803	2064
804	16849
805	18367
806	6285
807	2078
808	14736
809	2003
810	34491
811	1527
812	10112
813	1912
814	8713
815	7393
816	12460
817	1751
818	6081
819	1744
820	34760
821	1647
822	6300
823	1601
824	10276
825	6569
826	5736
827	1476
828	8840
829	1742
830	18303
831	1461
832	9193
833	1593
834	5668
835	3481
836	11606
837	1579
838	5441
839	1500
840	32069
841	1566
842	5410
843	1418
844	8801
845	5271
846	5387
847	1972
848	8998
849	1539
850	12885
851	1384
852	8569
853	1493
854	5164
855	3196
856	8104
857	1443
858	6897
859	1393
860	19543
861	1478
862	4961
863	1395
864	9285
865	3229
866	4834
867	1379
868	7270
869	1874
870	9723
871	1352
872	7197
873	1444
874	4971
875	2386
876	7232
877	1444
878	4517
879	1366
880	48895
881	1350
882	5272
883	1265
884	8147
885	3584
886	4614
887	1310
888	8463
889	1382
890	10939
891	1605
892	6975
893	1359
894	4596
895	2511
896	7544
897	1293
898	4554
899	1185
900	21996
901	1247
902	7831
903	1242
904	7051
905	2293
906	4456
907	1288
908	6197
909	1316
910	7644
911	1180
912	7362
913	1549
914	4085
915	1762
916	5995
917	1280
918	4368
919	1143
920	15527
921	1218
922	4107
923	1130
924	11383
925	2397
926	4039
927	1210
928	6528
929	1320
930	7092
931	1155
932	6052
933	1281
934	4158
935	4905
936	6666
937	1209
938	3745
939	1264
940	10323
941	1175
942	3938
943	1203
944	6110
945	1874
946	5275
947	1117
948	5773
949	1156
950	5649
951	1124
952	5685
953	1136
954	3842
955	1624
956	5336
957	1556
958	3618
959	1136
960	55299
961	1125
962	4987
963	1053
964	8121
965	4863
966	4113
967	1296
968	10555
969	1297
970	12629
971	1084
972	6582
973	1344
974	4059
975	3342
976	6855
977	1180
978	4299
979	1611
980	15648
981	1248
982	3849
983	1182
984	7442
985	2654
986	3761
987	1169
988	5994
989	1261
990	19388
991	1064
992	6227
993	1143
994	4198
995	2333
996	5735
997	1185
998	3987
999	1184
1000	14996
1001	1317
1002	3749
1003	1114
1004	5737
1005	2415
1006	3854
1007	1140
1008	7182
1009	1117
1010	6998
1011	1025
1012	7542
1013	1126
1014	3747
1015	1744
1016	6080
1017	1141
1018	3636
1019	1035
1020	11276
1021	1025
1022	3646
1023	1389
1024	5708
1025	1735
1026	3472
1027	1008
1028	5395
1029	1100
1030	5838
1031	1013
1032	5705
1033	1026
1034	4872
1035	1416
1036	4952
1037	1033
1038	3491
1039	1072
1040	10879
1041	1035
1042	3273
1043	929
1044	5353
1045	3087
1046	3257
1047	1053
1048	5246
1049	988
1050	6194
1051	926
1052	4868
1053	1068
1054	3242
1055	1538
1056	8080
1057	959
1058	3249
1059	970
1060	8098
1061	1095
1062	3090
1063	979
1064	5303
1065	1381
1066	3307
1067	1229
1068	4890
1069	998
1070	4647
1071	1003
1072	4858
1073	959
1074	3085
1075	1168
1076	4371
1077	974
1078	4273
1079	1002
1080	18052
1081	867
1082	3361
1083	911
1084	4740
1085	2262
1086	3193
1087	938
1088	5243
1089	1270
1090	5458
1091	890
1092	4795
1093	990
1094	3254
1095	1610
1096	4798
1097	953
1098	3068
1099	1001
1100	15939
1101	963
1102	3094
1103	1016
1104	5348
1105	1491
