Pay	Frequency
0	911923459
2	1564053
4	3304394
5	3072775
6	523673
7	174252
8	3615342
9	109919
10	4909681
11	45555
12	1641537
13	105135
14	690202
15	795422
16	2949979
17	99790
18	638267
19	94923
20	5498656
21	221422
22	413837
23	101246
24	2090968
25	279151
26	463882
27	78244
28	1114116
29	92529
30	1948961
31	84100
32	1947864
33	67503
34	459151
35	142745
36	1049856
37	70436
38	380091
39	67534
40	4095931
41	45999
42	574230
43	41086
44	732632
45	369668
46	345700
47	55383
48	1557170
49	42258
50	738504
51	71383
52	688330
53	57881
54	323123
55	133561
56	855279
57	56309
58	283507
59	32060
60	2169053
61	45880
62	286358
63	76684
64	905652
65	135135
66	274366
67	31023
68	559530
69	59697
70	423418
71	32540
72	824760
73	30463
74	197174
75	91096
76	490017
77	39985
78	259074
79	33690
80	2065522
81	41990
82	185231
83	24516
84	576061
85	160357
86	155268
87	50616
88	510495
89	28034
90	650554
91	21673
92	413640
93	53762
94	163261
95	92511
96	674793
97	23374
98	148166
99	32423
100	708838
101	30190
102	190961
103	23804
104	389433
105	86281
106	142428
107	17961
108	363658
109	24352
110	248698
111	33740
112	367017
113	20420
114	156198
115	47485
116	260323
117	34075
118	102257
119	19048
120	1333872
121	17618
122	129121
123	24088
124	279710
125	86576
126	151983
127	20910
128	367231
129	25104
130	237031
131	15426
132	277562
133	19330
134	99656
135	68917
136	300523
137	16008
138	135636
139	15401
140	357663
141	28549
142	85594
143	17775
144	349719
145	43903
146	81779
147	21219
148	175592
149	17352
150	178877
151	16116
152	239603
153	21235
154	78105
155	30264
156	200623
157	15378
158	70091
159	22740
160	739496
161	13066
162	97368
163	12551
164	153902
165	65300
166	62492
167	14859
168	249304
169	12755
170	164655
171	16173
172	132590
173	14247
174	80258
175	37155
176	181180
177	15149
178	57618
179	11510
180	441284
181	12577
182	54585
183	16943
184	171779
185	33289
186	78325
187	11373
188	126056
189	16178
190	108520
191	11989
192	210977
193	10183
194	51061
195	28331
196	118855
197	11185
198	60721
199	10888
200	358692
201	13734
202	47982
203	10030
204	134035
205	28060
206	41845
207	13414
208	131556
209	9623
210	98662
211	9060
212	103354
213	12379
214	38398
215	18193
216	139600
217	8529
218	39152
219	10521
220	153273
221	8885
222	48877
223	8713
224	108616
225	19941
226	35315
227	7768
228	105143
229	8225
230	55868
231	10433
232	92946
233	7564
234	42795
235	12422
236	71778
237	9937
238	30233
239	7692
240	557446
241	6960
242	38066
243	9216
244	89998
245	33149
246	39965
247	7942
248	109244
249	9344
250	93009
251	6923
252	95711
253	7233
254	31611
255	23283
256	109011
257	6547
258	36762
259	6639
260	137206
261	8994
262	26546
263	6983
264	103820
265	15624
266	26111
267	7540
268	63036
269	6431
270	79478
271	6063
272	88855
273	7067
274	25601
275	11085
276	71857
277	5652
278	25445
279	6998
280	126119
281	5685
282	33118
283	5300
284	52159
285	14742
286	24875
287	5508
288	93717
289	5355
290	38790
291	6217
292	47761
293	5673
294	29128
295	8715
296	57927
297	6027
298	21478
299	4743
300	114480
301	5070
302	22050
303	6037
304	60844
305	9064
306	25651
307	4524
308	42103
309	5950
310	31773
311	4562
312	59982
313	4508
314	18989
315	7724
316	37711
317	4321
318	25059
319	4118
320	174493
321	4803
322	18167
323	3970
324	47565
325	13719
326	17647
327	4863
328	44488
329	4147
330	47589
331	3747
332	33833
333	5171
334	17086
335	9143
336	53960
337	3685
338	15361
339	4396
340	62153
341	3794
342	19682
343	3572
344	36211
345	7636
346	14665
347	3395
348	35876
349	3455
350	26825
351	4086
352	37745
353	3168
354	16542
355	5142
356	26340
357	3734
358	13024
359	3164
360	171623
361	3075
362	13855
363	3543
364	31051
365	9769
366	19777
367	3269
368	41743
369	3748
370	28302
371	2988
372	38007
373	3019
374	13819
375	8209
376	39832
377	2876
378	16723
379	2875
