Pay	Frequency
0	782075054
2	6161916
4	8811667
5	9507170
6	1249296
7	234982
8	5152004
9	213406
10	18537912
11	28689
12	1472788
13	116243
14	573121
15	2723759
16	1955856
17	49527
18	332858
19	45790
20	23179725
21	76182
22	471468
23	30284
24	1061198
25	2162604
26	156236
27	24933
28	467833
29	38580
30	7193093
31	15902
32	602341
33	19222
34	151788
35	852738
36	213523
37	19421
38	89505
39	12968
40	17648349
41	9725
42	330382
43	6989
44	540867
45	2167609
46	76659
47	26534
48	468699
49	30129
50	4110135
51	6897
52	122005
53	20346
54	76463
55	840188
56	180950
57	11670
58	51967
59	10823
60	7893293
61	9581
62	93762
63	10302
64	232261
65	968219
66	63080
67	9023
68	110737
69	14444
70	2423247
71	4433
72	109157
73	8118
74	40869
75	529190
76	50239
77	12204
78	25155
79	6341
80	8752514
81	4467
82	129697
83	3811
84	230801
85	1116661
86	31515
87	14138
88	208288
89	16429
90	2854272
91	3304
92	63330
93	9740
94	47183
95	588502
96	124946
97	7225
98	31025
99	10797
100	3342300
101	6093
102	34032
103	4547
104	64348
105	580433
106	19996
107	4748
108	41896
109	6458
110	1711254
111	2933
112	52426
113	4116
114	23553
115	351880
116	23157
117	4206
118	13826
119	3492
120	4785004
121	2886
122	58901
123	2118
124	97051
125	660038
126	23264
127	6488
128	76192
129	9007
130	1551649
131	2074
132	55432
133	5473
134	22936
135	409808
136	35525
137	4294
138	15244
139	4541
140	1857280
141	3408
142	16207
143	4354
144	52328
145	344359
146	10796
147	3061
148	20000
149	4046
150	1079379
151	1898
152	20139
153	2386
154	24342
155	223144
156	12673
157	2457
158	8254
159	2489
160	2983784
161	1564
162	41650
163	1392
164	69315
165	468544
166	11833
167	5187
168	58517
169	6389
170	1100499
171	1636
172	20686
173	3586
174	16711
175	293674
176	49707
177	3158
178	10040
179	3149
180	1793981
181	2495
182	16050
183	1797
184	32367
185	324212
186	9646
187	3319
188	21119
189	3573
190	877024
191	1446
192	29049
193	1960
194	11124
195	226704
196	12235
197	2216
198	11646
199	1969
200	1976163
201	1521
202	16778
203	1223
204	29028
205	312782
206	7279
207	2408
208	20553
209	3692
210	865019
211	1130
212	11025
213	1756
214	9014
215	197200
216	14457
217	1661
218	5870
219	1738
220	1258321
221	1423
222	7837
223	1012
224	17541
225	212500
226	5306
227	1295
228	9998
229	1651
230	608134
231	2420
232	7890
233	1060
234	6001
235	142385
236	6032
237	1240
238	3515
239	1154
240	1994328
241	957
242	30776
243	650
244	46614
245	276630
246	8524
247	3121
248	31801
249	4142
250	719672
251	1030
252	15862
253	2546
254	10298
255	201426
256	16567
257	1861
258	6713
259	2095
260	896325
261	1782
262	6644
263	1228
264	30497
265	184431
266	5196
267	1437
268	8869
269	1905
270	600574
271	1053
272	9296
273	1084
274	6891
275	163518
276	6176
277	1153
278	4337
279	1410
280	799538
281	893
282	5771
283	695
284	10085
285	170948
286	6054
287	1115
288	14495
289	1636
290	479605
291	948
292	5248
293	1145
294	5178
295	121658
296	5593
297	1272
298	3269
299	1041
300	813467
301	953
302	4931
303	686
304	9422
305	131413
306	3704
307	849
308	12927
309	1176
310	399578
311	745
312	5008
313	808
314	3775
315	108274
316	4111
317	841
318	2548
319	1319
320	830200
321	738
322	8887
323	535
324	17458
325	136793
326	3776
327	1349
328	12167
329	1608
330	530855
331	748
332	5641
333	956
334	5157
335	116926
336	9601
337	954
338	3512
339	1019
340	548768
341	1080
342	3514
343	598
344	6893
345	130245
346	3131
347	745
348	4884
349	841
350	364278
351	771
352	10258
353	620
354	3530
355	91073
356	3399
357	736
358	2196
359	720
360	765083
361	659
362	6670
363	694
364	12508
365	127844
366	3946
367	1030
368	10078
369	1452
370	366843
371	608
372	5141
373	898
374	6000
375	98038
376	6024
377	783
378	3128
379	917
380	459651
381	924
382	2829
383	655
384	8212
385	110234
386	2689
387	672
388	4013
389	854
390	307518
391	655
392	3419
393	602
394	2893
395	74700
396	5759
397	605
398	2129
399	661
400	1013111
401	641
402	10153
403	433
404	16583
405	137942
406	3428
407	1345
408	11513
409	1409
410	375776
411	672
412	4604
413	952
414	3973
415	92952
416	5901
417	740
418	3646
419	816
420	497223
421	788
422	2772
423	560
424	5711
425	91131
426	2650
427	602
428	3926
429	978
430	289810
431	612
432	4765
433	502
434	2671
435	72509
436	2672
437	625
438	1782
439	614
440	631382
441	602
442	3090
443	417
444	5489
445	96433
446	2150
447	652
448	4411
449	739
450	288052
451	624
452	2433
453	520
454	2396
455	70072
456	3099
457	497
458	1728
459	526
460	352047
461	580
462	6993
463	426
464	3646
465	71301
466	1842
467	515
468	2439
469	541
470	218168
471	495
472	2059
473	497
474	1871
475	52234
476	1803
477	433
478	1175
479	447
480	624720
481	458
482	8042
483	367
484	19950
485	94182
486	3184
487	1068
488	11079
489	1404
490	258027
491	521
492	4457
493	828
494	3600
495	105629
496	5581
497	735
498	2619
499	860
500	327916
501	684
502	2397
503	581
504	6271
505	72741
506	3097
507	570
508	3343
509	769
510	223123
511	503
512	3176
513	468
514	2499
515	57537
