Pay	Frequency
0	993854755
2	1100
4	10490
5	1867
6	8283
7	31
8	10898
9	127
10	13870
11	81
12	16008
13	132
14	2136
15	4066
16	6724
17	185
18	4304
19	339
20	18270
21	910
22	3114
23	548
24	14614
25	747
26	2688
27	337
28	3910
29	219
30	10400
31	508
32	5999
33	145
34	2700
35	1187
36	7375
37	421
38	2331
39	305
40	24194
41	309
42	3558
43	207
44	4973
45	2922
46	3571
47	383
48	9538
49	351
50	4818
51	256
52	5016
53	339
54	2290
55	2509
56	5026
57	234
58	2160
59	279
60	18668
61	473
62	2178
63	609
64	5415
65	949
66	2281
67	260
68	4653
69	267
70	5858
71	350
72	7193
73	316
74	1936
75	2720
76	3903
77	373
78	1828
79	313
80	14420
81	406
82	1867
83	341
84	4519
85	1514
86	2581
87	402
88	4429
89	312
90	10416
91	256
92	4878
93	276
94	1775
95	1871
96	5660
97	323
98	2190
99	421
100	10535
101	374
102	1719
103	379
104	4495
105	1119
106	2505
107	340
108	3116
109	295
110	6150
111	398
112	4065
113	304
114	1687
115	1383
116	3114
117	371
118	1754
119	323
120	23127
121	317
122	2004
123	343
124	3879
125	1981
126	2279
127	308
128	4225
129	367
130	5852
131	320
132	3058
133	321
134	1709
135	2003
136	3909
137	410
138	1617
139	315
140	10696
141	413
142	1737
143	396
144	5008
145	1847
146	1798
147	358
148	2805
149	421
150	5401
151	336
152	3571
153	323
154	1827
155	1345
156	2600
157	343
158	1464
159	410
160	11345
161	360
162	1900
163	291
164	3458
165	1453
166	1930
167	357
168	4023
169	332
170	6573
171	298
172	3162
173	395
174	1836
175	1511
176	3242
177	292
178	1732
179	338
180	12756
181	369
182	1472
183	339
184	3375
185	1307
186	1676
187	339
188	2714
189	370
190	5200
191	330
192	3644
193	320
194	1565
195	1696
196	2555
197	338
198	1570
199	382
200	11773
201	344
202	1560
203	321
204	2608
205	1354
206	1967
207	315
208	2801
209	332
210	4994
211	353
212	3432
213	306
214	1499
215	1530
216	2901
217	314
218	1776
219	417
220	9172
221	391
222	1620
223	393
224	3348
225	1863
226	1563
227	407
228	2373
229	365
230	5423
231	331
232	2621
233	344
234	1623
235	1224
236	2557
237	385
238	1402
239	386
240	13924
241	331
242	1635
243	364
244	2680
245	1685
246	1602
247	360
248	3138
249	390
250	5618
251	333
252	2692
253	357
254	1541
255	1508
256	2549
257	373
258	1552
259	362
260	9200
261	312
262	1476
263	348
264	2814
265	1349
266	1627
267	308
268	2431
269	385
270	5790
271	380
272	2966
273	358
274	1522
275	1644
276	2207
277	342
278	1476
279	363
280	8405
281	380
282	1544
283	350
284	2619
285	1356
286	1578
287	360
288	3239
289	357
290	5389
291	319
292	2541
293	358
294	1469
295	1334
296	2445
297	370
298	1467
299	366
300	8093
301	388
302	1432
303	348
304	2587
305	1309
306	1575
307	298
308	2370
309	354
310	3969
311	356
312	2466
313	343
314	1449
315	1407
316	2114
317	365
318	1479
319	352
320	8954
321	356
322	1439
323	341
324	2647
325	1407
326	1449
327	377
328	2696
329	352
330	4910
331	359
332	2323
333	339
334	1438
335	1541
336	2522
337	349
338	1386
339	413
340	7083
341	396
342	1432
343	333
344	2570
345	1411
346	1394
347	380
348	2190
349	353
350	4760
351	342
352	2307
353	352
354	1365
355	1378
356	2122
357	324
358	1321
359	344
360	9894
361	359
362	1447
363	352
364	2189
365	1368
366	1453
367	365
368	2385
369	349
370	4450
371	342
372	2172
373	330
374	1443
375	1353
376	2177
377	332
378	1378
379	354
380	6891
381	385
382	1380
383	323
384	2468
385	1265
386	1356
387	305
388	2024
389	358
390	4704
391	388
392	2072
393	321
394	1408
395	1235
396	1927
397	332
398	1343
399	331
400	7780
401	363
402	1279
403	324
404	2149
405	1428
406	1451
407	323
408	2116
409	307
410	4195
411	346
412	2323
413	316
414	1384
415	1256
416	2042
417	326
418	1285
419	385
420	6451
421	358
422	1250
423	330
424	2357
425	1451
426	1337
427	322
428	1884
429	348
430	4126
431	323
432	2492
433	328
434	1326
435	1386
436	1882
437	343
438	1240
439	327
440	7343
441	356
442	1377
443	322
444	2033
445	1424
446	1318
447	317
448	2044
449	365
450	4212
451	314
452	2004
453	319
454	1309
455	1436
456	1902
457	351
458	1182
459	374
460	6218
461	316
462	1275
463	351
464	2023
465	1275
466	1288
467	340
468	1928
469	346
470	3810
471	357
472	1993
473	346
474	1207
475	1448
476	1667
477	370
478	1217
479	363
480	8375
481	339
482	1215
483	362
484	1924
485	1161
486	1286
487	367
488	2032
489	333
490	4243
491	324
492	1891
493	306
494	1227
495	1375
496	1843
497	321
498	1200
499	318
500	6561
501	376
502	1300
503	325
504	2107
505	1359
506	1317
507	345
508	1773
509	336
510	3930
511	347
512	1946
513	311
514	1280
515	1204
516	1833
517	364
518	1161
519	348
520	6765
521	295
522	1117
523	326
524	1872
525	1338
526	1297
527	357
528	1933
529	294
530	3925
531	366
532	1915
533	348
534	1175
535	1275
536	1862
537	349
538	1185
539	326
540	6021
541	382
542	1276
543	359
544	1933
545	1368
546	1204
547	339
548	1718
549	348
550	4037
551	328
552	1849
553	310
554	1199
555	1287
556	1602
557	340
558	1171
559	333
560	6271
561	341
562	1176
563	331
564	1768
565	1132
566	1300
567	332
568	1764
569	314
570	3745
571	333
572	1862
573	326
574	1192
575	1284
576	1889
577	286
578	1122
579	314
580	5503
581	315
582	1227
583	308
584	2038
585	1341
586	1194
587	303
588	1619
589	305
590	3796
591	326
592	1800
593	292
594	1214
595	1210
596	1599
597	327
598	1141
599	321
600	7076
601	330
602	1144
603	292
604	1696
605	1433
606	1266
607	323
608	1880
609	338
610	3886
611	314
612	1785
613	312
614	1140
615	1298
616	1777
617	325
618	1161
619	314
620	5737
621	349
622	1178
623	338
624	1834
625	1226
626	1201
627	319
628	1639
629	358
630	3791
631	347
632	1791
633	298
634	1201
635	1279
636	1587
637	329
638	1105
639	343
640	5768
641	313
642	1149
643	299
644	1630
645	1241
646	1110
647	373
648	1821
649	348
650	4065
651	327
652	1632
653	311
654	1176
655	1204
656	1739
657	324
658	1081
659	301
660	5404
661	326
662	1132
663	284
664	1669
665	1140
666	1046
667	318
668	1473
669	350
670	3529
671	299
672	1694
673	317
674	1109
675	1224
676	1442
677	296
678	1100
679	331
680	5895
681	333
682	1090
683	292
684	1520
685	1262
686	1184
687	327
688	1569
689	318
690	3661
691	350
692	1631
693	304
694	1081
695	1216
696	1464
697	360
698	1014
699	339
700	5129
701	303
702	1069
703	328
704	1678
705	1263
706	1114
707	334
708	1366
709	333
710	3453
711	349
712	1539
713	310
714	1123
715	1260
716	1414
717	290
718	1024
719	324
720	6205
721	310
722	1073
723	335
724	1491
725	1227
726	1102
727	336
728	1583
729	319
730	3561
731	318
732	1583
733	295
734	1082
735	1208
736	1463
737	308
738	1027
739	311
740	5280
741	292
742	1027
743	327
744	1606
745	1136
746	1072
747	350
748	1383
749	316
750	3498
751	309
752	1534
753	294
754	1036
755	1180
756	1478
757	282
758	996
759	293
760	5250
761	345
762	1123
763	277
764	1434
765	1286
766	1043
767	292
768	1525
769	312
770	3328
771	331
772	1481
773	305
774	1087
775	1161
776	1525
777	316
