Pay	Frequency
0	782099316
2	12271687
4	24347596
5	12592379
6	2741842
7	959351
8	21778302
9	641912
10	22264701
11	123099
12	6172615
13	634143
14	2190510
15	2945301
16	10893406
17	203829
18	1738868
19	167689
20	22850135
21	406180
22	815769
23	173457
24	4447295
25	430143
26	716911
27	47185
28	1743687
29	81072
30	5554356
31	69732
32	3543741
33	33060
34	432726
35	110477
36	1226494
37	49189
38	257482
39	40027
40	14743972
41	8755
42	532576
43	4992
44	820011
45	586680
46	188323
47	19374
48	1722017
49	12320
50	626733
51	17466
52	341412
53	19286
54	139618
55	127829
56	643245
57	17427
58	66388
59	1101
60	5600553
61	7321
62	122650
63	28162
64	695460
65	84348
66	140321
67	4639
68	258596
69	22768
70	180796
71	1554
72	412022
73	936
74	33581
75	20334
76	135846
77	32364
78	63452
79	728
80	5981219
81	7125
82	61917
83	256
84	279596
85	99537
86	9458
87	9629
88	489487
89	1242
90	812957
91	245
92	73234
93	10618
94	24901
95	19131
96	358776
97	669
98	17836
99	18772
100	608584
101	898
102	34891
103	156
104	58831
105	9712
106	14887
107	112
108	63061
109	108
110	253527
111	4993
112	95233
113	88
114	23680
115	764
116	16396
117	4175
118	1135
119	84
120	3482558
121	5132
122	42930
123	1534
124	80678
125	53890
126	30263
127	1984
128	117946
129	1602
130	83039
131	126
132	208846
133	225
134	4938
135	37805
136	61323
137	274
138	15732
139	277
140	96624
141	2752
142	1577
143	20692
144	110167
145	1223
146	1020
147	1751
148	7370
149	118
150	70435
151	43
152	26556
153	665
154	65916
155	892
156	19638
157	25
158	729
159	2042
160	1670286
161	8
162	20052
163	6
164	26903
165	71916
166	1090
167	384
168	70710
169	415
170	42656
171	807
172	3846
173	101
174	4388
175	3407
176	226186
177	284
178	736
179	17
180	645210
181	31
182	5255
183	1117
184	15297
185	7658
186	7209
187	9221
188	10995
189	963
190	17408
191	23
192	75964
193	22
194	676
195	2581
196	7726
197	39
198	66927
199	13
200	608016
201	768
202	3854
203	8
204	18866
205	8939
206	421
207	583
208	6939
209	7846
210	21935
211	4
212	3706
213	288
214	174
215	1319
216	29865
217	12
218	126
219	186
220	207362
221	306
222	1664
223	2
224	8077
225	1187
226	103
227	5
228	9259
229	9
230	2758
231	15864
232	1426
233	7
234	2800
235	49
236	302
237	161
238	55
240	1435455
242	36303
243	177
244	26070
245	19913
246	3189
247	628
248	25749
249	210
250	30562
251	15
252	17235
253	9308
254	1655
255	3330
256	18002
257	27
258	1126
259	27
260	31658
261	266
262	168
263	5
264	108423
265	228
266	159
267	116
268	1542
269	7
270	53090
271	2
272	7064
273	615
274	326
275	5670
276	6257
277	7
278	278
279	77
280	20415
282	1550
284	419
285	697
286	26187
287	1
288	31646
289	4
290	1504
291	108
292	249
293	6
294	2087
295	49
296	805
297	2345
298	82
299	492
300	114720
302	564
303	91
304	2115
305	631
306	781
307	3
308	45574
309	44
310	2510
312	11460
313	1
314	28
315	636
316	162
