Pay	Frequency
0	912606446
2	825346
4	1091189
5	2992389
6	141040
7	39438
8	643151
9	27878
10	5475223
11	3059
12	199997
13	17002
14	89319
15	966568
16	243964
17	8201
18	54774
19	8127
20	7190810
21	13915
22	76788
23	5268
24	164186
25	490603
26	26221
27	4330
28	80411
29	5986
30	2668590
31	2848
32	83910
33	3578
34	25916
35	291150
36	41284
37	3382
38	16530
39	2862
40	6580386
41	1733
42	48025
43	1546
44	84697
45	646412
46	11733
47	3872
48	81070
49	4655
50	1372849
51	1699
52	24038
53	3671
54	14609
55	321426
56	31885
57	2639
58	8838
59	2032
60	3495480
61	1888
62	16747
63	2380
64	39467
65	272402
66	13477
67	1859
68	20939
69	2516
70	941747
71	1024
72	23245
73	1579
74	8080
75	205469
76	10922
77	2709
78	5627
79	1305
80	4394875
81	1295
82	17850
83	821
84	40164
85	357979
86	6371
87	2345
88	36472
89	2608
90	1366142
91	878
92	12820
93	2017
94	9545
95	212018
96	26326
97	1727
98	6831
99	2135
100	1573998
101	1463
102	8445
103	1003
104	15247
105	203474
106	5083
107	1193
108	10194
109	1283
110	838367
111	1074
112	10213
113	924
114	5638
115	108381
116	5604
117	1077
118	3280
119	831
120	2854026
121	826
122	9878
123	527
124	18770
125	214831
126	7396
127	1170
128	15152
129	1582
130	673140
131	585
132	12336
133	1099
134	5237
135	177506
136	8338
137	1084
138	3495
139	986
140	1006044
141	1228
142	3930
143	1024
144	13839
145	94775
146	3629
147	875
148	5025
149	900
150	591186
151	648
152	4965
153	564
154	5539
155	74236
156	4804
157	666
158	2110
159	737
160	2072717
161	606
162	6863
163	363
164	14363
165	248361
166	3811
167	994
168	12504
169	1141
170	575535
171	749
172	4734
173	867
174	4456
175	128743
176	10026
177	879
178	2648
179	813
180	1242183
181	843
182	3751
183	554
184	8511
185	96544
186	4177
187	905
188	5361
189	782
190	461737
191	500
192	7295
193	516
194	3078
195	104311
196	3879
197	582
198	2751
199	606
200	1161397
201	696
202	3990
203	348
204	8121
205	113703
206	2693
207	684
208	5655
209	838
210	474965
211	436
212	2836
213	502
214	2665
215	75548
216	4905
217	450
218	1713
219	559
220	789003
221	596
222	2264
223	374
224	5093
225	82567
226	2219
227	420
228	2852
229	502
230	284382
231	815
232	2212
233	322
234	2043
235	48515
236	2390
237	401
238	1147
239	415
240	1565483
241	461
242	5647
243	249
244	9874
245	105796
246	3896
247	632
248	7377
249	881
250	399166
251	390
252	4279
253	613
254	2822
255	110494
256	4507
257	547
258	2096
259	583
260	577399
261	737
262	1949
263	439
264	7850
265	53745
266	2343
267	452
268	3001
269	519
270	382457
271	431
272	2493
273	410
274	2311
275	61428
276	2885
277	396
278	1557
279	410
280	609806
281	453
282	1963
283	245
284	3877
285	86016
286	2636
287	390
288	4750
289	449
290	222307
291	517
292	1603
293	314
294	1790
295	50482
296	2240
297	410
298	1122
299	377
300	566535
301	461
302	1552
303	288
304	3219
305	43390
306	2317
307	317
308	3506
309	349
310	200163
311	318
312	1932
313	229
314	1336
315	54031
316	1827
317	301
318	1088
319	425
320	756942
321	477
322	1813
323	231
324	4831
325	73880
326	1896
327	450
328	3624
329	444
330	374854
331	380
332	1636
333	321
334	1785
335	55118
336	3561
337	372
338	1328
339	334
340	395122
341	496
342	1211
343	262
344	2686
345	47576
346	1849
347	305
348	2017
349	349
350	211819
351	404
352	2515
353	295
354	1506
355	31036
356	1574
357	272
358	1047
359	295
360	693639
361	356
362	1641
363	241
364	3731
365	53371
366	2471
367	298
368	3393
369	388
370	184851
371	344
372	1791
373	336
374	1747
375	61269
376	2146
377	295
378	1201
379	362
380	327558
381	474
382	1030
383	316
384	3163
385	42230
386	1560
387	292
388	1842
389	290
390	208477
391	305
392	1225
393	244
394	1179
395	31463
396	2041
397	255
398	913
399	320
400	644623
401	349
402	2175
403	210
404	4110
405	64016
406	1640
407	348
408	3492
409	395
410	195033
411	405
412	1374
413	297
414	1380
415	40430
416	2139
417	307
418	1243
419	300
420	361895
421	341
422	995
423	270
424	2242
425	31555
426	1782
427	239
428	1767
429	327
430	151786
431	288
432	1627
433	216
434	1086
435	34791
436	1295
437	247
438	918
439	251
440	493391
441	353
442	999
443	197
444	2144
445	37312
446	1361
447	246
448	1934
449	273
450	164662
451	310
452	903
453	232
454	985
455	31730
456	1519
457	199
458	810
459	228
460	220285
461	287
462	2043
463	208
464	1749
465	29553
466	1188
467	194
468	1326
469	247
470	106167
471	322
472	836
473	211
474	884
475	21054
476	989
477	208
478	745
479	204
480	629612
481	302
482	1681
483	194
484	4747
485	43014
486	1865
487	290
488	3446
489	396
490	153161
491	270
492	1524
493	274
494	1360
495	59247
496	2012
497	275
498	1114
499	356
500	242982
501	380
502	928
503	297
504	2664
505	24427
506	1459
507	220
508	1609
509	256
510	154958
511	300
512	1083
513	247
514	1043
515	22579
516	1367
517	324
518	883
519	283
520	282078
521	292
522	948
523	190
524	1700
525	36903
526	1237
527	202
528	2837
529	268
530	100982
531	308
532	812
533	223
534	858
535	24972
536	1197
537	211
538	778
539	321
540	237721
541	289
542	706
543	196
544	1535
545	21193
546	1455
547	172
548	1421
549	240
550	125605
551	232
552	957
553	199
554	760
555	25436
556	960
557	216
558	694
559	208
560	244243
561	343
562	657
563	190
564	1452
565	22666
566	1072
567	216
568	1351
569	196
570	120386
571	245
572	1053
573	165
574	809
575	21323
576	1555
577	150
578	668
579	200
580	144840
581	245
582	631
583	255
584	1130
585	22464
586	928
587	132
588	1067
589	219
590	82121
591	279
592	656
593	161
594	852
595	14564
596	889
597	161
598	587
599	176
600	333371
601	233
602	847
603	159
604	1697
605	31431
606	1312
607	175
608	1585
609	251
610	86868
611	244
612	778
613	169
614	710
615	30937
616	1353
617	164
618	654
619	191
620	138916
621	246
622	547
623	175
624	1297
625	16547
626	907
627	195
628	961
629	183
630	99798
631	191
632	683
633	171
634	622
635	15136
636	946
637	138
638	685
639	198
640	215868
641	242
642	677
643	136
644	1309
645	28004
646	932
647	155
648	1474
649	219
650	80411
651	278
652	627
653	198
654	717
655	18221
656	870
657	169
658	659
659	158
660	234686
661	233
662	531
663	172
664	1088
665	16262
666	972
667	150
668	1035
669	204
670	71093
671	262
672	849
673	144
674	571
675	19046
676	737
677	146
678	536
679	152
680	153692
681	236
682	965
683	146
684	1024
685	16544
686	768
687	153
688	1065
689	199
690	75652
691	222
692	538
693	158
694	578
695	13313
696	893
697	132
698	513
699	164
700	112447
701	185
702	504
703	122
704	1254
705	15317
706	723
707	112
708	842
709	149
710	50201
711	182
712	526
713	151
714	501
715	20637
716	579
717	138
718	484
719	139
720	252606
721	194
722	710
723	126
724	1399
725	16839
726	1165
727	129
728	1568
729	186
730	66054
731	195
732	895
733	195
734	628
735	20525
736	988
737	186
738	632
739	179
740	99279
741	267
742	510
743	163
744	1222
745	12771
746	835
747	135
748	1118
749	134
750	69811
751	187
752	648
