Pay	Frequency
0	993854327
2	1836
4	20816
5	2193
6	11716
7	40
8	22809
9	498
10	9202
11	125
12	24642
13	303
14	4202
15	2563
16	23039
17	341
18	6911
19	542
20	13588
21	2225
22	6939
23	1222
24	29637
25	565
26	4747
27	1000
28	9901
29	576
30	9903
31	1864
32	15524
33	444
34	5562
35	766
36	16569
37	828
38	5034
39	1234
40	14201
41	767
42	6891
43	590
44	13205
45	1992
46	6581
47	1338
48	24771
49	1034
50	5641
51	815
52	10851
53	1097
54	5282
55	1443
56	13646
57	778
58	5546
59	1014
60	11874
61	1382
62	5595
63	1312
64	12795
65	1378
66	4885
67	791
68	11808
69	932
70	5280
71	1100
72	17296
73	1031
74	5846
75	1101
76	9837
77	1174
78	4692
79	1008
80	12733
81	1126
82	5200
83	977
84	10440
85	1101
86	5529
87	1151
88	11766
89	1031
90	7826
91	804
92	10826
93	1096
94	4877
95	1255
96	14377
97	1013
98	5670
99	1196
100	9399
101	1193
102	4932
103	1033
104	11596
105	1400
106	5292
107	1001
108	8507
109	953
110	5788
111	1162
112	10535
113	1051
114	4831
115	1149
116	9125
117	1068
118	5077
119	1044
120	11466
121	1007
122	5342
123	1138
124	8630
125	1246
126	5512
127	1076
128	10430
129	1138
130	5720
131	1049
132	8944
133	1060
134	4819
135	1474
136	9834
137	1006
138	5082
139	953
140	8652
141	1145
142	4812
143	1234
144	11625
145	1030
146	5189
147	1116
148	8228
149	1111
150	4938
151	1133
152	9336
153	1145
154	4826
155	1200
156	7641
157	1077
158	4454
159	1163
160	9051
161	1159
162	4841
163	988
164	7964
165	1236
166	4855
167	1028
168	9167
169	1027
170	5010
171	1094
172	7829
173	1036
174	5013
175	1074
176	8779
177	1063
178	4573
179	1053
180	9513
181	1073
182	4648
183	1146
184	8316
185	1148
186	4780
187	1051
188	7220
189	1158
190	4790
191	1009
192	9953
193	1080
194	4592
195	1164
196	7507
197	1118
198	4756
199	1118
200	8426
201	1129
202	4700
203	1052
204	6896
205	1161
206	4444
207	1095
208	7975
209	1107
210	4659
211	1123
212	7296
213	1083
214	4366
215	1096
216	8103
217	1055
218	4685
219	1053
220	7338
221	1163
222	4529
223	1055
224	7736
225	1093
226	4393
227	1071
228	6678
229	1094
230	4609
231	1031
232	7308
233	1072
234	4639
235	1034
236	6906
237	1126
238	4246
239	1076
240	8173
241	1105
242	4441
243	1038
244	6710
245	1095
246	4412
247	1061
248	7879
249	1062
250	4429
251	1033
252	7316
253	1103
254	4112
255	1084
256	7243
257	1075
258	4250
259	1029
260	6812
261	1069
262	4274
263	1085
264	7088
265	1080
266	4313
267	1040
268	6281
269	1065
270	4497
271	1108
272	7151
273	1078
274	4275
275	1091
276	6230
277	1000
278	4263
279	1015
280	6825
281	1095
282	4166
283	1055
284	6226
285	1137
286	4239
287	1057
288	7749
289	1013
290	4325
291	1030
292	6412
293	1029
294	4180
295	1087
296	6977
297	1042
298	4238
299	1096
300	5886
301	1079
302	4117
303	1049
304	6384
305	1012
306	4008
307	990
308	6029
309	979
310	4105
311	1038
312	6563
313	997
314	4129
315	1038
316	5707
317	1093
318	4073
319	1034
320	6563
321	998
322	4134
323	1045
324	5974
325	1092
326	3924
327	1034
328	6380
329	1095
330	4105
331	1026
332	5721
333	1052
334	3937
335	980
336	6698
337	1027
338	3997
339	1055
340	5808
341	1039
342	4120
343	1021
344	6396
345	957
346	3934
347	1008
348	5742
349	1015
350	3942
351	1072
352	6110
353	1094
354	3894
355	1011
356	5537
357	1102
358	3753
359	1044
