Pay	Frequency
0	777867205
2	8499378
4	15089903
5	8963584
6	1936282
7	538645
8	12001206
9	799768
10	15109909
11	125299
12	3905856
13	922057
14	1799337
15	2250404
16	6239407
17	412236
18	2319348
19	242396
20	16728546
21	518980
22	1454019
23	358968
24	3346317
25	1334015
26	1373222
27	187037
28	2047736
29	321609
30	5238343
31	240858
32	2801390
33	209111
34	1113289
35	496819
36	1796501
37	226727
38	875327
39	188967
40	11661692
41	167282
42	1079509
43	119708
44	1566552
45	1284041
46	790932
47	149236
48	1751982
49	162610
50	2342858
51	111064
52	1065091
53	162857
54	624691
55	462249
56	1122833
57	127807
58	545656
59	102641
60	5154126
61	120153
62	571430
63	109746
64	1136183
65	487711
66	553804
67	89350
68	830543
69	119729
70	1247524
71	87560
72	859767
73	89217
74	417436
75	222249
76	680175
77	104288
78	401144
79	81887
80	5231565
81	83875
82	453633
83	64493
84	794530
85	562245
86	328949
87	77514
88	824196
89	82953
90	1531205
91	57602
92	551335
93	86984
94	324581
95	247632
96	663085
97	67775
98	314172
99	73821
100	1587344
101	69647
102	280198
103	57575
104	481861
105	201661
106	265099
107	49137
108	428604
109	61822
110	764820
111	51230
112	415326
113	52640
114	253820
115	112635
116	342248
117	54253
118	214502
119	43923
120	2949570
121	48851
122	260322
123	39948
124	423938
125	298889
126	218897
127	46554
128	427021
129	52407
130	646067
131	37329
132	426692
133	47755
134	194283
135	149208
136	347833
137	42931
138	191991
139	37832
140	764140
141	42772
142	174057
143	55958
144	356145
145	103920
146	158964
147	35162
148	259246
149	39959
150	389807
151	34502
152	268903
153	36227
154	186774
155	67257
156	238236
157	35543
158	137461
159	33085
160	1600115
161	31168
162	172913
163	27643
164	265913
165	204293
166	127555
167	31732
168	278136
169	34759
170	401400
171	27394
172	199853
173	33915
174	122424
175	89071
176	321683
177	29132
178	120826
179	25315
180	848170
181	30516
182	111781
183	27089
184	210322
185	93422
186	113137
187	31879
188	185826
189	29336
190	270985
191	25490
192	215359
193	23831
194	102278
195	56467
196	167025
197	24638
198	146753
199	23730
200	812831
201	23723
202	103702
203	21686
204	170350
205	83383
206	89307
207	21979
208	161732
209	28203
210	225105
211	19804
212	135297
213	23179
214	80765
215	44485
216	154193
217	20708
218	78332
219	18767
220	425594
221	20149
222	77204
223	18093
224	137188
225	43371
226	71007
227	16892
228	127501
229	19320
230	136215
231	28202
232	118834
233	17491
234	70314
235	29391
236	109160
237	17582
238	62582
239	17674
240	1153680
241	15817
242	113657
243	15462
244	154433
245	112525
246	72637
247	18859
248	146365
249	20076
250	235286
251	15040
252	122976
253	25797
254	67432
255	53914
256	125296
257	16862
258	67131
259	15349
260	276186
261	17144
262	58969
263	15365
264	178443
265	38607
266	58809
267	13992
268	102886
269	16972
270	165737
271	13670
272	106055
273	14847
274	57317
275	36147
276	92920
277	14121
278	53323
279	14285
280	226213
281	12841
282	52662
283	12367
284	85491
285	35204
286	75763
287	12342
288	108370
289	12537
290	100315
291	12341
292	78432
293	13132
294	50020
295	22203
296	82045
297	15989
298	45839
299	10980
300	226123
301	12366
302	46069
303	11027
304	77250
305	23704
306	43921
307	10239
308	103023
309	11672
310	78165
311	10250
312	79499
313	10948
314	40457
315	16556
316	66042
317	10933
318	40761
319	15531
320	338809
321	10304
322	44070
323	9772
324	76572
325	34566
326	36966
327	10764
328	71025
329	10371
330	145515
331	8700
332	57178
333	10006
334	38711
335	21706
336	71340
337	9064
338	38377
339	8995
340	125626
341	14872
342	35533
343	9093
344	57579
345	18703
346	34929
347	8021
348	52508
349	9482
350	65390
351	8334
352	86448
353	8434
354	34662
355	13174
356	50456
357	9512
358	30231
359	7877
360	316495
361	8224
362	35382
363	11156
364	57739
365	33704
366	32771
367	8192
368	58448
369	8493
370	75085
371	7483
372	52170
373	8230
374	46114
375	18310
376	54168
377	7461
378	32328
379	8172
380	100668
381	7912
382	30483
383	7769
384	60183
385	19036
386	28486
387	7264
388	44379
389	7991
390	54435
391	7183
392	46780
393	7561
394	27754
395	10663
396	65126
397	7205
398	28260
399	7132
400	436585
401	7236
402	34810
403	6556
404	55159
405	39647
406	27433
407	10355
408	54663
409	7295
410	81702
411	6760
412	41302
413	7165
414	26357
415	16712
416	45167
417	6838
418	37050
419	6213
420	109578
421	6577
422	24950
423	6619
424	41690
425	13663
426	25046
427	5755
428	36650
429	9421
430	47609
431	6060
432	44136
433	5932
