Pay	Frequency
0	912610226
2	1555542
4	3229121
5	2977555
6	500287
7	172253
8	3505673
9	108813
10	4782934
11	45756
12	1574764
13	104203
14	682253
15	775006
16	2849848
17	100593
18	620831
19	95528
20	5267962
21	216356
22	475653
23	99825
24	2013222
25	262824
26	459621
27	75468
28	1072788
29	91366
30	1860501
31	82597
32	1850174
33	64997
34	448761
35	134725
36	990616
37	68943
38	367506
39	64204
40	3855071
41	44411
42	545709
43	40359
44	816603
45	345506
46	334234
47	53661
48	1503183
49	41832
50	693251
51	65941
52	667907
53	56002
54	307644
55	167792
56	814369
57	52437
58	273617
59	32460
60	2055950
61	43904
62	273587
63	71231
64	852620
65	124554
66	278987
67	29958
68	532628
69	55420
70	393008
71	31914
72	777980
73	29420
74	189673
75	76169
76	462991
77	46488
78	243844
79	32810
80	1903960
81	40269
82	176922
83	22934
84	542141
85	139631
86	147458
87	46953
88	591129
89	26538
90	598647
91	22047
92	392562
93	50184
94	153651
95	79318
96	676886
97	22536
98	142804
99	35006
100	660039
101	29213
102	177304
103	23676
104	377263
105	70566
106	135268
107	17503
108	340420
109	22592
110	315065
111	31387
112	344603
113	19848
114	145459
115	37018
116	245039
117	32000
118	101301
119	18102
120	1265782
121	18820
122	122917
123	22125
124	263312
125	73408
126	143597
127	19657
128	344294
129	23281
130	220339
131	14561
132	315144
133	17815
134	96048
135	58456
136	287080
137	15341
138	125993
139	14863
140	332604
141	26335
142	82986
143	21387
144	356138
145	34079
146	78339
147	20336
148	167718
149	16266
150	157378
151	16125
152	227137
153	19904
154	99932
155	23528
156	196189
157	14346
158	69810
159	21093
160	674154
161	12810
162	92948
163	11700
164	146340
165	72796
166	59928
167	14201
168	249094
169	13044
170	146690
171	15176
172	126345
173	14173
174	74744
175	30989
176	259221
177	14174
178	57425
179	10995
180	416483
181	13031
182	56447
183	15793
184	165715
185	27082
186	74607
187	16295
188	121095
189	15254
190	96580
191	11747
192	246932
193	9696
194	49726
195	25967
196	115942
197	10941
198	75427
199	10682
200	335471
201	13086
202	47966
203	9586
204	130055
205	23333
206	43799
207	12943
208	137697
209	13777
210	88605
211	8852
212	99486
213	12589
214	39659
215	14847
216	141310
217	8190
218	37899
219	9907
220	227879
221	10553
222	47079
223	8360
224	110206
225	16633
226	35770
227	7303
228	107203
229	7859
230	50885
231	18265
232	92582
233	7408
234	43611
235	10566
236	74922
237	9656
238	30037
239	7607
240	546735
241	6490
242	52870
243	8848
244	90178
245	29250
246	39021
247	9708
248	107018
249	8823
250	86403
251	6642
252	100874
253	11026
254	32114
255	20871
256	106680
257	7094
258	36358
259	6362
260	136844
261	9168
262	27306
263	6541
264	153491
265	12978
266	27183
267	7471
268	66262
269	6953
270	72971
271	6192
272	90832
273	8067
274	26574
275	13443
276	74512
277	5870
278	26210
279	7067
280	121328
281	5725
282	31995
283	5614
284	54816
285	12651
286	44158
287	5343
288	118447
289	5236
290	35706
291	6399
292	50756
293	5565
294	29914
295	7786
296	60931
297	8316
298	22646
299	5769
300	108379
301	5137
302	23872
303	6279
304	61655
305	8330
306	26320
307	4705
308	69117
309	6086
310	29962
311	4491
312	79711
313	4630
314	19362
315	7301
316	42957
317	4687
318	26067
319	7960
320	161038
321	4818
322	19949
323	4228
324	50593
325	11957
326	18293
327	5168
328	48188
329	4317
330	75640
331	3859
332	36752
333	5215
334	18542
335	8105
336	73727
337	3801
338	21102
339	4360
340	60286
341	7533
342	20213
343	4192
344	40252
345	6923
346	17107
347	3536
348	39904
349	3698
350	26386
351	5019
352	69119
353	3750
354	17722
355	4592
356	31711
357	4659
358	14417
359	3250
360	175242
361	3298
362	15350
363	5562
364	39146
365	8847
366	19730
367	3640
368	44252
369	3907
370	26923
371	3146
372	43501
373	3310
374	26956
375	7557
376	43715
377	4076
378	19123
379	3308
380	48751
381	4174
382	14364
383	3137
384	69556
385	7218
386	13092
387	3512
388	29433
389	3228
390	28446
391	3111
392	40002
393	3405
394	12843
395	3805
396	50852
397	2928
398	13766
399	3341
400	157756
401	2967
402	16284
403	4012
404	28528
405	10301
406	13077
407	4644
408	50968
409	2956
410	26129
411	3248
412	25970
413	2943
414	14096
415	5367
416	39232
417	3052
418	18914
419	2436
420	53828
421	2580
422	11657
423	3134
424	29801
425	4605
426	13462
427	2267
428	22420
429	5087
430	16841
431	2296
432	45640
433	2453
434	10633
435	3788
436	20920
437	2677
438	12055
439	2383
440	90447
441	2908
442	12970
443	1992
444	25730
445	4380
446	9456
447	2713
448	28345
449	2265
450	17904
451	3277
452	20266
453	2842
454	8404
455	3328
456	33687
457	1997
458	8247
459	2280
460	26301
461	2410
462	19360
463	2095
464	22821
