Pay	Frequency
0	802165443
2	8115698
4	14770151
5	5591205
6	2980447
7	502149
8	12827638
9	178608
10	11593968
11	88323
12	5583140
13	100820
14	1995727
15	1469626
16	6543387
17	60158
18	1781062
19	75286
20	15283932
21	267734
22	967526
23	79258
24	4344865
25	945092
26	823450
27	99246
28	2281137
29	78702
30	4502725
31	53761
32	2707072
33	100954
34	741619
35	306680
36	2070806
37	59963
38	650335
39	61536
40	11697816
41	43969
42	966319
43	35089
44	1405176
45	1018220
46	549185
47	43557
48	2169251
49	60018
50	2045266
51	42397
52	1055890
53	63637
54	627330
55	273204
56	1277407
57	59158
58	455216
59	33812
60	4908126
61	46759
62	438404
63	50391
64	1158586
65	349802
66	477921
67	30114
68	843421
69	50857
70	1072358
71	31220
72	1153048
73	32244
74	351268
75	154527
76	702992
77	32838
78	370740
79	28490
80	5713861
81	33278
82	351094
83	26310
84	872185
85	450922
86	293449
87	34772
88	780822
89	30570
90	1431694
91	25500
92	551832
93	34805
94	275838
95	179201
96	795294
97	23807
98	270577
99	26597
100	1632258
101	25351
102	271004
103	22421
104	549799
105	146064
106	229806
107	20330
108	499945
109	21123
110	597156
111	21883
112	495435
113	18695
114	231702
115	79062
116	379738
117	21521
118	185885
119	17017
120	3032438
121	15128
122	200092
123	18941
124	401493
125	228014
126	224640
127	16894
128	448257
129	20528
130	591162
131	15222
132	357783
133	17691
134	159271
135	116206
136	355172
137	13927
138	171302
139	15373
140	802354
141	18789
142	137715
143	15527
144	427071
145	73566
146	142784
147	16490
148	270498
149	13946
150	372818
151	13161
152	291476
153	14145
154	123689
155	48418
156	253461
157	11757
158	120007
159	13905
160	1911468
161	10930
162	140993
163	11267
164	261257
165	147265
166	115685
167	12388
168	310530
169	12599
170	408553
171	11941
172	202780
173	12019
174	113754
175	68410
176	227043
177	11664
178	100641
179	10502
180	901643
181	10636
182	92799
183	11220
184	209390
185	68520
186	104077
187	9532
188	176001
189	11430
190	258247
191	8739
192	218929
193	8858
194	84181
195	42339
196	155122
197	8367
198	89178
199	8288
200	840321
201	9220
202	79798
203	7946
204	164016
205	63123
206	72557
207	8992
208	164842
