Pay	Frequency
0	997528080
4	188
6	1535
8	1940
10	253
12	2262
14	257
15	567
16	2812
18	542
19	13
20	926
21	56
22	500
23	108
24	2906
25	71
26	725
27	89
28	1260
29	9
30	731
31	160
32	3679
33	80
34	461
35	149
36	1376
37	65
38	629
39	81
40	2281
41	131
42	752
43	48
44	1657
45	114
46	920
47	225
48	2648
49	109
50	677
51	67
52	1705
53	87
54	582
55	233
56	2570
57	178
58	715
59	123
60	1693
61	131
62	779
63	120
64	3541
65	215
66	824
67	110
68	1541
69	149
70	832
71	163
72	2312
73	145
74	1037
75	198
76	1637
77	155
78	759
79	137
80	2625
81	154
82	865
83	142
84	1791
85	199
86	948
87	195
88	2308
89	213
90	1048
91	163
92	2002
93	155
94	919
95	250
96	2606
97	182
98	889
99	228
100	1713
101	173
102	849
103	184
104	2422
105	216
106	1047
107	149
108	1787
109	150
110	932
111	187
112	2649
113	178
114	970
115	238
116	1784
117	177
118	925
119	194
120	2591
121	209
122	1021
123	200
124	1742
125	196
126	1059
127	236
128	2559
129	189
130	1070
131	180
132	1806
133	184
134	1011
135	280
136	2278
137	215
138	1144
139	221
140	1977
141	228
142	992
143	248
144	2472
145	227
146	1026
147	251
148	1701
149	217
150	1093
151	219
152	2254
153	261
154	1129
155	278
156	1838
157	218
158	1109
159	230
160	2584
161	196
162	1088
163	236
164	1832
165	195
166	1084
167	244
168	2292
169	251
170	1123
171	240
172	1833
173	238
174	1150
175	242
176	2346
177	239
178	1067
179	259
180	1878
181	229
182	1104
183	243
184	2299
185	254
186	1181
187	262
188	1755
189	219
190	1114
191	270
192	2468
193	236
194	1071
195	262
196	1781
197	266
198	1086
199	262
200	2251
201	255
202	1195
203	289
204	1786
205	272
206	1154
207	281
208	2337
209	262
210	1088
211	273
212	1871
213	265
214	1184
215	282
216	2245
217	275
218	1195
219	265
220	1874
221	258
222	1193
223	276
224	2216
225	243
226	1128
227	278
228	1831
229	255
230	1130
231	274
232	2192
233	295
234	1119
235	294
236	1825
237	257
238	1094
239	270
240	2550
241	286
242	1139
243	298
244	1774
245	251
246	1147
247	263
248	2076
249	239
250	1124
251	303
252	1849
253	309
254	1124
255	283
256	2251
257	296
258	1184
259	318
260	1881
261	277
262	1134
263	281
264	2128
265	299
266	1173
267	283
268	1862
269	300
270	1224
271	285
272	2170
273	285
274	1173
275	305
276	1864
277	301
278	1136
279	313
280	2241
281	264
282	1155
283	298
284	1780
285	289
286	1206
287	282
288	2255
289	301
290	1199
291	295
292	1766
293	334
294	1225
295	347
296	2047
297	281
298	1246
299	270
300	1816
301	320
302	1170
303	307
304	2195
305	304
306	1259
307	288
308	1738
309	305
310	1167
311	328
312	2168
313	307
314	1180
315	333
316	1797
317	289
318	1113
319	312
320	2204
321	336
322	1198
323	319
324	1838
325	298
326	1192
327	302
328	2126
329	324
330	1275
331	302
332	1799
333	325
334	1208
335	354
336	2173
337	347
338	1116
339	347
340	1810
341	318
342	1179
343	307
344	2033
345	304
346	1178
347	315
348	1661
349	309
350	1217
351	318
352	2101
353	297
354	1221
355	311
356	1748
357	288
358	1186
359	323
360	2209
361	305
362	1241
363	300
364	1696
365	342
366	1220
367	347
368	2061
369	308
370	1211
371	375
372	1768
373	332
374	1159
375	345
376	2033
377	315
378	1200
379	331
380	1821
381	318
382	1154
383	325
384	2115
385	307
386	1158
387	349
388	1706
389	304
390	1243
391	338
392	1973
393	307
394	1227
395	291
396	1850
397	343
398	1140
399	353
400	2000
401	322
402	1257
403	319
404	1747
405	355
406	1264
407	355
408	2021
409	324
410	1182
411	345
412	1855
413	329
414	1226
415	348
416	2030
417	358
418	1195
419	358
420	1722
421	327
422	1126
423	339
424	1974
425	322
426	1195
427	337
428	1697
429	332
430	1207
431	361
432	1939
433	328
434	1168
435	327
436	1747
437	334
438	1219
439	361
440	1905
441	334
442	1189
443	331
444	1710
445	337
446	1208
447	355
448	1962
449	335
450	1191
451	342
452	1724
453	330
454	1207
455	357
456	1893
457	340
458	1191
459	383
460	1743
461	338
462	1179
463	363
464	1892
465	321
466	1228
467	332
468	1697
469	362
470	1215
471	358
472	1909
473	336
474	1208
475	318
476	1717
477	316
478	1175
479	344
480	2029
481	311
482	1213
483	322
484	1724
485	334
486	1252
487	338
488	1846
489	348
490	1270
491	346
492	1709
493	307
494	1217
495	359
496	1929
497	348
498	1227
499	354
500	1682
501	362
502	1180
503	374
504	1806
505	348
506	1197
507	338
508	1713
509	341
510	1178
511	375
512	1874
513	325
514	1229
515	333
516	1647
517	324
518	1200
519	329
520	1925
521	361
522	1193
523	326
524	1691
525	344
526	1224
527	364
528	1850
529	372
530	1242
531	333
532	1705
533	378
534	1203
535	370
536	1920
537	328
538	1183
539	335
540	1651
541	333
542	1226
543	369
544	1915
545	327
546	1166
547	341
548	1647
549	352
550	1145
551	363
552	1767
553	365
554	1178
555	336
556	1627
557	366
558	1211
559	354
560	1885
561	368
562	1195
563	320
564	1630
565	329
566	1231
567	373
568	1785
569	338
570	1146
571	314
572	1570
573	369
574	1250
575	338
576	1884
577	346
578	1141
579	311
580	1667
581	323
582	1214
583	357
584	1728
585	342
586	1272
587	331
588	1580
589	333
590	1270
591	370
592	1748
593	342
594	1160
595	373
596	1663
597	350
598	1140
599	363
600	1825
601	340
602	1148
603	382
604	1557
605	336
606	1181
607	315
608	1853
609	310
610	1188
611	397
612	1629
613	329
614	1171
615	374
616	1778
617	323
618	1194
619	354
620	1631
621	362
622	1206
623	353
624	1771
625	378
626	1165
627	379
628	1584
629	355
630	1192
631	348
632	1702
633	349
634	1189
635	327
636	1557
637	352
638	1137
639	383
640	1797
641	368
642	1107
643	374
644	1618
645	366
646	1139
647	326
648	1758
649	367
650	1194
651	380
652	1602
653	366
654	1258
655	361
656	1675
657	347
658	1127
659	350
660	1587
661	355
662	1143
663	338
664	1628
665	349
666	1194
667	333
668	1517
669	377
670	1223
671	386
672	1709
673	369
674	1150
675	354
676	1564
677	331
678	1154
679	345
680	1678
681	341
682	1182
683	349
684	1522
685	353
686	1128
687	351
688	1643
689	381
690	1186
691	375
692	1548
693	363
694	1133
695	372
696	1727
697	366
698	1167
699	347
700	1507
701	349
702	1171
703	349
704	1644
705	381
706	1149
707	340
708	1533
709	323
710	1187
711	358
712	1621
713	363
714	1184
715	350
716	1489
717	378
718	1131
719	366
720	1684
721	407
722	1162
723	332
724	1538
725	367
726	1169
727	376
728	1586
729	376
730	1126
731	373
732	1492
733	363
734	1170
735	360
736	1595
737	379
738	1158
739	361
740	1483
741	339
742	1166
743	368
744	1609
745	345
746	1202
747	370
748	1446
749	353
750	1126
751	359
752	1573
753	320
754	1109
755	348
756	1443
757	346
758	1155
759	359
760	1515
761	383
762	1106
763	346
764	1526
765	345
766	1161
767	377
768	1592
769	347
770	1196
771	358
772	1431
773	326
774	1134
775	361
776	1606
777	340
778	1132
779	327
780	1522
781	352
782	1127
783	354
784	1580
785	366
786	1094
787	345
788	1510
789	338
790	1154
791	364
792	1484
793	387
794	1140
795	353
796	1450
797	358
798	1121
799	348
800	1572
801	387
802	1143
803	357
804	1513
805	355
806	1154
807	366
808	1543
809	327
810	1122
811	373
812	1480
813	371
814	1136
815	352
816	1531
817	348
818	1114
819	364
820	1410
821	357
822	1161
823	366
824	1585
825	375
826	1087
827	380
828	1380
829	362
830	1099
831	323
832	1587
833	353
834	1124
835	347
836	1352
837	318
838	1056
839	356
840	1537
841	358
842	1098
843	384
844	1435
845	328
846	1148
847	342
848	1517
849	349
850	1133
851	347
852	1426
853	357
854	1069
855	375
856	1516
857	341
858	1107
859	355
860	1421
861	345
862	1084
863	354
864	1448
865	354
866	1135
867	341
868	1383
869	340
870	1090
871	385
872	1469
873	310
874	1075
875	355
876	1351
877	356
878	1095
879	388
880	1477
881	339
882	1074
883	372
884	1483
885	334
886	1095
887	353
888	1522
889	395
890	1052
891	359
892	1398
893	379
894	1129
895	354
896	1428
897	363
898	1039
899	355
900	1367
901	334
902	1109
903	342
904	1512
905	360
906	1063
907	335
908	1377
909	353
910	1040
911	333
912	1501
913	324
914	1035
915	368
916	1329
917	357
918	1099
919	370
920	1470
921	383
922	1029
923	366
924	1351
925	322
926	1027
927	359
928	1462
929	344
930	1071
931	327
932	1391
933	350
934	1057
935	367
936	1459
937	333
938	1065
939	387
940	1338
941	351
942	1068
943	348
944	1400
945	344
946	1069
947	332
948	1349
949	356
950	1048
951	382
952	1344
953	333
954	985
955	362
956	1388
957	327
958	1056
959	357
960	1454
961	333
962	1003
963	357
964	1326
965	375
966	1038
967	355
968	1393
969	348
970	1050
971	366
972	1298
973	346
974	1039
975	383
976	1384
977	344
978	1012
979	317
980	1305
981	341
982	1030
983	315
984	1322
985	349
986	1021
987	345
988	1363
989	319
990	1017
991	314
992	1403
993	319
994	992
995	338
996	1264
997	365
998	1066
999	354
1000	1362
1001	317
1002	1002
1003	361
1004	1283
1005	369
1006	1002
1007	339
1008	1304
1009	342
1010	1007
1011	325
1012	1299
1013	354
1014	1034
1015	321
1016	1319
1017	348
1018	1007
1019	332
1020	1326
1021	349
1022	1012
1023	340
1024	1347
1025	315
1026	1013
1027	333
1028	1273
1029	351
1030	972
1031	380
1032	1352
1033	368
1034	1025
1035	349
1036	1264
1037	330
1038	1048
1039	328
1040	1273
1041	306
1042	996
1043	358
1044	1273
1045	338
1046	993
1047	340
1048	1327
1049	318
1050	996
1051	338
1052	1211
1053	339
1054	1001
1055	346
1056	1399
1057	333
1058	1004
1059	347
1060	1307
1061	336
1062	991
1063	311
1064	1321
1065	341
1066	1029
1067	329
1068	1272
1069	329
1070	1063
1071	323
1072	1318
1073	306
1074	981
1075	347
1076	1270
1077	317
1078	1021
1079	314
1080	1356
1081	324
1082	926
1083	335
1084	1263
1085	331
1086	940
1087	360
1088	1295
1089	322
1090	999
1091	361
1092	1258
1093	351
1094	1010
1095	348
1096	1300
1097	360
1098	918
1099	358
1100	1252
1101	341
1102	983
1103	348
1104	1206
1105	306
1106	945
1107	317
1108	1240
1109	338
1110	969
1111	343
1112	1290
1113	323
1114	1014
1115	310
1116	1263
1117	350
1118	954
1119	324
1120	1308
1121	348
1122	987
1123	359
1124	1161
1125	336
1126	975
1127	331
1128	1252
1129	324
1130	1013
1131	366
1132	1245
1133	346
1134	962
1135	332
1136	1254
1137	297
1138	941
1139	320
1140	1166
1141	297
1142	975
1143	353
1144	1192
1145	364
1146	1012
1147	329
1148	1245
1149	342
1150	992
1151	314
1152	1245
1153	326
1154	920
1155	329
1156	1220
1157	329
1158	1006
1159	346
1160	1220
1161	363
1162	971
1163	314
1164	1201
1165	339
1166	1001
1167	301
1168	1279
1169	298
1170	968
1171	329
1172	1143
1173	343
1174	957
1175	313
1176	1158
1177	336
1178	986
1179	339
1180	1167
1181	296
1182	1028
1183	365
1184	1282
1185	342
1186	971
1187	350
1188	1150
1189	303
1190	962
1191	335
1192	1200
1193	331
1194	957
1195	337
1196	1181
1197	318
1198	913
1199	343
1200	1169
1201	310
1202	943
1203	330
1204	1117
1205	350
1206	932
1207	336
1208	1215
1209	308
1210	877
1211	319
1212	1147
1213	348
1214	969
1215	315
1216	1234
1217	331
1218	974
1219	337
1220	1161
1221	296
1222	904
1223	361
1224	1209
1225	349
1226	944
1227	296
1228	1118
1229	338
1230	923
1231	330
1232	1208
1233	273
1234	893
1235	342
1236	1158
1237	319
1238	946
1239	317
1240	1147
1241	282
1242	961
1243	315
1244	1084
1245	315
1246	899
1247	334
1248	1156
1249	311
1250	888
1251	311
1252	1093
1253	357
1254	936
1255	300
1256	1143
