Pay	Frequency
0	802165443
2	13498331
4	25201708
5	6945787
6	4390357
7	770412
8	22791268
9	92527
10	14374712
11	68416
12	8694520
13	26435
14	1848623
15	1636824
16	10877410
17	21653
18	1855954
19	24052
20	18726508
21	358930
22	249000
23	14665
24	6142500
25	321115
26	106402
27	80590
28	1496869
29	3710
30	4540014
31	3561
32	2824708
33	102638
34	79394
35	71854
36	1842029
37	2375
38	70485
39	31636
40	13724085
41	386
42	684068
43	759
44	262630
45	498641
46	37774
47	2864
48	2166987
49	2083
50	538215
51	21383
52	133040
53	1231
54	297846
55	34758
56	516441
57	36306
58	10141
59	88
60	4712831
61	372
62	24521
63	31129
64	531094
65	57449
66	125703
67	509
68	89400
69	23779
70	145873
71	70
72	699361
73	58
74	10641
75	23753
76	62023
77	91
78	73549
79	271
80	6311820
81	5971
82	20945
83	25
84	324013
85	78241
86	3586
87	5717
88	118007
89	213
90	742474
91	20
92	25301
93	6881
94	7057
95	14617
96	446568
97	89
98	5801
99	1526
100	582557
101	137
102	52614
103	48
104	52965
105	9809
106	2415
107	26
108	112566
109	11
110	53608
111	3284
112	98362
113	9
114	32396
115	1733
116	7853
117	2037
118	334
119	1
120	3195459
121	6
122	9462
123	526
124	34063
125	38763
126	52497
127	180
128	82481
129	1936
130	73692
131	18
132	46676
133	19
134	1292
135	36459
136	28733
137	54
138	10617
139	42
140	105747
141	2991
142	246
143	21
144	211860
145	1229
146	1105
147	2686
148	14482
149	12
150	73917
151	31
152	25845
153	594
154	319
155	1132
156	25760
157	3
158	746
159	1497
160	1974575
161	2
162	12028
164	29736
165	21569
166	369
167	106
168	71879
169	36
170	54635
171	496
172	3856
173	10
174	4460
175	2748
176	18606
177	264
178	316
179	4
180	615600
181	8
182	1184
183	432
184	9180
185	5425
186	12623
187	20
188	4425
189	1115
190	16947
191	4
192	64043
193	2
194	286
195	3129
196	4430
197	6
198	4319
199	3
200	573278
201	897
202	1604
204	12519
205	7202
206	239
207	265
208	10841
209	16
210	20868
211	2
212	1101
213	167
214	84
215	1237
216	43362
217	6
218	51
219	51
220	35313
221	6
222	8277
223	4
224	11011
225	830
226	15
228	11766
229	1
230	2836
231	92
232	2042
234	2836
235	123
236	245
237	677
238	18
240	1494156
242	3681
243	79
244	14680
245	15067
246	10723
247	62
248	13293
249	84
250	32956
251	5
252	19031
253	4
254	377
255	4211
256	9802
257	12
258	1953
259	4
260	37154
261	354
262	49
263	2
264	7161
265	232
266	54
267	166
268	660
269	1
270	55548
272	3832
273	60
274	160
275	369
276	2687
277	1
278	81
279	66
280	32447
282	2025
284	180
285	1065
286	33
287	2
288	33713
290	1740
291	171
292	2073
293	4
294	2326
295	89
296	4377
297	48
298	35
300	103816
301	1
302	260
303	72
304	4884
305	538
306	1047
307	5
308	355
309	115
310	2314
312	3209
314	21
315	357
316	404
318	371
320	426013
321	28
322	1013
324	9635
325	2473
326	30
327	23
328	5934
329	8
330	12839
332	489
333	22
334	154
335	314
336	8898
337	1
338	74
339	7
340	13839
341	2
342	335
343	1
344	885
345	110
346	16
348	711
350	1850
351	19
352	1640
354	99
355	18
356	80
357	3
358	9
360	357240
362	659
363	2
364	2026
365	3089
366	5481
367	11
368	2234
369	10
370	5735
371	1
372	5140
373	1
374	63
375	1854
376	1066
378	1720
379	1
380	8514
381	213
382	7
384	5866
385	40
386	4
387	70
388	220
390	3438
392	914
393	15
394	4
395	65
396	584
398	1
399	12
400	474989
402	1685
404	3086
405	8692
406	121
407	18
408	3056
409	10
410	11425
411	43
412	287
413	5
414	118
415	1004
416	1264
417	37
418	24
419	1
420	15923
422	14
423	20
424	310
425	106
426	63
428	69
429	26
430	1922
432	8814
434	8
435	87
436	91
438	1281
440	12517
441	3
442	11
444	1756
445	125
446	2
447	11
448	805
450	6531
452	21
453	70
454	7
455	15
456	932
458	6
459	8
460	2398
462	146
464	195
465	76
468	211
470	249
471	3
472	59
474	78
475	13
476	3
477	3
480	471722
482	1013
484	5656
485	3304
486	2960
487	10
488	4507
489	8
490	10210
491	1
492	2167
493	1
494	101
495	1111
496	1987
498	240
499	1
500	10425
501	74
502	7
504	2657
505	39
506	5
507	32
508	143
510	2478
512	857
513	1
514	14
515	15
516	193
518	8
519	17
520	8343
522	78
524	42
525	204
526	3
528	353
530	227
531	6
532	10
534	26
535	7
536	79
537	7
540	42151
542	52
543	3
544	282
545	227
546	818
548	70
549	5
550	398
552	706
553	1
554	2
555	309
556	32
558	89
560	4294
561	35
562	1
564	299
565	6
567	36
568	29
570	896
572	10
573	4
575	4
576	3182
578	2
579	1
580	857
582	119
584	466
585	70
586	1
588	167
590	28
591	2
592	593
594	30
595	3
596	11
597	8
598	1
600	110639
602	191
603	2
604	495
605	998
606	805
607	5
608	611
609	1
610	1748
611	1
612	768
613	2
614	11
615	394
616	183
618	70
620	2466
621	20
624	415
625	11
627	11
628	9
630	757
632	41
634	2
635	8
636	76
637	1
640	58120
642	110
644	1310
645	227
646	2
647	1
648	1683
650	1322
651	2
652	39
654	69
655	14
656	465
657	2
658	8
659	1
660	2589
663	5
664	68
665	5
666	30
668	36
669	2
670	157
672	625
675	22
676	5
678	16
680	1878
681	1
682	1
684	31
685	4
687	1
688	57
690	168
692	3
695	2
696	34
700	344
702	4
704	50
705	6
708	7
710	4
712	7
714	3
715	2
716	3
720	142958
722	240
724	1067
725	865
726	2323
727	8
728	816
730	2355
732	1585
734	26
735	788
736	312
738	174
740	2299
741	68
742	4
744	516
745	8
746	1
747	22
748	28
750	1187
752	104
754	4
755	4
756	403
759	3
760	2023
762	52
764	7
765	143
766	1
768	386
770	47
771	5
772	4
774	10
775	3
776	48
777	1
778	1
780	1151
783	4
784	51
786	15
788	4
790	14
792	52
795	17
796	1
798	2
800	271358
802	777
804	2470
805	3255
806	43
807	20
808	1757
809	7
810	8812
811	1
812	183
813	1
814	72
815	421
816	633
817	4
818	18
820	6448
822	36
824	117
825	53
826	7
828	74
830	1038
831	1
832	129
834	11
835	8
836	12
837	1
838	4
840	5305
842	8
844	24
845	41
846	17
848	60
850	150
852	10
854	1
855	23
856	22
858	6
860	1030
861	2
862	2
864	1256
865	4
868	7
870	179
872	20
874	1
875	2
876	96
879	1
880	2302
882	23
884	9
885	12
888	58
890	106
894	8
895	3
896	46
900	10423
902	17
904	29
905	20
906	102
908	20
909	1
910	110
912	124
915	27
916	4
918	8
920	970
921	3
924	46
926	1
927	1
928	5
930	93
932	2
935	4
936	16
940	171
942	4
944	7
945	3
948	9
950	10
954	4
960	94829
962	156
964	1462
965	361
966	551
967	8
968	1199
969	1
970	1913
972	327
974	19
975	167
976	421
978	35
980	2036
981	11
982	2
984	146
985	4
986	1
987	4
988	21
990	385
992	143
994	2
996	30
1000	1499
1002	10
1004	3
1005	24
1008	190
1010	30
1014	2
1016	16
1020	454
1023	1
1024	20
1026	2
1028	2
1030	4
1032	14
1035	7
1036	1
1038	1
1040	782
1044	1
1048	8
1050	56
1052	1
1056	9
1060	72
1062	2
1064	1
1065	1
1068	1
1070	3
1072	2
1080	20750
1082	27
