Pay	Frequency
0	800047304
2	8110713
4	14759912
5	5580844
6	2980065
7	501931
8	12821340
9	178275
10	11565696
11	88306
12	5581884
13	100655
14	1994943
15	1461448
16	6542884
17	60047
18	1780778
19	75148
20	15250704
21	267712
22	967438
23	79283
24	4344932
25	943422
26	823835
27	99253
28	2281446
29	78681
30	4483937
31	53893
32	2709439
33	101014
34	741570
35	305989
36	2071438
37	60029
38	650602
39	61587
40	11675462
41	44082
42	966628
43	35141
44	1405888
45	1014290
46	549852
47	43713
48	2170633
49	60068
50	2042025
51	42443
52	1057242
53	63696
54	627727
55	272335
56	1279465
57	59283
58	455782
59	33905
60	4889822
61	46881
62	438916
63	50482
64	1161088
65	348866
66	478595
67	30201
68	844466
69	50995
70	1070468
71	31375
72	1154799
73	32376
74	352194
75	154270
76	704359
77	32995
78	371381
79	28635
80	5702771
81	33408
82	351766
83	26437
84	873385
85	449719
86	294260
87	34944
88	782575
89	30726
90	1424931
91	25661
92	553479
93	34937
94	276538
95	178542
96	797393
97	23959
98	271274
99	26791
100	1629070
101	25530
102	271703
103	22589
104	551838
105	145583
106	230733
107	20470
108	501429
109	21267
110	595819
111	22080
112	497725
113	18868
114	232549
115	79037
116	381333
117	21699
118	186763
119	17221
120	3022275
121	15339
122	200959
123	19124
124	402842
125	227261
126	225569
127	17121
128	450275
129	20700
130	590382
131	15400
132	359346
133	17883
134	160189
135	115679
136	357175
137	14129
138	172322
139	15574
140	801481
141	19017
142	138635
143	15754
144	429139
145	73463
146	143751
147	16726
148	272034
149	14158
150	372592
151	13360
152	293461
153	14392
154	124722
155	48514
156	255101
157	11986
158	121048
159	14126
160	1907714
161	11138
162	141970
163	11498
164	262826
165	146815
166	116711
167	12618
168	312500
169	12830
170	407723
171	12187
172	204393
173	12266
174	114832
175	68207
176	229150
177	11893
178	101631
179	10753
180	896930
181	10863
182	93822
183	11455
184	211308
185	68410
186	105139
187	9793
188	177518
189	11648
190	257967
191	8998
192	221106
193	9093
194	85151
195	42426
196	156746
197	8646
198	90190
199	8546
200	839579
201	9471
202	80936
203	8214
204	165597
205	63065
206	73651
207	9261
208	166881
209	8015
210	221986
211	7652
212	129260
213	8778
214	67964
215	32229
216	170185
217	7073
218	67884
219	7649
220	340966
221	7057
222	72533
223	6902
224	137696
225	30009
226	61237
227	6486
228	123415
229	6493
230	128304
231	6710
232	119130
233	6300
234	62170
235	19006
236	99316
237	6853
238	53712
239	5845
240	1286466
241	5461
242	61125
243	6149
244	128126
245	90211
246	69573
247	6189
248	136869
249	7569
250	232355
251	5572
252	116972
253	6496
254	51856
255	42357
256	112525
257	5504
258	56621
259	5569
260	299233
261	7144
262	45379
263	5520
264	106923
265	28151
266	45045
267	6210
268	80871
269	5268
270	168471
271	4771
272	87261
273	5401
274	42402
275	18722
276	78925
277	4704
278	41251
279	5284
280	259615
281	4434
282	44130
283	4226
284	68746
285	27119
286	37485
287	4172
288	98625
289	4381
290	94134
291	4559
292	64309
293	4541
294	39615
295	15264
296	71838
297	4558
298	34702
299	3805
300	232169
301	3973
302	33250
303	4178
304	69734
305	16113
306	36257
307	3512
308	57591
309	4196
310	72253
311	3416
312	67100
313	3624
314	30005
315	11651
316	51790
317	3416
318	31378
319	3171
320	430915
321	3878
322	30570
323	3297
324	67026
325	27628
326	30450
327	3868
328	66133
329	3806
330	105955
331	3015
332	50744
333	3857
334	26843
335	15573
336	61387
337	3189
338	27091
339	3414
340	139816
341	3326
342	26855
343	2920
344	50505
345	13192
346	24224
347	2931
348	45025
349	2864
350	63516
351	2985
352	45003
353	2821
354	24391
355	8807
356	38529
357	2994
358	21771
359	2735
360	363723
361	2676
362	22980
363	2743
364	43711
365	25712
366	27901
367	2611
368	50025
369	3095
370	72292
371	2631
372	43692
373	2704
374	20425
375	14954
376	42087
377	2532
378	23287
379	2342
380	108565
381	3149
382	18621
383	2660
384	44619
385	9477
386	18829
387	2856
388	32764
389	2345
390	52055
391	2252
392	35632
393	2502
394	17391
395	6458
396	32978
397	2195
398	17218
399	2496
400	436735
401	2015
402	22128
403	2095
404	37551
405	31967
406	17260
407	2427
408	42303
409	2424
410	74256
411	2286
412	28761
413	2479
414	17300
415	11619
416	32705
417	2444
418	15896
419	2007
420	111438
421	2198
422	14547
423	2179
424	29554
425	8795
426	15598
427	1915
428	25090
429	2201
430	41348
431	1814
432	33365
433	1866
434	13582
435	6563
436	23399
437	1862
438	14646
439	1808
440	100014
441	1895
442	12874
443	1754
444	25141
445	8638
446	12355
447	1969
448	26537
449	1800
450	40094
451	1638
452	20721
453	1871
454	11794
455	5495
456	24669
457	1635
458	11839
459	1794
460	55658
461	1648
462	12281
463	1523
464	21788
465	5681
466	11017
467	1452
468	20368
469	1563
470	23692
471	1638
472	20141
473	1560
474	11066
475	3660
476	17477
477	1628
478	9924
479	1363
480	379312
481	1479
482	12749
483	1495
484	29477
485	23978
486	16259
487	1579
488	31682
489	2013
490	65947
491	1419
492	24790
493	1702
494	11108
495	13217
496	24190
497	1538
498	12516
499	1603
500	79390
501	2024
502	9547
503	1568
504	23979
505	8088
506	9855
507	1886
508	17158
509	1490
510	41213
511	1421
512	18638
513	1575
514	9367
515	5462
516	17263
517	1339
518	9306
519	1560
520	73104
521	1278
522	9978
523	1235
524	15258
525	8349
526	8536
527	1251
528	18605
529	1360
530	26473
531	1359
532	13583
533	1358
534	8911
535	4505
536	15062
537	1435
538	8063
539	1114
540	75602
541	1216
542	7646
543	1300
544	15356
545	5495
546	9174
547	1136
548	13768
549	1330
550	21054
551	1129
552	15602
553	1154
554	7313
555	4221
556	12246
557	1125
558	7879
559	1043
560	49448
561	1287
562	6834
563	1061
564	13067
565	4238
566	6661
567	1264
568	13261
569	1043
570	22776
571	967
572	10929
573	1176
574	6537
575	2924
576	14875
577	1035
578	6555
579	1094
580	30462
581	958
582	6993
583	1006
584	11933
585	3273
586	6191
587	980
588	11097
589	952
590	13594
591	1061
592	11357
593	1001
594	6260
595	2038
596	9801
597	1082
598	5708
599	932
600	114128
601	925
602	6348
603	977
604	11424
605	6210
606	7258
607	878
608	13156
609	991
610	19324
611	911
612	11554
613	1028
614	5503
615	3829
616	11268
617	857
618	6105
619	888
620	29708
621	1126
622	5234
623	920
624	11501
625	2429
626	5253
627	1090
628	9074
629	876
630	14072
631	843
632	9574
633	902
634	5133
635	1755
636	9042
637	835
638	4962
639	919
640	68804
641	866
642	5610
643	801
644	10184
645	4171
646	5436
647	818
648	12292
649	934
650	16303
651	856
652	8941
653	906
654	5188
655	2780
656	9347
657	863
658	4911
659	813
660	28344
661	907
662	4449
663	827
664	9015
665	2444
666	4911
667	754
668	7808
669	925
670	11358
671	800
672	9074
673	807
674	4409
675	2154
676	7309
677	740
678	4533
679	795
680	26537
681	824
682	4210
683	769
684	7501
685	2109
686	4098
687	863
688	7814
689	760
690	10632
691	765
692	6409
693	821
694	3903
695	1582
696	7611
697	707
698	3929
699	745
700	16725
701	734
702	3981
703	657
704	6728
705	1740
706	3854
707	655
708	6445
709	668
710	7101
711	699
712	6374
713	720
714	3701
715	1159
716	5510
717	745
718	3443
719	625
720	115423
721	713
722	4039
723	668
724	8993
725	7118
726	6396
727	745
728	10456
729	895
730	19249
731	740
732	9190
733	797
734	3825
735	4674
736	8302
737	723
738	4591
739	760
740	23535
741	930
742	3519
743	800
744	8315
745	2479
746	3706
747	970
748	5939
749	720
750	13829
751	727
752	6603
753	728
754	3502
755	1742
756	6483
757	615
758	3633
759	800
760	23286
761	717
762	3856
763	662
764	5685
765	2856
766	3426
767	713
768	7165
769	659
770	8743
771	752
772	5209
773	708
774	3519
775	1575
776	5765
777	759
778	3273
779	629
780	17465
781	671
782	3039
783	733
784	5800
785	1567
786	3473
787	602
788	5216
789	672
790	6625
791	647
792	5801
793	642
794	3011
795	1465
796	4765
797	657
798	3196
799	637
800	208995
801	682
802	4919
803	679
804	10882
805	14376
806	3943
807	896
808	10540
809	855
810	31748
811	668
812	6231
813	786
814	3518
815	5333
816	7668
817	669
818	3503
819	747
820	33516
821	755
822	3367
823	704
824	6280
825	3817
826	3035
827	677
828	5174
829	675
830	14607
831	669
832	5354
833	607
834	3106
835	2169
836	4334
837	606
838	2692
839	620
840	32729
841	577
842	2937
843	654
844	4533
845	3657
846	3025
847	572
848	5440
849	642
850	10376
851	609
852	4523
853	622
854	2631
855	2296
856	4469
857	593
858	2785
859	580
860	17732
861	613
862	2489
863	596
864	5399
865	2006
866	2552
867	626
868	3927
869	567
870	7729
871	600
872	4191
873	550
874	2366
875	1338
876	3789
877	540
878	2357
879	638
880	20017
881	547
882	2541
883	569
884	4036
885	2018
886	2374
887	504
888	4520
889	564
890	7969
891	548
892	3513
893	556
894	2490
895	1365
896	3920
897	557
898	2334
899	518
900	19379
901	526
902	2400
903	541
904	4081
905	1324
906	2621
907	507
908	3682
909	571
910	5390
911	491
912	4143
913	460
914	2131
915	1199
916	3382
917	539
918	2294
919	550
920	14534
921	568
922	2123
923	528
924	3672
925	1361
926	2178
927	566
928	3872
929	481
930	5632
931	481
932	3258
933	539
934	2098
935	1140
936	3757
937	485
938	2143
939	545
940	7974
941	497
942	2199
943	480
944	3352
945	1013
946	2057
947	498
948	3238
949	490
950	3924
951	525
952	3150
953	497
954	2056
955	853
956	3016
957	486
958	1941
959	488
960	73004
961	462
962	2355
963	484
964	5606
965	3747
966	3400
967	533
968	6204
969	553
970	12829
971	516
972	5062
973	527
974	2283
975	2822
976	4510
977	507
978	2624
979	514
980	16273
981	629
982	2002
983	508
984	4608
985	1891
986	2094
987	602
988	3433
989	526
990	9072
991	479
992	3628
993	551
994	2038
995	1400
996	3405
997	486
998	2114
999	549
1000	15236
1001	449
1002	2168
1003	535
1004	3106
1005	1872
1006	1922
1007	498
1008	3870
1009	500
1010	5707
1011	523
1012	2801
1013	511
1014	2000
1015	1084
1016	3036
1017	515
1018	1844
1019	476
1020	10968
1021	478
1022	1777
1023	528
1024	3055
1025	1058
1026	2000
1027	446
1028	2816
1029	514
1030	4221
1031	465
1032	3115
1033	462
1034	1745
1035	966
1036	2543
1037	457
1038	1869
1039	471
1040	11142
1041	445
1042	1755
1043	465
1044	2827
1045	1127
1046	1670
1047	455
1048	2799
1049	451
1050	5278
1051	449
1052	2479
1053	480
1054	1683
1055	875
1056	2888
1057	413
1058	1681
1059	461
1060	6788
1061	462
1062	1772
1063	406
1064	2670
1065	827
1066	1677
1067	434
1068	2569
1069	450
1070	3387
1071	465
1072	2422
1073	411
1074	1623
1075	665
1076	2340
1077	474
1078	1604
1079	406
1080	22025
1081	428
1082	1571
1083	420
1084	2734
1085	1477
1086	2124
1087	448
1088	3188
1089	457
1090	4657
1091	474
1092	2934
1093	451
1094	1667
1095	1418
1096	2794
1097	477
1098	1714
1099	460
1100	6571
1101	504
1102	1530
1103	462
1104	2794
1105	752
1106	1597
1107	449
1108	2305
1109	448
1110	3825
1111	460
1112	2435
1113	433
1114	1508
1115	628
1116	2433
1117	422
1118	1525
1119	456
1120	7221
1121	449
1122	1647
1123	441
1124	2161
1125	965
1126	1542
1127	421
1128	2537
1129	432
1130	3009
1131	480
1132	2204
1133	462
1134	1566
1135	632
1136	2240
1137	411
1138	1519
1139	382
1140	6055
1141	408
1142	1465
1143	444
1144	2267
1145	635
1146	1613
1147	418
1148	2253
1149	425
1150	2503
1151	395
1152	2599
1153	413
1154	1365
1155	673
1156	2082
1157	410
1158	1513
1159	431
1160	5745
1161	445
1162	1392
1163	406
1164	2238
1165	657
1166	1441
1167	408
1168	2318
1169	392
1170	2803
1171	391
1172	1923
1173	436
1174	1439
1175	561
1176	2109
1177	418
1178	1403
1179	433
1180	3577
1181	362
1182	1521
1183	421
1184	2146
1185	586
1186	1444
1187	431
1188	2024
1189	388
1190	1994
1191	407
1192	1994
1193	414
1194	1370
1195	477
1196	1837
1197	400
1198	1278
1199	421
1200	61221
1201	355
1202	1810
1203	409
1204	3482
1205	3932
1206	2436
1207	454
1208	3917
1209	442
1210	7885
1211	404
1212	3422
1213	449
1214	1563
1215	1819
1216	3039
1217	427
1218	1691
1219	425
1220	9821
1221	453
1222	1414
1223	473
1224	2989
1225	1131
1226	1482
1227	477
1228	2066
1229	426
1230	4770
1231	439
1232	2321
1233	393
1234	1378
1235	815
1236	2259
1237	376
1238	1429
1239	401
1240	8927
1241	371
1242	1627
1243	376
1244	1921
1245	1226
1246	1301
1247	432
1248	2426
1249	390
1250	3254
1251	421
1252	1773
1253	448
1254	1410
1255	684
1256	1925
1257	441
1258	1333
1259	421
1260	6174
1261	413
1262	1260
1263	385
1264	2045
1265	723
1266	1406
1267	400
1268	1834
1269	392
1270	2465
1271	394
1272	2051
1273	400
1274	1194
1275	714
1276	1734
1277	384
1278	1305
1279	413
1280	9156
1281	386
1282	1240
1283	430
1284	2001
1285	798
1286	1247
1287	404
1288	2066
1289	400
1290	3363
1291	382
1292	1832
1293	388
1294	1255
1295	698
1296	2103
1297	399
1298	1277
1299	430
1300	4153
1301	394
1302	1229
1303	380
1304	1879
1305	627
1306	1183
1307	385
1308	1697
1309	393
1310	2109
1311	422
1312	1691
1313	359
1314	1261
1315	514
1316	1507
1317	377
1318	1181
1319	385
1320	5587
1321	421
1322	1223
1323	360
1324	1612
1325	692
1326	1271
1327	369
1328	1821
1329	401
1330	2102
1331	361
1332	1670
1333	396
1334	1151
1335	681
1336	1669
1337	388
1338	1274
1339	358
1340	3143
1341	373
1342	1119
1343	390
1344	1766
1345	477
1346	1157
1347	402
1348	1638
1349	325
1350	2175
1351	377
1352	1633
1353	389
1354	1164
1355	461
1356	1555
1357	342
1358	1088
1359	347
1360	4149
1361	385
1362	1227
1363	321
1364	1498
1365	608
1366	1107
1367	371
1368	1626
1369	361
1370	1836
1371	376
1372	1504
1373	398
1374	1162
1375	484
1376	1541
1377	383
1378	1129
1379	335
1380	3142
1381	348
1382	1097
1383	403
1384	1484
1385	455
1386	1192
1387	331
1388	1470
1389	358
1390	1600
1391	334
1392	1609
1393	368
1394	1064
1395	497
1396	1456
1397	340
1398	1095
1399	330
1400	3459
1401	336
1402	1126
1403	363
1404	1453
1405	433
1406	1082
1407	359
1408	1559
1409	319
1410	1629
1411	377
1412	1379
1413	346
1414	1059
1415	432
1416	1563
1417	355
1418	1051
1419	390
1420	2037
1421	332
1422	1085
1423	363
1424	1398
1425	436
1426	1012
1427	338
1428	1335
1429	362
1430	1271
1431	333
1432	1298
1433	362
1434	1048
1435	405
1436	1215
1437	332
1438	952
1439	363
1440	27183
1441	374
1442	1183
1443	353
1444	2405
1445	1562
1446	1857
1447	405
1448	2526
1449	387
1450	4703
1451	338
1452	2352
1453	346
1454	1118
1455	1399
1456	2065
1457	349
1458	1331
1459	393
1460	5442
1461	451
1462	1079
1463	354
1464	2078
1465	798
1466	1123
1467	421
1468	1526
1469	387
1470	3661
1471	397
1472	1611
1473	359
1474	1078
1475	680
1476	1615
1477	374
1478	1141
1479	401
1480	4786
1481	368
1482	1272
1483	345
1484	1413
1485	844
1486	1044
1487	348
1488	1709
1489	397
1490	2247
1491	365
1492	1350
1493	357
1494	1146
1495	548
1496	1437
1497	380
1498	1083
1499	361
1500	4190
1501	369
1502	1078
1503	375
1504	1463
1505	531
1506	1144
1507	367
1508	1436
1509	341
1510	1864
1511	365
1512	1615
1513	353
1514	989
1515	523
1516	1305
1517	323
1518	1103
1519	338
1520	3852
1521	375
1522	997
1523	380
1524	1458
1525	501
1526	1010
1527	378
1528	1457
1529	379
1530	2248
1531	344
1532	1238
1533	347
1534	973
1535	477
1536	1487
1537	303
1538	961
1539	370
1540	2543
1541	345
1542	1088
1543	332
1544	1355
1545	451
1546	957
1547	334
1548	1297
1549	342
1550	1551
1551	306
1552	1272
1553	320
1554	1013
1555	400
1556	1219
1557	383
1558	978
1559	338
1560	3601
1561	359
1562	971
1563	339
1564	1289
1565	455
1566	1066
1567	295
1568	1363
1569	319
1570	1481
1571	335
1572	1215
1573	339
1574	904
1575	496
1576	1247
1577	328
1578	922
1579	343
1580	1986
1581	298
1582	921
1583	302
1584	1278
1585	375
1586	931
1587	358
1588	1194
1589	328
1590	1480
1591	325
1592	1276
1593	333
1594	944
1595	384
1596	1177
1597	367
1598	945
1599	332
1600	70942
1601	338
1602	1686
1603	369
1604	3563
1605	4670
1606	1432
1607	382
1608	3453
1609	424
1610	9971
1611	333
1612	2092
1613	408
1614	1222
1615	2029
1616	2266
1617	384
1618	1208
1619	346
1620	12355
1621	385
1622	947
1623	338
1624	1840
1625	1392
1626	1127
1627	335
1628	1532
1629	364
1630	5610
1631	308
1632	1779
1633	347
1634	1062
1635	1050
1636	1348
1637	311
1638	1019
1639	334
1640	9084
1641	379
1642	1010
1643	325
1644	1385
1645	1232
1646	964
1647	324
1648	1553
1649	351
1650	3620
1651	338
1652	1233
1653	303
1654	902
1655	739
1656	1390
1657	323
1658	968
1659	303
1660	5992
1661	292
1662	962
1663	320
1664	1376
1665	832
1666	980
1667	300
1668	1251
1669	315
1670	2548
1671	324
1672	1208
1673	323
1674	871
1675	649
1676	1125
1677	296
1678	876
1679	336
1680	6354
1681	325
1682	889
1683	331
1684	1282
1685	719
1686	911
1687	342
1688	1274
1689	348
1690	2870
1691	305
1692	1179
1693	318
1694	896
1695	662
1696	1228
1697	331
1698	951
1699	286
1700	3778
1701	341
1702	831
1703	341
1704	1248
1705	526
1706	886
1707	339
1708	1186
1709	335
1710	1979
1711	306
1712	1069
1713	337
1714	876
1715	422
1716	1084
1717	288
1718	877
1719	299
1720	4359
1721	305
1722	906
1723	323
1724	1094
1725	644
1726	854
1727	352
1728	1326
1729	320
1730	1803
1731	324
1732	1036
1733	319
1734	864
1735	499
1736	1112
1737	290
1738	772
1739	331
1740	2656
1741	306
1742	886
1743	319
1744	1119
1745	435
1746	864
1747	325
1748	1040
1749	305
1750	1423
1751	297
1752	1118
1753	295
1754	758
1755	364
1756	1056
1757	322
1758	892
1759	335
1760	2955
1761	334
1762	794
1763	297
1764	1010
1765	441
1766	836
1767	299
1768	1091
1769	292
1770	1571
1771	290
1772	975
1773	276
1774	795
1775	387
1776	1089
1777	315
1778	819
1779	298
1780	2465
1781	303
1782	853
1783	311
1784	1006
1785	414
1786	808
1787	309
1788	1064
1789	288
1790	1295
1791	306
1792	1007
1793	272
