Pay	Frequency
0	920696707
2	1175532
4	3075392
5	1745527
6	1264970
7	79269
8	3479713
9	22286
10	3054163
11	14721
12	2728862
13	14441
14	462910
15	454603
16	2959793
17	7315
18	798304
19	14655
20	4230921
21	168118
22	293986
23	16508
24	2946699
25	169268
26	263484
27	39696
28	1114427
29	15576
30	1534133
31	10834
32	1966046
33	57329
34	256510
35	88497
36	1367810
37	21153
38	258292
39	15583
40	3837958
41	11978
42	546978
43	6813
44	740266
45	284812
46	217673
47	8345
48	1749793
49	14072
50	646494
51	16523
52	627445
53	24575
54	353827
55	97541
56	969402
57	30481
58	191008
59	9952
60	1992636
61	16543
62	182401
63	30185
64	1026473
65	86988
66	275185
67	10180
68	483834
69	34590
70	393793
71	9977
72	976043
73	10077
74	161602
75	76269
76	450834
77	13092
78	211442
79	12043
80	2177263
81	18058
82	153285
83	12162
84	544868
85	110812
86	135347
87	18090
88	548213
89	9333
90	593096
91	10256
92	344325
93	19981
94	123117
95	62332
96	728182
97	7618
98	130839
99	16676
100	700121
101	10518
102	162982
103	8739
104	426433
105	57705
106	115547
107	9768
108	372426
109	8352
110	228301
111	12429
112	421559
113	6541
114	143605
115	33468
116	237010
117	14070
118	95762
119	7638
120	1299848
121	6366
122	100065
123	10506
124	231760
125	55950
126	124041
127	7487
128	363973
129	10728
130	208957
131	8760
132	255378
133	7109
134	81017
135	48497
136	274670
137	6414
138	104901
139	7368
140	356526
141	10471
142	70740
143	6798
144	377065
145	27278
146	72662
147	9301
148	163228
149	6650
150	177691
151	6362
152	228671
153	8242
154	66259
155	19457
156	182416
157	5506
158	63639
159	7686
160	805014
161	5189
162	79520
163	6260
164	138392
165	44408
166	60336
167	5544
168	234796
169	5457
170	157594
171	6725
172	126025
173	5172
174	66196
175	23424
176	179004
177	5886
178	52589
179	5914
180	424684
181	5245
182	50168
183	5667
184	154021
185	20946
186	64397
187	4682
188	108185
189	5829
190	103132
191	4513
192	207155
193	4270
194	43633
195	17182
196	102548
197	3981
198	54986
199	4052
200	360014
201	5479
202	42203
203	4418
204	116478
205	16506
206	39517
207	4230
208	128189
209	3555
210	96108
211	3822
212	83997
213	4727
214	36383
215	10275
216	148823
217	3318
218	36071
219	4141
220	148288
221	3396
222	43583
223	3285
224	111814
225	12357
226	32364
227	3827
228	91292
229	2919
230	54302
231	3444
232	89754
233	2976
234	38458
235	7117
236	64050
237	3914
238	29406
239	2806
240	548362
241	2901
242	30772
243	3371
244	67775
245	22281
246	37474
247	2635
248	87809
249	3528
250	85629
251	2641
252	78022
253	2716
254	26663
255	16414
256	87748
257	2660
258	32432
259	2696
260	126902
261	3721
262	23721
263	2376
264	87191
265	9681
266	24755
267	3098
268	50267
269	2383
270	76554
271	2073
272	69623
273	2979
274	22194
275	6631
276	56761
277	2186
278	21379
279	2392
280	128030
281	2202
282	27396
283	1934
284	42379
285	9408
286	20796
287	1942
288	88541
289	2207
290	37242
291	2508
292	40344
293	1960
294	24326
