Pay	Frequency
0	780284089
2	14191074
4	24118371
5	9302189
6	4798142
7	1000267
8	19136264
9	1185289
10	15435791
11	238605
12	6998756
13	1080728
14	4136230
15	2321789
16	9981029
17	369305
18	3428331
19	491879
20	10983996
21	660408
22	2154939
23	518244
24	6071347
25	509826
26	1998099
27	218440
28	3259450
29	449637
30	3757580
31	297691
32	4183820
33	268188
34	1703101
35	252951
36	2571396
37	284578
38	1334714
39	243221
40	4525473
41	187346
42	1219220
43	167402
44	2150550
45	388186
46	949187
47	162277
48	3188000
49	177238
50	903408
51	120257
52	1320175
53	283260
54	765830
55	140030
56	1308291
57	119849
58	794770
59	94296
60	2523765
61	106994
62	602154
63	137936
64	1564891
65	130256
66	627070
67	72330
68	1113928
69	124599
70	516279
71	62249
72	1295505
73	104185
74	485102
75	60991
76	766645
77	137722
78	467193
79	68874
80	1568623
81	61586
82	401872
83	64060
84	739266
85	89635
86	307692
87	59285
88	937501
89	55109
90	619585
91	39516
92	568647
93	61928
94	330190
95	57421
96	1116793
97	46543
98	320200
99	55325
100	522264
101	77865
102	273412
103	43094
104	463926
105	38464
106	309221
107	33329
108	436305
109	33720
110	341863
111	47840
112	398816
113	33182
114	222715
115	26099
116	359155
117	29889
118	192474
119	24192
120	998494
121	38569
122	188335
123	23934
124	351820
125	51915
126	192327
127	21642
128	432900
129	28843
130	187646
131	21464
132	387716
133	32947
134	154464
135	36622
136	325712
137	20796
138	168745
139	20755
140	257814
141	25449
142	127471
143	33424
144	490825
145	17869
146	135160
147	17811
148	226170
149	34541
150	128862
151	19058
152	227261
153	16860
154	204788
155	14316
156	203252
157	14856
158	116650
159	22391
160	480755
161	14133
162	117927
163	12727
164	199209
165	54052
166	94993
167	13734
168	219368
169	18666
170	114161
171	12015
172	143189
173	17273
174	94213
175	16995
176	269251
177	11603
178	88121
179	12246
180	315180
181	12309
182	82824
183	12362
184	183719
185	17416
186	82885
187	15299
188	146787
189	14920
190	82827
191	10346
192	271438
193	11701
194	74225
195	11798
196	128743
197	16876
198	115823
199	10188
200	170995
201	9618
202	83980
203	9001
204	120390
205	10449
206	67197
207	11467
208	113956
209	15495
210	64676
211	7563
212	105831
213	8953
214	56215
215	7507
216	136536
217	9000
218	52428
219	7337
220	176436
221	9421
222	59304
223	6647
224	102403
225	7280
226	53573
227	6672
228	95191
229	6235
230	47074
231	14081
232	88863
233	5953
234	47203
235	6173
236	76958
237	6376
238	40728
239	5991
240	291236
241	5522
242	69828
243	5271
244	90745
245	14769
246	46201
247	5219
248	94756
249	7071
250	57314
251	4796
252	74521
253	12766
254	40312
255	7911
256	85404
257	6032
258	42868
259	5270
260	69749
261	6973
262	34635
263	5287
264	132746
265	5687
266	38526
267	4571
268	62411
269	6014
270	52249
271	4818
272	69432
273	4325
274	36380
275	9475
276	58728
277	4348
278	32787
279	5289
280	64025
281	3942
282	30954
283	4446
284	47977
285	4720
286	48623
287	3894
288	124388
289	3344
