Pay	Frequency
0	996980388
2	1012
4	3910
5	182
6	2270
7	27
8	4427
9	48
10	1635
11	24
12	5692
13	52
14	2071
15	63
16	3079
17	69
18	2106
19	61
20	4126
21	598
22	2170
23	113
24	6174
25	81
26	1931
27	136
28	3075
29	244
30	2204
31	140
32	4835
33	92
34	2335
35	80
36	4217
37	220
38	2005
39	127
40	4509
41	291
42	2574
43	98
44	4443
45	235
46	2523
47	309
48	4327
49	189
50	2517
51	168
52	4136
53	298
54	2501
55	180
56	4158
57	198
58	2580
59	290
60	3978
61	324
62	2364
63	230
64	4567
65	263
66	2427
67	131
68	4055
69	250
70	2535
71	268
72	4812
73	199
74	2499
75	225
76	3951
77	266
78	2624
79	223
80	4156
81	280
82	2744
83	278
84	3748
85	283
86	2461
87	295
88	4410
89	319
90	2679
91	239
92	3953
93	309
94	2774
95	227
96	4389
97	252
98	2681
99	249
100	3943
101	355
102	2631
103	321
104	4265
105	283
106	2641
107	279
108	4062
109	290
110	2715
111	266
112	4048
113	309
114	2596
115	303
116	3977
117	328
118	2666
119	289
120	4177
121	285
122	2599
123	284
124	3961
125	330
126	2810
127	298
128	4050
129	339
130	2753
131	273
132	3904
133	272
134	2588
135	284
136	4028
137	355
138	2858
139	328
140	3873
141	353
142	2702
143	332
144	4287
145	328
146	2702
147	319
148	3894
149	330
150	2671
151	336
152	4196
153	359
154	2810
155	351
156	3800
157	339
158	2653
159	300
160	4109
161	350
162	2795
163	289
164	3760
165	384
166	2689
167	318
168	3737
169	324
170	2678
171	347
172	3759
173	342
174	2786
175	333
176	3841
177	342
178	2766
179	313
180	3783
181	355
182	2729
183	346
184	3825
185	348
186	2737
187	346
188	3745
189	391
190	2738
191	360
192	3923
193	330
194	2774
195	344
196	3735
197	388
198	2705
199	318
200	3941
201	359
202	2768
203	340
204	3620
205	372
206	2611
207	366
208	3829
209	352
210	2744
211	320
212	3696
213	348
214	2759
215	382
216	3900
217	365
218	2637
219	389
220	3681
221	370
222	2714
223	343
224	3675
225	341
226	2808
227	354
228	3635
229	385
230	2712
231	359
232	3712
233	378
234	2729
235	323
236	3588
237	377
238	2623
239	368
240	3721
241	331
242	2654
243	382
244	3498
245	351
246	2775
247	346
248	3792
249	360
250	2708
251	346
252	3583
253	374
254	2696
255	388
256	3725
257	381
258	2632
259	397
260	3492
261	380
262	2729
263	357
264	3699
265	364
266	2630
267	370
268	3478
269	364
270	2786
271	356
272	3588
273	403
274	2673
275	360
276	3378
277	404
278	2696
279	382
280	3631
281	379
282	2730
283	381
284	3318
285	394
286	2632
287	375
288	3551
289	388
290	2663
291	365
292	3506
293	410
294	2689
295	377
296	3534
297	406
298	2556
299	363
300	3329
301	409
302	2604
303	367
304	3512
305	409
306	2604
307	373
308	3426
309	402
310	2695
311	404
312	3435
313	408
314	2743
315	415
316	3401
317	392
318	2593
319	395
320	3440
321	362
322	2582
323	387
324	3166
325	393
326	2636
327	392
328	3376
329	372
330	2603
331	397
332	3301
333	393
334	2633
335	373
336	3320
337	393
338	2556
339	364
340	3307
341	403
342	2554
343	358
344	3337
345	399
346	2628
347	416
348	3284
349	379
350	2596
351	366
352	3324
353	372
354	2513
355	372
356	3249
357	396
358	2602
359	380
360	3358
361	410
362	2578
363	383
364	3167
365	409
366	2575
367	392
368	3331
369	409
370	2654
371	413
372	3237
373	383
374	2539
375	368
376	3292
377	392
378	2569
379	418
380	3221
381	424
382	2531
383	388
384	3345
385	408
386	2502
387	407
388	3196
389	412
390	2577
391	426
392	3242
393	392
394	2585
395	399
396	3132
397	427
398	2445
399	412
400	3244
401	389
402	2495
403	408
404	3188
405	383
406	2471
407	365
408	3134
409	386
410	2469
411	424
412	3136
413	396
414	2509
415	371
416	3201
417	410
418	2577
419	352
420	3073
421	374
422	2508
423	370
424	3151
425	369
426	2486
427	346
428	2983
429	419
430	2433
431	363
432	3213
433	369
434	2454
435	415
436	3092
437	375
438	2489
439	410
440	3007
441	419
442	2419
443	414
444	2941
445	403
446	2465
447	423
448	3043
449	401
450	2456
451	402
452	2998
453	411
454	2409
455	352
456	3156
457	423
458	2450
459	349
460	2948
461	410
462	2431
463	374
464	2991
465	370
466	2444
467	379
468	2954
469	395
470	2303
471	374
472	3003
473	378
474	2439
475	404
476	2924
477	407
478	2380
479	364
480	2990
481	399
482	2407
483	380
484	2939
485	418
486	2372
487	366
488	2980
489	420
490	2385
491	386
492	2925
493	375
494	2406
495	381
496	3030
497	368
498	2337
499	422
500	2962
501	409
502	2360
503	391
504	2874
505	415
506	2330
507	372
508	2874
509	414
510	2309
511	379
512	2822
513	404
514	2308
515	361
516	2835
517	371
518	2391
519	414
520	2951
521	393
522	2270
523	394
524	2722
525	398
526	2376
527	356
528	2902
529	384
530	2295
531	392
532	2770
533	411
534	2333
535	379
536	2836
537	413
538	2350
539	386
540	2827
541	429
542	2225
543	398
544	2802
545	384
546	2335
547	378
548	2748
549	364
550	2246
551	423
552	2762
553	353
554	2207
555	355
556	2719
557	398
558	2219
559	381
560	2717
561	371
562	2278
563	366
564	2706
565	375
566	2287
567	396
568	2797
569	361
570	2354
571	378
572	2741
573	381
574	2215
575	406
576	2769
577	414
578	2263
579	349
580	2635
581	389
582	2161
583	344
584	2705
585	360
586	2222
587	379
588	2785
589	386
590	2282
591	382
592	2624
593	378
594	2273
595	364
596	2720
597	359
598	2233
599	366
600	2734
601	359
602	2162
603	365
604	2576
605	370
606	2252
607	371
608	2633
609	395
610	2171
611	391
612	2614
613	383
614	2199
615	381
616	2539
617	360
618	2214
619	367
620	2551
621	396
622	2200
623	368
624	2543
625	413
626	2143
627	361
628	2540
629	379
630	2172
631	380
632	2579
633	418
634	2184
635	347
636	2576
637	351
638	2044
639	397
640	2551
641	385
642	2101
643	362
644	2508
645	366
646	2187
647	376
648	2548
649	382
650	2061
651	392
652	2450
653	384
654	2110
655	385
656	2478
657	381
658	2133
659	392
660	2440
661	354
662	2115
663	357
664	2411
665	368
666	2080
667	368
668	2396
669	358
670	2044
671	364
672	2603
673	428
674	2091
675	383
676	2524
677	384
678	2052
679	336
680	2570
681	354
682	2067
683	378
684	2476
685	382
686	2009
687	359
688	2383
689	355
690	2025
691	346
692	2435
693	394
694	2043
695	360
696	2409
697	366
698	2038
699	376
700	2490
701	402
702	2008
703	357
704	2476
705	382
706	2022
707	380
708	2338
709	395
710	2002
711	349
712	2446
713	386
714	2072
715	359
716	2450
717	336
718	2023
719	355
720	2406
721	380
722	2057
723	343
724	2274
725	379
726	2010
727	366
728	2240
729	357
730	2006
731	353
732	2290
733	356
734	2073
735	346
736	2411
737	333
738	1986
739	365
740	2300
741	329
742	1969
743	345
744	2254
745	369
746	1939
747	354
748	2320
749	361
750	1970
751	351
752	2312
753	355
754	2019
755	352
756	2298
757	335
758	1909
759	320
760	2262
761	324
762	1935
763	369
764	2310
765	354
766	1958
767	356
768	2339
769	376
770	1947
771	356
772	2290
773	370
774	1930
775	339
776	2213
777	364
778	1919
779	355
780	2157
781	330
782	1992
783	350
784	2265
785	347
786	1919
787	337
788	2235
789	366
790	1881
791	352
792	2212
793	371
794	1912
795	336
