Pay	Frequency
0	780296242
2	22482933
4	40643397
5	11835362
6	7532712
7	1449194
8	31595657
9	621678
10	18895924
11	211645
12	8799204
13	380532
14	2906345
15	2657177
16	14558727
17	135588
18	1393820
19	136842
20	12378879
21	324169
22	471782
23	92301
24	6272824
25	181914
26	358311
27	40194
28	1567148
29	91936
30	3859710
31	30376
32	4252471
33	36701
34	305978
35	68515
36	1330481
37	47418
38	174459
39	25445
40	4513411
41	11731
42	325818
43	3300
44	301248
45	342953
46	83636
47	11533
48	2864790
49	13284
50	142360
51	9238
52	174530
53	51261
54	106887
55	11879
56	366132
57	13999
58	57051
59	621
60	2555892
61	2575
62	47660
63	14013
64	900952
65	31682
66	49772
67	1155
68	141087
69	16637
70	42781
71	280
72	812778
73	611
74	32920
75	7129
76	82725
77	11804
78	33486
79	1543
80	1406428
81	2609
82	22649
83	176
84	133804
85	18959
86	5187
87	3857
88	68445
89	361
90	425115
91	71
92	28801
93	3420
94	16689
95	7105
96	930081
97	273
98	17379
99	819
100	78303
101	10761
102	19116
103	304
104	37613
105	2240
106	17931
107	44
108	74277
109	107
110	8948
111	2599
112	44424
113	950
114	13082
115	117
116	12991
117	1006
118	1182
119	16
120	1049575
121	47
122	8681
123	368
124	34353
125	11773
126	12000
127	173
128	131440
129	1177
130	14582
131	26
132	17204
133	502
134	1327
135	19672
136	20840
137	143
138	5241
139	512
140	11526
141	907
142	251
143	353
144	370045
145	197
146	4051
147	962
148	16269
149	4394
150	9464
151	173
152	19158
153	294
154	5142
155	104
156	11570
157	16
158	1175
159	1090
160	433741
161	5
162	5591
163	8
164	12736
165	6577
166	353
167	42
168	24589
169	66
170	7536
171	270
172	2623
173	51
174	1883
175	564
176	7643
177	126
178	172
179	7
180	244679
181	14
182	1407
183	158
184	9309
185	2366
186	2755
187	19
188	6094
189	311
190	3537
191	6
192	191324
193	35
194	839
195	383
196	5782
197	1206
198	1384
199	20
200	47303
201	427
202	2887
203	2
204	4846
205	365
206	251
207	193
208	3257
209	14
210	1562
212	2368
213	57
214	46
215	59
216	47984
217	7
218	243
219	23
220	2509
221	666
222	2634
223	4
224	3392
225	124
