Pay	Frequency
0	777808228
2	14167105
4	24281403
5	9290632
6	4820271
7	998605
8	19458659
9	1184204
10	15471335
11	239099
12	7169535
13	1078712
14	4210548
15	2318312
16	10253151
17	369947
18	3505803
19	494030
20	11170022
21	669668
22	2013882
23	520603
24	6248554
25	512632
26	2037444
27	221943
28	3409610
29	452218
30	3827059
31	300463
32	4349698
33	273208
34	1756786
35	256215
36	2713096
37	286488
38	1388651
39	245575
40	4684414
41	190272
42	1276063
43	169019
44	1903979
45	394254
46	974403
47	165772
48	3260287
49	178003
50	931462
51	122798
52	1382607
53	287983
54	800213
55	104121
56	1386247
57	122399
58	827944
59	93819
60	2612864
61	110086
62	633893
63	139353
64	1642215
65	132792
66	552369
67	74227
68	1167423
69	127156
70	533985
71	63668
72	1349501
73	105681
74	503480
75	63332
76	814899
77	102853
78	491803
79	68809
80	1638994
81	61889
82	423028
83	64822
84	783973
85	90739
86	329231
87	61575
88	725710
89	56388
90	625589
91	41610
92	570857
93	63186
94	331444
95	58001
96	1113632
97	47655
98	324795
99	43282
100	541104
101	78950
102	283173
103	42248
104	483545
105	39926
106	320151
107	33947
108	457791
109	34884
110	229580
111	48863
112	413702
113	34485
114	221567
115	26048
116	375522
117	31351
118	193183
119	25154
120	1014247
121	30773
122	194905
123	24550
124	367838
125	51253
126	201164
127	22343
128	452539
129	29313
130	195979
131	22529
132	288373
133	33437
134	153023
135	37891
136	322203
137	20965
138	169998
139	20785
140	254334
141	26269
142	128770
143	24728
144	483561
145	18622
146	138994
147	17424
148	230444
149	34366
150	132749
151	18979
152	236379
153	17499
154	142505
155	14853
156	205552
157	15538
158	109768
159	23099
160	491597
161	14124
162	113165
163	13418
164	205254
165	30393
166	96601
167	13375
168	215689
169	16974
170	115228
171	12487
172	147011
173	15877
174	97938
175	17204
176	165324
177	11704
178	83754
179	12752
180	303336
181	11885
182	76766
183	12258
184	171411
185	17653
186	80858
187	9410
188	142685
189	15149
190	82143
191	9585
192	258336
193	12044
194	73922
195	11192
196	125761
197	17011
198	71241
199	10261
200	165478
201	9706
202	77354
203	8933
204	116916
205	10592
206	59724
207	11773
208	111570
209	8956
210	62483
211	7314
212	105376
213	8409
214	54910
215	7603
216	129498
217	8363
218	52573
219	7405
220	91376
221	9287
222	55436
223	6807
224	91124
225	6981
226	50374
227	6572
228	82581
229	6299
230	45508
231	7276
232	83268
233	5845
234	45209
235	5507
236	70550
237	6478
238	40470
239	5382
240	285406
241	5416
242	43268
243	5070
244	86885
245	14844
246	41306
247	5210
248	92129
249	7201
250	52172
251	4687
252	69962
253	7257
254	37575
255	7857
256	82798
257	5477
258	39037
259	4965
260	68235
261	6370
262	33745
263	5241
264	67494
265	5580
266	33869
267	4579
268	52497
269	5187
270	48913
271	4616
272	59456
273	4215
274	32636
275	4838
276	52467
277	4265
278	30633
279	4740
280	57309
281	3927
282	29794
283	3842
284	43428
285	4846
286	27945
287	3686
288	112781
289	3380
290	27914
291	3583
292	43908
293	7526
294	26871
295	3571
296	45915
297	3596
298	31986
299	3003
300	47927
301	3121
302	23947
303	4958
304	43768
305	3215
306	23891
307	2899
308	42715
309	3224
310	22647
311	2811
312	40964
313	3532
314	21393
315	2952
316	33620
317	2940
318	23986
319	2707
320	118371
321	2590
322	21760
323	2969
324	40529
325	6632
326	19362
327	2631
328	42480
329	3002
330	27147
331	2209
332	30405
333	3627
334	18803
335	3839
336	37265
337	2499
338	18949
339	2577
340	32500
341	2760
342	17184
343	2620
344	30098
345	2918
346	17074
347	2259
348	27885
349	2556
350	17805
351	2496
352	27876
353	2199
354	16066
355	2277
356	23502
357	2363
358	15072
359	2066
360	83265
361	1923
362	15286
363	1979
364	28609
365	4615
366	15042
367	1981
368	33685
369	2602
370	17259
371	1853
372	24155
373	3219
374	14046
375	2619
376	26490
377	2052
378	15678
379	1879
380	24761
