Pay	Frequency
0	911914904
2	2993636
4	7009162
5	2743035
6	1331590
7	201285
8	6790555
9	216143
10	4228233
11	60851
12	3282655
13	203836
14	1262851
15	779005
16	4605964
17	66025
18	1232583
19	132318
20	3715553
21	202643
22	774747
23	140897
24	3353341
25	194089
26	608615
27	75979
28	1689971
29	125630
30	1490605
31	73131
32	2306536
33	114744
34	561585
35	106903
36	1553071
37	72053
38	466106
39	79336
40	2076562
41	45629
42	561471
43	45602
44	1130784
45	197452
46	358235
47	41562
48	1900269
49	55536
50	396187
51	37135
52	778200
53	81424
54	384709
55	69784
56	918161
57	51005
58	287934
59	27875
60	1291918
61	33171
62	240381
63	50195
64	920418
65	58942
66	344725
67	19542
68	571457
69	56807
70	240116
71	18502
72	906888
73	31751
74	198606
75	34510
76	451426
77	40464
78	234766
79	22392
80	811282
81	26717
82	157655
83	19446
84	472220
85	37946
86	134637
87	25205
88	638310
89	18781
90	320042
91	15202
92	329260
93	29362
94	134689
95	25872
96	725866
97	14923
98	138140
99	22017
100	318943
101	21398
102	145850
103	13361
104	359336
105	20408
106	124073
107	10945
108	306302
109	13095
110	180195
111	18410
112	311171
113	10964
114	130645
115	9863
116	208397
117	17752
118	92936
119	8771
120	562346
121	13560
122	91406
123	10240
124	201683
125	22480
126	105688
127	7771
128	277490
129	13084
130	99627
131	7774
132	284865
133	10995
134	74029
135	20239
136	223649
137	6981
138	90885
139	7820
140	168452
141	11762
142	59856
143	13751
144	345703
145	7538
146	63831
147	8581
148	141120
149	10772
150	78673
151	6582
152	173169
153	7910
154	101274
155	6357
156	153915
157	5771
158	55753
159	9637
160	254615
161	4878
162	66701
163	5387
164	108723
165	27209
166	48041
167	5554
168	189434
169	6431
170	56347
171	5768
172	93709
173	6819
174	53728
175	6793
176	209794
177	5370
178	45163
179	5364
180	190405
181	5054
182	47835
183	5768
184	128174
185	7932
186	48182
187	5940
188	89156
189	6866
190	44171
191	4230
192	203327
193	4193
194	37335
195	8099
196	85935
197	4794
198	69885
199	4197
200	113424
201	4473
202	36698
203	3937
204	86956
205	4220
206	32684
207	4824
208	103891
209	6214
210	40900
211	3219
212	66446
213	4851
214	30584
215	3459
216	120301
217	3031
218	27080
219	3560
220	116492
221	3930
222	35384
223	2793
224	82495
225	3897
226	26605
227	2874
228	73136
229	2633
230	24438
231	6492
232	67551
233	2453
234	33411
235	2599
236	53950
237	3758
238	21313
239	2618
240	169414
241	2192
242	39274
243	2803
244	56339
245	5978
246	26690
247	3163
248	67636
249	3174
250	28928
251	2149
252	59979
253	5785
254	20951
255	3965
256	63838
257	2189
258	25428
259	2258
260	51755
261	3511
262	17545
263	2127
264	109738
265	2385
266	20029
267	2362
268	42729
269	2376
270	30917
271	1814
272	54658
273	2819
274	17681
275	5024
276	45435
277	1841
278	16959
279	2338
280	51231
281	1502
282	19084
283	2130
284	31202
285	2654
286	30597
287	1627
288	89729
289	1442
290	16727
291	1908
292	32570
293	2165
294	21571
295	1485
296	42252
297	2844
298	16451
299	2362
300	38010
301	1467
302	14841
303	2090
304	40954
305	1490
306	16218
307	1478
308	49075
309	1912
310	14669
311	1409
312	54433
313	1477
314	12562
315	1729
316	28039
317	1215
318	15473
319	2925
320	64332
321	1504
322	11917
323	1373
324	32883
325	3194
326	11213
327	1488
328	31775
329	1458
330	36365
331	1203
332	24179
333	1842
334	11594
335	1794
336	49422
337	1122
338	14377
339	1495
340	25102
341	2462
342	12258
343	1177
344	27192
345	1566
346	10754
347	1024
348	24676
349	1206
350	10021
351	1421
352	47268
353	1088
354	12044
355	1126
356	20877
357	1399
358	9491
359	947
360	61619
361	834
362	9224
363	1961
364	25087
365	2232
366	10441
367	973
368	28523
369	1258
370	9982
371	950
372	22242
373	1126
374	16078
375	1446
376	25460
377	1172
378	11551
379	997
380	19116
381	1243
382	8333
383	995
384	42159
385	2266
386	8062
387	1029
388	17532
389	1067
390	12619
391	745
392	22798
393	1027
394	7461
395	827
396	31212
397	793
398	7756
399	978
400	26166
401	692
402	8807
403	1104
404	16160
405	1545
406	7353
407	1593
408	26558
409	764
410	7140
411	816
412	14057
413	907
414	7797
415	851
416	21622
417	907
418	11847
419	700
420	17889
421	715
422	6444
423	802
424	16904
425	670
426	7620
427	641
428	12570
429	1987
430	5863
431	603
432	29669
433	734
434	6083
435	742
436	12052
437	808
438	6743
439	572
440	32417
441	781
442	7472
443	616
444	15130
445	774
446	5449
447	766
448	16880
449	567
450	6895
451	1033
452	11472
453	841
454	5006
455	786
456	20558
457	517
458	4988
459	704
460	10706
461	553
462	10570
463	423
464	14461
465	678
466	4807
467	567
468	14507
469	566
470	5098
471	510
472	12680
473	969
474	5225
475	611
476	9280
477	720
478	4472
479	425
480	38639
481	606
482	4597
483	562
484	16754
485	1292
486	5415
487	468
488	14117
489	674
490	6031
491	435
492	11198
493	627
494	5719
495	3003
496	12762
497	514
498	5033
499	521
500	9628
501	702
502	3900
503	527
504	16592
505	587
506	7038
507	625
508	8448
509	488
510	5366
511	421
512	11398
513	572
514	4201
515	481
516	9261
517	1025
518	3895
519	495
520	12587
521	377
522	4714
523	383
524	7150
525	706
526	3389
527	402
528	25683
529	371
530	3894
531	365
532	8141
533	576
534	3996
535	418
536	9456
537	445
538	3572
539	945
540	11990
541	368
542	3184
543	394
544	9398
545	479
546	4844
547	386
548	6765
549	487
550	6588
551	305
552	11769
553	394
554	3351
555	473
556	6843
557	351
558	3853
559	411
560	9029
561	715
562	3040
563	361
564	7623
565	325
566	3026
567	367
568	7352
569	327
570	3512
571	262
572	10762
573	360
574	2833
575	302
576	16332
577	268
578	2821
579	383
580	6416
581	356
582	3252
583	1124
584	7306
585	494
586	2916
587	325
588	7774
589	270
590	2438
591	377
592	7329
593	323
594	5066
595	287
596	5656
597	301
598	3373
599	277
600	10762
601	246
602	2737
603	277
604	5493
605	826
606	2947
607	263
608	6976
609	385
610	2475
611	377
612	6021
613	276
614	2299
615	322
616	10298
617	258
618	2748
619	248
620	5610
621	337
622	2234
623	206
624	10962
625	240
626	2256
627	534
628	4806
629	256
630	2851
631	230
632	5890
633	319
634	2140
635	251
636	5525
637	320
638	3816
639	246
640	11568
641	199
642	2575
643	255
644	4722
645	506
646	2074
647	218
648	7941
649	536
650	3234
651	285
652	4245
653	344
654	2347
655	253
656	5430
657	306
658	2126
659	196
660	15220
661	232
662	2025
663	312
664	5683
665	275
666	2395
667	286
668	4271
669	251
670	2106
671	486
672	8890
673	243
674	1900
675	276
676	4928
677	207
678	2133
679	200
680	5139
681	259
682	3287
683	216
684	4456
685	207
686	1915
687	225
688	4867
689	271
690	2162
691	200
692	3402
693	647
694	1710
695	203
696	5522
697	159
698	1555
699	197
700	3463
701	158
702	2256
703	175
704	8187
705	213
706	1567
707	159
708	3891
709	153
710	1509
711	195
712	4170
713	199
714	1809
715	770
716	3183
717	188
718	1329
719	156
720	13525
721	158
722	1555
723	219
724	3371
725	372
726	2789
727	139
728	5489
729	259
730	2102
731	171
732	3884
733	192
734	1563
735	331
736	4706
737	361
738	1825
739	197
740	3183
741	306
742	1512
743	177
744	5400
745	170
746	1464
747	179
748	5630
749	191
750	1862
751	155
752	4051
753	260
754	1660
755	186
756	4115
757	172
758	1421
759	511
760	3945
761	147
762	1563
763	177
764	3037
765	227
766	1264
767	192
768	6487
769	132
770	2590
771	137
772	2911
773	169
774	1572
775	131
776	3466
777	206
778	1333
779	153
780	4172
781	258
782	1240
783	174
784	3623
785	136
786	1460
787	117
788	2465
789	186
790	1205
791	124
792	8549
793	199
794	1260
795	159
796	2653
797	169
798	1515
799	138
800	4542
801	153
802	1177
803	398
804	3027
805	164
806	1389
807	130
808	3242
809	120
810	1483
811	119
812	2318
813	144
814	2184
815	138
816	4729
817	107
818	1095
819	189
820	2313
821	96
822	1303
823	127
824	2758
825	404
826	1077
827	156
828	2626
829	110
830	1125
831	120
832	3277
833	120
834	1210
835	127
836	3633
837	140
838	1002
839	110
840	3996
841	127
842	1053
843	118
844	2083
845	133
846	1082
847	334
848	2548
849	117
850	938
851	102
852	2333
853	95
854	897
855	119
856	2158
857	94
858	2128
859	139
860	1759
861	139
862	921
863	109
864	5718
865	92
866	930
867	113
868	1977
869	284
870	1095
871	170
872	2266
873	115
874	1023
875	102
876	2184
877	117
878	858
879	138
880	6709
881	87
882	1281
883	96
884	2430
885	146
886	889
887	93
888	3450
889	89
890	984
891	218
892	1759
893	90
894	986
895	111
896	2522
897	140
898	830
899	112
900	2136
901	66
902	1485
903	127
904	2103
905	95
906	915
907	103
908	1668
909	90
910	904
911	71
912	3477
913	218
914	808
915	124
916	1532
917	103
918	950
919	92
920	1932
921	141
922	715
923	116
924	3342
925	79
926	708
927	66
928	2111
929	82
930	898
931	84
932	1470
933	79
934	718
935	342
936	3244
