Pay	Frequency
0	782111027
2	14345445
4	24338792
5	8932641
6	4864028
7	991431
8	19253115
9	1121420
10	14932809
11	233246
12	7036339
13	1042398
14	4100372
15	2238138
16	10006899
17	358216
18	3394770
19	473417
20	10718309
21	645819
22	2155337
23	501429
24	6051745
25	483262
26	1984414
27	213344
28	3251741
29	433048
30	3683446
31	288523
32	4181482
33	251525
34	1682712
35	240179
36	2571336
37	273198
38	1325255
39	232304
40	4437638
41	177230
42	1207646
43	155815
44	2140800
45	374132
46	940479
47	151616
48	3176493
49	167943
50	888507
51	112872
52	1318661
53	272449
54	763120
55	131874
56	1305319
57	109534
58	784793
59	87753
60	2487689
61	99540
62	595083
63	129443
64	1558504
65	122464
66	623819
67	66097
68	1105856
69	119242
70	510405
71	56338
72	1296295
73	96859
74	483710
75	56387
76	765259
77	132072
78	460452
79	64403
80	1544292
81	56521
82	395903
83	58874
84	736029
85	84327
86	304766
87	55128
88	934310
89	51192
90	607503
91	36093
92	568479
93	57541
94	327428
95	53867
96	1112367
97	42744
98	318231
99	51201
100	514107
101	74295
102	271244
103	39700
104	461783
105	35471
106	304911
107	30388
108	436319
109	31309
110	340571
111	44697
112	398343
113	31011
114	222074
115	23839
116	357922
117	27615
118	191642
119	22301
120	984152
121	35852
122	186613
123	22083
124	349238
125	48917
126	189863
127	19962
128	431058
129	27049
130	184125
131	19702
132	388683
133	30709
134	153492
135	35014
136	325368
137	18745
138	167015
139	19201
140	256706
141	23717
142	126574
143	31929
144	490391
145	16665
146	134362
147	16640
148	225752
149	32915
150	127724
151	17647
152	227782
153	15743
154	204169
155	13274
156	203124
157	13836
158	116104
159	21383
160	473143
161	12865
162	117524
163	11989
164	197690
165	52165
166	94865
167	12842
168	217328
169	17549
170	112672
171	11234
172	143389
173	16624
174	94072
175	15810
176	267045
177	10709
178	88296
179	11282
180	311536
181	11643
182	82800
183	11730
184	183239
185	16120
186	82192
187	14441
188	145742
189	14221
190	81179
191	9902
192	270767
193	10821
194	74070
195	11118
196	128467
197	16263
198	115706
199	9698
200	164276
201	9113
202	82880
203	8520
204	119509
205	9762
206	66523
207	10971
208	113472
209	14845
210	64692
211	7230
212	105472
213	8682
214	56141
215	7129
216	136554
217	8365
218	52125
