Pay	Frequency
0	993850561
2	8107
4	29630
5	1323
6	16248
7	138
8	32256
9	260
10	8528
11	123
12	39583
13	249
14	10592
15	353
16	17795
17	300
18	12369
19	269
20	20691
21	4224
22	10930
23	490
24	39176
25	343
26	8699
27	725
28	14302
29	1039
30	10097
31	578
32	22910
33	349
34	9879
35	279
36	19831
37	903
38	8487
39	579
40	21093
41	1253
42	11238
43	267
44	19530
45	1109
46	9141
47	1244
48	23764
49	736
50	10119
51	746
52	17314
53	1121
54	9473
55	815
56	16867
57	590
58	9777
59	1132
60	15884
61	1284
62	8023
63	963
64	18222
65	884
66	8350
67	458
68	15117
69	859
70	8704
71	892
72	20502
73	633
74	8817
75	854
76	14632
77	984
78	8865
79	619
80	15809
81	980
82	9488
83	913
84	14613
85	851
86	7684
87	903
88	16039
89	987
90	8939
91	727
92	13776
93	838
94	8807
95	911
96	18000
97	790
98	8525
99	897
100	13412
101	1092
102	8160
103	888
104	15455
105	846
106	8098
107	896
108	13985
109	874
110	8548
111	876
112	13852
113	948
114	7857
115	821
116	12637
117	1050
118	7669
119	784
120	13870
121	787
122	8092
123	755
124	12924
125	986
126	8405
127	692
128	13113
129	984
130	8196
131	803
132	12530
133	959
134	7637
135	877
136	12865
137	844
138	7850
139	818
140	11768
141	1033
142	7562
143	962
144	14840
145	907
146	7522
147	845
148	11807
149	916
150	7307
151	786
152	13220
153	919
154	7899
155	840
156	11123
157	932
158	7258
159	869
160	12442
161	908
162	7380
163	719
164	11136
165	933
166	7234
167	816
168	13055
169	867
170	7245
171	819
172	10579
173	1002
174	7301
175	829
176	11096
177	874
178	7438
179	907
180	11292
181	950
182	7053
183	813
184	11565
185	941
186	7255
187	849
188	10416
189	906
190	7395
191	807
192	12332
193	817
194	7136
195	787
196	10617
197	846
198	7033
199	849
200	11170
201	814
202	7033
203	835
204	10002
205	849
206	6759
207	763
208	11074
209	899
210	6918
211	806
212	9982
213	906
214	6682
215	811
216	11441
217	927
218	6786
219	811
220	10128
221	883
222	6754
223	803
224	10621
225	810
226	6584
227	817
228	9557
229	905
230	6763
231	870
232	10384
233	829
234	6731
235	851
236	9430
237	952
238	6569
239	769
240	10283
241	824
242	6749
243	767
244	9464
245	911
246	6710
247	780
248	9850
249	862
250	6527
251	818
252	9728
253	891
254	6415
255	829
256	9785
257	888
258	6516
259	767
260	9049
261	908
262	6364
263	827
264	9826
265	795
266	6333
267	751
268	9111
269	917
270	6532
271	786
272	9253
273	805
274	6361
275	860
276	8999
277	808
278	6208
279	809
280	9481
281	823
282	6209
283	786
284	8397
285	882
286	6066
287	785
288	9903
289	781
290	6202
291	803
292	8590
293	808
294	6152
295	781
296	9068
297	830
298	6245
299	754
300	8149
301	879
302	6006
303	769
304	8949
305	813
306	5937
307	758
308	8327
309	776
310	6000
311	782
312	8647
313	774
314	5985
315	779
316	8208
317	801
318	6002
319	760
320	8591
321	814
322	5969
323	704
324	8175
325	851
326	5940
327	754
328	8291
329	837
330	5929
331	688
332	8065
333	853
334	5838
335	748
336	8985
337	785
338	5891
339	727
340	7885
341	838
342	5801
343	722
344	8217
345	778
346	5784
347	728
348	7836
349	809
350	5667
351	733
352	7981
353	795
354	5649
355	781
356	7490
357	827
358	5523
359	701
360	8563
361	794
362	5639
363	746
364	7428
365	805
366	5673
367	734
368	7933
369	760
370	5639
371	801
372	7665
373	811
374	5475
375	706
376	7885
377	764
378	5653
379	676
380	7432
381	823
382	5456
383	723
384	8174
385	785
386	5502
387	786
388	7435
389	765
390	5445
391	736
392	7628
393	772
394	5424
395	780
396	7116
397	854
398	5277
399	763
400	7528
401	760
402	5272
403	720
404	7272
405	832
406	5345
407	770
408	7552
409	750
410	5059
411	773
412	7012
413	716
414	5254
415	742
416	7368
417	755
418	5198
419	760
420	6925
421	795
422	5147
423	770
424	7275
425	725
426	5196
427	716
428	6754
429	794
430	5110
431	754
432	7473
433	737
434	5293
435	700
436	6850
437	750
438	5176
439	690
440	6977
441	730
442	5107
443	661
444	6645
445	706
446	5025
447	689
448	6913
449	707
450	5154
451	674
452	6665
453	712
454	4939
455	725
456	6712
457	674
458	4880
459	709
460	6494
461	744
462	5060
463	700
464	6741
465	728
466	4954
467	727
468	6562
469	715
470	4927
471	685
472	6661
473	735
474	4773
475	679
476	6297
477	716
478	4804
479	683
480	6728
481	731
482	4778
483	738
484	6450
485	794
486	4876
487	710
488	6634
489	702
490	4801
491	707
492	6458
493	677
494	4839
495	680
496	6468
497	671
498	4777
499	679
500	6126
501	720
502	4760
503	716
504	6484
505	690
506	4881
507	694
508	6141
509	696
510	4679
511	670
512	6133
513	711
514	4651
515	695
516	6094
517	680
518	4609
519	684
520	6116
521	688
522	4612
523	652
524	5949
525	706
526	4600
527	630
528	6198
529	700
530	4513
531	659
532	5919
533	689
534	4587
535	680
536	6170
537	723
538	4580
539	672
540	5848
541	732
542	4471
543	648
544	6088
545	673
546	4489
547	627
548	5764
549	692
550	4526
551	628
552	6105
553	693
554	4509
555	639
556	5554
557	727
558	4389
559	646
560	5792
561	713
562	4552
563	681
564	5639
565	702
566	4374
567	656
568	5918
569	715
570	4446
571	598
572	5594
573	656
574	4321
575	621
576	5991
577	681
578	4250
579	667
580	5680
581	691
582	4303
583	663
584	5639
585	632
586	4401
587	626
588	5491
589	669
590	4174
591	665
592	5727
593	671
594	4131
595	641
596	5356
597	669
598	4275
599	603
600	5472
601	644
602	4218
603	599
604	5369
605	699
606	4135
607	632
608	5440
609	632
610	4185
611	667
612	5310
613	649
614	4258
615	667
616	5470
617	635
618	4177
619	631
620	5139
621	615
622	4086
623	643
624	5429
625	677
626	4123
627	602
628	5351
629	607
630	4067
631	633
632	5419
633	624
634	4179
635	654
636	5220
637	631
638	4072
639	634
640	5330
641	602
642	4153
643	628
644	5088
645	623
646	4053
647	631
648	5336
649	663
650	3963
651	591
652	5066
653	641
654	3986
655	590
656	5186
657	633
658	3969
659	644
660	5039
661	646
662	3908
663	581
664	5198
665	603
666	3899
667	629
668	4910
669	606
670	3910
671	601
672	5155
673	674
674	3972
675	574
676	4871
677	591
678	3893
679	613
680	5084
681	616
682	3837
683	627
684	4916
685	635
686	3912
687	601
688	4951
689	567
690	3907
691	587
692	4763
693	584
694	3737
695	595
696	4971
697	637
698	3794
699	603
700	4876
701	644
702	3750
703	590
704	4796
705	614
706	3882
707	609
708	4760
709	590
710	3653
711	563
712	4848
713	624
714	3762
715	552
716	4750
717	639
718	3725
719	624
720	5101
721	605
722	3683
723	589
724	4588
725	621
726	3737
727	574
728	4597
729	583
730	3623
731	613
732	4736
733	570
734	3595
735	555
736	4679
737	632
738	3640
739	595
740	4531
741	660
742	3651
743	598
744	4769
745	578
746	3633
747	567
748	4387
749	630
750	3573
751	520
752	4615
753	575
754	3674
755	518
756	4466
757	544
758	3419
759	552
760	4625
761	538
762	3617
763	599
764	4371
765	587
766	3484
767	527
768	4566
769	549
770	3488
771	577
772	4501
773	573
774	3528
775	541
776	4489
777	600
778	3386
779	584
780	4300
781	529
782	3531
783	565
784	4416
785	578
786	3473
787	567
788	4334
789	525
790	3506
791	565
792	4227
793	579
794	3388
795	555
796	4208
797	553
798	3432
799	545
800	4291
801	597
802	3433
803	518
804	4286
805	597
806	3379
807	570
808	4280
809	538
810	3382
