Pay	Frequency
0	782111027
2	22777659
4	40700071
5	11224783
6	7612421
7	1464531
8	31103482
9	583259
10	18040361
11	212435
12	8582767
13	354807
14	2847943
15	2549797
16	14074296
17	128422
18	1339464
19	132129
20	11779520
21	301531
22	748486
23	89333
24	6012359
25	164530
26	345352
27	36095
28	1499893
29	86198
30	3681737
31	29082
32	4072278
33	30768
34	293027
35	60733
36	1248506
37	44424
38	167725
39	22419
40	4267880
41	10878
42	296550
43	3198
44	901644
45	327295
46	78183
47	11056
48	2791682
49	12799
50	129858
51	7854
52	164036
53	48343
54	94456
55	51433
56	343220
57	12064
58	53051
59	560
60	2430073
61	2457
62	45873
63	12231
64	856485
65	28077
66	246447
67	1076
68	130847
69	14853
70	38176
71	307
72	811310
73	504
74	31927
75	6211
76	78525
77	71476
78	30892
79	1517
80	1325922
81	2272
82	21911
83	133
84	136610
85	17303
86	4981
87	3507
88	554460
89	287
90	402929
91	73
92	26535
93	2824
94	15965
95	6339
96	962024
97	244
98	16362
99	12779
100	66457
101	10290
102	16119
103	255
104	36136
105	1923
106	16186
107	48
108	71380
109	70
110	169551
111	2312
112	40585
113	850
114	11162
115	85
116	11528
117	1078
118	1106
119	19
120	1025541
121	12254
122	8346
123	318
124	32288
125	10356
126	12113
127	172
128	122875
129	951
130	14772
131	22
132	199876
133	454
134	1217
135	19011
136	18807
137	149
138	4477
139	492
140	10037
141	767
142	249
143	7006
144	395709
145	187
146	4019
147	1410
148	15295
149	4220
150	7810
151	190
152	18022
153	265
154	84167
155	120
156	15035
157	12
158	1084
159	882
160	408303
161	4
162	5066
163	1
164	11788
165	39221
166	344
167	37
168	46499
169	288
170	6560
171	198
172	2376
173	42
174	1562
175	547
176	169327
177	132
178	143
179	6
180	236815
181	14
182	2762
183	114
184	8451
185	2070
186	2383
187	3557
188	5497
189	428
190	3173
191	3
192	213301
193	27
194	802
195	716
196	5321
197	1185
198	40316
199	11
200	38431
201	332
202	2537
203	6
204	5327
205	301
206	209
207	173
208	5215
209	4899
210	2609
211	4
212	2017
213	61
214	28
215	50
216	57798
217	4
218	230
219	15
220	95910
221	808
222	2217
223	6
224	3122
225	130
226	552
