Pay	Frequency
0	777877736
2	14266423
4	24170823
5	8869989
6	4850805
7	989567
8	19090529
9	1113060
10	14828202
11	233010
12	7003288
13	1031058
14	4092048
15	2224641
16	9904122
17	353930
18	3379786
19	471022
20	10647072
21	640082
22	2153543
23	497107
24	6004710
25	479524
26	1975157
27	211772
28	3245213
29	427717
30	3667861
31	285516
32	4146322
33	249619
34	1677095
35	238522
36	2564079
37	269363
38	1325059
39	229865
40	4418937
41	175477
42	1206521
43	154707
44	2143163
45	371736
46	941472
47	150403
48	3143770
49	166722
50	893081
51	112032
52	1323897
53	268598
54	767184
55	131434
56	1311470
57	108651
58	785457
59	87743
60	2483088
61	99446
62	598849
63	128266
64	1554520
65	122172
66	628675
67	65794
68	1108729
69	118233
70	516061
71	56615
72	1295454
73	96157
74	488586
75	56755
76	773454
77	131088
78	465148
79	64277
80	1545469
81	56817
82	401374
83	59147
84	743630
85	84758
86	310914
87	55181
88	942020
89	51664
90	611708
91	36543
92	576684
93	57743
94	333832
95	54475
96	1107040
97	43015
98	324080
99	51785
100	523587
101	73961
102	277269
103	40277
104	472753
105	36218
106	309175
107	30934
108	445385
109	32064
110	347075
111	44944
112	408376
113	31655
114	228716
115	24613
116	366740
117	28435
118	198240
119	23068
120	987102
121	36343
122	193342
123	22780
124	358886
125	49608
126	196462
127	20705
128	437720
129	27968
130	191163
131	20447
132	398023
133	31394
134	160488
135	35718
136	334007
137	19512
138	173429
139	20092
140	266498
141	24526
142	133340
143	32745
144	493275
145	17708
146	141132
147	17544
148	235537
149	33153
150	134457
151	18468
152	238165
153	16699
154	210123
155	14256
156	212430
157	14877
158	122910
159	22011
160	479559
161	13804
162	124231
163	12814
164	206355
165	53023
166	101681
167	13741
168	226822
169	18429
170	119231
171	12186
172	152848
173	17576
174	100636
175	16739
176	275678
177	11656
178	95145
179	12249
180	319294
181	12714
182	89573
183	12589
184	192400
185	17081
186	89036
187	15361
188	154498
189	15184
190	87885
191	10941
192	276551
193	11867
194	80731
195	12055
196	137419
197	17115
198	122308
199	10690
200	173468
201	10115
202	89036
203	9525
204	128055
205	10799
206	73087
207	11793
208	123069
209	15833
210	71338
211	8272
212	113996
213	9748
214	62562
215	8149
216	144662
217	9435
218	58755
219	7681
220	184070
221	10066
222	65121
223	7088
224	112065
225	7897
226	59318
227	7133
228	103129
229	6982
230	53083
231	14438
232	98474
233	6556
234	53650
235	6927
236	85241
237	7302
238	47504
239	6550
240	293483
241	6098
242	76538
243	6046
244	98873
245	15312
246	52794
247	5995
248	103349
249	7632
250	62891
251	5547
252	83136
253	13345
254	47141
255	8696
256	93009
257	6584
258	49118
259	5986
260	78112
261	7750
262	40638
263	6025
264	140606
265	6447
266	44626
267	5329
268	71381
269	6693
270	58233
271	5392
272	77448
273	5028
274	42279
275	10022
276	66639
277	5215
278	38758
279	5900
280	73034
281	4646
282	37087
283	5367
284	55680
285	5505
286	54203
287	4565
288	129702
289	4259
290	37738
291	4819
292	56466
293	8309
294	38414
295	4329
296	59886
297	7166
298	40037
299	4132
300	59097
301	4375
302	33923
303	5682
304	55576
305	4614
306	31526
307	3964
308	79718
309	4350
310	31670
311	3729
312	58430
313	4793
314	29894
315	4136
316	48061
317	4007
318	31969
319	7576
320	125469
321	3514
322	28976
323	4003
324	53791
325	7318
326	25887
327	3739
328	52933
329	4040
330	67069
331	3168
332	42391
333	4800
334	28291
335	5028
336	53503
337	3548
338	29205
339	3531
340	43969
341	6652
342	25760
343	3567
344	42087
345	3935
346	26018
347	3062
348	38301
349	3810
350	24943
351	3455
352	67552
353	3231
354	25581
355	3192
356	37234
357	3523
358	23403
359	3035
360	97039
361	2988
362	23347
363	4751
364	39905
365	5526
366	21955
367	3056
368	45911
369	3482
370	23819
371	2981
372	34392
373	3951
374	35201
375	3530
376	38394
377	3005
378	24660
379	2911
380	34626
381	3215
382	21206
383	2981
384	54471
385	5135
386	20385
387	2810
388	31328
389	3800
390	21303
391	2669
392	33916
393	3002
394	20620
395	2642
396	49894
397	2836
398	20304
399	2870
400	52585
401	2653
402	20045
403	2515
404	32008
405	3629
406	18094
407	4739
408	34432
409	2741
410	18359
411	2591
412	27199
413	2826
414	17832
415	2660
416	28576
417	2434
418	26659
419	2309
420	28132
421	2439
422	17195
423	2534
424	28031
425	2267
426	17414
427	2107
428	24309
429	4354
430	15799
431	2293
432	40640
433	2454
434	16078
435	2172
436	23502
437	3231
438	15325
439	2155
440	54395
441	2178
442	17136
443	1993
444	25214
445	2596
446	15286
447	2340
448	26822
449	2069
450	16177
451	3241
452	23163
453	2180
454	14095
455	2215
456	26128
457	2150
458	13927
459	2153
460	21017
461	2158
462	23007
463	1969
464	23162
465	1984
466	14104
467	2039
468	20867
469	1945
470	13913
471	1972
472	21770
473	3132
474	13474
475	1857
476	18592
477	2101
478	12893
479	1742
480	73847
481	1999
482	13164
483	1924
484	32699
485	4431
486	13651
487	1856
488	26364
489	2405
490	16344
491	1743
492	20853
493	2380
494	13163
495	6380
496	22552
497	2061
498	13168
499	2129
500	21127
501	2114
502	11883
503	2274
504	22120
505	2136
506	17463
507	1847
508	18219
509	2091
510	13534
511	2032
512	20155
513	1839
514	12211
515	1822
516	17728
517	2933
518	11363
519	1890
520	19590
521	1785
522	11635
523	1665
524	15952
525	2100
526	11019
527	1730
528	40124
529	1692
530	11745
531	1566
532	17032
533	2128
534	11408
535	1662
536	17709
537	1699
538	11644
539	2696
540	23011
541	1657
542	10307
543	1832
544	17467
545	1855
546	10439
547	1534
548	16039
549	1801
550	15691
551	1419
552	17254
553	1716
554	10517
555	1601
556	14729
557	1692
558	10860
559	1559
560	16373
561	2330
562	9941
563	1562
564	14739
565	1708
566	9753
567	1516
568	14892
569	1548
570	9891
571	1446
572	19416
573	1510
574	9582
575	1389
576	26268
577	1447
578	9482
579	1423
580	14510
581	1843
582	9616
583	3332
584	14552
585	1510
586	10285
587	1461
588	14054
589	1333
590	9159
591	1641
592	13875
593	1543
594	12203
595	1236
596	13539
597	1437
598	9124
599	1313
600	19294
601	1399
602	9123
603	1302
604	12872
605	2349
606	8955
607	1326
608	13424
609	1414
610	8986
611	1382
612	12360
613	1457
614	8535
615	1392
616	17866
617	1323
618	8690
619	1278
620	12428
621	1364
622	8301
623	1315
624	14160
625	1350
626	8340
627	1922
628	11590
629	1282
630	8423
631	1319
632	12248
633	1271
634	7970
635	1279
636	11622
637	1274
638	11477
639	1212
640	26248
641	1218
642	8529
643	1251
644	12139
645	1731
646	7888
647	1181
648	14377
649	1872
650	8611
651	1256
652	10743
653	1571
654	7762
655	1304
656	12083
657	1307
658	7786
659	1240
660	28254
661	1308
662	7540
663	1285
664	12679
665	1454
666	7921
667	1189
668	11553
669	1324
670	7776
671	1807
672	12528
673	1321
674	7390
675	1262
676	10792
677	1261
678	7504
679	1217
