Pay	Frequency
0	912610477
2	3012610
4	6999490
5	2617154
6	1345382
7	201438
8	6803400
9	203572
10	4048077
11	61267
12	3309436
13	188193
14	1267620
15	752217
16	4633937
17	61161
18	1228124
19	122191
20	3625384
21	194434
22	778399
23	129584
24	3359860
25	187966
26	605660
27	72480
28	1700789
29	108130
30	1458960
31	66742
32	2318578
33	104124
34	549990
35	102867
36	1562702
37	65807
38	457467
39	67991
40	2046304
41	40521
42	558865
43	37104
44	1131672
45	192593
46	355115
47	34714
48	1899163
49	47504
50	394067
51	32905
52	779109
53	72228
54	383507
55	64609
56	926181
57	46181
58	280391
59	23573
60	1277330
61	29932
62	238193
63	43994
64	926608
65	55242
66	344338
67	16403
68	568669
69	53046
70	237764
71	15563
72	912874
73	27288
74	194696
75	32451
76	453794
77	37238
78	230895
79	19176
80	803640
81	24695
82	155017
83	17004
84	474086
85	35493
86	133494
87	23186
88	640808
89	16360
90	316643
91	13548
92	331329
93	26993
94	133232
95	23927
96	728152
97	12917
98	136456
99	20465
100	318423
101	19143
102	145186
103	11979
104	363459
105	18692
106	120745
107	9830
108	307271
109	12026
110	178297
111	16538
112	313621
113	9720
114	130814
115	9219
116	207999
117	16712
118	92739
119	8025
120	555526
121	12112
122	90984
123	9580
124	201141
125	21358
126	104854
127	7366
128	276855
129	11650
130	98572
131	7108
132	287458
133	10063
134	72615
135	19043
136	224726
137	6146
138	90897
139	7186
140	169593
141	10981
142	59202
143	12783
144	346116
145	6958
146	63370
147	8302
148	142301
149	9994
150	78544
151	6090
152	174318
153	7248
154	101289
155	5890
156	154659
157	5533
158	56075
159	8950
160	250272
161	4566
162	66562
163	4957
164	108510
165	26538
166	48215
167	5259
168	190201
169	6129
170	55275
171	5493
172	93793
173	6140
174	52954
175	6462
176	211865
177	4947
178	44922
179	5051
180	188582
181	4789
182	48340
183	5449
184	128445
185	7647
186	47378
187	5816
188	89252
189	6285
190	43359
191	4055
192	204597
193	3850
194	36765
195	8077
196	86096
197	4637
198	70153
199	3919
200	112759
201	4518
202	36462
203	3663
204	87052
205	3931
206	32653
207	4326
208	104927
209	5959
210	40543
211	2938
212	66589
213	4653
214	30847
215	3255
216	120255
217	2814
218	27663
219	3207
220	116204
221	3711
222	35156
223	2625
224	82991
225	3735
226	26875
227	2753
228	73822
229	2507
230	24592
231	6308
232	68511
233	2268
234	33553
235	2616
236	54502
237	3531
238	21763
239	2477
240	167694
241	2004
242	39253
243	2737
244	56698
245	5855
246	27024
247	3070
248	67664
249	2959
250	28514
251	1978
252	60730
253	5416
254	20739
255	3792
256	64080
257	2102
258	25106
259	2085
260	52101
261	3307
262	17630
263	1938
264	110939
265	2254
266	19691
267	2208
268	42735
269	2287
270	30825
271	1727
272	55403
273	2635
274	17446
275	4902
276	45485
277	1802
278	16787
279	2129
280	51231
281	1614
282	19342
283	2019
284	31497
285	2673
286	30710
287	1539
288	90231
289	1462
290	16897
291	1828
292	32377
293	2105
294	21572
295	1424
296	42518
297	2720
298	16385
299	2433
300	38431
301	1408
302	15219
303	1939
304	41872
305	1458
306	16547
307	1471
308	49349
309	1935
310	14503
311	1321
312	55377
313	1370
314	12737
315	1664
316	27851
317	1118
318	15353
319	2774
320	62942
321	1503
322	11930
323	1299
324	32908
325	3167
326	11265
327	1405
328	31683
329	1361
330	35932
331	1098
332	24268
333	1749
334	11715
335	1694
336	50127
337	1091
338	14233
339	1427
340	24981
341	2355
342	12479
343	1107
344	26945
345	1546
346	10695
347	1048
348	24430
349	1103
350	10273
351	1410
352	47468
353	1042
354	11884
355	1086
356	20913
357	1406
358	9552
359	903
360	60359
361	785
362	9209
363	1861
364	24985
365	2190
366	10327
367	979
368	28685
369	1243
370	10245
371	1002
372	22107
373	1092
374	16334
375	1335
376	25478
377	1135
378	11452
379	1003
380	19178
381	1228
382	8468
383	855
384	42375
385	2162
386	8027
387	947
388	17684
389	1040
390	12907
391	789
392	23075
393	974
394	7552
395	759
396	31159
397	796
398	7894
399	891
400	25957
401	684
402	8718
403	1105
404	15890
405	1419
406	7450
407	1457
408	26987
409	704
