Pay	Frequency
0	802173736
2	8119314
4	18301922
5	7793695
6	3030203
7	511003
8	17861869
9	793358
10	12758274
11	98330
12	6749804
13	738819
14	2809160
15	1848483
16	9882929
17	205866
18	2843690
19	304133
20	10297809
21	599110
22	1166646
23	346978
24	6392777
25	434081
26	1459674
27	175831
28	2961798
29	333283
30	3544213
31	201158
32	4273828
33	235472
34	1274580
35	201786
36	2794798
37	211641
38	1014222
39	194787
40	4961688
41	135299
42	1198357
43	114648
44	1698066
45	370692
46	794619
47	116679
48	3512970
49	137037
50	850319
51	102450
52	1346154
53	228284
54	782076
55	78729
56	1485426
57	113661
58	725783
59	71081
60	2801783
61	92163
62	548615
63	122308
64	1747266
65	121794
66	560375
67	57857
68	1196695
69	115826
70	492833
71	54163
72	1555697
73	85100
74	466956
75	62060
76	870569
77	85133
78	502312
79	57704
80	1899917
81	57756
82	398213
83	54621
84	911357
85	80238
86	324679
87	58744
88	870212
89	49043
90	673634
91	38159
92	649846
93	62387
94	337194
95	51311
96	1335923
97	41915
98	339471
99	42079
100	627641
101	66525
102	322049
103	37882
104	609325
105	39717
106	343418
107	31278
108	587585
109	33177
110	249619
111	47800
112	537557
113	31420
114	267446
115	24148
116	469295
117	33585
118	210942
119	24239
120	1248873
121	28266
122	211866
123	27517
124	435493
125	50321
126	245623
127	21447
128	582997
129	30389
130	223090
131	21965
132	379383
133	31575
134	174346
135	42003
136	434547
137	20878
138	209491
139	21248
140	329862
141	29740
142	149846
143	24689
144	627024
145	18936
146	165403
147	20950
148	299514
149	31287
150	168547
151	19527
152	325951
153	20294
154	163855
155	15554
156	290387
157	16597
158	133053
159	25837
160	603137
161	15628
162	141278
163	14378
164	261941
165	29971
166	118963
167	14184
168	312101
169	16901
170	138550
171	15262
172	201011
173	16822
174	127204
175	17062
176	242940
177	13958
178	106533
179	13335
180	398271
181	13023
182	95837
183	14540
184	234262
185	18692
186	111118
187	10589
188	195091
189	17197
190	103707
191	10730
192	359705
193	12579
194	92664
195	13627
196	176434
197	16341
198	97281
199	11088
200	221040
201	11935
202	97851
203	10028
204	173084
205	11128
206	77845
207	13837
208	167146
209	9807
210	86607
211	8655
212	151734
213	10480
214	71183
215	8403
216	203054
217	9386
218	69566
219	9413
220	132405
221	9761
222	80944
223	7668
224	140286
225	8880
226	66461
227	7764
228	129117
229	7397
230	60311
231	9196
232	128370
233	6835
234	66294
235	6517
236	104727
237	8612
238	54611
239	6417
240	376109
241	6450
242	56984
243	7002
244	114887
245	15199
246	60147
247	5839
248	133823
249	8756
250	67941
251	5614
252	109586
253	7906
254	50344
255	9633
256	125689
257	6626
258	56191
259	5793
260	98579
261	8236
262	45819
263	6018
264	106967
265	6272
266	47314
267	6114
268	78595
269	6218
270	68478
271	5438
272	92291
273	5863
274	44420
275	5674
276	83459
277	5503
278	42132
279	5907
280	87266
281	4922
282	45081
283	4497
284	65314
285	6238
286	39554
287	4444
288	161103
289	4350
290	38252
291	4806
292	65271
293	7451
294	40524
295	4328
296	73501
297	4639
298	42863
299	3806
300	73336
301	4011
302	33269
303	6455
304	68790
305	4047
306	35806
307	3509
308	63320
309	4641
310	30950
311	3306
312	67421
313	4423
314	29764
315	4084
316	51105
317	3698
318	35296
319	3185
320	150353
321	3760
322	28574
323	3515
324	59985
325	6384
326	26784
327	3613
328	64751
329	3702
330	37405
331	2783
332	46260
333	4794
334	25791
335	4087
336	61080
337	3099
338	26604
339	3454
340	49551
341	3442
342	25525
343	3149
344	47434
345	3812
346	23954
347	2630
348	44697
349	2941
350	24477
351	3122
352	44515
353	2821
354	23509
355	2594
356	37221
357	3087
358	21087
359	2445
360	118978
361	2427
362	20598
363	2639
364	39857
365	5203
366	22868
367	2278
368	51109
369	3325
370	23547
371	2152
372	39403
373	3432
374	19492
375	3625
376	42162
377	2453
378	22943
379	2200
380	36952
381	2905
382	17411
383	2595
384	64329
385	2476
386	18066
387	2521
388	32070
389	2925
390	20011
391	2143
392	36149
393	2410
394	19281
395	2051
396	32070
397	2159
398	16341
399	2634
400	55235
401	1922
402	17410
403	1913
404	30066
405	3640
406	15008
407	1783
408	35810
409	2023
410	16258
411	1964
412	25026
413	2127
414	16378
415	1872
416	28732
417	1956
418	14203
419	1704
420	26961
421	1839
422	12941
423	2017
424	27329
425	1683
426	13798
427	1477
428	22079
429	2047
430	12471
431	1498
432	43911
433	1503
434	12485
435	1630
436	21200
437	2176
438	13406
439	1428
440	25698
441	1646
442	12934
443	1331
444	23048
445	1594
446	10931
447	2119
448	23204
449	1393
450	12480
451	1280
452	20121
453	1673
454	10452
455	1320
456	22907
457	1495
458	10507
459	1387
460	17969
461	1353
462	11723
463	1174
464	20336
465	1432
466	9823
467	1226
468	18248
469	1237
470	9325
471	1311
472	18614
473	1150
474	9988
475	1085
476	15595
477	1439
478	8761
479	1107
480	87076
481	1086
482	9051
483	1183
484	19220
485	3314
486	10367
487	1060
488	24030
489	1614
490	13494
491	1000
492	18024
493	1635
494	8683
495	2235
496	20958
497	1279
498	10102
499	1089
500	18702
501	1526
502	8165
503	1219
504	20177
505	1367
506	8552
507	1222
508	14160
509	1284
510	10150
511	990
512	17319
513	1192
514	7854
515	1087
516	14530
517	1104
518	7271
519	1173
520	16767
521	926
522	8445
523	865
524	12240
525	1376
526	6907
527	817
528	16223
529	854
530	7380
531	880
532	11472
533	997
534	7005
535	844
536	12431
537	956
538	6591
539	747
540	22752
541	773
542	6289
543	967
544	13258
545	1152
546	6766
547	713
548	11920
549	1048
550	6462
551	645
552	13360
553	909
554	5989
555	997
556	10611
557	875
558	6372
559	698
560	12506
561	922
562	5682
563	682
564	10876
565	779
566	5164
567	809
568	10644
569	674
570	6158
571	657
572	9136
573	776
574	5060
575	671
576	26039
577	651
578	5087
579	777
580	9322
581	998
582	5394
583	568
584	10078
585	713
586	6325
587	611
588	9519
589	610
590	4639
591	1051
592	9514
593	597
594	5133
595	520
596	9565
597	702
598	4335
599	548
600	16218
601	673
602	4559
603	663
604	8209
605	730
606	5458
607	489
608	9165
609	626
610	4663
611	554
612	8283
613	554
614	4209
615	644
616	8892
617	517
618	4622
619	493
620	7525
621	676
622	3878
623	453
624	8833
625	498
626	3929
627	546
628	6993
629	516
630	4191
631	486
632	7505
633	583
634	3693
635	386
636	7861
637	468
638	3538
639	526
640	27068
641	430
642	3851
643	410
644	7402
645	947
646	3625
647	369
648	11160
649	508
650	5078
651	497
652	6491
653	639
654	3683
655	631
656	8280
657	518
658	3768
659	450
660	8129
661	570
662	3023
663	627
664	7233
665	504
666	3747
667	376
668	5870
669	524
670	3651
671	433
672	7615
673	400
674	3181
675	465
676	5497
677	472
678	3361
679	381
680	6686
681	441
682	2983
683	382
684	5540
685	423
686	2845
687	401
688	6145
689	354
690	3103
691	365
692	4692
693	488
694	2560
695	348
696	5845
697	326
698	2719
699	363
700	4915
701	357
702	2807
703	338
704	5047
705	390
706	2464
707	319
708	4603
709	339
710	2376
711	352
712	4770
713	311
714	2504
715	336
716	3998
717	375
718	2245
719	276
720	25844
721	256
722	2317
723	307
724	5019
725	913
726	2842
727	286
728	6927
729	484
730	3599
731	297
732	5159
733	494
734	2243
735	682
736	6341
737	363
738	2938
739	346
740	4941
741	472
742	2231
743	367
744	5706
745	417
746	2452
747	385
748	3997
749	363
750	2896
751	357
752	4808
753	371
754	2247
755	324
756	4520
757	324
758	2235
759	352
760	5056
761	269
762	2426
763	260
764	3662
765	412
766	2087
767	286
768	7003
769	289
770	2143
771	298
772	3496
773	332
774	2152
775	301
776	4093
777	290
778	2222
779	209
780	4093
781	255
782	1789
783	338
784	4013
785	221
786	2019
787	228
788	3445
789	322
790	1819
791	248
792	3947
793	242
794	1725
795	294
796	3137
797	242
798	2013
799	213
800	11401
801	255
802	1745
803	231
804	3678
805	375
806	1686
807	269
808	3978
809	227
810	2993
811	223
812	2996
813	303
814	1699
815	287
816	3917
817	171
