Pay	Frequency
0	997526571
4	818
6	2705
8	1956
10	316
12	3378
14	742
15	109
16	4369
18	1002
19	9
20	1480
21	88
22	1194
23	33
24	2593
25	24
26	2112
27	56
28	2675
29	20
30	910
31	45
32	5120
33	42
34	899
35	62
36	2577
37	25
38	1207
39	33
40	3111
41	197
42	1687
43	24
44	2285
45	129
46	1891
47	186
48	2987
49	52
50	1381
51	91
52	3385
53	73
54	1635
55	124
56	3782
57	92
58	1497
59	114
60	2518
61	92
62	1363
63	85
64	4166
65	117
66	1708
67	110
68	2571
69	98
70	1892
71	103
72	3620
73	92
74	1725
75	170
76	2796
77	98
78	1544
79	125
80	3553
81	146
82	1931
83	140
84	2647
85	142
86	1843
87	121
88	3306
89	125
90	1794
91	166
92	2932
93	139
94	1801
95	163
96	3700
97	161
98	1714
99	129
100	2911
101	187
102	1922
103	163
104	3402
105	134
106	1838
107	152
108	2970
109	133
110	1891
111	152
112	3591
113	143
114	1860
115	172
116	3093
117	185
118	1875
119	164
120	3631
121	159
122	1836
123	178
124	2894
125	147
126	1996
127	180
128	3633
129	184
130	1959
131	181
132	3035
133	144
134	1974
135	191
136	3423
137	186
138	1960
139	179
140	3043
141	193
142	1946
143	186
144	3813
145	194
146	1969
147	188
148	2886
149	176
150	2022
151	190
152	3490
153	171
154	1987
155	222
156	2952
157	218
158	1943
159	204
160	3567
161	193
162	1913
163	199
164	3076
165	179
166	2093
167	228
168	3434
169	206
170	1987
171	221
172	3033
173	204
174	2131
175	217
176	3521
177	217
178	1951
179	187
180	3192
181	211
182	2007
183	194
184	3341
185	218
186	2058
187	229
188	3068
189	227
190	2074
191	204
192	3678
193	202
194	2079
195	212
196	2910
197	235
198	2082
199	265
200	3367
201	240
202	2131
203	218
204	3104
205	231
206	2119
207	224
208	3399
209	234
210	2113
211	191
212	2952
213	205
214	2085
215	235
216	3401
217	237
218	2130
219	230
220	3072
221	239
222	1979
223	198
224	3387
225	234
226	2067
227	214
228	3058
229	228
230	2150
231	252
232	3255
233	234
234	2083
235	242
236	2936
237	241
238	2070
239	231
240	3444
241	250
242	2075
243	213
244	3016
245	243
246	2162
247	249
248	3331
249	239
250	2199
251	244
252	3035
253	206
254	2098
255	256
256	3277
257	255
258	2117
259	251
260	2969
261	241
262	2118
263	236
264	3246
265	231
266	2104
267	255
268	3009
269	235
270	2230
271	269
272	3242
273	272
274	2118
275	254
276	3103
277	249
278	2105
279	220
280	3186
281	249
282	2117
283	242
284	2952
285	225
286	2096
287	274
288	3217
289	251
290	2136
291	267
292	2943
293	253
294	2168
295	252
296	3160
297	269
298	2179
299	281
300	2887
301	280
302	2150
303	274
304	3111
305	255
306	2100
307	279
308	2997
309	260
310	2108
311	264
312	3197
313	255
314	2084
315	259
316	2920
317	256
318	2183
319	303
320	3251
321	246
322	2113
323	245
324	2946
325	236
326	2062
327	255
328	3048
329	250
330	2036
331	287
332	2868
333	250
334	2183
335	259
336	3287
337	264
338	2162
339	241
340	2870
341	282
342	2127
343	268
344	3114
345	266
346	2105
347	277
348	2822
349	279
350	2059
351	257
352	3063
353	254
354	2131
355	222
356	2890
357	260
358	2014
359	268
360	3040
361	239
362	2047
363	243
364	2810
365	289
366	2119
367	256
368	3149
369	266
370	2106
371	292
372	2814
373	248
374	2049
375	251
376	2981
377	257
378	2086
379	276
380	2788
381	244
382	2014
383	258
384	3081
385	239
386	2120
387	307
388	2716
389	264
390	2116
391	269
392	3044
393	261
394	2112
395	256
396	2763
397	263
398	2146
399	264
400	3035
401	263
402	2056
403	276
404	2801
405	260
406	2073
407	287
408	2916
409	274
410	2095
411	284
412	2659
413	288
414	2016
415	308
416	3014
417	257
418	2055
419	269
420	2598
421	295
422	2163
423	252
424	2912
425	306
426	2067
427	270
428	2663
429	278
430	1961
431	257
432	2903
433	299
434	2106
435	322
436	2731
437	276
438	2046
439	282
440	2775
441	281
442	1971
443	269
444	2660
445	285
446	1961
447	244
448	2923
449	290
450	1928
451	292
452	2608
453	273
454	2016
455	238
456	2775
457	315
458	1971
459	281
460	2649
461	247
462	2051
463	267
464	2880
465	276
466	2059
467	277
468	2698
469	303
470	2025
471	297
472	2845
473	259
474	1987
475	299
476	2540
477	283
478	1989
479	280
480	2716
481	284
482	2061
483	286
484	2615
485	290
486	2095
487	300
488	2702
489	295
490	2033
491	271
492	2646
493	271
494	2077
495	281
496	2731
497	296
498	2060
499	287
500	2562
501	270
502	2026
503	315
504	2660
505	270
506	1860
507	280
508	2557
509	300
510	2038
511	280
512	2620
513	273
514	1914
515	280
516	2543
517	311
518	2032
519	298
520	2740
521	284
522	1964
523	284
524	2609
525	277
526	2011
527	287
528	2643
529	273
530	1962
531	277
532	2528
533	277
534	2028
535	300
536	2654
537	275
538	1993
539	300
540	2560
541	286
542	1987
543	289
544	2653
545	297
546	1969
547	290
548	2465
549	248
550	2048
551	304
552	2643
553	284
554	1913
555	275
556	2566
557	263
558	1870
559	289
560	2533
561	273
562	1929
563	280
564	2395
565	292
566	1918
567	291
568	2585
569	274
570	1952
571	260
572	2409
573	292
574	1911
575	287
576	2570
577	266
578	1962
579	275
580	2474
581	264
582	1837
583	286
584	2549
585	282
586	1871
587	250
588	2403
589	308
590	2015
591	259
592	2552
593	295
594	1884
595	287
596	2418
597	301
598	1890
599	279
600	2476
601	288
602	1843
603	233
604	2394
605	274
606	1889
607	269
608	2456
