Pay	Frequency
0	802173736
2	13501967
4	29797594
5	10036200
6	4430200
7	764311
8	29732056
9	381885
10	15844772
11	70650
12	10065530
13	241854
14	2025335
15	2027835
16	15450295
17	74768
18	2128917
19	67468
20	11835434
21	440322
22	271024
23	45459
24	8331835
25	139521
26	250276
27	93999
28	1529640
29	60324
30	4073927
31	15479
32	4768483
33	104079
34	194817
35	53502
36	2192060
37	29841
38	120950
39	44708
40	5019556
41	7760
42	671362
43	1237
44	280389
45	350104
46	66412
47	5337
48	3738614
49	7102
50	146356
51	26343
52	177921
53	33708
54	319223
55	9959
56	484189
57	39148
58	51998
59	264
60	2869760
61	1402
62	28711
63	31540
64	1111626
65	26995
66	126077
67	387
68	151289
69	30157
70	56669
71	88
72	1068687
73	389
74	24748
75	17245
76	83158
77	8050
78	85263
79	607
80	1665514
81	6238
82	13833
83	60
84	260217
85	14702
86	2996
87	8212
88	111925
89	148
90	496024
91	22
92	34690
93	7602
94	12820
95	7125
96	1140821
97	90
98	11888
99	1713
100	97081
101	6946
102	58223
103	122
104	58644
105	5385
106	21901
107	23
108	144998
109	50
110	15574
111	4869
112	82987
113	668
114	35116
115	1266
116	18922
117	2632
118	827
119	6
120	1234041
121	31
122	4253
123	935
124	33737
125	9600
126	34176
127	56
128	192040
129	2027
130	20866
131	5
132	40471
133	267
134	1016
135	25474
136	40267
137	60
138	13753
139	334
140	22017
141	2949
142	195
143	194
144	456296
145	537
146	1589
147	2994
148	16900
149	2767
150	25896
151	78
152	29272
153	697
154	5508
155	525
156	27745
157	10
158	1011
159	3133
160	489695
161	8
162	8423
163	4
164	13585
165	6323
166	176
167	21
168	49213
169	41
170	11545
171	540
172	2903
173	25
174	5351
175	589
176	18014
177	260
178	179
179	7
180	301086
181	11
182	542
183	440
184	12139
185	2098
186	10925
187	4
188	7310
189	834
190	5994
192	250004
193	15
194	381
195	1490
196	7511
197	713
198	4534
199	3
200	47958
201	761
202	4398
203	1
204	12030
205	358
206	198
207	540
208	10377
209	5
210	4777
212	4445
213	163
214	28
215	220
216	77939
217	9
218	115
219	66
220	5078
221	413
222	8913
224	8386
225	414
226	587
227	1
228	12148
229	1
230	760
231	514
232	2746
233	1
234	3042
235	83
236	535
237	698
238	25
240	392999
241	2
242	623
243	81
244	6847
245	2550
246	4019
247	9
248	11352
249	90
250	6249
251	1
252	9837
253	14
254	130
255	869
256	21008
257	2
258	1403
259	6
260	5689
261	210
262	19
263	6
264	6537
265	105
266	218
267	52
268	496
269	1
270	30739
272	4440
273	40
274	337
275	267
276	2902
277	3
278	338
279	89
280	3775
281	1
282	2169
283	2
284	110
285	481
286	142
287	1
288	123999
290	510
291	174
292	2518
293	371
294	3086
295	48
296	4626
297	37
298	1762
300	10144
302	134
303	497
304	4793
305	77
306	818
308	1284
309	111
310	316
312	3071
313	1
314	8
315	140
316	396
318	909
320	135337
321	11
322	271
323	1
324	6201
325	832
326	19
327	13
328	3807
329	22
330	3642
332	250
333	69
334	49
335	118
336	5839
338	36
339	44
340	2423
342	289
344	875
345	40
346	21
348	781
350	455
351	13
352	1741
354	129
355	31
356	52
357	5
358	2
360	114737
362	137
363	4
364	1384
365	579
366	2212
367	1
368	2808
369	8
370	1426
372	3212
373	4
374	25
375	458
376	1580
378	867
380	1678
381	113
382	4
384	35383
385	6
386	17
387	29
388	421
389	22
390	999
392	1340
393	6
394	499
395	37
396	476
398	7
399	44
400	25212
402	172
404	792
405	1239
406	12
407	1
408	1350
409	8
410	383
411	45
412	111
413	8
414	118
415	32
416	768
417	61
418	3
419	1
420	997
421	1
422	1
423	14
424	315
425	7
426	21
428	19
429	31
430	143
432	27006
434	16
435	15
436	169
437	74
438	1453
440	778
441	7
442	299
444	1795
445	5
446	2
447	209
448	519
450	784
452	194
453	80
454	1
455	11
456	897
458	7
459	10
460	149
462	248
464	175
465	35
468	244
470	54
471	4
472	86
474	67
475	9
476	9
477	27
480	101935
482	124
484	1254
485	489
486	824
487	1
488	2140
489	4
490	1613
492	985
493	3
494	19
495	248
496	1591
497	1
498	118
499	1
500	1216
501	19
502	1
504	1426
505	2
506	15
507	5
508	67
509	1
510	459
511	2
512	1359
513	4
514	7
515	9
516	153
518	5
519	3
520	570
522	62
524	8
525	50
526	2
528	375
530	30
531	5
532	7
534	16
535	4
536	52
537	5
538	1
540	15567
542	14
543	1
544	323
545	41
546	411
548	191
549	4
550	157
552	563
553	2
555	113
556	108
558	72
560	271
561	20
564	263
565	1
566	2
567	21
568	19
570	204
572	19
573	1
574	3
576	21597
578	11
579	2
580	276
581	15
582	181
584	526
585	13
586	308
588	246
590	17
591	68
592	630
594	36
595	2
596	182
597	1
600	6960
602	26
603	1
604	109
605	28
606	240
608	342
609	1
610	85
612	182
615	32
616	121
618	26
620	146
621	15
624	207
626	1
627	2
628	1
630	84
632	43
635	7
636	67
639	1
640	28442
642	45
644	502
645	77
648	3146
650	501
652	29
653	13
654	84
655	3
656	443
658	26
660	522
663	34
664	92
666	20
668	23
669	1
670	62
672	386
675	8
676	7
678	30
680	201
682	1
684	17
685	2
688	75
690	13
692	3
693	5
694	1
695	3
696	37
699	1
700	54
702	2
704	49
708	17
710	3
711	1
712	9
714	2
715	1
716	1
720	31529
722	19
724	317
725	116
726	418
728	484
729	1
730	347
732	460
734	1
735	135
736	318
738	71
740	281
741	12
744	272
746	4
747	6
748	25
749	1
750	189
752	99
753	1
755	10
756	131
759	3
760	166
762	10
764	1
765	20
768	2876
770	5
772	23
774	10
775	1
776	59
778	35
780	110
782	1
783	4
784	85
785	1
786	2
788	21
789	2
790	7
792	31
796	1
798	5
800	8899
802	16
804	145
805	23
806	1
808	178
810	1281
812	26
814	9
815	11
816	136
817	1
818	11
820	98
822	41
824	27
825	16
826	3
828	11
830	17
831	1
832	39
834	19
836	2
840	109
846	4
848	19
850	5
852	2
855	2
856	2
858	4
860	13
864	6294
866	4
868	26
869	3
870	133
872	28
874	57
876	106
878	1
879	39
880	42
882	20
884	37
885	6
888	60
890	2
892	1
894	28
895	2
896	16
900	512
902	3
904	20
905	3
906	20
908	5
909	4
910	7
912	27
915	4
916	1
918	4
920	20
924	21
928	3
930	8
933	1
935	2
936	7
939	1
940	11
944	3
945	1
948	2
950	1
954	1
960	21442
962	20
964	251
965	52
966	181
968	391
970	255
972	273
973	1
974	2
975	62
976	229
978	14
980	193
981	2
984	108
986	3
987	1
988	7
990	62
992	83
996	18
999	1
1000	99
1002	2
1004	2
1005	6
1008	67
1010	4
1014	3
1016	4
1020	45
1024	48
1026	1
1030	2
1032	15
1040	32
1044	2
1048	3
1050	16
1056	15
1062	2
1064	1
1068	1
1070	1
1080	5149
1082	3
1084	35
1085	12
1086	96
1088	58
1090	22
1092	91
1095	42
1096	35
1098	10
1100	24
1101	1
1104	58
1106	1
1107	2
1110	36
1112	4
1116	7
1119	1
1120	14
1122	1
1125	4
1128	13
1134	7
1140	13
1152	2094
1156	11
1158	10
1160	38
1162	22
1164	5
1167	9
1168	43
1170	5
1172	13
1176	14
1180	2
1182	4
1184	13
1188	3
1192	8
1200	3577
1202	5
1204	55
1205	6
1206	63
1208	53
1210	27
1212	59
1215	55
1216	26
1218	9
1220	46
1221	2
1224	36
1227	2
1230	20
1232	8
1233	1
1236	12
1239	1
1240	20
1245	3
1248	13
1250	4
1254	1
1258	1
1260	16
1263	1
1264	4
1272	2
1280	3771
1282	3
1284	69
1285	1
1288	92
1290	56
1292	4
1296	993
1298	3
1300	50
1301	1
1302	12
1304	10
1306	10
1308	13
1310	4
1311	12
1312	21
1316	3
1320	22
1326	8
1328	9
1332	1
1336	2
1340	5
1344	9
1348	1
1350	13
1354	1
1356	4
1360	6
1362	1
1368	1
1370	2
1372	1
1374	1
1376	4
1380	3
1392	1
1395	1
1410	1
1420	1
1424	1
1432	1
1440	6713
1442	5
1444	55
1445	16
1446	91
1448	98
1450	82
1452	90
1455	27
1456	50
1458	5
1460	44
1464	37
1470	37
1472	12
1476	3
1479	1
1480	21
1482	4
1484	1
1485	3
1488	9
1500	16
1504	1
1506	1
1510	1
1512	14
1515	1
1520	5
1527	1
1528	1
1530	4
1536	137
1540	1
1544	4
1546	1
1552	1
1560	2
1584	1
1600	1795
1602	2
1604	38
1605	1
1608	45
1610	17
1612	5
1615	1
1616	29
1618	1
1620	528
1624	4
1625	1
1626	10
1628	5
1630	4
1632	13
1635	7
1640	11
1644	7
1647	1
1648	5
1650	4
1656	2
1660	5
1664	2
1668	1
1670	1
1680	5
1684	1
1700	1
1712	1
1728	678
1732	3
1734	5
1736	4
1738	8
1740	4
1743	5
1744	3
1748	2
1752	1
1758	3
1760	1
1764	1
1776	2
1788	2
1800	389
1804	5
1805	1
1806	20
1808	2
1810	3
1812	16
1815	4
1818	1
1820	4
1824	6
1830	8
1832	1
1835	1
1836	1
1839	1
1840	4
1848	3
1860	2
1880	1
1884	1
1920	2975
1924	29
1925	2
1926	27
1928	46
1930	32
1932	29
1934	1
1935	2
1936	33
1938	3
1940	25
1944	66
1948	1
1950	6
1952	8
1956	3
1959	3
1960	10
1964	1
1968	4
1974	1
1980	4
1984	1
1989	1
2000	4
2004	1
2010	2
2016	3
2020	1
2048	2
2064	1
2080	1
2160	1099
2162	1
2164	6
2165	1
2166	23
2168	12
2170	16
2172	25
2175	6
2176	6
2178	2
2180	7
2184	12
2188	1
2190	6
2195	1
2200	1
2202	1
2205	2
2208	3
2214	2
2220	2
2240	1
2268	1
2304	95
2310	2
2312	4
2314	1
2316	1
2336	1
2344	1
2352	1
2400	969
2404	8
2405	1
2406	15
2408	16
2410	2
2412	13
2416	10
2418	1
2420	11
2424	3
2430	40
2432	5
2436	2
2438	1
2440	2
2442	2
2448	3
2460	3
2480	2
2490	1
2496	1
2550	1
2560	287
2564	3
