Pay	Frequency
0	800053837
2	8114313
4	18283860
5	7789719
6	3030775
7	510863
8	17829744
9	792968
10	12747478
11	98319
12	6740865
13	737994
14	2808259
15	1847511
16	9855774
17	205389
18	2841301
19	303976
20	10287601
21	598426
22	1166456
23	346649
24	6374665
25	433648
26	1458591
27	175650
28	2960682
29	332600
30	3541582
31	200786
32	4261820
33	235317
34	1273006
35	201665
36	2790571
37	211257
38	1014232
39	194483
40	4958394
41	135120
42	1197868
43	114560
44	1697381
45	370397
46	794693
47	116602
48	3498600
49	136875
50	850883
51	102323
52	1346432
53	227799
54	782680
55	78734
56	1486007
57	113522
58	725609
59	71070
60	2800290
61	92054
62	549066
63	122163
64	1744555
65	121763
66	561403
67	57856
68	1196273
69	115643
70	494293
71	54175
72	1552442
73	85012
74	467858
75	62160
76	871687
77	84926
78	503002
79	57718
80	1900467
81	57773
82	399276
83	54674
84	912211
85	80299
86	326124
87	58692
88	871575
89	49042
90	674680
91	38260
92	651044
93	62380
94	338550
95	51398
96	1330598
97	41968
98	340704
99	42150
100	629609
101	66444
102	323377
103	37966
104	611330
105	39779
106	344303
107	31361
108	589137
109	33255
110	251204
111	47847
112	539918
113	31466
114	268897
115	24275
116	471263
117	33693
118	212516
119	24362
120	1249762
121	28347
122	213377
123	27639
124	437591
125	50415
126	247151
127	21598
128	584281
129	30528
130	224840
131	22082
132	381652
133	31657
134	176116
135	42143
136	436481
137	21019
138	211070
139	21416
140	332418
141	29835
142	151546
143	24844
144	625809
145	19113
146	167127
147	21117
148	301901
149	31334
150	170385
151	19687
152	328586
153	20422
154	165300
155	15764
156	292683
157	16777
158	134805
159	25956
160	605258
161	15777
162	142992
163	14548
164	264348
165	30135
166	120889
167	14382
168	314505
169	17061
170	140400
171	15453
172	203678
173	16966
174	129012
175	17280
176	245703
177	14137
178	108318
179	13506
180	400737
181	13198
182	97762
183	14718
184	236867
185	18910
186	113005
187	10802
188	197698
189	17362
190	105634
191	10918
192	360476
193	12782
194	94615
195	13839
196	178959
197	16520
198	99228
199	11327
200	223931
201	12168
202	99681
203	10247
204	175750
205	11363
206	79849
207	14021
208	170181
209	10041
210	88636
211	8848
212	154179
213	10679
214	73154
215	8653
216	205171
217	9606
218	71588
219	9635
220	135227
221	9969
222	82742
223	7873
224	143230
225	9103
226	68363
227	7975
228	131891
229	7608
230	62359
231	9433
232	131210
233	7072
234	68267
235	6764
236	107445
237	8844
238	56616
239	6642
240	378233
241	6679
242	58966
243	7220
244	117622
245	15440
246	62198
247	6075
248	136834
249	8998
250	70070
251	5850
252	112302
253	8110
254	52394
255	9890
256	128371
257	6874
258	58247
259	6054
260	101335
261	8466
262	47897
263	6263
264	109740
265	6499
266	49367
267	6371
268	81414
269	6456
270	70568
271	5714
272	95179
273	6136
274	46473
275	5933
276	86277
277	5748
278	44220
279	6132
280	90300
281	5179
282	47129
283	4749
284	68082
285	6462
286	41583
287	4726
288	162318
289	4609
290	40375
291	5076
292	68098
293	7667
294	42624
295	4596
296	76415
297	4899
298	44863
299	4098
300	76080
301	4295
302	35361
303	6731
304	71656
305	4298
306	37838
307	3786
308	66046
309	4905
310	33049
311	3570
312	70345
313	4680
314	31785
315	4359
316	53968
317	3957
318	37341
319	3514
320	152891
321	4012
322	30654
323	3756
324	62637
325	6625
326	28831
327	3872
328	67472
329	3954
330	39374
331	3081
332	49004
333	5030
334	27920
335	4349
336	64003
337	3374
338	28665
339	3703
340	52349
341	3720
342	27593
343	3419
344	50334
345	4087
346	26017
347	2904
348	47385
349	3245
350	26499
351	3405
352	47324
353	3086
354	25612
355	2832
356	40018
357	3361
358	23082
359	2712
360	121598
361	2691
362	22627
363	2904
364	42637
365	5490
366	24924
367	2535
368	53937
369	3598
370	25614
371	2465
372	42115
373	3678
