Pay	Frequency
0	920689995
2	1176192
4	4508968
5	2038014
6	1274141
7	76693
8	4904773
9	137794
10	3177402
11	15407
12	3065525
13	137054
14	596781
15	616250
16	3832270
17	35634
18	1009385
19	79545
20	3087948
21	220684
22	330614
23	83579
24	3510159
25	137644
26	388013
27	62028
28	1272183
29	85426
30	1434521
31	42716
32	2356732
33	96758
34	363666
35	83723
36	1552063
37	50918
38	339659
39	58993
40	2212527
41	32454
42	607429
43	28645
44	816390
45	208316
46	272482
47	27500
48	2138116
49	37279
50	387806
51	30412
52	700979
53	61755
54	400137
55	47180
56	1033683
57	44736
58	257974
59	20636
60	1470685
61	27216
62	209008
63	51627
64	1164588
65	45840
66	297766
67	16583
68	570232
69	52393
70	275774
71	15316
72	1101667
73	23752
74	190013
75	49555
76	490248
77	25085
78	247862
79	19258
80	1083941
81	24390
82	169741
83	19086
84	574832
85	34230
86	146644
87	26633
88	585525
89	15587
90	403870
91	13293
92	371434
93	28263
94	138915
95	26932
96	878220
97	12033
98	149524
99	21843
100	396771
101	18168
102	178873
103	12454
104	447599
105	24950
106	143126
107	12369
108	400532
109	11528
110	140910
111	19579
112	436870
113	9635
114	155441
115	16422
116	262112
117	17966
118	103696
119	9482
120	754052
121	9202
122	105359
123	13020
124	244089
125	21226
126	132616
127	8629
128	402010
129	14936
130	124118
131	10253
132	263945
133	10576
134	86334
135	27495
136	299319
137	8058
138	117189
139	9144
140	228251
141	13890
142	73587
143	9031
144	439207
145	9939
146	79824
147	11181
148	172830
149	10174
150	116786
151	7398
152	239113
153	9865
154	75476
155	9804
156	194664
157	6490
158	67832
159	11802
160	363127
161	5952
162	82039
163	6974
164	144493
165	15168
166	62378
167	6196
168	244052
169	6891
170	76950
171	7929
172	128093
173	6510
174	71806
175	8108
176	186204
177	6889
178	55399
179	6742
180	261138
181	5838
182	51522
183	6813
184	162891
185	9337
186	66969
187	5010
188	114370
189	8012
190	63620
191	4977
192	243698
193	5180
194	46061
195	9308
196	109621
197	5389
198	58036
199	4761
200	158561
201	6129
202	47037
203	4952
204	121787
205	5197
206	40354
207	5896
208	130752
209	4266
210	58216
211	4116
212	91625
213	5453
214	37807
215	4627
216	161973
217	3896
218	37676
219	5066
220	89044
221	3789
222	46828
223	3386
224	114987
225	5742
226	34583
227	3953
228	94130
229	3245
230	36354
231	4494
232	93676
233	3274
234	40957
235	3878
236	66674
237	4569
238	30656
239	3052
240	226711
241	3135
242	30829
243	3793
