Pay	Frequency
0	993858415
2	7111
4	26571
5	1446
6	15017
7	114
8	29310
9	221
10	9191
11	119
12	35973
13	228
14	9148
15	877
16	16161
17	277
18	11333
19	354
20	19609
21	3628
22	9768
23	562
24	35866
25	373
26	7626
27	678
28	12757
29	895
30	9733
31	597
32	20239
33	305
34	8773
35	368
36	17997
37	838
38	7647
39	510
40	20635
41	1185
42	10071
43	317
44	16951
45	1394
46	8233
47	1093
48	21886
49	663
50	8842
51	652
52	15380
53	1090
54	8385
55	1015
56	14945
57	574
58	8611
59	976
60	15466
61	1147
62	7293
63	896
64	16278
65	893
66	7330
67	506
68	13733
69	750
70	7896
71	804
72	18152
73	616
74	7843
75	1068
76	12624
77	975
78	7366
79	663
80	15030
81	903
82	8225
83	880
84	13081
85	917
86	7039
87	911
88	13979
89	882
90	8753
91	675
92	12452
93	826
94	7565
95	958
96	15981
97	806
98	7459
99	879
100	12479
101	1055
102	6943
103	885
104	13309
105	874
106	7183
107	772
108	12119
109	762
110	7575
111	754
112	12285
113	798
114	6794
115	807
116	11197
117	1042
118	6843
119	729
120	14168
121	716
122	7153
123	747
124	11381
125	1087
126	7031
127	683
128	11593
129	899
130	7388
131	775
132	10884
133	882
134	6523
135	934
136	11475
137	863
138	6796
139	706
140	11190
141	967
142	6481
143	874
144	13197
145	937
146	6412
147	818
148	10390
149	888
150	6813
151	744
152	11463
153	782
154	6745
155	889
156	9712
157	825
158	6315
159	853
160	11793
161	894
162	6654
163	671
164	9985
165	870
166	6382
167	714
168	11335
169	839
170	6769
171	809
172	9546
173	901
174	6492
175	855
176	9904
177	815
178	6365
179	866
180	10871
181	870
182	6121
183	825
184	9973
185	850
186	6402
187	820
188	9215
189	894
190	6565
191	780
192	10804
193	858
194	6214
195	830
196	9199
197	833
198	6174
199	863
200	10376
201	801
202	6105
203	824
204	8948
205	864
206	5799
207	704
208	9655
209	807
210	6302
211	768
212	8891
213	784
214	5841
215	840
216	9912
217	837
218	5942
219	815
220	9360
221	842
222	5833
223	785
224	9574
225	927
226	5649
227	773
228	8313
229	803
230	5987
231	751
232	9004
233	806
234	5839
235	855
236	8321
237	839
238	5707
239	817
240	10027
241	751
242	5808
243	747
244	8242
245	866
246	5821
247	749
248	8926
249	815
250	5923
251	750
252	8461
253	845
254	5635
255	829
256	8443
257	805
258	5679
259	759
260	8483
261	854
262	5461
263	761
264	8700
265	817
266	5456
267	713
268	7927
269	810
270	5868
271	702
272	8406
273	758
274	5547
275	828
276	7893
277	817
278	5381
279	714
280	8767
281	829
282	5451
283	767
284	7670
285	850
286	5185
287	745
288	8707
289	738
290	5528
291	725
292	7529
293	760
294	5424
295	814
296	7834
297	786
298	5221
299	727
300	7694
301	796
302	5279
303	765
304	7886
305	787
306	5276
307	722
308	7516
309	767
310	5380
311	696
312	7879
313	736
314	5418
315	775
316	7054
317	704
318	5255
319	687
320	8102
321	779
322	5108
323	725
324	7130
325	797
326	4917
327	770
328	7596
329	722
330	5291
331	742
332	6918
333	752
334	4955
335	828
336	7613
337	730
338	5089
339	752
340	7322
341	802
342	5060
343	705
344	7225
345	747
346	4874
347	745
348	6865
349	721
350	5115
351	740
352	7174
353	723
354	4900
355	760
356	6783
357	736
358	4808
359	734
360	7951
361	755
362	4756
363	690
364	6593
365	806
366	4962
367	703
368	6836
369	692
370	5027
371	720
372	6828
373	718
374	4864
375	759
376	6778
377	691
378	4776
379	723
380	6881
381	753
382	4862
383	693
384	7211
385	769
386	4819
387	718
388	6425
389	790
390	5032
391	676
392	6865
393	698
394	4714
395	796
396	6391
397	735
398	4665
