Pay	Frequency
0	78208145
2	1472776
4	2816987
5	1226383
6	387401
7	107927
8	2394913
9	62520
10	2128390
11	14552
12	673007
13	56769
14	234353
15	284139
16	1163164
17	18843
18	164927
19	15923
20	2026976
21	38391
22	79685
23	15399
24	480162
25	36462
26	62765
27	4455
28	168782
29	8134
30	512488
31	5981
32	365813
33	3124
34	39908
35	9840
36	122726
37	4862
38	23785
39	3618
40	1233654
41	920
42	48036
43	442
44	84122
45	52766
46	16246
47	1812
48	196769
49	1273
50	50973
51	1524
52	30040
53	2611
54	12958
55	11080
56	57260
57	1617
58	6317
59	97
60	486649
61	595
62	10456
63	2462
64	72692
65	7039
66	16532
67	360
68	22912
69	1974
70	14732
71	105
72	50825
73	89
74	3335
75	1723
76	12172
77	4163
78	5556
79	87
80	489528
81	614
82	5325
83	20
84	24947
85	8132
86	842
87	795
88	50574
89	107
90	72012
91	16
92	6162
93	912
94	2341
95	1669
96	50150
97	52
98	1754
99	1603
100	48427
101	315
102	2959
103	21
104	5371
105	784
106	1541
107	14
108	6674
109	10
110	23529
111	446
112	8162
113	26
114	2065
115	64
116	1561
117	337
118	113
119	3
120	291051
121	645
122	3472
123	137
124	7002
125	4427
126	2655
127	155
128	11813
129	147
130	6877
131	15
132	20880
133	32
134	398
135	3361
136	5054
137	24
138	1238
139	30
140	7748
141	227
142	129
143	1797
144	17728
145	112
146	162
147	182
148	916
149	105
150	5667
151	9
152	2482
153	58
154	7004
155	69
156	1879
157	3
158	87
159	177
160	137187
162	1645
163	1
164	2303
165	6543
166	88
167	30
168	6482
169	34
170	3343
171	67
172	364
173	7
174	355
175	272
176	21409
177	23
178	61
179	1
180	55146
181	6
182	482
183	80
184	1387
185	652
186	626
187	818
188	970
189	69
190	1345
191	1
192	10444
193	2
194	74
195	210
196	730
197	36
198	5954
199	4
200	47446
201	65
202	377
203	1
204	1480
205	683
206	39
207	49
208	639
209	713
210	1742
212	333
213	15
214	13
215	111
216	3713
217	1
218	18
219	15
220	18189
221	44
222	187
223	1
224	668
225	102
226	16
228	867
230	199
231	1329
232	120
233	1
234	273
235	2
236	42
237	17
238	4
240	117693
242	3069
243	12
244	2125
245	1591
246	260
247	60
248	2096
249	12
250	2472
251	1
252	1466
253	784
254	114
255	261
256	1605
257	1
258	118
259	3
260	2517
261	30
262	17
264	10066
265	22
266	11
267	6
268	105
270	4644
272	498
273	60
274	44
275	469
276	532
278	21
279	5
280	1598
282	150
284	27
285	49
286	2284
288	4863
290	124
291	18
292	73
293	13
294	204
295	3
296	114
297	190
298	31
299	42
300	8820
302	45
303	7
304	191
305	47
306	64
308	4109
310	192
312	924
314	5
315	57
316	17
318	60
319	377
320	27067
321	3
322	229
324	666
325	301
326	3
327	10
328	306
329	3
330	6836
332	44
333	2
334	13
335	23
336	1797
338	94
339	1
340	698
341	359
342	23
344	29
345	2
346	6
348	170
350	105
351	24
352	4540
354	9
355	1
356	7
357	13
358	2
360	27537
362	171
363	121
364	399
365	377
366	207
367	3
368	274
369	6
370	448
372	500
374	1416
375	82
376	192
377	22
378	183
380	504
381	24
382	3
384	1894
385	164
386	1
387	4
388	22
389	2
390	188
392	97
393	2
394	7
395	1
396	2272
399	17
400	37536
402	278
403	24
404	305
405	838
406	10
407	209
408	760
409	4
410	933
411	3
412	21
414	25
415	95
416	139
417	2
418	874
420	1197
422	1
423	3
424	37
425	8
426	9
428	10
429	127
430	142
432	1241
434	8
435	2
436	6
437	7
438	12
440	8170
441	18
442	55
444	91
445	16
447	1
448	50
450	542
451	51
452	3
453	1
454	1
455	17
456	388
458	2
459	1
460	181
462	1020
464	6
468	157
470	17
472	1
473	30
474	1
476	3
480	31748
481	10
482	221
483	16
484	1265
485	340
486	52
487	3
488	388
489	2
490	546
492	98
493	1
494	64
495	724
496	245
498	15
500	506
501	1
502	1
504	542
505	5
506	452
507	11
508	17
510	112
512	103
514	2
515	1
516	36
517	92
518	1
519	1
520	374
522	5
524	4
525	19
526	1
528	2434
530	11
532	3
533	6
534	2
535	1
536	2
538	1
539	74
540	2896
542	11
544	41
545	34
546	116
548	8
549	2
550	634
552	259
554	1
555	8
556	4
558	8
559	3
560	178
561	21
564	76
567	1
568	3
570	26
572	494
576	815
580	45
581	1
582	3
583	69
584	4
585	9
586	1
588	124
590	1
591	3
592	5
594	134
596	1
598	32
600	9235
602	33
603	1
604	57
605	191
606	9
607	3
608	24
609	5
610	168
611	6
612	27
615	11
616	624
620	211
621	1
622	3
624	202
627	21
630	77
632	4
636	35
637	4
638	111
640	3332
642	16
644	68
645	24
647	1
648	171
649	3
650	61
651	7
652	3
654	5
656	16
660	5144
663	1
664	2
666	2
667	1
668	3
670	11
671	42
672	266
675	2
676	16
680	72
682	329
684	14
688	1
689	2
690	1
693	25
694	1
696	59
700	20
702	10
704	833
708	3
713	1
714	23
715	119
720	9322
722	59
724	99
725	90
726	156
727	2
728	73
730	143
732	62
734	1
735	16
736	31
737	30
738	1
740	111
741	7
742	1
744	160
745	2
747	1
748	420
750	29
752	8
753	1
754	6
756	60
759	16
760	81
762	10
764	1
765	5
767	1
768	280
770	208
771	1
774	3
775	1
776	1
777	3
778	1
780	44
781	11
783	1
784	2
789	1
790	1
792	563
793	5
795	1
798	17
800	19803
802	132
803	4
804	196
805	306
806	25
807	1
808	84
809	3
810	604
811	1
812	8
814	69
815	47
816	183
819	6
820	365
822	2
824	5
825	32
828	12
830	65
832	35
834	2
835	2
836	218
838	1
840	300
842	1
845	4
847	6
848	2
850	12
852	6
854	1
858	48
860	40
861	2
864	264
868	1
869	2
870	1
871	1
874	1
876	3
880	2978
882	14
884	24
888	25
890	8
891	2
894	1
896	4
900	768
902	170
904	6
905	1
906	1
908	2
910	25
912	102
920	49
923	1
924	291
930	2
935	90
936	29
938	1
940	10
945	2
946	18
948	1
952	1
957	11
960	5550
962	35
964	76
965	35
966	17
968	155
970	87
972	5
974	5
975	15
976	20
979	7
980	96
984	56
985	1
987	4
988	13
990	830
992	5
994	1
995	1
996	1
1000	72
1001	3
1004	1
1008	124
1010	1
1012	69
1014	3
1016	2
1020	21
1024	3
1032	11
1034	62
1036	1
1040	27
1044	3
1045	22
1050	4
1053	2
1056	298
1060	2
1064	1
1066	4
1067	3
1068	3
1078	69
1080	1194
1082	6
1084	4
1085	11
1086	7
1087	1
1088	4
1089	5
1090	13
1092	22
1095	3
1096	2
1098	3
1100	472
1104	33
1105	1
1110	7
1111	8
1112	1
1116	1
1118	2
1120	7
1122	24
1128	26
1134	3
1140	11
1144	46
1152	74
1155	16
1157	1
1160	7
1166	30
1170	4
1176	26
1177	1
1188	37
1196	6
1199	1
1200	5969
1202	31
1204	42
1205	79
1206	14
1208	17
1209	1
1210	161
1212	10
1215	16
1216	5
1218	8
1220	94
1221	1
1222	2
1224	7
1225	1
1230	14
1232	58
1240	64
1243	1
1245	2
1248	17
1250	1
1254	11
1260	40
1261	2
1265	2
1272	18
1274	3
1276	8
1280	194
1284	3
1287	1
1288	2
1290	3
1296	26
1298	4
1300	12
1302	9
1306	1
1310	1
1320	2762
1326	3
1332	1
1342	123
1344	23
1350	23
1352	1
1356	1
1360	4
1364	168
1368	6
1370	1
1375	73
1386	29
1391	1
1392	5
1397	6
1400	4
1404	1
1407	2
1408	137
1416	1
1419	8
1426	2
1428	7
1430	95
1440	2297
1442	10
1444	24
1445	15
1446	4
1448	15
1450	26
1452	54
1455	1
1456	2
1457	1
1460	20
1463	1
1464	29
1470	4
1474	9
1480	7
1482	1
1485	50
1488	48
1491	1
1496	45
1500	13
1504	1
1507	2
1512	17
1518	2
1520	6
1524	4
1529	1
1534	1
1536	52
1540	115
1548	1
1554	2
1560	21
1562	2
1573	1
1575	1
1584	146
1586	3
1595	1
1596	1
1600	6380
1602	37
1604	86
1605	80
1606	6
1608	44
1609	1
1610	128
1612	9
1614	1
1615	9
1616	7
1620	200
1624	3
1625	1
1628	12
1630	18
1632	29
1639	1
1640	51
1644	1
1648	1
1650	57
1656	2
1660	24
1664	4
1672	9
1680	51
1690	4
1692	1
1694	2
1700	3
1704	2
1705	2
1716	9
1720	5
1722	4
1728	36
1738	1
1742	2
1749	2
1752	2
1755	1
1760	825
1764	3
1768	2
1776	3
1780	1
1782	33
1800	643
1802	4
1804	19
1805	5
1806	3
1808	3
1810	7
1812	1
1815	19
1820	9
1824	7
1826	2
1830	1
1837	1
1840	6
1848	32
1850	1
1860	3
1870	38
