Pay	Frequency
0	777873189
2	12648012
4	21111167
5	8978143
6	4137232
7	839050
8	16317400
9	935492
10	15532166
11	193517
12	5903182
13	848574
14	3393661
15	2319899
16	8333609
17	294341
18	2776558
19	387959
20	13089321
21	528348
22	1819888
23	404524
24	5025619
25	809002
26	1611806
27	175167
28	2696890
29	350982
30	4347427
31	232582
32	3448812
33	205885
34	1377130
35	358373
36	2101308
37	219873
38	1080410
39	187174
40	7017411
41	142968
42	1033776
43	125491
44	1825919
45	724469
46	770887
47	126229
48	2615184
49	139811
50	1524016
51	90861
52	1085084
53	219920
54	632659
55	271479
56	1090555
57	90060
58	639962
59	72647
60	3541327
61	81964
62	498058
63	106143
64	1292696
65	288031
66	517504
67	54417
68	911608
69	97121
70	888272
71	46637
72	1061964
73	79178
74	398920
75	150532
76	629718
77	107253
78	379190
79	52616
80	2960339
81	47171
82	347630
83	48256
84	641255
85	287230
86	255574
87	47096
88	796619
89	44798
90	1051413
91	30019
92	475769
93	48575
94	278305
95	159854
96	915344
97	35890
98	266147
99	44044
100	1076670
101	60776
102	229442
103	33772
104	392791
105	143520
106	251966
107	25976
108	365041
109	26897
110	614127
111	36713
112	338594
113	26200
114	188014
115	89156
116	300059
117	23743
118	162174
119	19365
120	1729693
121	29756
122	167574
123	19113
124	308692
125	169200
126	162016
127	18211
128	368093
129	24041
130	459092
131	16934
132	330423
133	26924
134	133725
135	109014
136	275563
137	16826
138	143073
139	17219
140	578961
141	20307
142	111162
143	27023
144	406660
145	82024
146	116414
147	14996
148	193439
149	27591
150	321645
151	15225
152	194816
153	14007
154	173792
155	55962
156	174506
157	12547
158	100127
159	18426
160	973229
161	11643
162	108888
163	10519
164	180477
165	134645
166	84347
167	12193
168	195005
169	16087
170	312893
171	10427
172	127927
173	14732
174	84945
175	71318
176	233464
177	10260
178	78933
179	10588
180	610253
181	10992
182	75763
183	10649
184	160664
185	77761
186	74062
187	13398
188	129334
189	13073
190	243923
191	9150
192	228502
193	10219
194	67211
195	54656
196	113722
197	14154
198	100786
199	9002
200	527815
201	8511
202	75960
203	8125
204	109689
205	70586
206	60664
207	9772
208	102977
209	13505
210	228781
211	7004
212	93842
213	8266
214	52678
215	45502
216	119652
217	7968
218	48646
219	6637
220	397107
221	8541
222	54459
223	6067
224	94423
225	48415
226	48827
227	5994
228	85553
229	6068
230	163586
231	12019
232	81079
233	5519
234	44815
235	34163
236	70521
237	6232
238	38983
239	5735
240	627708
241	5195
242	67756
243	5133
244	88946
245	66314
246	44379
247	5492
248	90145
249	7127
250	192983
251	4860
252	70222
253	11492
254	40194
255	46911
256	78946
257	5764
258	41441
259	5350
260	239110
261	6625
262	34413
263	5382
264	119247
265	41519
266	36944
267	4633
268	59379
269	5771
270	164276
271	4764
272	65364
273	4452
274	35976
275	40625
276	55712
277	4583
278	32424
279	5153
280	215804
281	4084
282	31210
283	4541
284	47520
285	38236
286	45332
287	4025
288	107915
289	3901
290	125540
291	4269
292	46666
293	6896
294	32730
