Pay	Frequency
0	911913063
2	1563622
4	3248221
5	3074215
6	499920
7	174230
8	3495770
9	109481
10	4853314
11	45259
12	1561348
13	103265
14	677088
15	784705
16	2820254
17	99044
18	614062
19	94245
20	5389160
21	213240
22	470270
23	98808
24	1988110
25	277599
26	453107
27	74929
28	1061718
29	90702
30	1889467
31	80415
32	1824081
33	64350
34	440965
35	140489
36	975214
37	67868
38	362657
39	63340
40	3981292
41	44034
42	540961
43	39575
44	808628
45	358178
46	329178
47	52659
48	1480938
49	41312
50	722244
51	65290
52	658844
53	55434
54	302249
55	178782
56	803584
57	52305
58	269917
59	31944
60	2095717
61	43327
62	269971
63	70841
64	839128
65	135041
66	275015
67	29820
68	524418
69	54875
70	413106
71	31638
72	765253
73	29069
74	187132
75	87266
76	454512
77	46368
78	240210
79	32239
80	1984602
81	39408
82	175385
83	22759
84	535203
85	157993
86	145089
87	46584
88	582940
89	26614
90	621730
91	21711
92	386257
93	49652
94	152543
95	91058
96	666488
97	22542
98	141059
99	34237
100	683055
101	28584
102	175235
103	23629
104	372101
105	84018
106	132137
107	17348
108	335946
109	22546
110	328664
111	30695
112	340005
113	19681
114	144060
115	45694
116	240097
117	31483
118	100393
119	17740
120	1302697
121	18410
122	121210
123	22136
124	259873
125	85649
126	141920
127	19388
128	337610
129	23044
130	234602
131	14327
132	308919
133	17755
134	95017
135	65774
136	282768
137	15005
138	123775
139	14578
140	346393
141	26282
142	81520
143	20909
144	350107
145	42175
146	76922
147	19873
148	164818
149	16017
150	169302
151	15821
152	222891
153	19420
154	99366
155	28926
156	193062
157	14338
158	69008
159	20846
160	706247
161	12562
162	91910
163	11686
164	144719
165	82103
166	58999
167	14007
168	245997
169	12914
170	157229
171	14627
172	124803
173	13796
174	74146
175	35842
176	255229
177	13723
178	57451
179	10842
180	429709
181	12494
182	55712
183	15806
184	163000
185	32522
186	73261
187	15792
188	118761
189	15047
190	104119
191	11562
192	243065
193	9594
194	48995
195	29469
196	114356
197	10959
198	75286
199	10761
200	347122
201	12800
202	47870
203	9767
204	128214
205	27206
206	43081
207	12707
208	135822
209	13917
210	95057
211	8760
212	97768
213	12496
214	39158
215	17564
216	140033
217	8163
218	37200
219	9632
220	234777
221	10293
222	46604
223	8434
224	108744
225	19543
226	35384
227	7380
228	104802
229	7770
230	55447
231	17990
232	90616
233	7478
234	42961
235	12332
236	74423
237	9710
238	29874
239	7403
240	568192
241	6745
242	52047
243	9056
244	89421
245	32937
246	37622
247	9455
248	105918
249	8551
250	91867
251	6667
252	99391
253	10816
254	31635
255	22924
256	105906
257	6943
258	35581
259	6486
260	142551
261	9141
262	27179
263	6650
264	152003
265	15173
266	26996
267	6957
268	66050
269	6911
270	77372
271	5955
272	89244
273	8075
274	26334
275	15437
276	72713
277	5705
278	25601
279	7145
280	125592
281	5610
282	31849
283	5529
284	54443
285	14443
286	43443
287	5180
288	115803
289	5141
290	39282
291	6319
292	49595
293	5744
294	29058
295	9002
296	60111
297	8045
298	22257
299	5661
300	112837
301	5179
302	23377
303	6127
304	60406
305	9704
306	25553
307	4629
308	68292
309	5888
